Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
100	-14780.9	-14791	10.1435	0.138284	0.0781671	0.114613	0.121957	0.0995952	0.0826044	0.104455	0.0884016	0.112438	0.188965	0.0758659	0.0861933	0.105199	0.112925	0.0983429	0.112285	0.136298	0.116392	0.119393	0.0981189	0.102924	0.0821282	0.164559	0.0640531	0.0569217	0.028234	0.0262889	0.0392662	0.0382345	0.00835201	0.0986293	0.0463205	0.036039	0.0224546	0.0475133	0.0506763	0.0332161	0.0277997	0.0416402	0.0162525	0.0445561	0.0379153	0.0153681	4.123111	0.288068	0.267908	0.104864	0.339159	3.319836
110	-14778.1	-14788.2	10.1645	0.152112	0.107897	0.0927007	0.0890793	0.104184	0.0824996	0.114523	0.0768065	0.0903268	0.200098	0.0846278	0.0664278	0.0943	0.121228	0.149521	0.151386	0.133488	0.101601	0.126297	0.0784508	0.0980312	0.0895696	0.181676	0.0532846	0.0505539	0.0351838	0.0200021	0.0385886	0.0321674	0.00760975	0.0817852	0.0299008	0.025205	0.0137422	0.0553773	0.0396054	0.0339407	0.0186629	0.0544131	0.0448127	0.0380766	0.0286564	0.0293406	4.123111	0.273078	0.277573	0.106122	0.343227	3.317741
120	-14773.2	-14784	10.7973	0.15509	0.100209	0.0963545	0.105618	0.0998761	0.0839978	0.110462	0.0815915	0.094275	0.176279	0.0851502	0.0783698	0.111689	0.0997356	0.113167	0.116814	0.128701	0.117219	0.133095	0.0784508	0.0880186	0.091193	0.201805	0.0399007	0.0580705	0.0444462	0.0350453	0.019438	0.0113289	0.0118541	0.0925222	0.0245502	0.0400816	0.0123027	0.0403332	0.0452667	0.0183213	0.0144773	0.0461104	0.0195748	0.0532824	0.0426764	0.024873	4.345726	0.283581	0.273563	0.104589	0.338268	3.241618
130	-14774.3	-14785.3	10.9959	0.142143	0.0707599	0.100039	0.100941	0.0941617	0.0975663	0.143803	0.0730455	0.101931	0.189951	0.0963025	0.0569253	0.0956494	0.0977605	0.103206	0.129033	0.132895	0.10953	0.122812	0.0714135	0.0850065	0.0862621	0.179179	0.0419106	0.0655173	0.0198709	0.0243419	0.0449993	0.0165455	0.0225567	0.0871061	0.0247325	0.0400025	0.0233544	0.0373146	0.0443515	0.0301512	0.0267405	0.044124	0.0184241	0.0638702	0.0382084	0.0523127	3.918796	0.301042	0.286001	0.0995264	0.31343	3.24675
140	-14781.8	-14792.9	11.0852	0.16002	0.126711	0.10034	0.0656339	0.117455	0.0819813	0.1312	0.0874691	0.0918662	0.152842	0.0610435	0.0841705	0.103574	0.0962297	0.103206	0.13232	0.131487	0.10259	0.123332	0.0656894	0.0826415	0.102219	0.191454	0.0643925	0.0505281	0.0284738	0.0232615	0.0170052	0.0227636	0.0172255	0.106974	0.0259847	0.0147459	0.0220796	0.030726	0.0415573	0.0197254	0.0281824	0.0795633	0.0398774	0.0550131	0.0401362	0.0249925	3.741238	0.304281	0.27832	0.100597	0.316802	3.248684
150	-14768.1	-14778.5	10.4497	0.135569	0.0841341	0.103254	0.0856345	0.122882	0.0864397	0.117387	0.074036	0.0977377	0.179174	0.0706251	0.0958223	0.101817	0.105665	0.10492	0.14036	0.141067	0.127416	0.111365	0.0718866	0.081821	0.08614	0.169483	0.0522956	0.0663783	0.0673343	0.0327607	0.0285234	0.0117329	0.0159718	0.0874043	0.041532	0.0244575	0.0288291	0.0374987	0.0401157	0.0256362	0.0192843	0.0577285	0.0337497	0.0631422	0.0426693	0.0405572	3.741238	0.269618	0.293272	0.103288	0.333822	3.312237
160	-14766.4	-14776.7	10.2482	0.168351	0.111567	0.111276	0.116984	0.116478	0.0708902	0.105015	0.0858963	0.0848147	0.179174	0.0708805	0.0811969	0.102513	0.11516	0.10492	0.152283	0.148684	0.106277	0.114544	0.0807298	0.0731929	0.0807489	0.169483	0.0487941	0.0548694	0.0260143	0.0284534	0.0237042	0.0113022	0.0213828	0.0790289	0.0317469	0.0256244	0.0299624	0.0476046	0.0459042	0.0383509	0.0244277	0.0696156	0.0204252	0.0555481	0.047997	0.0505746	3.741238	0.269618	0.293272	0.103288	0.333822	3.33239
170	-14777.9	-14786.8	8.89149	0.137753	0.0888516	0.082063	0.0807733	0.110974	0.112195	0.141209	0.0954019	0.108697	0.211041	0.0757697	0.0820322	0.140046	0.095372	0.104872	0.177115	0.152786	0.104219	0.130105	0.0859658	0.0947998	0.0937333	0.16454	0.0607656	0.052366	0.0140625	0.0340162	0.0344952	0.00948634	0.0185603	0.0939056	0.0212411	0.0204929	0.0261599	0.0411783	0.0378326	0.0256957	0.023808	0.0600384	0.0455403	0.0591877	0.0374566	0.054203	4.195742	0.269618	0.293272	0.103288	0.333822	3.440806
180	-14769.5	-14779.9	10.4489	0.147295	0.0911145	0.0916788	0.0816696	0.110974	0.0845283	0.112682	0.0716816	0.0841384	0.169197	0.0775913	0.0927613	0.0883047	0.117439	0.104138	0.118724	0.120549	0.129124	0.12398	0.0815014	0.0966111	0.0929199	0.18124	0.0585399	0.0469809	0.0255799	0.0376909	0.0244982	0.013361	0.0219464	0.0925798	0.0329947	0.0361095	0.0311886	0.0259375	0.0455702	0.0346815	0.0310602	0.0843929	0.0203215	0.054081	0.0445058	0.0532031	4.195742	0.269618	0.293272	0.103288	0.333822	3.285065
190	-14771.8	-14782.4	10.5931	0.132753	0.081738	0.101204	0.0788901	0.12173	0.0850677	0.153937	0.0805303	0.100976	0.176354	0.0798733	0.0958658	0.104367	0.117824	0.104138	0.117746	0.117074	0.0987218	0.115349	0.0842761	0.107453	0.078549	0.162431	0.0498926	0.0499385	0.0391427	0.0244604	0.0275753	0.0166442	0.0288004	0.104518	0.0179093	0.0266142	0.0374284	0.0258237	0.0380762	0.0416221	0.0349021	0.0368023	0.0311536	0.0552316	0.0404482	0.0447435	4.23155	0.288285	0.284269	0.103872	0.323574	3.268577
