Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
0	-21595.5	-21596.2	0.699308	0.251962	0.085719	0.0885412	0.0465857	0.0214471	0.00581629	0.00404765	0.0654487	0.0738987	0.445719	0.0682492	0.0346255	0.189177	0.0308126	0.0440706	0.101844	0.0162224	0.0377678	0.117007	0.00716516	0.263582	0.0178002	0.245244	0.0999125	0.110746	0.218057	0.116715	0.0999931	0.174576	0.0289049	0.0892293	0.177721	0.161808	0.0086209	0.0337473	0.125774	0.0791291	0.0728138	0.0813335	0.147402	0.107009	0.369202	0.0327058	0.634126	0.0957632	0.0776554	0.192455	4.598153
10	-16241.2	-16253.6	12.3395	0.195015	0.0732378	0.0883792	0.100704	0.064542	0.0189456	0.00997189	0.140926	0.187206	0.143808	0.068215	0.0856528	0.0995957	0.0684048	0.12945	0.114524	0.0250198	0.101179	0.132133	0.0323393	0.0840456	0.0399541	0.242114	0.0615561	0.0219044	0.0312135	0.110486	0.0452296	0.0428765	0.0891351	0.0466374	0.142933	0.0505584	0.00720561	0.0271254	0.0117458	0.0465442	0.038854	0.115223	0.0713694	0.031	0.176056	0.0211133	0.222066	0.308232	0.0972075	0.372495	3.434131
20	-15557.1	-15572	14.9942	0.127298	0.0919174	0.0893707	0.106136	0.13017	0.0713429	0.0393298	0.111283	0.121024	0.144128	0.0679786	0.0947582	0.0993299	0.0811019	0.136505	0.121802	0.0372814	0.130852	0.132133	0.0744202	0.0838852	0.0469224	0.17873	0.0302114	0.0198502	0.0602958	0.0553321	0.0331549	0.0588561	0.0469602	0.038486	0.0557658	0.068124	0.0349385	0.0404526	0.0227659	0.0269473	0.0194435	0.0411322	0.0513291	0.0308368	0.095314	0.0207639	0.222066	0.308232	0.0972075	0.372495	3.16866
30	-15372.1	-15387.5	15.3765	0.122192	0.105175	0.1057	0.10021	0.103294	0.0713429	0.101716	0.0719443	0.087845	0.166316	0.0714003	0.082386	0.0935681	0.105565	0.122412	0.119919	0.0890154	0.109932	0.13149	0.083779	0.0799242	0.0883257	0.197722	0.023443	0.0388208	0.0471133	0.0253757	0.0458202	0.032697	0.049622	0.0434941	0.030165	0.068124	0.0252001	0.0307748	0.0420186	0.0235186	0.0192817	0.0380115	0.0524737	0.0360316	0.0333251	0.0139477	0.211092	0.31258	0.0985787	0.377749	3.130432
40	-15382.1	-15396.9	14.8061	0.0972269	0.0937705	0.0989918	0.111493	0.103848	0.0829449	0.129242	0.0683418	0.111808	0.171419	0.0880721	0.072194	0.103802	0.0856134	0.101824	0.119919	0.133366	0.0882804	0.0956655	0.076735	0.0790707	0.10455	0.162962	0.037611	0.0429682	0.0680357	0.0299013	0.0364542	0.04633	0.0565797	0.0490261	0.0274507	0.0727493	0.0376807	0.0240103	0.0529839	0.0209845	0.0375087	0.0389944	0.0444502	0.0332611	0.0232997	0.0260514	0.211092	0.31258	0.0985787	0.377749	3.18747
50	-15378.7	-15394	15.3124	0.12033	0.0846739	0.0852437	0.101044	0.113114	0.0852027	0.130701	0.0561668	0.11029	0.182329	0.0835466	0.100264	0.104645	0.09507	0.113894	0.139863	0.14117	0.0922073	0.0996488	0.0671821	0.0789565	0.0916273	0.177014	0.0222701	0.0375147	0.052563	0.0373959	0.0396254	0.0435256	0.0505803	0.0352421	0.0234043	0.0736711	0.0107329	0.0170195	0.0377782	0.0191814	0.0315262	0.0432473	0.0364912	0.0295711	0.0289333	0.0123835	0.217094	0.311201	0.0956221	0.376083	3.136843
60	-15380.8	-15395.1	14.3212	0.121665	0.0869898	0.105967	0.107668	0.113114	0.0923102	0.118118	0.0940367	0.108056	0.188171	0.0965155	0.0866142	0.0988489	0.0886779	0.091987	0.141103	0.118837	0.10414	0.123699	0.0998496	0.0821607	0.0779868	0.13318	0.0331996	0.0458168	0.0516338	0.02332	0.0542279	0.0342107	0.0668087	0.0384416	0.0221677	0.0919946	0.0207451	0.0214855	0.0496837	0.0291571	0.0326919	0.026143	0.0339951	0.0404398	0.0285557	0.0115448	0.225073	0.291554	0.0971359	0.386237	3.235959
70	-15371.7	-15387.1	15.3747	0.129474	0.0950076	0.110287	0.069164	0.10945	0.104376	0.118914	0.0788113	0.0989756	0.167299	0.081698	0.0763998	0.0970845	0.0790838	0.111679	0.12872	0.131331	0.0997028	0.138195	0.070448	0.0854004	0.0739853	0.166317	0.0226303	0.0457434	0.047865	0.0243405	0.0316411	0.0376863	0.0353803	0.0405067	0.0257899	0.083692	0.0242349	0.0341682	0.0405712	0.0298494	0.0191734	0.0441761	0.0580337	0.0345038	0.0192409	0.00958355	0.222554	0.288291	0.104729	0.384426	3.130616
80	-15366.3	-15381.1	14.8487	0.113176	0.0970818	0.0954502	0.112923	0.0932191	0.0985989	0.125379	0.0906391	0.0930273	0.169046	0.087788	0.0886687	0.0960966	0.101144	0.11561	0.123888	0.143516	0.118314	0.145723	0.0810206	0.0809151	0.0739853	0.160972	0.0160991	0.0396074	0.0494873	0.0248101	0.0436995	0.0486865	0.051356	0.0338426	0.0188878	0.0729823	0.0183765	0.0261234	0.0435591	0.0197986	0.0291653	0.0277286	0.0435365	0.031066	0.0237797	0.0144447	0.219801	0.290621	0.103434	0.386143	3.183218
90	-15382.5	-15397.8	15.3278	0.117745	0.0946195	0.10634	0.091142	0.106703	0.0632912	0.125379	0.0719673	0.0930273	0.155877	0.0633743	0.0763081	0.106559	0.110021	0.0985643	0.115355	0.124068	0.113497	0.122277	0.0821872	0.0986291	0.0605914	0.174353	0.0285962	0.0308341	0.0280191	0.0479536	0.0481961	0.0296505	0.0563381	0.0347843	0.0299391	0.103655	0.0176437	0.0264042	0.0491803	0.0478585	0.0347866	0.0398372	0.036939	0.0336599	0.0297306	0.00942241	0.219801	0.290621	0.103434	0.386143	3.135306
