Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
100	-14773.8	-14783.7	9.93131	0.14711	0.0993348	0.0838428	0.0858661	0.125532	0.0904273	0.132998	0.0731633	0.11072	0.20367	0.0728411	0.0907209	0.113768	0.0914643	0.119224	0.116504	0.137255	0.114267	0.121294	0.0748813	0.106519	0.0903275	0.176487	0.0672045	0.0244489	0.0212125	0.0462124	0.0255494	0.0122394	0.0224235	0.028788	0.0298585	0.0670549	0.0231565	0.0336708	0.0767502	0.0482788	0.0282088	0.0525923	0.0438541	0.0301379	0.0550643	0.021775	4.197914	0.281475	0.285392	0.0984066	0.334727	3.336698
110	-14777.1	-14786.8	9.68858	0.187494	0.097961	0.0989694	0.100837	0.118843	0.106715	0.132998	0.0731633	0.102544	0.179851	0.0939171	0.090682	0.108727	0.0927563	0.10556	0.136185	0.133235	0.118712	0.115084	0.0705234	0.0813095	0.0972732	0.166562	0.0531678	0.0206086	0.0257727	0.0405862	0.0206327	0.0270037	0.0471497	0.0192834	0.041194	0.0565631	0.0224996	0.0263823	0.085301	0.0700235	0.0455239	0.0364808	0.0251577	0.0259174	0.049879	0.0128569	4.182158	0.279711	0.283604	0.104055	0.33263	3.361886
120	-14764.6	-14774.8	10.1722	0.154177	0.106414	0.0989694	0.091471	0.115895	0.0797923	0.117923	0.0644447	0.086664	0.188645	0.0889492	0.0878922	0.0949757	0.10171	0.118688	0.13244	0.141221	0.114212	0.121075	0.0741643	0.0843643	0.0893456	0.194838	0.0452192	0.0244376	0.0240588	0.0357202	0.0285758	0.0348954	0.0313122	0.0223663	0.0403231	0.0471734	0.0338743	0.0215562	0.112153	0.0393805	0.0317322	0.044668	0.0273113	0.0409105	0.0615321	0.0197087	4.153813	0.279711	0.283604	0.104055	0.33263	3.315179
130	-14765.5	-14775.6	10.076	0.135606	0.0871639	0.103421	0.0938959	0.127919	0.0844114	0.140095	0.0755232	0.0991571	0.195462	0.0776763	0.0885453	0.102302	0.116326	0.0983827	0.139898	0.123683	0.114632	0.137063	0.0698117	0.0871587	0.0987171	0.17912	0.0484405	0.0221657	0.0318904	0.0356936	0.0320973	0.0242733	0.0318735	0.0246237	0.0327362	0.0351296	0.0237077	0.0290612	0.108616	0.0616207	0.0273108	0.0643054	0.0155399	0.0228737	0.0495656	0.0261872	4.172901	0.273299	0.300026	0.101669	0.325005	3.323683
140	-14764.3	-14774.6	10.2525	0.14606	0.10238	0.0970345	0.0817165	0.117781	0.0821972	0.134438	0.0789345	0.091391	0.172312	0.0756993	0.072452	0.121502	0.101104	0.115169	0.139898	0.111064	0.12556	0.13182	0.0773706	0.0957666	0.0855831	0.170965	0.0688791	0.0292936	0.0397749	0.0307627	0.0222461	0.0253466	0.0310104	0.0244489	0.0360036	0.0325294	0.0251814	0.0312792	0.0757804	0.0699036	0.0207222	0.0472755	0.0282587	0.0417729	0.0557298	0.0416335	4.172901	0.29127	0.275476	0.101001	0.332254	3.306031
150	-14767.5	-14778.2	10.706	0.142252	0.105304	0.123771	0.100229	0.126112	0.0871187	0.157784	0.079272	0.091391	0.159229	0.0768971	0.086449	0.0920282	0.0869748	0.096545	0.131935	0.11947	0.131866	0.122872	0.0744601	0.0856213	0.0776779	0.179342	0.044943	0.0221115	0.0309583	0.0409646	0.0248514	0.0107126	0.0288661	0.0202429	0.0459707	0.0367728	0.0217351	0.0329415	0.0771822	0.0535371	0.0256324	0.0511171	0.0226124	0.0499221	0.0514648	0.0292541	4.247005	0.29127	0.275476	0.101001	0.332254	3.256393
160	-14774	-14784.6	10.58	0.151344	0.0905383	0.0960858	0.0940801	0.111563	0.0909557	0.144132	0.0847773	0.113259	0.169185	0.0715336	0.0738722	0.0967919	0.107109	0.102973	0.117433	0.100283	0.131849	0.122113	0.0734434	0.115569	0.0694495	0.198426	0.0744111	0.0424323	0.0237967	0.0403806	0.0170808	0.0226723	0.0340149	0.0211482	0.0490498	0.0421726	0.0259523	0.0151731	0.0738547	0.0597399	0.00880493	0.0482412	0.0215065	0.0419357	0.0577455	0.0221158	4.247005	0.275409	0.281641	0.103261	0.339689	3.268995
170	-14777.9	-14786.7	8.77453	0.144388	0.0905383	0.0936981	0.0855605	0.111372	0.0941451	0.132822	0.0816517	0.125415	0.212005	0.0710871	0.0868254	0.115698	0.0910237	0.10252	0.150354	0.15365	0.119722	0.125259	0.0897735	0.0867875	0.0846171	0.198426	0.0609372	0.0209969	0.0308153	0.0329562	0.0233226	0.044715	0.0368975	0.021453	0.0353502	0.052352	0.0154669	0.0390622	0.132791	0.0550843	0.0119254	0.0448885	0.0242872	0.0556421	0.0501151	0.0131409	4.247005	0.292771	0.289616	0.0973545	0.320258	3.449539
180	-14775.7	-14784.7	9.0288	0.144819	0.109291	0.126061	0.0855779	0.129497	0.0975218	0.118569	0.0902923	0.0988853	0.170662	0.0829603	0.0947636	0.0988426	0.117306	0.112599	0.142199	0.131771	0.121547	0.125259	0.0756353	0.0894999	0.0991187	0.214719	0.0469048	0.0302003	0.0338758	0.0677536	0.0219741	0.0182839	0.0413614	0.0283306	0.0306593	0.0555861	0.0280798	0.0315379	0.0846908	0.0414047	0.0150497	0.0599145	0.0218427	0.0300459	0.0412555	0.0250772	4.1246	0.290768	0.294476	0.0966884	0.318067	3.431223
190	-14775.6	-14786.7	11.046	0.127077	0.107632	0.0960215	0.0952834	0.111153	0.0702314	0.108577	0.075336	0.0962114	0.164843	0.0724471	0.105066	0.0913615	0.108655	0.109891	0.176033	0.128398	0.122855	0.101394	0.0756353	0.0877007	0.0778421	0.158047	0.0559943	0.0404078	0.0203172	0.0406105	0.0233951	0.0276207	0.0354579	0.0248464	0.0306979	0.0484254	0.0245538	0.0327423	0.0755535	0.0666232	0.0166046	0.0501941	0.0163512	0.0337758	0.0539477	0.0436972	4.1246	0.260227	0.307157	0.100852	0.331764	3.229508
