Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
100	-15805.7	-15819	13.2376	0.118887	0.101709	0.0882805	0.110556	0.0913413	0.0914547	0.102363	0.0972829	0.0967375	0.168476	0.0840601	0.0849996	0.10202	0.107441	0.107644	0.12701	0.103915	0.116991	0.107568	0.0854618	0.0892875	0.0823596	0.151147	0.0297708	0.0720976	0.0157792	0.056777	0.0456003	0.0258395	0.0340796	0.0396622	0.0253871	0.0445694	0.0270504	0.0517097	0.0263579	0.0337791	0.0313782	0.0652633	0.0135155	0.0286396	0.0312316	0.0496686	3.16515
110	-15803.2	-15816.3	13.101	0.119618	0.10405	0.094134	0.0953441	0.135504	0.081588	0.122381	0.0968874	0.0869549	0.16607	0.071368	0.0888214	0.0939844	0.086441	0.110067	0.12701	0.136887	0.115274	0.115569	0.073367	0.0797265	0.0592648	0.149809	0.0155711	0.100439	0.0391978	0.0605871	0.0311518	0.0271824	0.0293321	0.0566119	0.0330246	0.036631	0.0327921	0.0424169	0.0473387	0.0362948	0.0236188	0.0347658	0.0185862	0.0355181	0.0391542	0.0284742	3.178808
120	-15805.8	-15819	13.2248	0.119618	0.0882821	0.107879	0.103445	0.106169	0.086759	0.128129	0.0850821	0.0833053	0.144989	0.0750531	0.111575	0.0836337	0.0865918	0.114729	0.12701	0.113357	0.106705	0.103502	0.070058	0.110122	0.0961959	0.167691	0.0233186	0.0745301	0.0265684	0.0480032	0.035227	0.0190886	0.0352246	0.0697534	0.0318415	0.0417381	0.0308609	0.0407552	0.0305157	0.0531834	0.0183289	0.0522022	0.0116656	0.0315354	0.0434206	0.0287833	3.166426
130	-15806.5	-15818.7	12.2392	0.126294	0.123517	0.0878232	0.0998653	0.107141	0.0975296	0.128129	0.102486	0.0980581	0.152144	0.0973558	0.0913502	0.105367	0.0878737	0.135148	0.12701	0.110118	0.113841	0.12759	0.0798603	0.0909926	0.0840031	0.159387	0.0115082	0.0775724	0.0257902	0.0509529	0.0344003	0.0168739	0.0407078	0.0538057	0.0429532	0.0462559	0.0207847	0.0466767	0.0395529	0.0316795	0.0270061	0.0333223	0.0287446	0.0280963	0.0333198	0.0421037	3.264991
140	-15803	-15815.3	12.2532	0.128478	0.0891347	0.0865611	0.108556	0.11627	0.0785878	0.114393	0.0931016	0.0911039	0.162372	0.082946	0.0945195	0.112212	0.0932146	0.118035	0.109466	0.140596	0.104666	0.130462	0.0960112	0.0992508	0.103249	0.168407	0.0212275	0.0574538	0.0290819	0.0672323	0.0340057	0.0254332	0.0443517	0.0565495	0.0228342	0.0401813	0.0245558	0.0565158	0.0299945	0.0356637	0.0415168	0.0477113	0.00793357	0.0228755	0.0383669	0.038509	3.263591
150	-15817.8	-15829.9	12.1314	0.113327	0.113212	0.0863129	0.0889814	0.12131	0.0809097	0.155951	0.0843631	0.098419	0.188432	0.0819522	0.0758183	0.114548	0.10057	0.0967038	0.146806	0.13292	0.124961	0.108428	0.0953712	0.0992508	0.0637821	0.120161	0.0163771	0.0669802	0.0420928	0.042673	0.0360537	0.0291622	0.0509803	0.0628882	0.03069	0.0507014	0.0305726	0.0325318	0.019047	0.0383534	0.0346304	0.0621175	0.0174428	0.0202655	0.0592915	0.0404292	3.275771
160	-15801.9	-15814.6	12.6857	0.132129	0.104053	0.102578	0.101925	0.102492	0.0873612	0.11671	0.077811	0.0937718	0.171116	0.0829585	0.0730464	0.0919133	0.115137	0.117192	0.133746	0.12064	0.134332	0.112475	0.0826963	0.0807109	0.0705513	0.172977	0.0243416	0.0986095	0.0319606	0.0602413	0.0422054	0.0320916	0.0403191	0.0501282	0.0174028	0.0365248	0.0215825	0.0410453	0.0122643	0.0421247	0.02594	0.0552294	0.0158104	0.0318851	0.0333372	0.0289701	3.220337
170	-15814.6	-15826.8	12.1616	0.135299	0.0876783	0.113283	0.125934	0.124659	0.074442	0.13264	0.0933377	0.0904369	0.171116	0.0627522	0.0997434	0.110843	0.0921577	0.0904835	0.112116	0.143716	0.138818	0.138482	0.0791314	0.0804869	0.100887	0.172705	0.0246343	0.0776622	0.0396854	0.0612987	0.0422054	0.0161584	0.0339702	0.063704	0.0229289	0.0385534	0.0247321	0.0258925	0.0241068	0.0379345	0.0218882	0.0474384	0.00864402	0.028057	0.0373293	0.0247781	3.272751
180	-15803.7	-15816	12.2965	0.114001	0.0845808	0.0995162	0.107426	0.102262	0.0755328	0.133609	0.104889	0.114701	0.192554	0.0887198	0.0835265	0.10864	0.0844208	0.119898	0.120825	0.118317	0.125369	0.115337	0.0858505	0.0886415	0.0913166	0.185993	0.0224221	0.0651492	0.0441013	0.0594177	0.0426639	0.038718	0.0399182	0.0467815	0.0156002	0.026765	0.0191031	0.0571845	0.0274221	0.0355173	0.0326807	0.043757	0.00775974	0.0218732	0.0330709	0.0334238	3.259256
190	-15801.6	-15814.6	12.9517	0.113724	0.089901	0.0995358	0.103927	0.117729	0.0789656	0.122124	0.0824907	0.0853223	0.186802	0.0916747	0.0775412	0.0898206	0.0933783	0.111501	0.140709	0.133023	0.0914518	0.112797	0.0819137	0.111676	0.100056	0.143866	0.0215219	0.0727846	0.0248636	0.0421071	0.0388813	0.0123898	0.0252052	0.0414671	0.0315392	0.0358071	0.0274033	0.0572797	0.0411635	0.042215	0.034804	0.0403961	0.0342821	0.0175182	0.0491928	0.0429841	3.193734
