Iteration	Posterior	Likelihood	Prior	alpha	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TreeLengths
100	-13148.5	-13115.4	-33.0477	0.8649421	0.326317	0.125994	0.172264	0.155471	0.208152	0.0891519	0.196843	0.173897	0.134312	0.347713	0.127834	0.142619	0.215725	0.220696	0.204194	0.315795	0.27041	0.267806	0.233994	0.0966826	0.15484	0.0954664	0.576956	0.078334	0.0892902	0.0522322	0.0765963	0.0597373	0.0439488	0.116945	0.0370344	0.184446	0.0629445	0.206063	0.099363	0.0145729	0.0541099	0.0560528	0.0724214	0.130791	0.16889	0.0559204	0.0967059	0.0521712	0.357998	0.0565696	0.0207697	0.473854	0.0386376	0.109284	0.432023	0.973444	2.48525	0.309221	0.380759	0.0760536	0.233967	0.3566825	6.609533
110	-13150.5	-13114.7	-35.8008	0.8608532	0.327644	0.168306	0.210838	0.126043	0.285958	0.106457	0.222419	0.114223	0.145309	0.374747	0.135662	0.150337	0.215725	0.21206	0.177371	0.381231	0.326683	0.252433	0.209793	0.108543	0.154538	0.145134	0.486155	0.0386628	0.0474468	0.0197941	0.0638321	0.0294177	0.0488357	0.143114	0.0426763	0.239669	0.101837	0.248611	0.0523816	0.0037629	0.0450295	0.0364595	0.139022	0.217615	0.167107	0.0586083	0.103358	0.0525193	0.360387	0.056947	0.0113483	0.477015	0.0417838	0.108426	0.430527	0.972488	2.48856	0.309221	0.380759	0.0760536	0.233967	0.3515379	6.88485
120	-13144.2	-13112.2	-32.0128	0.946107	0.259848	0.13114	0.211589	0.140916	0.22972	0.168818	0.236899	0.142386	0.199776	0.316777	0.100082	0.118415	0.223264	0.20884	0.223619	0.277107	0.28729	0.213978	0.259056	0.103374	0.136436	0.125908	0.404313	0.0367803	0.0566247	0.0259934	0.0625273	0.0632951	0.0402979	0.139432	0.0714697	0.289588	0.0831422	0.156047	0.0641082	0.00508082	0.0620931	0.0508002	0.0864208	0.168764	0.144576	0.0774249	0.102023	0.0429072	0.392587	0.0664793	0.0158185	0.439592	0.0426158	0.126079	0.459931	0.990463	2.42353	0.310158	0.381913	0.0732526	0.234676	0.3515379	6.506041
130	-13156.3	-13121.6	-34.7178	1.016466	0.360506	0.191845	0.201601	0.153123	0.251876	0.188571	0.256558	0.189587	0.157772	0.28963	0.150252	0.1306	0.17167	0.212441	0.220026	0.291526	0.255861	0.211951	0.224666	0.130992	0.149473	0.127997	0.450125	0.0928085	0.050864	0.0693639	0.0397792	0.0672832	0.0368612	0.128872	0.0609534	0.183052	0.131359	0.203148	0.056494	0.00650387	0.0664741	0.0333215	0.116333	0.177198	0.152664	0.0460457	0.088519	0.0383965	0.408041	0.0594906	0.0237967	0.435647	0.0346277	0.140227	0.481646	1.00268	2.37545	0.313377	0.379838	0.0696737	0.237112	0.3576617	6.776546
140	-13152.9	-13118.4	-34.4803	0.6848443	0.245616	0.181304	0.215856	0.135163	0.209375	0.196522	0.322886	0.169394	0.150194	0.340844	0.129743	0.172748	0.218097	0.249853	0.203012	0.306564	0.276348	0.275095	0.241932	0.0774199	0.144175	0.0798967	0.404111	0.087927	0.0256482	0.0405388	0.0450962	0.0292429	0.0964458	0.135924	0.0444686	0.220802	0.0653774	0.191554	0.0373455	0.00864813	0.0374181	0.0562415	0.105845	0.293631	0.186236	0.0367562	0.0615026	0.0418128	0.378768	0.0390854	0.0255298	0.467375	0.0474298	0.0709544	0.356291	0.91912	2.65363	0.353468	0.359171	0.0652623	0.222099	0.3576617	6.752798
150	-13143.2	-13103.3	-39.8856	0.8441751	0.34057	0.176274	0.192189	0.127302	0.211981	0.208454	0.209445	0.184777	0.16514	0.366615	0.110326	0.159889	0.242257	0.285509	0.238881	0.340113	0.359353	0.214702	0.244618	0.13653	0.17865	0.0988626	0.531199	0.069283	0.0443048	0.0532032	0.0376328	0.0435048	0.0452282	0.20214	0.0153847	0.237269	0.0982232	0.236293	0.104608	0.024032	0.0726652	0.0399477	0.0983494	0.237316	0.20077	0.0615287	0.0480057	0.0319493	0.383827	0.0396075	0.0258708	0.473617	0.0451284	0.104918	0.424329	0.968482	2.50227	0.349328	0.366677	0.0644978	0.219497	0.3768381	7.293328
160	-13153.1	-13107.9	-45.2074	0.9033748	0.386012	0.184981	0.20276	0.0960926	0.227765	0.177387	0.254414	0.204021	0.147073	0.40419	0.0675137	0.17685	0.279991	0.317331	0.246693	0.42875	0.277378	0.255038	0.243396	0.112838	0.182604	0.137514	0.626618	0.0870115	0.0406922	0.0585778	0.0938242	0.033088	0.0788067	0.208089	0.00763518	0.356635	0.103827	0.203657	0.0605612	0.0494177	0.0788126	0.036134	0.142135	0.203647	0.166203	0.0649827	0.114563	0.0313698	0.379945	0.0541893	0.0251593	0.465027	0.0443098	0.117294	0.44565	0.981943	2.45511	0.343262	0.377674	0.0633779	0.215686	0.3768381	7.825509
170	-13145.1	-13103.4	-41.6635	0.8313529	0.363482	0.112077	0.184159	0.129256	0.227765	0.19939	0.27622	0.122148	0.156149	0.395279	0.104477	0.171058	0.264912	0.264326	0.182054	0.342226	0.330246	0.221215	0.264434	0.10797	0.184637	0.155901	0.648877	0.0814459	0.116838	0.0789918	0.0686623	0.0264828	0.0663016	0.122658	0.00822234	0.365886	0.0762661	0.192907	0.0628209	0.0237702	0.0392342	0.0238672	0.0897149	0.24782	0.200309	0.0536224	0.117035	0.0310931	0.376593	0.0537112	0.037248	0.460924	0.0404305	0.102211	0.419457	0.965278	2.51305	0.343262	0.377674	0.0633779	0.215686	0.3654514	7.471114
180	-13149.6	-13112.8	-36.7881	0.9701901	0.238353	0.136022	0.233456	0.140801	0.231059	0.160796	0.286907	0.139173	0.144805	0.290533	0.141695	0.169471	0.24811	0.243515	0.196124	0.279159	0.256964	0.209646	0.240153	0.0680612	0.167645	0.0934981	0.521937	0.0419159	0.0559138	0.0432795	0.0737904	0.0830221	0.0807452	0.171852	0.0223301	0.209922	0.104629	0.28702	0.0449423	0.0132394	0.0418318	0.0415785	0.105924	0.226213	0.259948	0.0741668	0.163425	0.032457	0.367308	0.0560672	0.0270656	0.481142	0.0359603	0.130968	0.467605	0.99488	2.40655	0.343262	0.377674	0.0633779	0.215686	0.3605278	6.983571
190	-13151.9	-13113.8	-38.0798	0.9076293	0.325574	0.128601	0.176168	0.102298	0.257002	0.203413	0.221939	0.113819	0.153462	0.48021	0.0877043	0.188646	0.278249	0.226621	0.228474	0.374306	0.341355	0.182573	0.212811	0.118439	0.163962	0.104307	0.586515	0.0758567	0.0429501	0.0368493	0.0586916	0.0464833	0.0204808	0.132021	0.0636999	0.2487	0.077938	0.178685	0.0780343	0.0237531	0.0274017	0.0178531	0.129962	0.166808	0.2034	0.125339	0.10139	0.0349629	0.331379	0.0547216	0.0258697	0.518291	0.034776	0.118175	0.447111	0.982833	2.45188	0.341156	0.375357	0.0691253	0.214362	0.3801324	7.112747
200	-13151.1	-13112.8	-38.2885	0.8069054	0.325574	0.0926228	0.204547	0.161029	0.177075	0.257988	0.225294	0.171442	0.18772	0.361426	0.0699363	0.160175	0.200475	0.265688	0.232365	0.372558	0.278198	0.19823	0.253577	0.0831579	0.116636	0.137373	0.516146	0.0736181	0.0243389	0.0190444	0.0874538	0.0432106	0.0430536	0.171571	0.0501912	0.221551	0.120025	0.159686	0.0944681	0.0358051	0.031198	0.0374562	0.118146	0.345142	0.168559	0.128919	0.110948	0.033698	0.319389	0.0527418	0.0249337	0.518461	0.0507767	0.0970273	0.409899	0.95885	2.53422	0.343312	0.377729	0.0695622	0.209397	0.3801324	7.133617
