Iteration	Posterior	Likelihood	Prior	alpha	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TreeLengths
1580	-13145.4	-13097.7	-47.708	0.7470951	0.337761	0.199859	0.244041	0.1593	0.265785	0.207969	0.266123	0.19129	0.177482	0.475199	0.139572	0.176641	0.198827	0.257482	0.224506	0.386855	0.355046	0.244797	0.272907	0.112398	0.178769	0.0997909	0.630687	0.0628009	0.0441572	0.0348016	0.075245	0.0184518	0.0516438	0.197978	0.0494744	0.272315	0.0937644	0.219555	0.0621311	0.076757	0.157197	0.0209399	0.138172	0.224232	0.257928	0.0787492	0.136184	0.0262041	0.308295	0.0643761	0.0130695	0.538166	0.0498888	0.084263	0.384929	0.941144	2.58966	0.368971	0.360094	0.0687839	0.202151	0.3676202	8.075564
1590	-13159.9	-13116	-43.8873	0.6818321	0.316743	0.13465	0.206144	0.170909	0.30642	0.161528	0.330441	0.143199	0.230167	0.544782	0.138105	0.122501	0.246091	0.327788	0.179667	0.355106	0.339421	0.255522	0.207314	0.122963	0.174982	0.104607	0.518361	0.063322	0.0801852	0.0111563	0.0814386	0.0011893	0.0643211	0.115261	0.00346507	0.309581	0.0530143	0.312167	0.0430682	0.0707667	0.076215	0.0460508	0.0971308	0.216621	0.220457	0.0787492	0.111927	0.0271775	0.298742	0.0637319	0.018971	0.558157	0.0332209	0.0703126	0.35483	0.917945	2.65691	0.358847	0.366338	0.0770526	0.197763	0.3625333	7.693495
1600	-13151.1	-13109.5	-41.6469	0.7817897	0.316743	0.133201	0.226143	0.147145	0.278609	0.151177	0.275892	0.161866	0.193755	0.372975	0.139775	0.148973	0.27926	0.234041	0.252676	0.315481	0.307191	0.280287	0.253872	0.106746	0.153778	0.0837757	0.602418	0.0778783	0.0322765	0.00352401	0.0880965	0.00679162	0.0881778	0.191802	0.0450865	0.196904	0.129343	0.158018	0.0324441	0.0279605	0.0463645	0.0257859	0.0889853	0.389807	0.181764	0.117115	0.125549	0.030793	0.303348	0.0612315	0.0236112	0.541584	0.0394327	0.0916783	0.399698	0.951778	2.55685	0.370876	0.356767	0.0755845	0.196773	0.3779381	7.469454
1610	-13158.6	-13115	-43.5841	0.7032944	0.355929	0.112801	0.242725	0.148184	0.276371	0.179542	0.2733	0.164968	0.136801	0.408117	0.161817	0.139371	0.212354	0.231625	0.243012	0.433033	0.324529	0.285474	0.223604	0.107236	0.227572	0.122109	0.603436	0.0729669	0.0213542	0.0238446	0.0403524	0.00357592	0.0950466	0.145451	0.060723	0.262019	0.0529709	0.21449	0.0834555	0.0350976	0.0199517	0.0206306	0.0855124	0.279413	0.251177	0.0812348	0.199998	0.0314966	0.362188	0.0576461	0.022838	0.510758	0.0150735	0.0748921	0.36508	0.926083	2.63394	0.354697	0.373418	0.0647123	0.207172	0.3832291	7.663177
1620	-13158.7	-13108.7	-49.9713	0.8129684	0.365294	0.129574	0.268457	0.187431	0.276832	0.175292	0.365171	0.191588	0.185123	0.361219	0.144111	0.159795	0.28227	0.204318	0.256098	0.389692	0.344431	0.221073	0.337345	0.163584	0.197849	0.105635	0.645176	0.0198492	0.0353261	0.0272774	0.0326566	0.0405819	0.0580201	0.220943	0.0634515	0.277791	0.0933284	0.181423	0.122429	0.0960246	0.105732	0.0775248	0.0859985	0.328261	0.212408	0.149029	0.116485	0.0266717	0.325547	0.065455	0.0267293	0.521357	0.0342396	0.0983152	0.412303	0.960484	2.5289	0.36184	0.360421	0.0736662	0.204073	0.341478	8.301896
1630	-13148.4	-13102.5	-45.878	0.7704039	0.294395	0.149318	0.216133	0.128975	0.303929	0.215594	0.312061	0.20964	0.158448	0.332803	0.1278	0.145891	0.252255	0.341121	0.23815	0.376843	0.400543	0.219933	0.312587	0.131991	0.187845	0.0944157	0.518194	0.0700659	0.0723757	0.0254772	0.0572287	0.0219439	0.033596	0.211219	0.0255549	0.281521	0.103832	0.346502	0.0849927	0.0709851	0.0597769	0.0617061	0.0729825	0.22676	0.162167	0.0691824	0.165835	0.0249988	0.341419	0.0552492	0.0202595	0.506844	0.0512297	0.0892473	0.39494	0.948404	2.56741	0.357095	0.366998	0.0681101	0.207797	0.3386458	7.892569
1640	-13147.3	-13107.7	-39.6246	0.671374	0.374371	0.135861	0.188642	0.111409	0.194194	0.221061	0.268049	0.167192	0.179143	0.332337	0.164744	0.151969	0.205063	0.2665	0.191563	0.421872	0.31438	0.21811	0.215961	0.0945156	0.156244	0.10403	0.551303	0.051591	0.0242924	0.0737249	0.0785793	0.0236038	0.0761152	0.129597	0.0512502	0.266042	0.0497044	0.253817	0.0755012	0.0389024	0.0257749	0.0517266	0.139816	0.229842	0.150433	0.0440327	0.204363	0.027325	0.341508	0.0552637	0.0218986	0.506977	0.0470276	0.0680873	0.349705	0.91378	2.66843	0.364121	0.363325	0.0668378	0.205717	0.3571991	7.267225
1650	-13136.2	-13102.3	-33.9624	0.7589635	0.285639	0.15888	0.197887	0.124567	0.195021	0.154685	0.224885	0.150707	0.149118	0.350797	0.140463	0.126272	0.232022	0.303395	0.154505	0.319768	0.24229	0.235142	0.224416	0.0945156	0.19537	0.122858	0.551303	0.0664207	0.0745988	0.01303	0.0742347	0.0157383	0.0713261	0.156622	0.0232204	0.202435	0.0491341	0.21996	0.0647075	0.0467968	0.0565606	0.0517266	0.103202	0.196298	0.16564	0.059005	0.0558401	0.0302099	0.377564	0.0570014	0.0342988	0.467817	0.0331087	0.0868019	0.390072	0.944902	2.57822	0.354819	0.373599	0.0678029	0.203779	0.3758411	6.701002
1660	-13153.6	-13111.2	-42.4153	0.7526355	0.296095	0.144722	0.235917	0.154921	0.228527	0.166291	0.287477	0.111587	0.157186	0.2778	0.146745	0.145389	0.196719	0.250718	0.259705	0.425319	0.253164	0.244132	0.236496	0.115338	0.175057	0.112317	0.625516	0.0591206	0.0077225	0.0121143	0.109796	0.0173124	0.0592672	0.26706	0.0867442	0.257668	0.0776378	0.310816	0.0705957	0.0313994	0.0289022	0.0313324	0.124106	0.281809	0.226065	0.107901	0.131789	0.0308163	0.326978	0.0519988	0.0282382	0.513642	0.0483263	0.0854484	0.387342	0.942914	2.5843	0.342565	0.368206	0.0738422	0.215387	0.3495245	7.546297
1670	-13152.8	-13112.7	-40.0882	0.7408816	0.347453	0.282613	0.189991	0.206086	0.301159	0.176454	0.282678	0.220419	0.130841	0.405841	0.163814	0.129895	0.227507	0.27319	0.27751	0.35079	0.274285	0.204112	0.219958	0.0797931	0.162839	0.115869	0.427176	0.0350008	0.0116979	0.0115304	0.0752196	0.0434958	0.0809112	0.192581	0.0459639	0.260017	0.106641	0.132535	0.0572513	0.0166742	0.0748273	0.0388488	0.0917172	0.234965	0.144918	0.0579907	0.150528	0.0335082	0.364489	0.051395	0.0190747	0.479471	0.0520624	0.0829333	0.382197	0.939124	2.59574	0.348313	0.371584	0.0669694	0.213134	0.3580162	7.313587
1680	-13148.6	-13104.2	-44.3657	0.8018564	0.347453	0.159714	0.216265	0.197635	0.194567	0.208961	0.327343	0.23213	0.203094	0.374195	0.134662	0.145183	0.241618	0.23217	0.24757	0.377837	0.333672	0.230765	0.293302	0.112009	0.191657	0.131619	0.542938	0.0408576	0.0469808	0.00342683	0.0642132	0.0330282	0.0689841	0.196201	0.0239772	0.339998	0.0858228	0.191506	0.148024	0.0454866	0.0483335	0.0584523	0.0958459	0.234965	0.145538	0.072299	0.121038	0.034496	0.365395	0.0434772	0.0229402	0.50329	0.0304013	0.0959537	0.40788	0.957468	2.5387	0.360993	0.363541	0.068546	0.206919	0.3791678	7.741336
1690	-13145.4	-13118.2	-27.1679	1.029111	0.295003	0.124876	0.198118	0.0801891	0.195521	0.141801	0.22343	0.159407	0.118373	0.292467	0.144726	0.133983	0.197758	0.26029	0.149394	0.285087	0.198478	0.142627	0.191665	0.0818418	0.136664	0.0989446	0.472932	0.0281794	0.050541	0.0508455	0.0620008	0.0580677	0.0290336	0.147843	0.0739003	0.242856	0.0614437	0.173387	0.0617189	0.00989638	0.0687802	0.0607114	0.0585918	0.193379	0.130909	0.0605622	0.0753334	0.0399254	0.323799	0.0640119	0.0204831	0.497809	0.0539715	0.142725	0.48533	1.00466	2.36728	0.34749	0.362971	0.0776402	0.211899	0.3717239	6.021555
1700	-13151.3	-13113.8	-37.4872	0.9045508	0.278334	0.197829	0.22067	0.116203	0.195521	0.14772	0.214051	0.185729	0.181422	0.374184	0.161336	0.168112	0.255527	0.212184	0.283543	0.359298	0.288166	0.233352	0.216825	0.104908	0.120242	0.13131	0.523092	0.0830852	0.00507619	0.0139043	0.0848305	0.0314936	0.0463423	0.19173	0.0677048	0.222002	0.0447444	0.231125	0.0395896	0.0313741	0.0433114	0.0358	0.0927432	0.26227	0.157887	0.0431142	0.155798	0.0406486	0.31374	0.0573088	0.0182749	0.529519	0.0405091	0.117538	0.446055	0.98219	2.45422	0.349942	0.356551	0.0802278	0.213279	0.3777437	7.053484
1710	-13150.2	-13113.7	-36.4648	0.8220066	0.336284	0.168988	0.243847	0.141908	0.200292	0.211945	0.211015	0.163773	0.191946	0.36289	0.162656	0.101575	0.25029	0.276535	0.232717	0.325042	0.229067	0.20344	0.216825	0.0925283	0.172423	0.114142	0.5446	0.0383717	0.0105933	0.00978462	0.0518081	0.0479213	0.0571636	0.127244	0.0356594	0.208593	0.0855266	0.192236	0.0692031	0.0338793	0.0959777	0.0232109	0.117486	0.256376	0.0875371	0.113755	0.134187	0.0291606	0.324262	0.060856	0.02159	0.497907	0.0662253	0.100232	0.415845	0.962871	2.52105	0.36551	0.350119	0.072451	0.21192	0.341464	6.951241
1720	-13142.4	-13107.8	-34.6452	0.8552852	0.266923	0.151151	0.182815	0.135522	0.19151	0.158221	0.22203	0.156262	0.214383	0.281903	0.138971	0.137469	0.258584	0.266817	0.170531	0.34367	0.368137	0.204655	0.236786	0.0872239	0.149227	0.100884	0.468528	0.0566801	0.0644756	0.0197963	0.066398	0.0649498	0.0702499	0.147434	0.0291672	0.237426	0.063847	0.192236	0.078489	0.02853	0.0867729	0.00134019	0.0815116	0.240982	0.171733	0.10002	0.0750454	0.0281902	0.327748	0.0725699	0.0150938	0.510339	0.0460589	0.107257	0.428475	0.97117	2.4931	0.34852	0.371616	0.0699173	0.209947	0.3614094	6.769286
1730	-13148.2	-13112.6	-35.5668	0.981794	0.350009	0.122175	0.162679	0.127907	0.252552	0.13478	0.252887	0.137373	0.205531	0.41065	0.105895	0.125768	0.258584	0.212684	0.187213	0.375115	0.247153	0.23314	0.234466	0.0872239	0.140374	0.137622	0.538934	0.0298247	0.0184607	0.0298715	0.066398	0.037911	0.0988902	0.158609	0.0181339	0.251796	0.0837558	0.120615	0.0855409	0.047147	0.0418804	0.0344264	0.10694	0.243221	0.161788	0.0829552	0.102561	0.0275491	0.319668	0.0736821	0.0300187	0.512987	0.0360953	0.133307	0.47121	0.996917	2.39857	0.348303	0.370095	0.0647901	0.216811	0.3722525	6.861443
1740	-13152.3	-13115.1	-37.1799	0.8136417	0.302081	0.11616	0.214197	0.167901	0.140781	0.144896	0.252822	0.163275	0.138136	0.380567	0.121796	0.110591	0.225673	0.284959	0.204333	0.325854	0.272218	0.257994	0.312412	0.0860051	0.12287	0.101525	0.528125	0.0800024	0.0247844	0.00971693	0.0437646	0.0240747	0.0760671	0.213921	0.0439045	0.277333	0.0592721	0.22348	0.073418	0.0490983	0.139097	0.0252838	0.0835521	0.213415	0.21579	0.0760682	0.0955372	0.0234643	0.390517	0.063173	0.0281683	0.438164	0.0565134	0.0984581	0.412569	0.960664	2.52831	0.345118	0.390927	0.0640936	0.199861	0.3628918	7.022752
1750	-13144.1	-13103.8	-40.3397	0.6965266	0.312869	0.119682	0.231267	0.10152	0.233683	0.141331	0.271162	0.162411	0.179355	0.371026	0.153754	0.1511	0.207566	0.304312	0.231745	0.31241	0.329666	0.246345	0.284132	0.116999	0.176768	0.124441	0.553084	0.0643274	0.0410246	0.0379615	0.0664186	0.0315201	0.0747415	0.20868	0.00522012	0.264275	0.074763	0.246147	0.0576189	0.0095529	0.0706795	0.0345444	0.149564	0.239647	0.180313	0.068061	0.0970489	0.0258119	0.439076	0.0432679	0.0415687	0.405993	0.0442825	0.0734465	0.361887	0.923574	2.64109	0.368934	0.372685	0.0596059	0.198775	0.372973	7.338737
1760	-13153.4	-13107.4	-46.0629	0.5541254	0.360602	0.159941	0.308523	0.18016	0.278404	0.248804	0.269981	0.162411	0.144112	0.356646	0.132665	0.139459	0.259336	0.281366	0.186328	0.356406	0.304112	0.21518	0.288452	0.122618	0.156001	0.0934852	0.676256	0.0576665	0.0271868	0.0281948	0.0735556	0.072492	0.0778281	0.2053	0.0684375	0.218937	0.106866	0.261401	0.0464361	0.029274	0.135289	0.0259634	0.138321	0.291343	0.216655	0.0785784	0.0700791	0.0245865	0.409862	0.0388456	0.0446723	0.443094	0.0389393	0.0438066	0.28579	0.85598	2.81442	0.357166	0.369909	0.062961	0.209964	0.3134405	7.911055
1770	-13152.2	-13107	-45.2341	0.6979473	0.332301	0.160615	0.20955	0.223774	0.228341	0.220382	0.33979	0.149531	0.157888	0.507376	0.117549	0.194721	0.259336	0.217478	0.251075	0.350546	0.307517	0.275677	0.213936	0.0766616	0.168605	0.0913347	0.685656	0.126834	0.0262265	0.0185829	0.0389559	0.0390212	0.0723845	0.142432	0.0200243	0.242494	0.123129	0.273235	0.0532299	0.00535368	0.111414	0.0546948	0.110459	0.230284	0.163819	0.093705	0.142256	0.024043	0.399749	0.0393535	0.0338047	0.447549	0.0555008	0.0737499	0.36256	0.924105	2.63958	0.366316	0.365275	0.0601583	0.20825	0.3436108	7.828175
1780	-13158.1	-13110.5	-47.5872	0.828576	0.395681	0.154051	0.261971	0.149115	0.193472	0.214994	0.316231	0.194946	0.171862	0.42985	0.146258	0.165575	0.275435	0.2796	0.260866	0.340947	0.265848	0.27917	0.308245	0.108623	0.201809	0.0486563	0.549974	0.0546223	0.0788442	0.0489261	0.0450435	0.0340011	0.0844775	0.208274	0.0453262	0.369565	0.167317	0.231252	0.0624108	0.00744265	0.0458339	0.049666	0.0727557	0.238709	0.200957	0.0962837	0.208596	0.0281249	0.40331	0.0452685	0.0375636	0.45559	0.0301434	0.101623	0.418389	0.964569	2.51542	0.348248	0.37014	0.0604492	0.221163	0.3846323	8.063483
1790	-13152.9	-13102.3	-50.5942	0.744824	0.333433	0.184017	0.222505	0.176087	0.265099	0.174116	0.337479	0.171656	0.17397	0.424689	0.147216	0.181457	0.272942	0.257994	0.32468	0.411778	0.396711	0.252814	0.311355	0.0817744	0.18667	0.123822	0.589286	0.143469	0.105909	0.0087526	0.0961464	0.0472182	0.0808064	0.127735	0.0775095	0.214176	0.135505	0.326921	0.0749102	0.00971434	0.0500365	0.0550809	0.141176	0.295676	0.205538	0.108103	0.0582537	0.0281022	0.399929	0.0517792	0.034849	0.455222	0.0301191	0.083777	0.383934	0.94041	2.59188	0.349089	0.378008	0.0580479	0.214855	0.3594737	8.364187
1800	-13148.1	-13108.6	-39.5526	0.8124846	0.28434	0.206524	0.195364	0.172212	0.215822	0.204182	0.334445	0.168908	0.156035	0.326832	0.0991437	0.144865	0.281095	0.239951	0.26776	0.382191	0.284001	0.203759	0.223174	0.106949	0.198188	0.080027	0.513288	0.0577712	0.0335437	0.0293156	0.0668256	0.0807521	0.10374	0.185253	0.0143759	0.245532	0.0666091	0.214135	0.0975961	0.00470174	0.0521446	0.0550809	0.0653838	0.229156	0.152054	0.0759361	0.141059	0.0222917	0.413305	0.0599351	0.0353198	0.421911	0.0472376	0.0982125	0.412112	0.960355	2.52932	0.335234	0.387856	0.0591547	0.217756	0.3616888	7.260021
1810	-13152.9	-13108.3	-44.6062	0.5976195	0.322269	0.15548	0.245322	0.137647	0.255364	0.169355	0.310567	0.179548	0.20056	0.396176	0.143632	0.130666	0.299252	0.249665	0.219444	0.391986	0.316282	0.286132	0.271915	0.123811	0.171163	0.112341	0.545835	0.139781	0.0338182	0.0334494	0.0415381	0.0343957	0.0490091	0.134503	0.0420824	0.251344	0.103361	0.301685	0.0228964	0.0364155	0.0840201	0.0235242	0.126025	0.220029	0.202548	0.0449772	0.205567	0.0225707	0.418478	0.0592976	0.0346152	0.420945	0.0440928	0.0526175	0.310946	0.8801	2.75634	0.3447	0.383322	0.0563727	0.215605	0.3378256	7.765382
1820	-13160	-13118.4	-41.5855	0.6570471	0.289997	0.222883	0.180035	0.161611	0.234142	0.138612	0.288411	0.146782	0.180398	0.423071	0.0706832	0.182992	0.18245	0.282954	0.147888	0.485642	0.296787	0.198713	0.219956	0.0904976	0.215827	0.0945152	0.609527	0.0715771	0.00728074	0.00970955	0.0317628	0.027368	0.093293	0.215636	0.0193065	0.251457	0.116753	0.223582	0.136967	0.0156644	0.069451	0.0259837	0.135651	0.220029	0.182078	0.0520456	0.213343	0.022356	0.43423	0.0533005	0.0314956	0.414689	0.0439284	0.065048	0.342539	0.907849	2.68456	0.372943	0.360401	0.0554243	0.211232	0.3200471	7.463313
1830	-13148.2	-13102.6	-45.6408	0.7389073	0.39137	0.160899	0.205953	0.150596	0.236154	0.137835	0.309444	0.170607	0.179448	0.355641	0.131901	0.13259	0.34094	0.300264	0.225322	0.380179	0.29327	0.22214	0.243162	0.096181	0.214134	0.13751	0.637457	0.0643408	0.0732464	0.0579776	0.0542148	0.032225	0.0880723	0.146976	0.0174764	0.338471	0.0724895	0.197685	0.136967	0.0375466	0.0754961	0.102349	0.11397	0.202418	0.216788	0.0352815	0.151852	0.0210385	0.32616	0.049772	0.0322993	0.507199	0.0635308	0.0825107	0.381324	0.938475	2.59769	0.377038	0.364843	0.0596881	0.198431	0.3646633	7.868842
1840	-13154.2	-13115.1	-39.1308	0.8458165	0.311794	0.207903	0.152375	0.157428	0.214937	0.13767	0.389167	0.173252	0.128069	0.379816	0.112268	0.152888	0.242763	0.206142	0.184257	0.306536	0.224401	0.23867	0.269993	0.0828016	0.22874	0.142393	0.505075	0.0670596	0.0293734	0.027399	0.023841	0.0470618	0.105588	0.12896	0.0544561	0.236141	0.0757339	0.235252	0.112801	0.0933099	0.0740019	0.0491214	0.13384	0.195725	0.162729	0.0626426	0.153469	0.0245183	0.369266	0.0493873	0.0303493	0.462425	0.0640542	0.105264	0.424946	0.968884	2.50091	0.34776	0.380326	0.0619635	0.20995	0.3789309	7.217846
1850	-13142.4	-13102.3	-40.0892	0.7754139	0.301472	0.157395	0.205388	0.140433	0.250981	0.201893	0.299659	0.149693	0.164308	0.419493	0.136814	0.161944	0.240915	0.251954	0.169484	0.393785	0.256345	0.276409	0.262723	0.109277	0.181525	0.131514	0.415956	0.0438446	0.0603363	0.0348337	0.0499671	0.0589194	0.0484828	0.111806	0.0403058	0.287946	0.0817315	0.202464	0.117628	0.0242434	0.108599	0.0226166	0.154748	0.201933	0.189164	0.0636362	0.131119	0.0249517	0.353161	0.0491591	0.0314886	0.460288	0.0809512	0.0903174	0.397044	0.949902	2.56274	0.365475	0.371187	0.0629609	0.200377	0.3582511	7.313683
1860	-13149.5	-13107	-42.4982	0.6470093	0.301472	0.182356	0.305339	0.147692	0.189547	0.207344	0.284593	0.179737	0.126538	0.386198	0.106466	0.157907	0.25577	0.322504	0.24171	0.39756	0.321962	0.249635	0.233721	0.126518	0.171845	0.127172	0.613015	0.0276851	0.00997231	0.00484137	0.031362	0.0518601	0.0484828	0.200821	0.0701735	0.209423	0.0819112	0.230328	0.0804801	0.0253121	0.0286151	0.0226664	0.168964	0.316149	0.133441	0.0629953	0.1125	0.0245608	0.351404	0.0477864	0.0300977	0.497526	0.0486257	0.0629263	0.337417	0.903529	2.69613	0.384515	0.359298	0.0628003	0.193386	0.3436465	7.554583
1870	-13157.8	-13126.4	-31.3736	0.9792156	0.265385	0.146661	0.156664	0.10832	0.17106	0.153512	0.296208	0.156917	0.106379	0.351576	0.108961	0.136921	0.197864	0.266779	0.175478	0.253312	0.216051	0.198959	0.22843	0.0982382	0.149571	0.108841	0.479439	0.0998525	0.00397042	0.0390674	0.0472248	0.0534282	0.0389512	0.115829	0.0619547	0.290926	0.0619142	0.293199	0.0804801	0.038987	0.0917619	0.0678884	0.0797284	0.133861	0.151908	0.0530363	0.106634	0.0415858	0.324082	0.0460982	0.0359594	0.495194	0.0570796	0.132788	0.470414	0.996469	2.40033	0.35236	0.358111	0.0739989	0.21553	0.3683471	6.442127
1880	-13146.7	-13114.2	-32.4884	0.7966412	0.23764	0.146661	0.179034	0.130404	0.229091	0.155098	0.259411	0.156821	0.182689	0.329391	0.110367	0.0970484	0.246359	0.240222	0.201625	0.273564	0.267735	0.181496	0.234225	0.0966238	0.130788	0.0640332	0.51497	0.0294197	0.0561485	0.0394774	0.0402049	0.0366595	0.0664406	0.11679	0.117669	0.326026	0.0894366	0.143432	0.0861504	0.0436343	0.0500667	0.0162302	0.11148	0.147924	0.177692	0.0993696	0.0940591	0.0399265	0.332501	0.0566769	0.0147555	0.501661	0.0544795	0.0948438	0.405778	0.95602	2.54336	0.356403	0.356186	0.0730397	0.214371	0.3723123	6.553604
1890	-13146.5	-13110.7	-35.8163	0.8658519	0.322561	0.167862	0.179877	0.169792	0.249517	0.120481	0.216819	0.117878	0.197019	0.397309	0.100632	0.153163	0.248709	0.159266	0.235842	0.296423	0.269256	0.21919	0.227927	0.0916751	0.177862	0.137568	0.508762	0.0796665	0.0493119	0.0394774	0.0567774	0.0370762	0.0685715	0.149357	0.0179775	0.168594	0.0608864	0.237735	0.0971937	0.0176377	0.111375	0.0599724	0.128086	0.280299	0.15195	0.026614	0.0824446	0.0368876	0.316369	0.052583	0.0223488	0.529741	0.0420698	0.109475	0.432355	0.973655	2.48452	0.35401	0.35122	0.0790138	0.215756	0.3649061	6.886395
1900	-13146.8	-13104.8	-41.9966	0.8169632	0.370489	0.191608	0.205662	0.117896	0.249322	0.149697	0.266377	0.126409	0.19587	0.372475	0.173883	0.13857	0.316267	0.23927	0.24584	0.333777	0.30482	0.21919	0.289787	0.133144	0.178484	0.11927	0.452364	0.0657921	0.0528578	0.0721823	0.107945	0.048784	0.0824484	0.193284	0.0786812	0.21918	0.0911472	0.193137	0.103303	0.0259372	0.0497469	0.0447364	0.115535	0.20386	0.12042	0.083048	0.161927	0.0329519	0.317622	0.046179	0.0242452	0.532274	0.0467278	0.0991629	0.413875	0.961547	2.52542	0.356358	0.367719	0.0723825	0.203541	0.3821454	7.504425
1910	-13139.4	-13104.8	-34.6052	0.8390134	0.298693	0.114131	0.224924	0.14975	0.216991	0.165865	0.30013	0.167725	0.126357	0.317466	0.131167	0.128004	0.24848	0.276189	0.204737	0.2895	0.302536	0.23452	0.247589	0.112673	0.168071	0.0603088	0.422461	0.0620088	0.0274305	0.0306953	0.024776	0.00799756	0.0684387	0.154927	0.0786812	0.152533	0.0789439	0.25945	0.0955584	0.0257924	0.0559116	0.0258069	0.116084	0.228008	0.173796	0.0718726	0.118303	0.034155	0.330485	0.0621927	0.0173568	0.515278	0.0405331	0.103829	0.422379	0.967205	2.50659	0.348951	0.370626	0.076012	0.204411	0.3586697	6.765282
1920	-13141.6	-13101.4	-40.1443	0.8363162	0.241573	0.162448	0.185703	0.161742	0.26504	0.154688	0.314796	0.170285	0.160743	0.308841	0.147037	0.128004	0.240126	0.255695	0.26416	0.387682	0.326342	0.26129	0.261834	0.0888506	0.148152	0.0842683	0.597186	0.0715558	0.0468526	0.0354798	0.0539911	0.0478032	0.0430976	0.1999	0.0813655	0.23499	0.108555	0.196199	0.0891236	0.0362758	0.0602121	0.0367267	0.106712	0.233104	0.171987	0.0526555	0.096127	0.0251908	0.304062	0.0572579	0.0206434	0.547398	0.0454486	0.10326	0.421354	0.966531	2.50886	0.363347	0.363767	0.0738345	0.199051	0.3954685	7.319196
1930	-13153.6	-13120.5	-33.0577	0.7553367	0.250951	0.150573	0.244408	0.0881909	0.234427	0.146562	0.19783	0.144133	0.138734	0.29763	0.16283	0.142053	0.245586	0.296395	0.167112	0.451849	0.251613	0.221381	0.218313	0.0987711	0.163931	0.0964293	0.492004	0.0367429	0.00405271	0.00807615	0.0749775	0.029719	0.0430976	0.165631	0.0601708	0.231418	0.110602	0.196199	0.0626868	0.0131516	0.0602121	0.0207137	0.0478905	0.203443	0.150297	0.0466961	0.143057	0.0358215	0.292545	0.0583478	0.0202324	0.535715	0.0573386	0.0860262	0.388511	0.943767	2.5817	0.347505	0.376386	0.0767116	0.199397	0.3535877	6.61054
1940	-13144.8	-13106.8	-38.0278	0.7975425	0.357551	0.151348	0.166352	0.103956	0.27146	0.17637	0.260142	0.152416	0.162323	0.374733	0.119122	0.129361	0.232893	0.235589	0.17186	0.350478	0.289136	0.280452	0.322639	0.0655521	0.121201	0.0891281	0.488591	0.0617939	0.0662957	0.0315528	0.0992578	0.047356	0.0723636	0.162761	0.0116486	0.211234	0.0914557	0.195566	0.0749501	0.0394386	0.0478409	0.0204029	0.10815	0.238274	0.187719	0.125397	0.141431	0.036954	0.300217	0.0595459	0.0242085	0.535607	0.0434678	0.0950357	0.406143	0.956272	2.54255	0.357505	0.356379	0.0817379	0.204378	0.3706183	7.107546
1950	-13152.6	-13117.9	-34.6586	0.7811947	0.279282	0.121878	0.253479	0.182224	0.290852	0.103284	0.220653	0.15237	0.15796	0.415357	0.0670544	0.161959	0.169768	0.193305	0.271066	0.323694	0.309349	0.241632	0.208184	0.113742	0.181175	0.122384	0.512368	0.072733	0.00682676	0.0157264	0.0851417	0.0164743	0.0553601	0.135656	0.0572343	0.218095	0.0477796	0.19442	0.0512294	0.0308446	0.0751144	0.0405035	0.106921	0.215146	0.164662	0.0347587	0.0929833	0.0399764	0.321903	0.0618755	0.0202217	0.513369	0.0426547	0.0915513	0.399451	0.951605	2.55739	0.342127	0.373171	0.0707198	0.213983	0.3965335	6.77063
1960	-13163.7	-13126.9	-36.79	0.7570355	0.367655	0.195894	0.194124	0.163529	0.194903	0.141756	0.283869	0.121827	0.192032	0.444875	0.105924	0.178881	0.223146	0.180558	0.323563	0.3853	0.273897	0.238266	0.166757	0.124659	0.17049	0.115777	0.42672	0.0878928	0.0315691	0.0171835	0.0519435	0.0056831	0.0999385	0.207234	0.046037	0.195824	0.0588784	0.236921	0.0744358	0.0320294	0.0501177	0.0209154	0.0796925	0.159219	0.150168	0.0554659	0.108209	0.0349699	0.325045	0.0588221	0.0257834	0.521346	0.0340331	0.0863896	0.389243	0.9443	2.58007	0.339718	0.37414	0.0761461	0.209996	0.352385	6.983762
