Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
0	-26161.5	-26156.1	-5.39888	0.334826	0.261125	0.0863646	0.308156	0.00969922	0.237515	0.0747273	0.185173	0.112109	0.0420855	0.0348568	0.112612	0.275881	0.334703	0.116593	0.149229	0.0352833	0.0244231	0.126128	0.0947562	0.00542167	0.0929131	0.047585	0.00825075	0.0672594	0.0153788	0.0207615	0.109089	0.121826	0.0345929	0.00829338	0.0724644	0.0748384	0.402543	0.0693464	0.338799	0.0874559	0.0795847	0.145703	0.169583	0.0360436	0.0331425	0.031473	1.931345	0.665829	0.325871	0.00159962	0.00669988	5.028594
10	-16153.5	-16163.9	10.4622	0.145666	0.135916	0.092461	0.0812952	0.0223795	0.170703	0.0943356	0.154364	0.0865774	0.162904	0.0824615	0.081249	0.206613	0.118847	0.141812	0.159111	0.0607687	0.0350777	0.11281	0.0879947	0.00923093	0.0704696	0.0542274	0.0518846	0.0144683	0.0223171	0.0154963	0.051782	0.0867016	0.023165	0.0330619	0.0434967	0.0596391	0.0904395	0.0302354	0.0909202	0.0417056	0.0386768	0.124924	0.068174	0.0500734	0.0344139	0.0194713	3.020589	0.276633	0.407884	0.0255309	0.289952	3.358323
20	-15015.8	-15025.3	9.54081	0.126403	0.110227	0.0978273	0.104391	0.0768481	0.0955477	0.142573	0.0769493	0.101981	0.160653	0.0785835	0.0784207	0.11605	0.134262	0.117949	0.135116	0.133397	0.0391324	0.13792	0.0863667	0.0682466	0.0798478	0.18654	0.115047	0.0118304	0.0417677	0.00850972	0.0576257	0.0410591	0.0443705	0.0429137	0.0275731	0.0175589	0.0320177	0.0776689	0.102876	0.0484621	0.0319059	0.0861336	0.0416794	0.0331202	0.026283	0.0244602	3.822854	0.240922	0.35523	0.0477811	0.356068	3.398095
30	-14790.6	-14800.4	9.81053	0.12117	0.107453	0.091161	0.0956324	0.122768	0.0858184	0.110921	0.0820534	0.0863972	0.207495	0.0840477	0.073327	0.112182	0.104508	0.104384	0.140847	0.137775	0.137747	0.140354	0.0721265	0.0833561	0.0932357	0.18926	0.0934103	0.0355933	0.0303325	0.0453198	0.031162	0.0299518	0.0489599	0.0416756	0.028432	0.050531	0.027776	0.0603772	0.0551455	0.0406949	0.0209474	0.0450063	0.0136067	0.0294355	0.0188711	0.0398769	3.822854	0.228894	0.337495	0.0953202	0.338291	3.371123
40	-14783.7	-14792.7	8.99024	0.144397	0.118409	0.101945	0.0910032	0.119714	0.0896908	0.139487	0.0771969	0.100343	0.168478	0.0768576	0.0871683	0.105116	0.116469	0.108862	0.140847	0.132084	0.104016	0.156644	0.0738726	0.118221	0.0791375	0.202948	0.0832496	0.0225852	0.0308009	0.0410924	0.0328621	0.0406409	0.0366955	0.0248465	0.0309163	0.0351942	0.0413478	0.0624801	0.084712	0.0243417	0.0215252	0.063652	0.0174968	0.0260982	0.0321957	0.047514	3.822854	0.248354	0.328978	0.0929147	0.329754	3.453152
50	-14791.4	-14800.6	9.21643	0.1336	0.0854902	0.0931113	0.0926601	0.0944218	0.0950374	0.138672	0.0989407	0.100343	0.18138	0.0615596	0.0852656	0.10357	0.115943	0.114048	0.140358	0.176941	0.126104	0.155501	0.0775079	0.0683455	0.0718869	0.166547	0.122554	0.0464916	0.0433413	0.0582589	0.0343388	0.032849	0.0408676	0.0205856	0.0462314	0.0351316	0.0289849	0.0433795	0.0481317	0.0456184	0.0138871	0.050151	0.0210676	0.0341642	0.0290099	0.0476104	3.998975	0.248354	0.328978	0.0929147	0.329754	3.419888
60	-14779.7	-14789.3	9.64709	0.150711	0.0991338	0.107961	0.092608	0.135415	0.0766328	0.138672	0.0761103	0.0896671	0.17209	0.0933481	0.10425	0.10357	0.104049	0.113433	0.161576	0.15589	0.119544	0.106739	0.0800954	0.0867346	0.0879469	0.174743	0.0848256	0.0494271	0.0467964	0.0580815	0.0128947	0.0415503	0.033908	0.027768	0.0286689	0.0360928	0.0384276	0.0547755	0.044088	0.0172705	0.0195925	0.0334693	0.0410826	0.0160653	0.0304506	0.034358	3.937367	0.247411	0.286547	0.101345	0.364697	3.380515
70	-14766.3	-14776	9.67993	0.150711	0.105776	0.10827	0.0967564	0.110432	0.0728934	0.124183	0.0834255	0.0995017	0.180775	0.0739392	0.102458	0.105885	0.104873	0.0924096	0.130563	0.151485	0.116531	0.148946	0.0800954	0.0873687	0.0899566	0.196523	0.0801865	0.0261697	0.0408374	0.0508722	0.0407711	0.0400002	0.0477779	0.0225684	0.0341034	0.0310797	0.0282218	0.0622515	0.0522695	0.0217975	0.0112299	0.0646099	0.0224899	0.0266217	0.029924	0.0280776	3.964232	0.267128	0.309382	0.105589	0.317902	3.375617
80	-14777.8	-14788	10.2528	0.145043	0.0892644	0.100863	0.0784533	0.113819	0.0788785	0.117069	0.110447	0.0805892	0.196839	0.0577246	0.0871334	0.081831	0.115049	0.126345	0.137133	0.127997	0.116531	0.152285	0.0684612	0.0758147	0.0725159	0.228233	0.0891683	0.0240822	0.0348501	0.0529038	0.027731	0.0563778	0.0472338	0.0289539	0.0385614	0.0310797	0.0277471	0.0425561	0.0721809	0.0218164	0.0147124	0.0496664	0.0220532	0.0405783	0.0158972	0.0361475	3.730023	0.260646	0.301875	0.103026	0.334453	3.332617
90	-14776.3	-14787	10.6719	0.139806	0.0930264	0.0988251	0.072397	0.115222	0.0861848	0.113972	0.0794968	0.0926055	0.172291	0.0805764	0.0917665	0.114553	0.103711	0.113742	0.147719	0.131852	0.121181	0.120907	0.0837955	0.0762297	0.0722312	0.198169	0.0827169	0.0531691	0.0150827	0.0478459	0.018564	0.0515419	0.0412496	0.0468544	0.0457855	0.0246431	0.0235946	0.0521321	0.0604985	0.031006	0.0138386	0.0490784	0.0134707	0.0304907	0.033187	0.0357011	3.730023	0.260646	0.301875	0.103026	0.334453	3.290711
