Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
100	-15377.6	-15393.1	15.5305	0.108886	0.116472	0.0795243	0.113385	0.108726	0.0825026	0.115908	0.0976933	0.100554	0.143821	0.078745	0.0950413	0.083674	0.0980217	0.101039	0.114414	0.123925	0.112131	0.104336	0.0811148	0.103718	0.0861275	0.182289	0.0335178	0.0385185	0.0363324	0.0225053	0.0262554	0.0544393	0.0360005	0.0479757	0.0406156	0.0677084	0.025951	0.0329724	0.0363554	0.0274456	0.00830228	0.0121261	0.0287769	0.0416532	0.0303432	0.0351934	0.214189	0.286434	0.105298	0.39408	3.115036
110	-15365.4	-15381.2	15.8179	0.149752	0.10347	0.100056	0.0980416	0.0876109	0.0786477	0.121412	0.0921758	0.0971336	0.149462	0.0725193	0.0723977	0.0878591	0.0879181	0.101039	0.144642	0.113085	0.104415	0.113663	0.0728142	0.0875831	0.0731015	0.174654	0.0460856	0.0348887	0.0269234	0.0200383	0.0357646	0.0572983	0.0432093	0.0236453	0.0433332	0.0835619	0.0163077	0.0257762	0.0476964	0.0289928	0.0149584	0.0221365	0.0308844	0.0325793	0.0432122	0.0255515	0.214189	0.286434	0.105298	0.39408	3.086297
120	-15377.2	-15393.7	16.4276	0.130286	0.0765202	0.0783103	0.116747	0.123186	0.0804739	0.0993651	0.074626	0.112683	0.164694	0.07336	0.0846049	0.091849	0.103598	0.0892944	0.110334	0.132672	0.104415	0.111877	0.0882435	0.094652	0.0707959	0.169099	0.0421323	0.0342535	0.0191215	0.0167542	0.0339473	0.0516102	0.0409538	0.0150456	0.0328797	0.0626778	0.0289877	0.0329378	0.0352043	0.0230493	0.0146012	0.0292098	0.0340335	0.0315377	0.0425112	0.0221857	0.216006	0.293631	0.0987958	0.391567	3.025321
130	-15369.6	-15385.2	15.5335	0.127005	0.0955297	0.0909435	0.115716	0.117467	0.0924592	0.122136	0.0693406	0.109245	0.17047	0.0684288	0.0784388	0.0948416	0.0771182	0.097079	0.126959	0.153471	0.100181	0.116221	0.0874244	0.0816081	0.0870554	0.146249	0.0339083	0.0321754	0.0260268	0.0267184	0.0246711	0.0455007	0.0554861	0.0157798	0.0465434	0.0734442	0.0207528	0.0237249	0.0385169	0.0332247	0.010759	0.0249031	0.0435154	0.0419773	0.0396191	0.0320964	0.216006	0.293631	0.0987958	0.391567	3.11473
140	-15369	-15383.6	14.6268	0.121185	0.103044	0.112201	0.0955219	0.104717	0.090047	0.129285	0.0718474	0.0904147	0.178969	0.102332	0.0753577	0.0946138	0.10232	0.115297	0.132506	0.133125	0.108886	0.125947	0.0666532	0.0784873	0.0981078	0.165739	0.0462346	0.0297818	0.0292615	0.0219897	0.0379504	0.0474359	0.0365729	0.0314785	0.0578853	0.0938915	0.0226417	0.0286109	0.0424964	0.0247274	0.0171109	0.0132586	0.0287592	0.0378525	0.032923	0.0279382	0.214357	0.291388	0.0980413	0.396214	3.205405
150	-15375.3	-15390.3	15.0273	0.124699	0.0951807	0.088629	0.131928	0.114481	0.0873979	0.131587	0.0770439	0.0828335	0.168072	0.0887593	0.0826253	0.108472	0.0929713	0.108872	0.138969	0.153475	0.108886	0.102484	0.0843001	0.0864679	0.104452	0.144583	0.0455005	0.0398176	0.0215409	0.0260884	0.0150546	0.0446907	0.057988	0.036746	0.029357	0.0749608	0.0143466	0.0302801	0.0479727	0.0225087	0.0134659	0.0201875	0.0249304	0.0234524	0.0429635	0.0263355	0.215713	0.286903	0.0986619	0.398721	3.165357
160	-15380.7	-15394.8	14.1192	0.141291	0.0685516	0.10174	0.103093	0.114481	0.101372	0.131587	0.0694148	0.0973817	0.168072	0.0784215	0.0785151	0.0879559	0.0929992	0.10559	0.148768	0.133539	0.120725	0.110854	0.0715682	0.093946	0.0839106	0.173583	0.0488809	0.0543823	0.0244756	0.03046	0.0207995	0.06865	0.0585431	0.0173088	0.0504659	0.088218	0.0200388	0.0454562	0.0420857	0.0186499	0.00664836	0.0223555	0.0372396	0.0406869	0.0520188	0.031439	0.226736	0.282871	0.0972752	0.393117	3.256163
170	-15382.3	-15397.4	15.0622	0.117425	0.0819859	0.103223	0.103445	0.10749	0.0690275	0.134142	0.0758075	0.0876492	0.142595	0.0732703	0.0709066	0.105395	0.0871098	0.105598	0.155543	0.121222	0.0883497	0.132235	0.0800156	0.0894252	0.0868507	0.173033	0.0272519	0.0397232	0.0365061	0.0225085	0.0265692	0.0563187	0.0574279	0.0413262	0.0310423	0.0837596	0.0277241	0.0402823	0.032132	0.0306813	0.0112459	0.0256282	0.0391302	0.0481764	0.0523992	0.0402896	0.210954	0.296053	0.101808	0.391184	3.161866
180	-15371.1	-15386.4	15.2821	0.125746	0.0793574	0.0800145	0.103445	0.108197	0.0762766	0.14457	0.0739503	0.0809788	0.17641	0.0922299	0.0849394	0.0864185	0.105966	0.0955326	0.129678	0.124952	0.119402	0.111593	0.076662	0.0859422	0.0819315	0.168701	0.0295252	0.0323614	0.0417221	0.0283321	0.0310403	0.0595364	0.0393084	0.0360775	0.0376857	0.0779781	0.0386639	0.0256867	0.0469552	0.0274669	0.0157112	0.0275008	0.0253648	0.0311424	0.0383266	0.0365974	0.215573	0.302535	0.104038	0.377854	3.139877
190	-15370.6	-15386.1	15.4943	0.125746	0.113129	0.0881712	0.0969818	0.0963356	0.0799001	0.116604	0.0755637	0.0903613	0.177367	0.0901533	0.0927248	0.106347	0.081456	0.0977635	0.126121	0.134754	0.121185	0.1344	0.0638167	0.080481	0.0847271	0.178614	0.0405165	0.0496067	0.034731	0.0219176	0.0235226	0.0479216	0.0412088	0.0133573	0.0369224	0.0840544	0.028579	0.0309328	0.031357	0.0142316	0.014	0.0184313	0.0277338	0.0449443	0.0336279	0.0283513	0.215573	0.302535	0.104038	0.377854	3.118652
