Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
100	-15377.3	-15392.5	15.1966	0.119297	0.119136	0.111079	0.0938738	0.115312	0.0806627	0.127051	0.0758137	0.088684	0.166986	0.0770872	0.0830997	0.0975638	0.09076	0.128742	0.109143	0.122694	0.108812	0.125442	0.0816027	0.105887	0.0834205	0.184155	0.0297972	0.0247265	0.0795061	0.0387694	0.0258659	0.0224672	0.0291456	0.0423225	0.0301517	0.0296144	0.0615232	0.0184565	0.0246086	0.0290949	0.0252375	0.0308338	0.0354479	0.027234	0.0329654	0.0143482	0.223113	0.303794	0.110473	0.362619	3.148419
110	-15380.1	-15394.7	14.6071	0.130762	0.107363	0.10124	0.112689	0.106841	0.098825	0.137296	0.0717079	0.0796757	0.168271	0.0888588	0.0784572	0.102285	0.0966738	0.096848	0.152193	0.133253	0.123047	0.105224	0.0707246	0.0879977	0.0769492	0.181524	0.02456	0.0237897	0.085802	0.0309805	0.0183985	0.032597	0.0353437	0.0511436	0.0177961	0.0507878	0.0366951	0.0242708	0.0250925	0.0337259	0.0228874	0.0370814	0.029191	0.0337332	0.0353631	0.0494219	0.223113	0.303794	0.110473	0.362619	3.20737
120	-15390	-15403.5	13.515	0.126325	0.0901928	0.0844158	0.102936	0.127679	0.0643096	0.127602	0.0636741	0.116648	0.175628	0.109598	0.0914404	0.102285	0.106762	0.123127	0.154602	0.126155	0.123047	0.112594	0.104483	0.0962392	0.0841562	0.188173	0.0213413	0.0272902	0.0742789	0.0632146	0.0121818	0.0166551	0.0355456	0.0433933	0.0231834	0.0435933	0.0660483	0.0280125	0.0154047	0.0517182	0.0245165	0.038029	0.0359991	0.0287897	0.036834	0.0284764	0.223363	0.303016	0.110597	0.363025	3.316579
130	-15381.6	-15395.6	13.9835	0.126325	0.108455	0.116863	0.108053	0.121534	0.0815443	0.130387	0.0918025	0.0925687	0.152082	0.0815012	0.0981442	0.107389	0.087261	0.113596	0.120448	0.123933	0.123912	0.12181	0.109599	0.0741205	0.0854355	0.158803	0.020609	0.0443909	0.0723374	0.0569116	0.0163216	0.0216093	0.0304237	0.0496079	0.0126708	0.0598499	0.0611241	0.0286108	0.015397	0.0358706	0.0259985	0.0446461	0.0288507	0.0416404	0.0428657	0.0244288	0.224016	0.302761	0.110504	0.362719	3.269732
140	-15379.4	-15394.8	15.3803	0.125339	0.087003	0.112245	0.0881706	0.0867698	0.0918463	0.12244	0.0893021	0.103194	0.174659	0.084308	0.098485	0.0950949	0.0948108	0.108939	0.121308	0.120755	0.0888446	0.107295	0.0830813	0.0976322	0.0951491	0.162867	0.0178408	0.024003	0.0860794	0.0518509	0.0216062	0.0383381	0.020968	0.0455078	0.0250245	0.0406999	0.0526762	0.0380985	0.0179279	0.0311254	0.0284567	0.0358422	0.0340826	0.0297822	0.0292475	0.0213632	0.224016	0.302761	0.110504	0.362719	3.130059
150	-15381.5	-15397.2	15.7033	0.104718	0.116505	0.0916952	0.100019	0.0974337	0.0882684	0.141739	0.075283	0.0927958	0.165042	0.0892281	0.0692188	0.0997086	0.107682	0.0989513	0.119899	0.125601	0.0953858	0.107295	0.063689	0.0977803	0.0992901	0.156625	0.0195214	0.0258548	0.0792769	0.0382041	0.0111823	0.0113771	0.0190127	0.047305	0.0141728	0.0617091	0.0561846	0.0233495	0.0222193	0.0534387	0.0328899	0.038359	0.0387844	0.0364797	0.0340711	0.0305086	0.231936	0.299671	0.109376	0.359017	3.097753
160	-15383.9	-15399.6	15.7019	0.114511	0.100706	0.100436	0.10799	0.0986015	0.0767301	0.130216	0.0821081	0.108584	0.166183	0.0707526	0.0790588	0.0928869	0.0966952	0.0949706	0.110041	0.125601	0.112515	0.123762	0.0647488	0.0823199	0.0880161	0.157567	0.0273091	0.0234018	0.071457	0.0482137	0.0118116	0.0249947	0.0321807	0.0352287	0.0218522	0.0550676	0.0628002	0.0191319	0.0186281	0.0611167	0.0556614	0.0361984	0.0278867	0.0188144	0.0269467	0.034195	0.211808	0.273665	0.099884	0.414642	3.097896
170	-15386.8	-15402.4	15.6558	0.114511	0.114353	0.107886	0.10823	0.110279	0.0556581	0.127493	0.0779537	0.0934041	0.174167	0.0749709	0.07277	0.0924441	0.0920896	0.0942703	0.110041	0.157495	0.100548	0.113815	0.0856985	0.081755	0.0729523	0.170404	0.0345516	0.0157806	0.08032	0.0516921	0.0312311	0.0210438	0.0227908	0.0389249	0.0218989	0.0277828	0.0406024	0.0311652	0.0132845	0.0540216	0.0332302	0.0403141	0.0286762	0.0474843	0.0285342	0.0359863	0.209015	0.283245	0.0985666	0.409173	3.102505
180	-15376	-15390.2	14.1414	0.133295	0.106704	0.101224	0.10823	0.108499	0.0922213	0.144559	0.0802116	0.111761	0.174167	0.0861126	0.113472	0.0891803	0.0975332	0.109079	0.141468	0.150557	0.114143	0.113815	0.0750326	0.0794124	0.0722947	0.177243	0.0260734	0.0263268	0.0749579	0.039214	0.0211883	0.0234754	0.0205657	0.0541878	0.0267274	0.0424445	0.0500315	0.0195835	0.0271966	0.0326611	0.0320771	0.0309988	0.0315092	0.0316859	0.027191	0.035633	0.225226	0.305214	0.106212	0.363348	3.253943
190	-15375.1	-15390.6	15.5766	0.119853	0.0934636	0.0955182	0.0981047	0.11145	0.0740122	0.115259	0.0802116	0.0900335	0.163471	0.0686378	0.0739004	0.0885542	0.0842368	0.109079	0.105817	0.134944	0.10035	0.118178	0.0712458	0.0913895	0.0965285	0.166329	0.0208799	0.0390486	0.0773126	0.0358937	0.0142568	0.0141461	0.0418004	0.0654191	0.0387127	0.0502882	0.0612569	0.0236275	0.0149272	0.046091	0.0330161	0.0311616	0.0327124	0.0458923	0.0486383	0.024773	0.225226	0.305214	0.106212	0.363348	3.110422
200	-15386.5	-15400.2	13.7503	0.124638	0.122415	0.0992722	0.0916538	0.124797	0.0824668	0.145785	0.0703439	0.0721599	0.180084	0.0979027	0.103512	0.0962391	0.0918446	0.0987341	0.129582	0.134507	0.120444	0.118178	0.0872982	0.0881076	0.0868831	0.17743	0.0176286	0.014495	0.0709278	0.0450749	0.00668925	0.0238134	0.0322804	0.0742865	0.0289071	0.0469232	0.0574451	0.0267276	0.015778	0.0341485	0.0602261	0.0357233	0.0539122	0.038249	0.0339406	0.031596	0.225226	0.305214	0.106212	0.363348	3.293052
210	-15375.2	-15389.8	14.6184	0.136542	0.0927373	0.120275	0.107135	0.109142	0.0749511	0.134157	0.0760543	0.0928613	0.152855	0.0673714	0.0703361	0.104704	0.101308	0.0939891	0.140506	0.146633	0.11401	0.107554	0.0687408	0.0871824	0.0854892	0.201559	0.0238543	0.0276011	0.0884214	0.0480169	0.0255383	0.0276283	0.032291	0.0464537	0.0266576	0.0464817	0.0372333	0.0207719	0.022679	0.0438943	0.0347175	0.0456406	0.028535	0.041718	0.0241463	0.0278655	0.227243	0.307947	0.107162	0.357648	3.206239
220	-15380.3	-15395	14.7436	0.119041	0.119391	0.0779648	0.109108	0.0920844	0.0740208	0.135867	0.0908149	0.0997754	0.163855	0.0756718	0.0660767	0.113185	0.112316	0.111469	0.139502	0.120474	0.119447	0.108493	0.0786032	0.102902	0.0750306	0.149283	0.0239969	0.0222177	0.0949162	0.0480169	0.0204719	0.0169472	0.0289466	0.0570929	0.031675	0.0549258	0.0470624	0.0195441	0.0159326	0.0558375	0.0340397	0.0282877	0.0305431	0.0405199	0.0310263	0.0373499	0.227243	0.307947	0.107162	0.357648	3.193726
230	-15378.3	-15392.9	14.6121	0.119041	0.0941099	0.104841	0.103345	0.113158	0.0989475	0.107139	0.0786352	0.0958981	0.162353	0.0889092	0.106127	0.093595	0.109088	0.103038	0.123643	0.121463	0.138613	0.112767	0.0837188	0.0886928	0.0839425	0.165754	0.0218821	0.0311254	0.079684	0.0379501	0.0290519	0.0210557	0.0253431	0.0602252	0.021051	0.0485137	0.0499343	0.0303097	0.0128693	0.0377928	0.0349371	0.0269951	0.0406968	0.0457423	0.0231648	0.0317328	0.206145	0.316354	0.110088	0.367413	3.206877
240	-15377.9	-15392.3	14.3963	0.147316	0.0936765	0.103001	0.102469	0.0976305	0.0809394	0.124272	0.078455	0.0926364	0.184894	0.0854054	0.0735124	0.0923639	0.0980765	0.113422	0.124888	0.131731	0.124807	0.112284	0.0704033	0.111982	0.072038	0.152658	0.0253421	0.016404	0.0717946	0.0695629	0.0214169	0.0172859	0.0333915	0.0580632	0.0340561	0.0475767	0.0525991	0.0232415	0.0120641	0.0487628	0.0193283	0.0388449	0.0678188	0.0459537	0.0274967	0.0285841	0.217682	0.311757	0.108488	0.362073	3.22845
250	-15386.2	-15402.1	15.8249	0.106081	0.0971975	0.101262	0.110424	0.115527	0.0757599	0.119311	0.0712538	0.0963771	0.157672	0.067214	0.0913347	0.0877605	0.0799474	0.0968948	0.141038	0.130846	0.124807	0.113881	0.0704033	0.0948287	0.071452	0.172273	0.030146	0.037248	0.0534624	0.0467842	0.00707374	0.015904	0.0404755	0.049506	0.041595	0.0531802	0.0460391	0.0249016	0.0132427	0.0315221	0.0153206	0.0145053	0.0498792	0.0417621	0.0473127	0.0321842	0.217682	0.311757	0.108488	0.362073	3.085589
260	-15378.3	-15394	15.6853	0.100942	0.112694	0.0968075	0.0919324	0.116883	0.0880971	0.119311	0.0942527	0.0963771	0.167939	0.0947695	0.072245	0.081726	0.0886971	0.106622	0.108445	0.119989	0.115079	0.146361	0.0563708	0.100059	0.0791806	0.137815	0.0222198	0.0307963	0.0750229	0.0572049	0.00783037	0.0203319	0.0255887	0.0499892	0.0336219	0.0399929	0.0444035	0.0278067	0.0231218	0.0419325	0.0187512	0.0356169	0.0436165	0.0368353	0.0347333	0.037537	0.224568	0.289985	0.11192	0.373527	3.099549
270	-15376.7	-15391.2	14.4913	0.100379	0.102385	0.11045	0.108089	0.0942554	0.0932236	0.129365	0.0812424	0.100139	0.168389	0.0849213	0.0826501	0.10891	0.0851615	0.114757	0.150846	0.120378	0.115079	0.1322	0.0635822	0.0889774	0.0869053	0.189727	0.0297131	0.0139723	0.0888362	0.0425516	0.0276092	0.0265664	0.0369774	0.0485759	0.0278456	0.0357595	0.0325499	0.0213073	0.0109869	0.0395514	0.0414368	0.0385306	0.0583225	0.0347044	0.0181344	0.0330114	0.232098	0.290102	0.104124	0.373676	3.218954
280	-15376.4	-15391.5	15.1615	0.116101	0.111844	0.104843	0.100785	0.107578	0.0722874	0.116768	0.0846234	0.0991384	0.157324	0.0702472	0.0739932	0.0822861	0.0873982	0.0970879	0.11591	0.128355	0.0976473	0.14405	0.089739	0.0771304	0.0919503	0.166322	0.024138	0.0148158	0.0857208	0.0526776	0.0462925	0.011036	0.0412141	0.058555	0.0427409	0.0414595	0.0542375	0.0154687	0.0252427	0.0465534	0.0356225	0.032202	0.0403479	0.0324784	0.0387662	0.0189515	0.227285	0.284085	0.101964	0.386665	3.151929
290	-15376.6	-15392.3	15.7172	0.117628	0.1137	0.107637	0.0764715	0.101579	0.071822	0.109583	0.0853049	0.103198	0.170901	0.0845698	0.060899	0.105562	0.102492	0.112995	0.128568	0.128319	0.0988813	0.112646	0.0825486	0.0720186	0.100124	0.183747	0.019737	0.0135727	0.0632864	0.0494713	0.0281964	0.0177161	0.031646	0.0567602	0.0243486	0.0642712	0.0441714	0.013	0.017767	0.040251	0.0185646	0.0407968	0.0310283	0.038971	0.0239206	0.0276928	0.209571	0.290598	0.104302	0.395529	3.096366
300	-15371.6	-15386.5	14.8561	0.134808	0.104075	0.0899833	0.0988656	0.122691	0.0690171	0.122903	0.0823119	0.107138	0.178742	0.07085	0.0832763	0.0981033	0.0987283	0.127267	0.132513	0.141365	0.10791	0.120843	0.0634843	0.0881884	0.085007	0.1612	0.0110557	0.0231078	0.0717037	0.0572715	0.0205162	0.0158646	0.0302464	0.0586381	0.0285573	0.0406532	0.0330771	0.0222	0.0153574	0.0452264	0.0233124	0.0502414	0.0476054	0.0354512	0.0323659	0.0307503	0.209571	0.290598	0.104302	0.395529	3.182472
310	-15375.3	-15390.9	15.5881	0.122889	0.110783	0.102174	0.0989328	0.113285	0.0839038	0.115329	0.0849941	0.0945891	0.156533	0.0634531	0.0759845	0.0986983	0.0762396	0.108896	0.126383	0.126181	0.127802	0.107988	0.0746045	0.0742604	0.100384	0.169902	0.0202142	0.040226	0.0926982	0.0476886	0.0205198	0.0175392	0.0223341	0.0571119	0.0393561	0.0429739	0.0419197	0.0131757	0.0215595	0.0339483	0.0194033	0.0339277	0.034331	0.0481647	0.0228332	0.02516	0.210158	0.293641	0.103544	0.392657	3.109274
320	-15369.3	-15384.1	14.8729	0.12192	0.0965298	0.105369	0.0919555	0.113285	0.0837786	0.122253	0.0572017	0.100928	0.166444	0.0831175	0.0895613	0.09041	0.0885836	0.113626	0.125485	0.133387	0.112741	0.127681	0.077211	0.0915157	0.0742212	0.163519	0.0316026	0.0334504	0.0989095	0.0588452	0.0415813	0.0195312	0.0368393	0.0587189	0.0230943	0.0361939	0.037084	0.0105655	0.0171423	0.0395962	0.0254676	0.0385236	0.0396345	0.0428023	0.0254783	0.0350071	0.210158	0.293641	0.103544	0.392657	3.180791
330	-15381.6	-15396.4	14.7828	0.126243	0.103147	0.124047	0.130615	0.100443	0.0977568	0.147545	0.071896	0.119448	0.154311	0.0775411	0.0822988	0.0989838	0.0931314	0.107429	0.137683	0.11282	0.110195	0.122263	0.0895102	0.0887266	0.075546	0.163519	0.0138655	0.0307918	0.0514532	0.0456023	0.0385868	0.0113488	0.0347213	0.062	0.0203755	0.0481054	0.0347397	0.0264686	0.0196057	0.0363567	0.0228142	0.0273533	0.0368262	0.0329935	0.0401471	0.020551	0.207294	0.303267	0.102133	0.387305	3.189804
340	-15365.5	-15380.9	15.4235	0.126243	0.0884254	0.101846	0.0907631	0.100443	0.0933128	0.111746	0.0816789	0.0931198	0.170367	0.0705075	0.0750018	0.114209	0.0977413	0.113909	0.137683	0.117239	0.122531	0.117736	0.0804176	0.081466	0.0797128	0.133581	0.0255024	0.0232696	0.0680764	0.050445	0.015666	0.0170164	0.0386554	0.0414435	0.0252621	0.0425823	0.0485698	0.0311523	0.0306378	0.0420947	0.0383306	0.0357142	0.0475334	0.0445005	0.0337956	0.0258082	0.207294	0.303267	0.102133	0.387305	3.125736
350	-15371.9	-15387.8	15.8957	0.114759	0.0950064	0.102403	0.108345	0.119679	0.0742313	0.121804	0.0726349	0.0956536	0.169377	0.0585933	0.0893219	0.0937184	0.0893835	0.0970272	0.125816	0.117247	0.109179	0.12324	0.0626843	0.0953424	0.0876678	0.183055	0.0248213	0.0153766	0.0689528	0.0451791	0.0233649	0.0250773	0.0331866	0.0380734	0.0343329	0.0389153	0.0572774	0.038835	0.0218959	0.0358214	0.0253054	0.0222906	0.0399245	0.0323369	0.0305915	0.020786	0.210842	0.289174	0.106049	0.393934	3.078514
360	-15378	-15392.2	14.2122	0.11863	0.127435	0.110063	0.108055	0.0975698	0.0809444	0.122553	0.0817259	0.077609	0.167263	0.090033	0.0893219	0.091388	0.101776	0.123453	0.152434	0.140489	0.117257	0.120795	0.0860701	0.0809958	0.0873096	0.181315	0.0180727	0.0225988	0.0602797	0.0536352	0.00909513	0.0140067	0.0337191	0.0382409	0.0333738	0.0330534	0.0456631	0.0343901	0.0167913	0.0425909	0.0365102	0.0342522	0.0282378	0.0500588	0.0460123	0.0417988	0.217474	0.298271	0.0977318	0.386523	3.246868
