Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
0	-20571.8	-20578.7	6.92274	0.127272	0.00499897	0.0439921	0.02078	0.301192	0.0864518	0.0124511	0.0963736	0.0343862	0.141667	0.0256187	0.175862	0.147534	0.283622	0.00416554	0.0573416	0.086793	0.071135	0.0326668	0.192163	0.0596504	0.131048	0.000361174	0.0253086	0.169893	0.0301702	0.0106533	0.0662301	0.115165	0.0308536	0.00671591	0.190092	0.0787719	0.0503665	0.00918005	0.0922727	0.0740618	0.0125117	0.0447203	0.428092	0.00876488	0.146444	0.0688376	3.796634
10	-17298.8	-17306.8	7.96517	0.218137	0.015638	0.241441	0.0406507	0.11239	0.08181	0.0301333	0.0815873	0.0426695	0.289007	0.0662566	0.0872624	0.0768014	0.180956	0.0209254	0.103409	0.162442	0.115525	0.151567	0.100366	0.086822	0.121843	0.000415239	0.0703869	0.0933809	0.0232097	0.0565744	0.028942	0.0562872	0.0621142	0.0198616	0.17232	0.0371991	0.049901	0.0117042	0.038993	0.0728454	0.0585124	0.0712976	0.102746	0.00808826	0.151953	0.0780193	3.692391
20	-16414.5	-16425.2	10.7276	0.123882	0.102734	0.103976	0.0841421	0.142544	0.081326	0.0851817	0.0804748	0.0759985	0.136428	0.0754617	0.105754	0.098899	0.141816	0.0320241	0.111734	0.125872	0.0925571	0.285705	0.0897624	0.0810852	0.088697	0.000907164	0.043356	0.0487515	0.0566426	0.0381562	0.0258151	0.0510353	0.0529839	0.0332152	0.175949	0.064274	0.0470167	0.0267984	0.0426926	0.0558909	0.0484971	0.0339311	0.0383031	0.0102281	0.126266	0.0493889	3.416152
30	-16128.8	-16141.7	12.9234	0.107827	0.0969165	0.099116	0.0869432	0.12115	0.0692605	0.127102	0.0690868	0.092164	0.185725	0.0836753	0.0822517	0.0941331	0.103436	0.0417785	0.119945	0.127558	0.120129	0.112533	0.0800624	0.0969279	0.0892316	0.00674646	0.0441657	0.0848842	0.0369053	0.0392139	0.0282424	0.0677457	0.038989	0.0288711	0.137497	0.0843721	0.0229773	0.0446083	0.0244523	0.0391012	0.0361178	0.0367026	0.0234062	0.0370871	0.10047	0.0270577	3.196567
40	-15955.4	-15968.6	13.1992	0.112252	0.109571	0.103955	0.0949912	0.118083	0.0643699	0.127052	0.0681383	0.101165	0.144458	0.0811257	0.0839171	0.0851355	0.102367	0.116404	0.119945	0.166573	0.133879	0.129116	0.0766517	0.0969279	0.0836716	0.0243792	0.0354502	0.0754466	0.0468191	0.0366925	0.0193186	0.0432987	0.0223706	0.0264603	0.0924172	0.0784271	0.033289	0.0307725	0.0175043	0.0384017	0.0378914	0.0436039	0.0239625	0.0405905	0.0516165	0.0305297	3.168992
50	-15910.6	-15923.7	13.0939	0.126146	0.102284	0.0921419	0.117463	0.145386	0.0889693	0.134274	0.077027	0.103201	0.152052	0.065495	0.0874915	0.105035	0.112078	0.0899274	0.133874	0.139279	0.118173	0.106228	0.0595246	0.0831089	0.0945603	0.0378623	0.029629	0.0589807	0.0651736	0.0609659	0.0197842	0.0700063	0.0347171	0.036061	0.0410855	0.0757071	0.0404675	0.0214049	0.0310915	0.0420736	0.0358441	0.0327288	0.0270143	0.0264807	0.0288082	0.0299102	3.179516
60	-15828.2	-15840.8	12.6048	0.14278	0.109549	0.117602	0.0938041	0.137686	0.0764769	0.135827	0.0946737	0.0949794	0.169024	0.0750198	0.0874625	0.0946596	0.0902082	0.128331	0.116323	0.132589	0.118173	0.11612	0.0648926	0.07603	0.0969039	0.0888369	0.0437052	0.0623664	0.0499475	0.0372918	0.0372333	0.0472236	0.0443443	0.0425086	0.027968	0.0671802	0.0369557	0.0349389	0.0433946	0.0272241	0.0224742	0.0379658	0.0157596	0.0336572	0.027059	0.0312812	3.228432
70	-15801.3	-15813.2	11.9906	0.152678	0.116552	0.0982755	0.117033	0.118102	0.0810577	0.133178	0.0667515	0.0965955	0.180332	0.0698692	0.0979488	0.116393	0.0902082	0.113905	0.125776	0.123782	0.117478	0.131581	0.0727186	0.0763449	0.0825398	0.190437	0.0280871	0.0505303	0.0447016	0.0319565	0.0317134	0.0572878	0.0215777	0.0373463	0.026042	0.082853	0.0305918	0.0378264	0.0485178	0.0287921	0.03099	0.0360733	0.0160471	0.0295636	0.0256233	0.0241871	3.289844
80	-15807.4	-15821.1	13.746	0.139917	0.082516	0.101907	0.0944403	0.123287	0.0765808	0.132274	0.0662816	0.0901993	0.150504	0.0723247	0.073442	0.08728	0.109287	0.108469	0.125776	0.111106	0.118136	0.138144	0.0556297	0.0828296	0.0869345	0.161216	0.0208209	0.0330989	0.0443442	0.0365203	0.0229847	0.0452608	0.0325639	0.043587	0.0330574	0.0819713	0.0167652	0.0284927	0.0424842	0.0304641	0.02798	0.0621427	0.017301	0.0524551	0.0357128	0.0178175	3.114304
90	-15811.4	-15823.9	12.4144	0.116983	0.119101	0.107306	0.0969664	0.121691	0.0894599	0.108599	0.0828587	0.102647	0.176271	0.0760033	0.117116	0.0850052	0.101159	0.0953982	0.112545	0.1108	0.112532	0.121185	0.102403	0.092929	0.101779	0.141586	0.0530828	0.0351889	0.0403136	0.0494814	0.0216928	0.0615016	0.0377406	0.0470445	0.0338628	0.0819713	0.029901	0.0336131	0.0399532	0.0258898	0.0376194	0.0410152	0.0139501	0.0247906	0.0261979	0.0203296	3.247464
