Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
100	-15802.6	-15816.2	13.6276	0.128888	0.0906214	0.0951832	0.0963232	0.107901	0.0697452	0.132006	0.0827371	0.0920595	0.146472	0.0723025	0.0850189	0.110549	0.0929181	0.0993117	0.0929718	0.14532	0.105482	0.105035	0.0827663	0.0853298	0.0867396	0.179198	0.0342996	0.030611	0.0288992	0.0746813	0.0505705	0.0226788	0.0364056	0.0325256	0.0245586	0.0354046	0.042893	0.0309535	0.0238239	0.0582679	0.0388172	0.0147047	0.0670156	0.0387944	0.0308936	0.0244679	3.126145
110	-15804.3	-15817.4	13.0985	0.126886	0.124321	0.0900775	0.089235	0.105391	0.0831215	0.118308	0.0707909	0.100726	0.18401	0.0874212	0.0788582	0.0967992	0.0955106	0.125	0.0963589	0.13607	0.093107	0.129909	0.0748053	0.101366	0.0876311	0.154476	0.0271591	0.0286439	0.0342308	0.0786754	0.0433221	0.037849	0.0289629	0.0153177	0.0147203	0.0400556	0.0324802	0.0358979	0.0321711	0.0707362	0.0485143	0.0207781	0.0463942	0.0289853	0.0260246	0.0379609	3.179058
120	-15799.9	-15812.9	13.0043	0.132152	0.0925209	0.0915917	0.0927583	0.11276	0.0850747	0.116057	0.0744771	0.100726	0.159174	0.0724079	0.081411	0.0957306	0.0849294	0.121469	0.109578	0.131517	0.121108	0.110859	0.070292	0.0920034	0.0922274	0.174437	0.0377079	0.0386563	0.0263057	0.0734095	0.0450523	0.0390044	0.0289367	0.0141639	0.0271358	0.0454965	0.0395791	0.0405119	0.0282765	0.0641365	0.0492071	0.0313436	0.0544885	0.0273893	0.0311355	0.031283	3.188481
130	-15803.1	-15816.6	13.4461	0.132152	0.107226	0.098551	0.109766	0.11276	0.081409	0.136545	0.0817015	0.0834399	0.159561	0.0716086	0.0778052	0.114746	0.0947318	0.111559	0.109578	0.109543	0.102078	0.0996958	0.070292	0.0907387	0.0979133	0.144028	0.0293864	0.0429231	0.0332799	0.0798342	0.0358638	0.0298739	0.0193124	0.0193622	0.0154361	0.0337021	0.0406369	0.0336313	0.0404222	0.0637966	0.0523154	0.0221011	0.0544885	0.0195621	0.0475668	0.0333766	3.144299
140	-15809.1	-15821.7	12.5434	0.15423	0.10758	0.0993206	0.110282	0.119039	0.0936773	0.129496	0.0822608	0.0824622	0.147889	0.0836715	0.0825335	0.105225	0.10354	0.107809	0.129704	0.134636	0.103768	0.123729	0.0681042	0.0799137	0.111006	0.120509	0.0362851	0.0313856	0.033808	0.0749078	0.0565108	0.0383959	0.0234258	0.0156334	0.023232	0.025158	0.041605	0.043299	0.0335385	0.0620969	0.0457976	0.0289887	0.0631273	0.0285607	0.012008	0.0364151	3.234566
150	-15807.4	-15819.8	12.4475	0.112507	0.108946	0.0993206	0.0954754	0.123543	0.0748975	0.11683	0.085039	0.113567	0.15523	0.095876	0.0764475	0.108292	0.0863935	0.116588	0.112706	0.12466	0.101569	0.108056	0.0779635	0.0824865	0.0842907	0.170836	0.0380306	0.0272606	0.0297139	0.0951278	0.0443194	0.0383959	0.0417978	0.0219366	0.0249481	0.0363787	0.0512512	0.0294054	0.0424031	0.0826144	0.0336028	0.0229539	0.0635058	0.0220342	0.0375004	0.0294587	3.244159
160	-15806	-15818.1	12.089	0.128447	0.111911	0.104752	0.0779459	0.123543	0.0864814	0.118469	0.0895411	0.114302	0.16161	0.0978137	0.0691707	0.08509	0.0924181	0.115054	0.107999	0.133402	0.124242	0.117888	0.0672624	0.105389	0.0744676	0.175009	0.0357792	0.0360999	0.0276379	0.106795	0.0423355	0.0250366	0.0332173	0.0279989	0.0176956	0.0363787	0.0467271	0.0466467	0.0365501	0.0513143	0.0388947	0.0266287	0.0581647	0.0412435	0.0351761	0.0274746	3.280004
170	-15805	-15818.1	13.1173	0.126408	0.0662947	0.0880724	0.0904882	0.0980848	0.068876	0.15071	0.0769383	0.10313	0.160225	0.080536	0.0755973	0.0936319	0.0924181	0.122079	0.11967	0.126031	0.122221	0.111679	0.0783347	0.078057	0.0969842	0.177802	0.0382781	0.036593	0.039713	0.0905457	0.0485753	0.0341515	0.022024	0.0163997	0.0204534	0.0315275	0.0335772	0.040752	0.0236829	0.0625413	0.0584573	0.0234471	0.0533887	0.0470241	0.0205875	0.0311926	3.177182
180	-15805.6	-15818.3	12.6925	0.18445	0.10967	0.0941888	0.0885393	0.12619	0.0821095	0.126091	0.0713146	0.105778	0.150272	0.0653058	0.0887194	0.0822825	0.0924181	0.115788	0.11967	0.138251	0.104488	0.116166	0.084022	0.0860498	0.0802238	0.173632	0.0251755	0.0205787	0.0454165	0.0912595	0.0380702	0.0271805	0.0301822	0.02647	0.013815	0.034662	0.0541735	0.0414272	0.0323505	0.046061	0.0463345	0.0223175	0.0532245	0.0314873	0.0347675	0.0190798	3.219653
190	-15806.3	-15818.9	12.665	0.133504	0.09922	0.0867311	0.085813	0.105855	0.0794233	0.148119	0.0836234	0.110828	0.182553	0.0723159	0.0750862	0.0949093	0.0914702	0.0995517	0.128506	0.138251	0.114206	0.116166	0.0628056	0.0821967	0.0889975	0.173178	0.0219007	0.0273415	0.0397313	0.101979	0.0471953	0.0536274	0.0215544	0.0285829	0.0149383	0.0292962	0.0406469	0.0523045	0.0270967	0.0515293	0.0530639	0.0185158	0.0463568	0.0432308	0.0343547	0.015853	3.222408
