Iteration	Posterior	Likelihood	Prior	alpha	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
100	-13417.9	-13337.3	-80.692	0.265799	0.412885	0.201264	0.314143	0.179084	1.39001	0.260276	0.341671	0.246754	0.235172	0.528241	0.16022	0.00652797	0.430587	0.332701	0.36921	0.396203	0.337772	0.370916	0.431119	0.15773	0.229827	0.212924	0.798251	0.0989683	0.0223271	0.335204	0.108128	0.256769	0.0782835	0.195326	0.124527	0.0668674	0.0488901	0.135248	0.0471376	0.0491524	0.363578	0.200161	0.193609	0.362755	0.28223	0.0221384	0.0391712	0.00748816	0.404438	0.0552591	0.0406394	0.458861	0.0333142	0.00293126	0.0783138	0.533641	3.38511	0.369843	0.366888	0.0628253	0.200444	11.37396
110	-13416.3	-13328.8	-87.5269	0.2630496	0.448185	0.302332	0.324288	0.224401	1.41909	0.28327	0.318234	0.208062	0.268405	0.587601	0.238793	0.00873748	0.401816	0.424503	0.287448	0.465949	0.543048	0.476527	0.305583	0.212878	0.241912	0.166007	0.59556	0.0782435	0.056432	0.233632	0.103443	0.254969	0.167654	0.0882271	0.0770341	0.099905	0.123238	0.206235	0.0322918	0.121685	0.417576	0.239918	0.178062	0.362755	0.391628	0.0440167	0.0278854	0.00965675	0.401005	0.0396917	0.0402944	0.454965	0.0543869	0.00277653	0.0762628	0.528209	3.39275	0.383232	0.36363	0.0544746	0.198664	12.05746
120	-13410.1	-13330.8	-79.3732	0.2630496	0.37414	0.226007	0.277046	0.239502	1.35058	0.327157	0.402897	0.250618	0.222331	0.566762	0.139582	0.0375727	0.311473	0.438951	0.261112	0.466581	0.386857	0.240765	0.378702	0.196761	0.222861	0.163622	0.676648	0.21924	0.065823	0.246896	0.18296	0.284194	0.148389	0.0885665	0.0625516	0.0771428	0.0945847	0.151472	0.0378325	0.0813722	0.203034	0.201322	0.115176	0.417021	0.290167	0.0641027	0.0517109	0.00962456	0.40595	0.0395594	0.0421328	0.44294	0.0597927	0.00277653	0.0762628	0.528209	3.39275	0.382294	0.362739	0.0543412	0.200626	11.24208
130	-13398	-13316.5	-81.4273	0.2781205	0.463975	0.244672	0.281841	0.214359	0.997236	0.333242	0.402897	0.264734	0.241902	0.588084	0.217816	0.0820679	0.420849	0.370227	0.329422	0.48049	0.464951	0.269336	0.355496	0.147832	0.213793	0.216455	0.998982	0.210422	0.125123	0.223202	0.148348	0.202357	0.0495859	0.0646116	0.0682217	0.0615167	0.104096	0.147397	0.0614161	0.0961897	0.285039	0.165272	0.0636734	0.3458	0.279806	0.0754749	0.0692816	0.0147033	0.444025	0.0410639	0.0404818	0.425583	0.0341429	0.00368868	0.0876226	0.557162	3.35153	0.382294	0.362739	0.0543412	0.200626	11.44749
140	-13249.4	-13170.4	-79.0057	0.2781205	0.527677	0.213303	0.321587	0.215535	0.510273	0.275787	0.535339	0.194001	0.233688	0.650694	0.224496	0.193358	0.308391	0.3162	0.270475	0.629917	0.425811	0.341121	0.383243	0.122651	0.252511	0.15025	0.685101	0.148927	0.0438367	0.218286	0.20959	0.220342	0.195182	0.0825847	0.121235	0.0702251	0.0939241	0.175755	0.0152004	0.108358	0.438921	0.219312	0.141714	0.150195	0.473031	0.0422103	0.0550961	0.0151105	0.407593	0.0431118	0.0280496	0.446807	0.0593275	0.00368868	0.0876226	0.557162	3.35153	0.355492	0.382296	0.0520844	0.210128	11.20533
150	-13218.8	-13149	-69.8187	0.2597357	0.429211	0.202059	0.266313	0.276818	0.268489	0.310133	0.329122	0.256045	0.24511	0.561235	0.216338	0.19106	0.285547	0.345543	0.287812	0.561173	0.396965	0.305084	0.36951	0.0871855	0.227399	0.184092	0.79774	0.0897102	0.0379502	0.229332	0.124558	0.220342	0.106717	0.048662	0.108242	0.215626	0.0508153	0.116692	0.0635674	0.104753	0.342296	0.232597	0.0791981	0.192131	0.463196	0.0127884	0.0474719	0.0151917	0.409783	0.041191	0.0285443	0.449208	0.0560819	0.00259688	0.0738054	0.521572	3.40203	0.353794	0.38047	0.0566116	0.209124	10.28663
160	-13213.5	-13143.5	-69.9575	0.2645753	0.474953	0.260785	0.247371	0.265872	0.362055	0.264061	0.411028	0.263109	0.166333	0.485451	0.157145	0.220905	0.282634	0.427762	0.272109	0.473842	0.444143	0.305084	0.344916	0.19908	0.212043	0.192234	0.809267	0.117286	0.0625535	0.186873	0.0754902	0.248705	0.0749853	0.159611	0.101652	0.275993	0.115977	0.0612439	0.0764764	0.0607835	0.296545	0.148287	0.0759566	0.129152	0.399668	0.0407126	0.050385	0.0175758	0.420061	0.0377257	0.026143	0.434648	0.0638462	0.00286176	0.0773996	0.531232	3.38851	0.362227	0.369102	0.0572369	0.211434	10.30052
170	-13228	-13160	-67.9529	0.266107	0.446279	0.194855	0.328671	0.205556	0.280834	0.317846	0.447149	0.177409	0.183499	0.492874	0.200446	0.153993	0.331719	0.405966	0.298688	0.518295	0.358554	0.364138	0.368094	0.181681	0.26271	0.119595	0.787943	0.0768051	0.0691236	0.319063	0.0884921	0.211622	0.0696717	0.0826644	0.0462198	0.148654	0.0437402	0.0624167	0.0855265	0.0767886	0.40328	0.135714	0.0216994	0.0866962	0.41141	0.0602525	0.17342	0.0165996	0.449857	0.0380464	0.0246909	0.410506	0.0602999	0.00294891	0.0785441	0.534245	3.38426	0.361232	0.368088	0.059827	0.210853	10.10005
180	-13226.9	-13153.9	-72.9623	0.2594189	0.46347	0.184792	0.258175	0.208288	0.321924	0.240672	0.484325	0.283378	0.218234	0.572696	0.202999	0.240122	0.345282	0.278855	0.32432	0.54273	0.483467	0.323596	0.476474	0.13616	0.232474	0.218404	0.772556	0.131134	0.0521779	0.282953	0.137257	0.174963	0.0870377	0.0290243	0.0457243	0.342952	0.0409925	0.138484	0.0665553	0.0900206	0.298236	0.148689	0.050301	0.104072	0.418818	0.0366567	0.111551	0.0180181	0.425642	0.038331	0.0284344	0.426871	0.0627037	0.0025801	0.0735714	0.520932	3.40292	0.361232	0.368088	0.059827	0.210853	10.60099
190	-13220	-13156.1	-63.9441	0.2735079	0.371933	0.24915	0.292307	0.146493	0.340212	0.332116	0.324215	0.238431	0.208152	0.422536	0.182251	0.191119	0.315551	0.37999	0.25049	0.415226	0.370204	0.381506	0.446252	0.161607	0.24273	0.139483	0.876833	0.0658114	0.0514213	0.284526	0.0972614	0.202345	0.0595282	0.0263391	0.0725551	0.262209	0.0411515	0.0702078	0.0311994	0.0718186	0.321853	0.187339	0.0883429	0.06549	0.298117	0.058973	0.063898	0.0173116	0.438317	0.036828	0.0371653	0.410133	0.060245	0.00339281	0.0841172	0.548511	3.36398	0.361343	0.368024	0.0598165	0.210816	9.699174
200	-13214.2	-13152.7	-61.5043	0.28951	0.371933	0.18063	0.272225	0.21843	0.28919	0.225982	0.360002	0.225562	0.147729	0.577748	0.161061	0.170844	0.290149	0.36575	0.245625	0.407591	0.425985	0.26374	0.344696	0.0892752	0.164639	0.186123	0.75403	0.0561796	0.0329585	0.271339	0.176125	0.231341	0.0562441	0.118043	0.0951331	0.259845	0.0707932	0.0462434	0.0436154	0.0748897	0.368644	0.156887	0.162366	0.0987903	0.319913	0.0604413	0.0164594	0.0173727	0.439863	0.0369579	0.0249958	0.411578	0.0692329	0.00448304	0.0963635	0.577758	3.3214	0.366874	0.35835	0.0607322	0.214043	9.455191
