Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-16361	-16369.2	8.19747	0.214356	0.0874555	0.0979277	0.204234	0.157274	0.179316	0.247778	0.181139	0.189719	0.207104	0.103008	0.116392	0.116338	0.120567	0.184525	0.109157	0.165938	0.131622	0.194742	0.0996791	0.133018	0.104641	0.181796	0.129855	0.0168922	0.0438541	0.00435062	0.00151242	0.0229784	0.00132753	0.0235605	0.0369749	0.00375768	0.00800491	0.00929011	0.0110634	0.0223198	0.0360066	0.00812649	0.0132074	0.0109081	0.00174856	0.00729424	0.264254	0.257274	0.0832961	0.0452833	0.343669	0.00622463	0.221061	0.256421	0.155438	0.367079	3.940762
110	-16356.7	-16366.2	9.46858	0.245082	0.102202	0.117018	0.240737	0.184356	0.178827	0.234609	0.21066	0.208923	0.16245	0.10651	0.10459	0.0986895	0.120567	0.185235	0.131335	0.165938	0.143986	0.2178	0.106639	0.13701	0.125092	0.182676	0.138117	0.0115042	0.0411941	0.00527427	0.00118045	0.0285658	0.00169351	0.0167671	0.031912	0.00424553	0.0110249	0.00493834	0.0155732	0.0206145	0.0373592	0.00743294	0.0255177	0.00416823	0.00209363	0.00457357	0.261813	0.254898	0.0825268	0.0380345	0.340495	0.0222331	0.222308	0.257867	0.150674	0.36915	4.12468
120	-16360.6	-16369.8	9.20284	0.233274	0.0966252	0.138529	0.208777	0.180281	0.16477	0.234281	0.186033	0.209322	0.162936	0.12332	0.0991394	0.103697	0.102462	0.185546	0.152445	0.154627	0.14696	0.193925	0.147279	0.127253	0.129232	0.203066	0.120877	0.0165335	0.0445954	0.00469269	0.000405784	0.0343662	0.000460878	0.0165789	0.0347145	0.00672346	0.0110801	0.0115488	0.0110092	0.0159567	0.0373774	0.00582992	0.0103055	0.0224963	0.00135035	0.00263857	0.288216	0.247975	0.0759043	0.0368143	0.329571	0.0215198	0.222308	0.257867	0.150674	0.36915	4.093319
130	-16368.2	-16379.2	10.9178	0.260916	0.0816575	0.100195	0.237958	0.168238	0.175604	0.233202	0.182155	0.176251	0.182005	0.12332	0.126176	0.109417	0.120667	0.169377	0.112808	0.159954	0.165716	0.185418	0.130639	0.134609	0.0867372	0.150794	0.121296	0.0209935	0.0480234	0.00350918	0.000509402	0.0197161	0.000151195	0.0102213	0.00613962	0.0105689	0.0189182	0.00969605	0.00304258	0.011294	0.0362515	0.0058229	0.00307011	0.00799906	0.00032423	0.00476251	0.274962	0.263574	0.0724138	0.0351214	0.333398	0.0205302	0.228559	0.237	0.154911	0.37953	3.916123
140	-16350.6	-16359.1	8.56873	0.222369	0.0875349	0.10563	0.22739	0.16439	0.161663	0.214772	0.153446	0.175933	0.150139	0.12332	0.103985	0.0943348	0.100749	0.18334	0.123137	0.158564	0.166979	0.185418	0.092907	0.125292	0.0975093	0.165119	0.131894	0.0235738	0.0432298	0.00281413	0.00030627	0.0251432	0.00189689	0.0214022	0.0295058	0.0132836	0.00547864	0.0107954	0.00175632	0.0196183	0.0370766	0.00596515	0.0078315	0.01348	0.0008103	0.0053842	0.278258	0.266734	0.0732818	0.0357928	0.340556	0.00537754	0.226704	0.235076	0.153653	0.384567	3.785167
150	-16345.1	-16356.8	11.6763	0.2507	0.0755804	0.119095	0.209604	0.160654	0.176629	0.221625	0.156022	0.174208	0.174819	0.0965306	0.09042	0.080088	0.112327	0.18334	0.123434	0.149909	0.166979	0.174817	0.118225	0.138284	0.0981311	0.17654	0.129945	0.0124791	0.044248	0.00125583	0.000319973	0.0385656	0.0013336	0.0145925	0.0240291	0.00629691	0.00862644	0.00958949	0.00249881	0.00888882	0.0572656	0.00356029	0.00952659	0.0147061	0.00303027	0.0104033	0.273394	0.262071	0.0720007	0.0404893	0.334603	0.0174424	0.216289	0.248275	0.138098	0.397338	3.829124
160	-16345.6	-16357.2	11.5584	0.255805	0.102916	0.103199	0.208127	0.174353	0.155297	0.189754	0.159773	0.18603	0.171702	0.108371	0.0987437	0.0852622	0.112327	0.166738	0.118743	0.160422	0.155952	0.199183	0.116353	0.125704	0.112577	0.184411	0.107516	0.0283632	0.0456188	0.000791759	0.00103618	0.0344809	0.00303145	0.0230625	0.0427192	0.00826392	0.00765374	0.0189948	0.00166965	0.00835395	0.043348	0.00175861	0.0197177	0.00831968	0.00211097	0.0149535	0.270814	0.259599	0.07422	0.0466429	0.331446	0.0172778	0.216289	0.248275	0.138098	0.397338	3.873507
170	-16350.7	-16359	8.23449	0.212774	0.11289	0.111674	0.208127	0.161429	0.193653	0.19956	0.182799	0.164656	0.183402	0.110759	0.0941898	0.115896	0.138502	0.182827	0.124507	0.15312	0.178846	0.196109	0.116312	0.142471	0.117193	0.1517	0.133643	0.0116687	0.0458227	0.00171805	0.000684152	0.0242404	0.00114562	0.0149599	0.0240136	0.00437062	0.00775033	0.0106308	0.00660918	0.0124338	0.0521778	0.00241104	0.0151495	0.0146192	0.00278353	0.0105153	0.272734	0.261439	0.0747461	0.0508229	0.333796	0.0064622	0.224939	0.245535	0.136574	0.392953	3.950742
180	-16355.2	-16362.9	7.70819	0.229634	0.0951472	0.126497	0.21689	0.184671	0.177011	0.215395	0.162604	0.217086	0.183402	0.108074	0.124842	0.0990195	0.118483	0.163286	0.118162	0.161391	0.163978	0.201196	0.134166	0.142216	0.121717	0.191766	0.105934	0.0208371	0.0216486	0.0011851	0.000473363	0.0400207	0.000997748	0.0107726	0.0323096	0.00436725	0.00657911	0.0126149	0.0057567	0.0151992	0.0582461	0.00260821	0.0165836	0.022002	0.00184145	0.020146	0.275478	0.264069	0.0749688	0.0388049	0.337154	0.00952604	0.226244	0.247298	0.135496	0.390963	4.056758
190	-16351.4	-16362.7	11.2253	0.221006	0.0792516	0.103701	0.21689	0.136404	0.167928	0.23907	0.181956	0.211707	0.155161	0.105511	0.078136	0.0939197	0.121721	0.1698	0.118162	0.148189	0.149903	0.167816	0.152694	0.136618	0.121696	0.198394	0.132709	0.0157645	0.0456195	0.00118043	0.00155589	0.0273134	0.000891745	0.00963882	0.0262165	0.00465578	0.00342838	0.0156448	0.0074428	0.00356446	0.0465669	0.00221561	0.0131474	0.00828173	0.00177613	0.0127296	0.26225	0.283184	0.0713689	0.0491566	0.320964	0.0130767	0.221888	0.242537	0.135963	0.399611	3.855975
