Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20481.9	-20477	-4.9196	0.0468804	0.00496009	0.0851931	0.327091	0.0417124	0.145667	0.0988196	0.0308765	0.146789	0.23683	0.00664268	0.55041	0.0920595	0.0436556	0.422075	0.156373	0.00155207	0.20837	0.102841	0.63335	0.0816958	0.0773146	0.133735	0.13741	0.287527	0.103734	0.0961132	0.135398	0.0219991	0.127371	0.0258064	0.110451	0.0157671	0.134475	0.0329541	0.234731	0.00179659	0.00759699	0.079727	0.000283405	0.574449	0.028	0.0117899	0.15442	0.250775	0.0501497	0.2602	0.183407	0.101048	0.0898547	0.250601	0.087015	0.572529	5.842273
10	-17494.1	-17453	-41.0787	0.103193	0.0107288	0.205908	0.13715	0.105685	0.201342	0.185578	0.129616	0.159324	0.208709	0.0326463	0.164843	0.125258	0.14146	0.157916	0.13726	0.00420241	0.165216	0.15937	0.296746	0.120113	0.130788	0.169951	0.0624876	0.0481919	0.0717029	0.102575	0.100701	0.0307061	0.01732	0.011113	0.0112419	0.0075242	0.0593398	0.0213408	0.175999	0.0153154	0.030731	0.0533828	0.000304277	0.282285	0.0553618	0.020629	0.212485	0.284927	0.136627	0.0676634	0.298297	1.30649e-09	0.222974	0.351125	0.114913	0.310989	4.431256
20	-16786.5	-16769.4	-17.0129	0.190056	0.0617313	0.258941	0.20848	0.21374	0.201342	0.236903	0.225105	0.190943	0.170066	0.105571	0.139278	0.10698	0.119617	0.105836	0.165314	0.0242131	0.165216	0.173468	0.184047	0.163869	0.123158	0.162604	0.0252107	0.0325839	0.0206931	0.0745414	0.0272205	0.0213676	0.00567527	0.00414211	0.00457603	0.0127632	0.0189622	0.00916559	0.0230923	0.108339	0.0581844	0.0303314	0.000778845	0.128933	0.0209644	0.00802178	0.222615	0.29851	0.0900427	0.070889	0.317941	3.05605e-06	0.222974	0.351125	0.114913	0.310989	4.332023
30	-16523.5	-16511	-12.4794	0.218342	0.164773	0.235944	0.190215	0.182531	0.18213	0.229795	0.193891	0.168604	0.163487	0.0896974	0.139278	0.102056	0.16338	0.124422	0.165314	0.0759178	0.165216	0.178868	0.0936238	0.158564	0.101739	0.189925	0.0268552	0.0528831	0.0100955	0.0389422	0.0235277	0.0220902	0.00300745	0.00455333	0.0102631	0.00781466	0.0130724	0.00423687	0.00771168	0.0717292	0.0327334	0.0172102	0.0014219	0.0345545	0.00735699	0.00659711	0.223751	0.299096	0.0897463	0.0474411	0.339959	7.45165e-06	0.248906	0.252325	0.126712	0.372058	4.074369
40	-16491.6	-16486.8	-4.75634	0.184187	0.167931	0.221055	0.211532	0.193665	0.192608	0.18786	0.153525	0.179188	0.181868	0.0858204	0.134503	0.131381	0.167451	0.095512	0.123771	0.0940811	0.178668	0.204061	0.115402	0.113707	0.130443	0.190985	0.0196589	0.054532	0.00365895	0.0486236	0.014394	0.0199313	0.00372369	0.00426149	0.0141074	0.0146232	0.00414061	0.00607029	0.00958598	0.0728864	0.0402693	0.0324725	0.00481845	0.018671	0.0200168	0.00720513	0.231923	0.305908	0.0715948	0.0427623	0.347702	0.000109938	0.246226	0.250366	0.134238	0.36917	4.052856
50	-16448	-16458.5	10.5467	0.174163	0.167931	0.217556	0.193531	0.171771	0.178636	0.187347	0.171813	0.190234	0.180939	0.097418	0.113312	0.109836	0.125122	0.123163	0.141985	0.101909	0.156685	0.182192	0.120645	0.124224	0.142467	0.190985	0.0247604	0.053868	0.012476	0.0483022	0.011002	0.0264832	0.00120779	0.0032522	0.0157998	0.00986308	0.00388313	0.0070201	0.00956661	0.0648347	0.0521218	0.0222222	0.00660227	0.00895343	0.0206289	0.0117785	0.24879	0.290794	0.0680575	0.0453245	0.330523	0.0165105	0.246748	0.250193	0.134146	0.368914	3.978488
60	-16440.7	-16451.5	10.7751	0.202032	0.169067	0.210521	0.184352	0.176275	0.157278	0.18922	0.155619	0.190422	0.189618	0.0928277	0.122009	0.109915	0.139887	0.105119	0.144845	0.103888	0.158606	0.201316	0.126436	0.13238	0.130923	0.187902	0.018952	0.0497792	0.0146697	0.0434008	0.0106192	0.031601	0.0010518	0.00573513	0.0185423	0.00720597	0.00353284	0.00306615	0.00976554	0.0637066	0.0289744	0.034366	0.0135342	0.00651094	0.0163488	0.0111584	0.249213	0.291289	0.076427	0.0454016	0.321131	0.0165386	0.230031	0.255745	0.137122	0.377101	3.972979
70	-16438.8	-16449.9	11.138	0.191882	0.181907	0.210745	0.154748	0.191274	0.162347	0.19752	0.17244	0.158019	0.186982	0.08945	0.138438	0.125744	0.115645	0.113014	0.144845	0.104709	0.160453	0.185936	0.10609	0.132667	0.135209	0.170773	0.0140794	0.0488744	0.0200753	0.0366846	0.0093555	0.0242815	0.000482744	0.00404335	0.0190063	0.00700073	0.0046809	0.00572927	0.00552004	0.06431	0.0425212	0.0233256	0.0289086	0.00971532	0.0103322	0.0144611	0.275991	0.247503	0.0792149	0.0461583	0.332845	0.0182875	0.229119	0.254573	0.140704	0.375605	3.924225
80	-16443.5	-16454.4	10.9158	0.161561	0.17354	0.188683	0.15708	0.160527	0.173068	0.202362	0.146028	0.166148	0.163071	0.0993372	0.134403	0.115015	0.138221	0.139479	0.109421	0.104629	0.153966	0.166601	0.111055	0.104886	0.118916	0.178422	0.020321	0.0475366	0.0295805	0.0495494	0.0038241	0.0342513	0.0012597	0.00220043	0.0300097	0.0100859	0.00876184	0.00321908	0.00175874	0.0864937	0.0379865	0.0165935	0.0514861	0.00935372	0.0124688	0.0135336	0.275054	0.247845	0.0750439	0.0485401	0.341525	0.0119921	0.227756	0.244387	0.156563	0.371294	3.836692
90	-16435.9	-16448	12.1223	0.203738	0.144453	0.211657	0.15451	0.160527	0.169194	0.201446	0.146028	0.16447	0.143692	0.0958227	0.127791	0.128857	0.136193	0.114967	0.117047	0.0922258	0.160751	0.185941	0.0931917	0.127609	0.125321	0.178422	0.0163981	0.0462479	0.0202582	0.0392992	0.00307497	0.0217754	0.00304283	0.00211343	0.0264152	0.00703305	0.00410125	0.00208071	0.00045147	0.0827829	0.0259177	0.00882001	0.0310711	0.0108538	0.0125667	0.00463186	0.26803	0.261207	0.0777036	0.0473006	0.332804	0.0129555	0.227756	0.244387	0.156563	0.371294	3.752792
100	-16436.5	-16447.5	11.0247	0.19975	0.16327	0.219357	0.181795	0.169696	0.169194	0.209444	0.144938	0.156416	0.143692	0.100491	0.14003	0.0984039	0.136193	0.113193	0.117047	0.102041	0.160301	0.185941	0.103965	0.121388	0.132323	0.180216	0.0130909	0.0468891	0.00834347	0.0405379	0.00750336	0.0277843	0.00344345	0.00456784	0.0210321	0.00576504	0.0052074	0.00252622	0.000363244	0.0799324	0.0334712	0.027768	0.0452614	0.0123699	0.017684	0.0137192	0.265518	0.263831	0.0776849	0.0472892	0.332724	0.0129524	0.227756	0.244387	0.156563	0.371294	3.866345
110	-16436.2	-16447.2	10.9365	0.183333	0.17865	0.221567	0.174728	0.187291	0.169194	0.180876	0.149454	0.170947	0.148842	0.116245	0.111316	0.124244	0.13798	0.109665	0.120126	0.102151	0.123124	0.194924	0.121214	0.115023	0.137297	0.180216	0.0205178	0.059478	0.00807553	0.0407101	0.00640649	0.0382084	0.00163194	0.00425955	0.0220927	0.00444143	0.00509122	0.000334057	0.000713876	0.0673952	0.0516188	0.0238111	0.0442072	0.00655062	0.008384	0.0093489	0.265433	0.263746	0.07766	0.047274	0.332617	0.0132694	0.23442	0.251538	0.131885	0.382157	3.881684
120	-16441.6	-16450.7	9.10828	0.188938	0.209161	0.229662	0.138107	0.173637	0.195477	0.213478	0.149454	0.151064	0.187444	0.104339	0.109037	0.105106	0.144515	0.109371	0.137244	0.116885	0.139815	0.17725	0.0942907	0.127695	0.125986	0.191104	0.0191999	0.0577501	0.0114818	0.04707	0.00801816	0.021897	0.000983293	0.00339772	0.0261844	0.0127188	0.00559567	0.000256207	0.000602563	0.0758616	0.0385054	0.0104374	0.038715	0.00402615	0.0197608	0.00767946	0.273498	0.27176	0.0661102	0.0541204	0.326303	0.00820851	0.225223	0.241669	0.126711	0.406396	3.929201
130	-16432	-16441.9	9.95885	0.203364	0.150064	0.2187	0.163553	0.176265	0.185729	0.176763	0.124612	0.16806	0.164035	0.08192	0.109037	0.129704	0.147957	0.105835	0.117404	0.122069	0.144937	0.169715	0.10939	0.127695	0.150934	0.188289	0.0101748	0.0505124	0.0166266	0.0584171	0.0072381	0.0332603	0.00240068	0.00187669	0.0282614	0.00160994	0.00603176	0.000677162	0.00133325	0.0697228	0.0364903	0.0130964	0.0465981	0.00154429	0.0141486	0.0115952	0.289005	0.287169	0.0698587	0.0423348	0.301586	0.0100469	0.213666	0.239055	0.125341	0.421938	3.847646
140	-16426.5	-16436.9	10.4505	0.169838	0.16631	0.203476	0.156169	0.15696	0.178338	0.171265	0.139596	0.161896	0.133908	0.0884722	0.125765	0.109578	0.156893	0.117302	0.112186	0.107462	0.174371	0.208503	0.0886879	0.127695	0.12983	0.19154	0.0263914	0.0444638	0.0177863	0.04396	0.00789767	0.0311638	0.00219601	0.00415023	0.0181251	0.00178945	0.00336123	0.000228083	0.00602672	0.0887191	0.0307601	0.0200989	0.0490355	0.00477263	0.00692281	0.0109764	0.284126	0.299204	0.0686793	0.04162	0.296494	0.00987729	0.211303	0.239773	0.125717	0.423207	3.794865
150	-16434	-16445.1	11.1475	0.155559	0.16631	0.246445	0.169676	0.155176	0.169993	0.197993	0.134837	0.148372	0.155976	0.105163	0.123785	0.109578	0.1303	0.129815	0.133769	0.109141	0.134391	0.203353	0.0954571	0.0986612	0.152018	0.175234	0.0152755	0.0414833	0.0122716	0.0619227	0.0130572	0.0200204	0.00184055	0.00200894	0.0223432	0.0108308	0.00191925	5.16862e-05	0.00311254	0.0780038	0.0381945	0.0100521	0.043752	0.00468032	0.00690835	0.00853402	0.278328	0.301039	0.0652605	0.044905	0.298313	0.0121551	0.211303	0.239773	0.125717	0.423207	3.797266
160	-16430.1	-16440.6	10.5387	0.183439	0.162392	0.219172	0.17954	0.175203	0.163931	0.181033	0.144506	0.156295	0.155976	0.0831472	0.143688	0.124685	0.132731	0.110017	0.133769	0.100929	0.175754	0.219599	0.105043	0.119762	0.121476	0.178623	0.0159736	0.0506821	0.00658396	0.0397285	0.00891748	0.0199492	0.000788135	0.00400522	0.0290461	0.00393775	0.00170618	0.000103191	0.00545377	0.0579317	0.0494693	0.00747791	0.055859	0.00533426	0.016005	0.00849079	0.278328	0.301039	0.0652605	0.044905	0.298313	0.0121551	0.211303	0.239773	0.125717	0.423207	3.858152
170	-16428.3	-16439.8	11.526	0.16757	0.172126	0.219172	0.173311	0.161108	0.155203	0.175154	0.150544	0.159305	0.155976	0.0911669	0.109686	0.124685	0.118417	0.111201	0.133769	0.104152	0.159172	0.194653	0.104662	0.151299	0.147208	0.182278	0.019215	0.0631979	0.0121582	0.0413822	0.0125748	0.0372097	0.00197408	0.00222242	0.0268539	0.0048438	0.00158509	0.000169296	0.00828453	0.0750016	0.0272685	0.0140916	0.0406993	0.00688554	0.0151896	0.00544855	0.275274	0.297736	0.0682595	0.0509352	0.293438	0.0143566	0.211788	0.242661	0.126006	0.419545	3.838071
180	-16438.4	-16448.8	10.3232	0.171177	0.151407	0.230243	0.177285	0.139311	0.171437	0.176369	0.171955	0.184648	0.168326	0.1151	0.130176	0.134391	0.136977	0.12167	0.153967	0.114021	0.139696	0.174313	0.113115	0.129505	0.120622	0.1687	0.0188713	0.0628604	0.00714065	0.0406866	0.00363958	0.0317922	0.000766452	0.00325935	0.0258706	0.00664456	0.00121386	0.000449603	0.00858972	0.0533112	0.0311909	0.0139673	0.0229512	0.0060118	0.00989448	0.00759336	0.276301	0.298847	0.0685143	0.0522556	0.294533	0.00954799	0.211788	0.242661	0.126006	0.419545	3.851117
190	-16423.7	-16435.5	11.7687	0.157639	0.165518	0.201165	0.157054	0.149668	0.186699	0.191262	0.14518	0.154221	0.160472	0.100712	0.103451	0.119346	0.154979	0.124498	0.142522	0.106449	0.148257	0.178026	0.102238	0.138618	0.137091	0.16258	0.0219525	0.0486897	0.00763482	0.044639	0.0109304	0.0269866	0.00077258	0.00173587	0.0153849	0.0073067	0.00273677	0.000218745	0.00815032	0.0775245	0.0384432	0.013476	0.0400573	0.0101226	0.0106351	0.00852372	0.282142	0.288987	0.0680737	0.0524025	0.295361	0.0130325	0.213558	0.237584	0.125954	0.422903	3.783564
200	-16431.2	-16443.2	12.053	0.162048	0.153309	0.182784	0.162407	0.187486	0.174122	0.151415	0.156248	0.139932	0.171649	0.102118	0.10463	0.123312	0.1493	0.119144	0.132304	0.114504	0.17213	0.178767	0.113819	0.099709	0.143824	0.182	0.0209423	0.0431562	0.00436514	0.0399199	0.0120239	0.0292174	0.0017395	0.000603335	0.0246837	0.00550126	0.00295301	0.00018647	0.0104872	0.0712108	0.0337373	0.0145278	0.0305813	0.00723129	0.0107484	0.0108901	0.282668	0.289526	0.0663375	0.0525002	0.295912	0.0130568	0.213558	0.237584	0.125954	0.422903	3.751669
