Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
100	-15800.7	-15813.8	13.1833	0.120504	0.115949	0.0848295	0.107269	0.110123	0.0698391	0.119215	0.0791726	0.120486	0.136911	0.0706262	0.0765633	0.0976845	0.0910332	0.10136	0.131728	0.126981	0.120305	0.122196	0.0842846	0.0921834	0.092727	0.178278	0.0284517	0.0392419	0.0237202	0.0492417	0.0503722	0.0310989	0.0228634	0.0275933	0.0383404	0.103419	0.0290025	0.0247055	0.0193553	0.0286377	0.0249556	0.0462108	0.0193041	0.0412433	0.0382798	0.0342889	3.170574
110	-15803.6	-15816.9	13.3796	0.145478	0.115134	0.0981243	0.125548	0.0958147	0.0653944	0.12135	0.066565	0.108643	0.159896	0.0706262	0.0765633	0.0960074	0.105142	0.116906	0.117045	0.124403	0.114982	0.127633	0.0851611	0.0762465	0.0892705	0.150633	0.0354957	0.0394001	0.00849388	0.0409936	0.0518439	0.0304801	0.0322142	0.0417322	0.0537196	0.0647679	0.0369493	0.0204148	0.00757331	0.026812	0.0292878	0.0482383	0.0234866	0.0277109	0.0381926	0.0405746	3.150945
120	-15803.9	-15816.3	12.3685	0.126827	0.0877627	0.0912479	0.110998	0.123077	0.0813514	0.118815	0.0860453	0.0935374	0.159896	0.0761811	0.0850565	0.120751	0.106819	0.12682	0.117045	0.140851	0.114982	0.13154	0.0832837	0.0836233	0.0694988	0.149196	0.0325731	0.0426827	0.0182862	0.0596937	0.0528158	0.0382995	0.0202617	0.0685107	0.0421996	0.0807066	0.031418	0.012706	0.0145664	0.0253395	0.0374328	0.043085	0.0325492	0.0267629	0.0543499	0.0326101	3.252054
130	-15808.6	-15820.8	12.162	0.145825	0.0965626	0.0880766	0.110433	0.0902395	0.101071	0.118815	0.0854412	0.0996522	0.151662	0.0862242	0.081	0.102627	0.091635	0.149175	0.124172	0.121889	0.121679	0.119896	0.073442	0.115453	0.0979102	0.164836	0.0309083	0.0375849	0.0302858	0.0473325	0.0544509	0.0457176	0.029057	0.0431374	0.0416309	0.0933261	0.0260147	0.0129493	0.0257023	0.0278412	0.0326085	0.0294306	0.0243583	0.0304428	0.0317448	0.0404706	3.272711
140	-15808.3	-15820.7	12.4099	0.153234	0.112646	0.0791419	0.0960346	0.10069	0.0940593	0.118815	0.0744116	0.102102	0.184724	0.0833017	0.0726748	0.10177	0.110001	0.143997	0.118236	0.128863	0.109325	0.106059	0.0891738	0.0782884	0.0790538	0.19844	0.0399743	0.0338633	0.0254764	0.046519	0.0545456	0.0276357	0.0216992	0.0554491	0.0376394	0.0752772	0.0375842	0.0195637	0.0139304	0.0199182	0.0239911	0.0326113	0.0334076	0.0363504	0.0415792	0.0358601	3.247918
150	-15805.4	-15818.2	12.8045	0.115217	0.103969	0.106069	0.113497	0.107599	0.0745318	0.126492	0.0582863	0.10622	0.154332	0.084424	0.0974432	0.102614	0.109507	0.0966199	0.138738	0.117683	0.123831	0.125252	0.0901034	0.0843515	0.075332	0.152053	0.0398828	0.0294638	0.0143659	0.0466521	0.0404497	0.0411766	0.0408718	0.0230258	0.035287	0.0793602	0.0334655	0.0266284	0.0381335	0.0286533	0.02399	0.0549824	0.0264141	0.0248011	0.060828	0.0358601	3.208459
160	-15803	-15817.1	14.0432	0.133165	0.103969	0.0815467	0.109459	0.127326	0.079995	0.129458	0.0698686	0.0767115	0.151164	0.0760377	0.0873997	0.0819552	0.0889328	0.106514	0.101459	0.117683	0.104466	0.106063	0.0853405	0.0850759	0.0897365	0.152053	0.0223215	0.0338458	0.0200221	0.0550993	0.0556864	0.0369778	0.0238159	0.0309362	0.0487335	0.0670902	0.0254087	0.0177451	0.0315359	0.022549	0.0365279	0.0619671	0.028609	0.0405036	0.0544003	0.0254368	3.084591
170	-15804.5	-15816.3	11.7913	0.112424	0.108618	0.0966597	0.0980285	0.104877	0.0882776	0.125235	0.0874657	0.103	0.177059	0.0761178	0.0930549	0.109633	0.0956225	0.125274	0.148514	0.137098	0.102087	0.106902	0.0687255	0.119192	0.100038	0.187259	0.0235266	0.0554327	0.0188998	0.0492063	0.039592	0.0392775	0.034636	0.0430411	0.0327257	0.0711638	0.0226801	0.017358	0.0278086	0.0272979	0.0385488	0.0614374	0.0261662	0.0373416	0.0411279	0.0313445	3.309774
180	-15810.3	-15822.7	12.3774	0.153139	0.0895897	0.097156	0.100205	0.125258	0.0879442	0.125235	0.0783207	0.0940718	0.180668	0.065492	0.0934913	0.0941223	0.0956225	0.147877	0.142756	0.153257	0.095382	0.103267	0.0740281	0.0785175	0.0797498	0.195833	0.0427216	0.035494	0.00932399	0.0428164	0.0464199	0.0372402	0.0319163	0.0400869	0.0400008	0.075857	0.0143168	0.0158261	0.0099736	0.0321623	0.0252619	0.0396244	0.039169	0.0368262	0.0569676	0.0281804	3.251168
190	-15794.3	-15807.3	12.9684	0.128786	0.0909821	0.0951502	0.098641	0.103714	0.0879442	0.131039	0.0823826	0.0850672	0.163026	0.0780772	0.0964145	0.10721	0.0887391	0.122176	0.113996	0.116232	0.106888	0.13612	0.0720996	0.0880041	0.0776247	0.169661	0.031141	0.0387012	0.0153733	0.0397417	0.052869	0.0306835	0.0204659	0.0410078	0.0634384	0.0800705	0.0205251	0.0296417	0.0328567	0.0261544	0.0310537	0.0450189	0.0316817	0.0349684	0.0469795	0.0397174	3.192066
