Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
10	0	-14592.9	-14597.5	4.60248	1.910623	0.164598	0.112224	0.0869904	0.118311	0.11286	0.0970523	0.155815	0.0968576	0.110286	0.215444	0.0961132	0.0988558	0.0908556	0.109172	0.12495	0.158387	0.148692	0.14406	0.263413	0.123463	0.0969556	0.00244458	0.223891	0.0528386	0.0241037	0.025029	0.0334909	0.0212196	0.145361	0.0317407	0.0352258	0.0193791	0.015243	0.0867556	0.0542464	0.07776	0.0346406	0.0157034	0.0371309	0.0280117	0.0445394	0.0133389	0.0436695	0.282367	0.64516	1.06758	2.00489	0.3876451	3.79112
11	1	-14514.1	-14520	5.89197	2.326529	0.148357	0.11649	0.115176	0.119661	0.121381	0.0978366	0.1448	0.0573475	0.102828	0.203598	0.10439	0.0807825	0.124082	0.107495	0.156357	0.166067	0.143324	0.151889	0.134576	0.0903935	0.125027	0.0927528	0.228844	0.0646279	0.0664885	0.00832012	0.0328442	0.0476975	0.0365821	0.0619121	0.0217918	0.00962946	0.0291919	0.0631003	0.0197593	0.0429043	0.0126856	0.0388105	0.0243127	0.121214	0.0140887	0.0337204	0.0086308	0.329368	0.685779	1.07636	1.90849	0.3818234	3.691766
12	0	-14595.2	-14599.6	4.45437	2.067754	0.164785	0.106164	0.116559	0.111118	0.152034	0.0994818	0.169567	0.103039	0.118518	0.237529	0.0693902	0.0875739	0.102181	0.118967	0.144501	0.164642	0.138495	0.14406	0.301084	0.100606	0.105188	0.00340409	0.228102	0.0403767	0.0211346	0.0545126	0.0249803	0.0278413	0.0776088	0.0107093	0.0460085	0.0179266	0.0270438	0.087811	0.057501	0.0681262	0.0416759	0.0142971	0.0159684	0.0275813	0.0373436	0.00648955	0.0272305	0.301231	0.66203	1.0716	1.96514	0.3876451	3.819157
13	1	-14526.1	-14532.1	5.97338	2.202974	0.162573	0.0981465	0.111921	0.134608	0.166102	0.0968411	0.161459	0.0660624	0.129484	0.201253	0.0736798	0.0884791	0.101704	0.0950314	0.142267	0.183942	0.148342	0.114149	0.155778	0.0935425	0.0817151	0.0890611	0.214777	0.0626457	0.0631663	0.0114886	0.0335484	0.0508807	0.0412553	0.0529918	0.044125	0.00585784	0.0374968	0.0731958	0.0224497	0.0269127	0.027947	0.0520249	0.0167405	0.0751402	0.0285767	0.0286425	0.0105451	0.316357	0.674996	1.07433	1.93432	0.3818234	3.67655
14	0	-14601.6	-14608.5	6.90245	2.287844	0.16594	0.105555	0.127091	0.0940781	0.123775	0.0850289	0.122048	0.0817672	0.0926703	0.199858	0.062799	0.104445	0.121943	0.120341	0.161519	0.146442	0.123402	0.13362	0.253415	0.10012	0.0915141	0.00307682	0.204309	0.0446587	0.0242816	0.0307966	0.0166599	0.0269976	0.0556832	0.0338112	0.0293209	0.0206889	0.0312347	0.121273	0.0627883	0.0621474	0.0559462	0.0261315	0.00646972	0.0236339	0.0496436	0.00955454	0.0321553	0.325373	0.682503	1.07577	1.91636	0.4208681	3.588636
15	1	-14513.4	-14518.8	5.42066	2.198402	0.207193	0.114093	0.119309	0.0838234	0.176966	0.104342	0.138483	0.0762583	0.119145	0.239369	0.0860331	0.0974277	0.108968	0.109231	0.117587	0.140287	0.152643	0.12419	0.142819	0.0987065	0.119736	0.0935155	0.202219	0.0496084	0.0490141	0.0188026	0.0388258	0.0325197	0.0396199	0.0533457	0.0187525	0.0250208	0.0221747	0.0710314	0.0308183	0.0416521	0.0258127	0.0353555	0.0194499	0.10868	0.0232359	0.0356188	0.0198521	0.315861	0.674579	1.07424	1.93532	0.3818234	3.731536
16	0	-14547	-14555.4	8.42342	1.803637	0.145588	0.104229	0.0734805	0.104963	0.118135	0.0739557	0.14335	0.0886794	0.0942001	0.181172	0.0699486	0.0828163	0.105466	0.118743	0.12248	0.156385	0.135645	0.16456	0.146069	0.090346	0.0965329	0.060612	0.239351	0.0336947	0.0245049	0.0363711	0.0259164	0.0221226	0.0445134	0.0267376	0.0283059	0.0152379	0.0172719	0.0948609	0.0555004	0.0704695	0.0327284	0.0200466	0.0164488	0.0244445	0.0310494	0.017214	0.0440947	0.268652	0.632364	1.0642	2.03478	0.4208681	3.398241
17	1	-14522.3	-14525.4	3.09777	2.237199	0.18318	0.108109	0.140515	0.0862611	0.170217	0.0694207	0.130341	0.090581	0.0939533	0.264016	0.0902092	0.0783501	0.0982483	0.109231	0.137065	0.176423	0.152643	0.154937	0.15637	0.0860865	0.120647	0.11111	0.22561	0.0907705	0.0512739	0.0310545	0.023988	0.0443704	0.0582188	0.0619206	0.0287628	0.0237774	0.0268431	0.0927249	0.0508595	0.0274872	0.0368907	0.0527535	0.0326877	0.112801	0.0239098	0.051708	0.00987092	0.320035	0.678079	1.07493	1.92695	0.3836235	3.966198
18	0	-14511.4	-14519.3	7.88809	2.301385	0.153958	0.109965	0.118182	0.105283	0.114719	0.0982706	0.12031	0.0808788	0.131641	0.185151	0.0885835	0.0818987	0.112825	0.116085	0.122524	0.154539	0.133558	0.139909	0.154711	0.071869	0.0864781	0.0916262	0.21206	0.0512507	0.0271493	0.0252303	0.0288495	0.00734264	0.0236681	0.023906	0.0486479	0.0258172	0.0226016	0.0807778	0.0592081	0.0651829	0.0225655	0.0127909	0.0199785	0.0352624	0.0607474	0.0261665	0.0386457	0.326779	0.68366	1.07598	1.91358	0.4208681	3.490814
19	1	-14523.1	-14526.7	3.60709	2.051213	0.178602	0.106885	0.10153	0.131405	0.126865	0.091988	0.126589	0.0912718	0.095144	0.278182	0.0970888	0.0917448	0.12029	0.119595	0.137683	0.131574	0.129085	0.175143	0.130508	0.0896847	0.115277	0.1131	0.211427	0.0607107	0.0715952	0.0296857	0.0232573	0.0534127	0.0747555	0.102577	0.0266672	0.0144739	0.0174241	0.0922087	0.0462552	0.0343511	0.014331	0.0520714	0.0424488	0.115871	0.00302476	0.03166	0.00518088	0.299312	0.660351	1.07122	1.96912	0.3644749	3.902624
20	0	-14521.9	-14529.9	8.02091	1.989143	0.167565	0.106165	0.097261	0.0960937	0.114564	0.0830201	0.139681	0.088713	0.0820963	0.194399	0.0840963	0.114732	0.106635	0.0862131	0.14078	0.175486	0.147966	0.113475	0.137483	0.0598191	0.0826448	0.105971	0.189766	0.0347841	0.0246033	0.0335064	0.0375654	0.00817484	0.0193787	0.0228692	0.0441862	0.0229842	0.0251209	0.127413	0.0829421	0.0313569	0.0476003	0.0181958	0.0257371	0.0411312	0.0454708	0.0169664	0.0316294	0.291975	0.653854	1.06972	1.98446	0.3759588	3.456243
21	1	-14519.4	-14520.4	1.07198	1.987316	0.152049	0.1458	0.1333	0.126443	0.143918	0.0949706	0.173205	0.102687	0.118038	0.283458	0.0893635	0.114082	0.111904	0.126195	0.139786	0.135566	0.14628	0.163613	0.170618	0.0867765	0.0974175	0.110672	0.2741	0.0690514	0.0584427	0.0329658	0.0217487	0.0571517	0.0472406	0.0911006	0.0188519	0.0213161	0.0189771	0.0779592	0.052141	0.0288404	0.0427209	0.0441148	0.0514789	0.125415	0.00536473	0.0402175	0.00564076	0.291756	0.653658	1.06967	1.98492	0.3544518	4.150982
