Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
100	-14521.9	-14529.9	8.02091	1.989143	0.167565	0.106165	0.097261	0.0960937	0.114564	0.0830201	0.139681	0.088713	0.0820963	0.194399	0.0840963	0.114732	0.106635	0.0862131	0.14078	0.175486	0.147966	0.113475	0.137483	0.0598191	0.0826448	0.105971	0.189766	0.0347841	0.0246033	0.0335064	0.0375654	0.00817484	0.0193787	0.0228692	0.0441862	0.0229842	0.0251209	0.127413	0.0829421	0.0313569	0.0476003	0.0181958	0.0257371	0.0411312	0.0454708	0.0169664	0.0316294	0.291975	0.653854	1.06972	1.98446	0.3759588	3.456243
110	-14510.7	-14516.1	5.37725	1.996589	0.177132	0.0936655	0.127107	0.0875713	0.131743	0.100069	0.142224	0.0853719	0.111269	0.19962	0.0986263	0.119487	0.10288	0.110318	0.139465	0.161273	0.151288	0.149129	0.146462	0.0972615	0.0876491	0.100938	0.212583	0.0625857	0.0170622	0.0209882	0.0423012	0.01918	0.0500768	0.0249966	0.0412749	0.03429	0.0173363	0.108479	0.0547024	0.0755558	0.0349033	0.0358631	0.0176875	0.0279186	0.0474262	0.0122883	0.0431826	0.292867	0.65465	1.0699	1.98258	0.4024001	3.721231
120	-14511.7	-14516.5	4.78488	1.880312	0.194085	0.0852771	0.128915	0.0982656	0.130202	0.0882175	0.139721	0.0945622	0.113941	0.199889	0.102156	0.0910766	0.111549	0.117376	0.139093	0.17301	0.17671	0.151116	0.157228	0.0749514	0.11265	0.0891734	0.234852	0.0590051	0.0271991	0.0171501	0.0301661	0.0182761	0.0430771	0.0356055	0.0286306	0.0412141	0.0173357	0.11926	0.0382764	0.0403154	0.0608711	0.0260343	0.00789797	0.0350049	0.0579955	0.0210372	0.0416165	0.278556	0.641651	1.06668	2.01311	0.3749876	3.769984
130	-14510.3	-14516.9	6.56766	2.35364	0.180393	0.0959498	0.141907	0.0982656	0.126048	0.0894401	0.139721	0.0722966	0.10556	0.219349	0.101906	0.076518	0.112113	0.0991212	0.128748	0.150491	0.153898	0.148051	0.127705	0.0684625	0.121132	0.0907813	0.199847	0.0710797	0.0284343	0.0116501	0.0225033	0.00513718	0.0349772	0.0264606	0.0348609	0.0282519	0.037892	0.117279	0.0465971	0.0527703	0.0564023	0.0195589	0.0208951	0.0350049	0.066023	0.0159222	0.0461834	0.332126	0.688023	1.07676	1.90309	0.4086624	3.625587
140	-14508	-14513.5	5.41325	2.155411	0.204493	0.104872	0.129608	0.117779	0.13018	0.0973572	0.154956	0.0996674	0.111108	0.2242	0.0770615	0.0917789	0.112822	0.0938052	0.137342	0.146553	0.15726	0.112968	0.148538	0.07769	0.090451	0.107077	0.20753	0.0559283	0.0238128	0.0200866	0.0380017	0.00694009	0.0307907	0.0407187	0.0368774	0.0200029	0.020448	0.0896185	0.0596651	0.0755987	0.06415	0.0372998	0.0519261	0.0192766	0.0391098	0.00824488	0.0558988	0.311146	0.670584	1.07343	1.94484	0.3803997	3.729492
150	-14512.6	-14519.5	6.96805	2.258758	0.142083	0.0914733	0.0997231	0.104544	0.123576	0.0997741	0.151469	0.0671375	0.113435	0.17952	0.0862619	0.10635	0.126192	0.0963491	0.147054	0.134208	0.146783	0.122601	0.146218	0.0929526	0.131378	0.106335	0.222662	0.0455082	0.0239384	0.00773937	0.0372933	0.00545948	0.0356149	0.0159681	0.0303803	0.019595	0.0199181	0.0831185	0.0528041	0.0807004	0.0592425	0.0326659	0.0542906	0.0270315	0.05896	0.0113276	0.0407976	0.322323	0.679982	1.0753	1.9224	0.3803997	3.580432
160	-14511.2	-14517.6	6.41304	2.043203	0.143692	0.0927506	0.106134	0.102376	0.123576	0.100732	0.15108	0.0789856	0.0946444	0.221823	0.0929261	0.104089	0.119523	0.0984215	0.139478	0.175964	0.146783	0.115079	0.146218	0.0628259	0.125155	0.0863327	0.254227	0.0582411	0.0311963	0.0133365	0.0243812	0.0118477	0.0381103	0.027275	0.0379427	0.0186668	0.0275951	0.0748297	0.0437813	0.0564206	0.0470046	0.03675	0.0370699	0.0432827	0.0493355	0.0269916	0.0345336	0.298378	0.659531	1.07103	1.97106	0.4082527	3.621407
170	-14517.7	-14523	5.24124	1.84691	0.168293	0.110673	0.1032	0.123894	0.140986	0.0825132	0.150702	0.0917936	0.104604	0.188789	0.107004	0.0923599	0.113183	0.118661	0.119155	0.141464	0.142174	0.117794	0.167246	0.0871031	0.130917	0.116074	0.229151	0.0419354	0.0296577	0.0101243	0.0425572	0.0159269	0.0327693	0.0109298	0.0531771	0.0177564	0.00787329	0.0877207	0.06711	0.0472037	0.0509568	0.0269393	0.0308508	0.0227438	0.0749831	0.0410635	0.0609983	0.274289	0.63768	1.06564	2.02239	0.3907244	3.721013
180	-14512.8	-14518.9	6.06475	2.358675	0.165254	0.092958	0.110724	0.105545	0.12139	0.0903242	0.133974	0.10479	0.105427	0.24384	0.0909728	0.0860555	0.115634	0.0831148	0.143381	0.144465	0.159531	0.143877	0.167246	0.112623	0.0899462	0.102894	0.239001	0.0515058	0.0195034	0.0342724	0.0257112	0.0272702	0.0366284	0.0348746	0.031675	0.0180083	0.0147171	0.11028	0.0506428	0.0629244	0.0266309	0.03559	0.0372968	0.0183268	0.0401258	0.0149281	0.0322526	0.332635	0.688435	1.07683	1.9021	0.4047115	3.676131
190	-14513.1	-14518.5	5.35818	1.840773	0.161054	0.113115	0.134327	0.0925031	0.118906	0.0869608	0.115009	0.0911819	0.106319	0.240871	0.089299	0.0981008	0.132388	0.122219	0.138876	0.168036	0.156932	0.119814	0.16722	0.0767909	0.129787	0.0771812	0.196006	0.0646504	0.0382209	0.0157672	0.0330233	0.0255886	0.049683	0.0357409	0.0257668	0.0259548	0.018977	0.0955065	0.0518801	0.0803559	0.0365991	0.0296948	0.0278786	0.0246387	0.038434	0.0131765	0.044257	0.273497	0.636938	1.06544	2.02412	0.3815207	3.70869
