Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
0	-18313.2	-18313.5	0.343494	5.162451	0.0574257	0.091654	0.121007	0.00443278	0.0945247	0.0671381	0.0489172	0.000541629	0.212903	0.0502729	0.193732	0.184557	0.0145554	0.0576174	0.0145055	0.0392407	0.0270041	0.357506	0.0955647	0.0723074	0.040594	0.0093588	0.282453	0.0869181	0.0425258	0.0723827	0.087933	0.111442	0.10208	0.0312209	0.231085	0.324251	0.0697063	0.0441287	0.163363	0.125426	0.120351	0.00869249	0.142263	0.108558	0.130822	0.0957756	0.0148397	0.508688	0.807751	1.08301	1.60055	0.3453526	4.251579
10	-15512.8	-15515.9	3.18556	1.88617	0.145655	0.138066	0.0781485	0.0363244	0.154734	0.172359	0.213896	0.00524275	0.161479	0.198742	0.076555	0.177613	0.0235081	0.137977	0.0392042	0.0480039	0.131267	0.128285	0.174099	0.0824732	0.0474658	0.0258324	0.168263	0.061168	0.0223594	0.041166	0.0597166	0.184255	0.0289113	0.0473085	0.103037	0.123547	0.0427089	0.118153	0.0823085	0.048821	0.0466769	0.00761291	0.1051	0.0369865	0.0833255	0.1053	0.0168297	0.279297	0.642336	1.06686	2.0115	0.4551199	3.930484
20	-14792.9	-14800.4	7.43389	2.448881	0.127513	0.0904494	0.093537	0.125073	0.103352	0.0783071	0.11728	0.0104491	0.146324	0.221261	0.107536	0.116804	0.0782395	0.0934639	0.146815	0.139743	0.140216	0.125812	0.10318	0.0673305	0.0770382	0.0839545	0.201389	0.0598439	0.0425974	0.0365546	0.0290941	0.0174091	0.0307116	0.155624	0.0272419	0.0978215	0.0302735	0.10148	0.0558409	0.0177298	0.034452	0.0332855	0.042889	0.0186001	0.0331351	0.0594244	0.0243572	0.341556	0.695587	1.07802	1.88483	0.4435509	3.543433
30	-14585.2	-14591	5.72749	2.688066	0.135928	0.136143	0.106789	0.116062	0.126633	0.0754432	0.110216	0.016355	0.139927	0.247253	0.0783918	0.0990315	0.12495	0.125984	0.139075	0.161764	0.171405	0.145023	0.121876	0.10411	0.101407	0.106075	0.215171	0.0777727	0.0453284	0.037876	0.0344079	0.0468813	0.0305721	0.0962564	0.035579	0.0339246	0.0369078	0.0348336	0.0174612	0.0286754	0.0346201	0.0523687	0.032999	0.0414782	0.0295501	0.055764	0.014506	0.363592	0.712651	1.08047	1.84328	0.3818234	3.722774
40	-14542.1	-14549.5	7.40757	1.994511	0.151415	0.133903	0.112279	0.12014	0.116534	0.095021	0.157376	0.0273816	0.10812	0.213508	0.0660399	0.0990315	0.107571	0.0718047	0.141876	0.164049	0.171405	0.124869	0.134576	0.0724367	0.0977165	0.105825	0.210814	0.0887319	0.0361871	0.014444	0.0251097	0.0408621	0.0233273	0.0443848	0.0234269	0.0281382	0.0287636	0.053563	0.0307798	0.030987	0.0468107	0.0415524	0.0295048	0.071136	0.00519764	0.0338886	0.01754	0.292619	0.654429	1.06985	1.9831	0.3818234	3.518027
50	-14514.1	-14520	5.89197	2.326529	0.148357	0.11649	0.115176	0.119661	0.121381	0.0978366	0.1448	0.0573475	0.102828	0.203598	0.10439	0.0807825	0.124082	0.107495	0.156357	0.166067	0.143324	0.151889	0.134576	0.0903935	0.125027	0.0927528	0.228844	0.0646279	0.0664885	0.00832012	0.0328442	0.0476975	0.0365821	0.0619121	0.0217918	0.00962946	0.0291919	0.0631003	0.0197593	0.0429043	0.0126856	0.0388105	0.0243127	0.121214	0.0140887	0.0337204	0.0086308	0.329368	0.685779	1.07636	1.90849	0.3818234	3.691766
60	-14526.1	-14532.1	5.97338	2.202974	0.162573	0.0981465	0.111921	0.134608	0.166102	0.0968411	0.161459	0.0660624	0.129484	0.201253	0.0736798	0.0884791	0.101704	0.0950314	0.142267	0.183942	0.148342	0.114149	0.155778	0.0935425	0.0817151	0.0890611	0.214777	0.0626457	0.0631663	0.0114886	0.0335484	0.0508807	0.0412553	0.0529918	0.044125	0.00585784	0.0374968	0.0731958	0.0224497	0.0269127	0.027947	0.0520249	0.0167405	0.0751402	0.0285767	0.0286425	0.0105451	0.316357	0.674996	1.07433	1.93432	0.3818234	3.67655
70	-14513.4	-14518.8	5.42066	2.198402	0.207193	0.114093	0.119309	0.0838234	0.176966	0.104342	0.138483	0.0762583	0.119145	0.239369	0.0860331	0.0974277	0.108968	0.109231	0.117587	0.140287	0.152643	0.12419	0.142819	0.0987065	0.119736	0.0935155	0.202219	0.0496084	0.0490141	0.0188026	0.0388258	0.0325197	0.0396199	0.0533457	0.0187525	0.0250208	0.0221747	0.0710314	0.0308183	0.0416521	0.0258127	0.0353555	0.0194499	0.10868	0.0232359	0.0356188	0.0198521	0.315861	0.674579	1.07424	1.93532	0.3818234	3.731536
80	-14522.3	-14525.4	3.09777	2.237199	0.18318	0.108109	0.140515	0.0862611	0.170217	0.0694207	0.130341	0.090581	0.0939533	0.264016	0.0902092	0.0783501	0.0982483	0.109231	0.137065	0.176423	0.152643	0.154937	0.15637	0.0860865	0.120647	0.11111	0.22561	0.0907705	0.0512739	0.0310545	0.023988	0.0443704	0.0582188	0.0619206	0.0287628	0.0237774	0.0268431	0.0927249	0.0508595	0.0274872	0.0368907	0.0527535	0.0326877	0.112801	0.0239098	0.051708	0.00987092	0.320035	0.678079	1.07493	1.92695	0.3836235	3.966198
90	-14523.1	-14526.7	3.60709	2.051213	0.178602	0.106885	0.10153	0.131405	0.126865	0.091988	0.126589	0.0912718	0.095144	0.278182	0.0970888	0.0917448	0.12029	0.119595	0.137683	0.131574	0.129085	0.175143	0.130508	0.0896847	0.115277	0.1131	0.211427	0.0607107	0.0715952	0.0296857	0.0232573	0.0534127	0.0747555	0.102577	0.0266672	0.0144739	0.0174241	0.0922087	0.0462552	0.0343511	0.014331	0.0520714	0.0424488	0.115871	0.00302476	0.03166	0.00518088	0.299312	0.660351	1.07122	1.96912	0.3644749	3.902624
100	-14519.4	-14520.4	1.07198	1.987316	0.152049	0.1458	0.1333	0.126443	0.143918	0.0949706	0.173205	0.102687	0.118038	0.283458	0.0893635	0.114082	0.111904	0.126195	0.139786	0.135566	0.14628	0.163613	0.170618	0.0867765	0.0974175	0.110672	0.2741	0.0690514	0.0584427	0.0329658	0.0217487	0.0571517	0.0472406	0.0911006	0.0188519	0.0213161	0.0189771	0.0779592	0.052141	0.0288404	0.0427209	0.0441148	0.0514789	0.125415	0.00536473	0.0402175	0.00564076	0.291756	0.653658	1.06967	1.98492	0.3544518	4.150982
110	-14516.5	-14522.7	6.13771	1.93466	0.151016	0.117593	0.105391	0.0988101	0.115983	0.11084	0.13289	0.0874443	0.124636	0.206678	0.0716737	0.0693027	0.12274	0.0977393	0.159052	0.152641	0.183216	0.139844	0.162639	0.102609	0.0942307	0.108225	0.21364	0.0591765	0.0354642	0.0258518	0.0151335	0.0278304	0.0414082	0.0623915	0.0158396	0.0203466	0.0168974	0.0505388	0.0178985	0.0287916	0.0234292	0.0530194	0.049959	0.105674	0.0170312	0.0308868	0.0134064	0.285348	0.647881	1.06827	1.99851	0.3544518	3.639809
120	-14520.8	-14524.3	3.44514	2.765867	0.162899	0.122105	0.122693	0.0996038	0.144652	0.109693	0.147241	0.114775	0.135436	0.20345	0.0905042	0.101599	0.135166	0.153402	0.137203	0.14172	0.156529	0.131431	0.150978	0.0681504	0.106234	0.0939287	0.241167	0.0635914	0.0424646	0.033852	0.0346308	0.0377595	0.0469522	0.0798035	0.0311518	0.010657	0.0401554	0.0748017	0.0131146	0.0243615	0.0195902	0.0628425	0.0519521	0.155524	0.0145204	0.015655	0.0292304	0.370297	0.717681	1.08109	1.83093	0.3734903	3.953169
130	-14518	-14524.1	6.13087	2.167336	0.139987	0.130397	0.0932531	0.0897074	0.115404	0.114703	0.169751	0.0810727	0.0950551	0.195629	0.0940373	0.106547	0.0901649	0.112953	0.146785	0.128603	0.1484	0.13069	0.141162	0.0749343	0.108984	0.0964724	0.241167	0.0535134	0.0700071	0.0220559	0.0181839	0.0390281	0.0376983	0.035863	0.0194397	0.0294249	0.0230963	0.0735951	0.0417838	0.0268966	0.0347267	0.0558409	0.0385061	0.131284	0.0167445	0.0132197	0.0317543	0.312463	0.671705	1.07366	1.94217	0.3734903	3.65852
140	-14512.2	-14518.3	6.13663	2.118507	0.145539	0.129609	0.115286	0.11065	0.127027	0.0705386	0.16124	0.0879811	0.116314	0.217599	0.104946	0.105633	0.13025	0.0962587	0.139755	0.135865	0.140463	0.156081	0.145168	0.0956344	0.0868493	0.0925971	0.184092	0.0507829	0.0637757	0.0183474	0.0114713	0.028463	0.0319581	0.0696542	0.0310824	0.021434	0.0279809	0.0802017	0.0423015	0.0296045	0.0313267	0.0391817	0.0190517	0.129211	0.00856262	0.0081425	0.0167163	0.307022	0.667051	1.07269	1.95324	0.3734903	3.654626
150	-14508.4	-14514.7	6.27802	2.316894	0.170194	0.100822	0.100908	0.118859	0.123344	0.092823	0.155719	0.0874622	0.114354	0.198912	0.0830743	0.0913714	0.104416	0.0988569	0.139066	0.158003	0.150623	0.166151	0.135294	0.0876356	0.100832	0.0868748	0.1874	0.059265	0.0616554	0.0307828	0.0311747	0.0327628	0.0362419	0.0730351	0.0352245	0.0188459	0.0300522	0.0568287	0.0231588	0.0564324	0.0298629	0.0196203	0.0346993	0.113594	0.0203031	0.015421	0.0206969	0.328379	0.684971	1.07622	1.91043	0.4019273	3.652653
160	-14506.5	-14511.7	5.18096	1.860749	0.147969	0.115172	0.114869	0.105764	0.14143	0.0701395	0.146222	0.0965086	0.107565	0.212481	0.0864246	0.0802826	0.119803	0.133355	0.132528	0.157897	0.150623	0.146103	0.158669	0.0776333	0.120408	0.0985714	0.242634	0.0597713	0.0601358	0.0188449	0.0326274	0.0296043	0.0587768	0.0671923	0.0229986	0.0152063	0.0277142	0.0643193	0.0212013	0.0329969	0.0395333	0.0389912	0.0266623	0.106225	0.019622	0.0118843	0.0110817	0.276066	0.639339	1.06608	2.01852	0.354116	3.728441
170	-14510.6	-14515.2	4.56632	2.026947	0.189381	0.117232	0.105845	0.149751	0.118479	0.0743204	0.15698	0.0914151	0.108405	0.224917	0.109501	0.083195	0.103439	0.122622	0.132004	0.156713	0.156569	0.118012	0.166435	0.104777	0.101361	0.0909457	0.219889	0.0614854	0.0611247	0.025519	0.0393535	0.0362351	0.0434581	0.0516195	0.0316209	0.0178709	0.0271623	0.0768643	0.0273304	0.034555	0.0338234	0.0529326	0.0312342	0.09642	0.0255532	0.0218585	0.00658957	0.29647	0.657849	1.07065	1.97503	0.354116	3.804797
180	-14509.5	-14515.6	6.15937	2.398488	0.163796	0.0945449	0.13279	0.125597	0.133795	0.0899245	0.135968	0.0912402	0.116601	0.229469	0.0781306	0.0993444	0.119042	0.0969764	0.142987	0.171068	0.129707	0.128114	0.127599	0.0726292	0.102427	0.108573	0.207398	0.0527955	0.0556638	0.0271775	0.0386302	0.0210745	0.0290892	0.0413595	0.0286401	0.0213895	0.0436275	0.0683401	0.0287761	0.0404206	0.0244765	0.042947	0.0275824	0.0989221	0.0309857	0.0365429	0.0124377	0.336616	0.691645	1.07738	1.89436	0.3773956	3.668599
190	-14514.7	-14519.2	4.44764	2.292361	0.170277	0.104859	0.171081	0.134696	0.147367	0.0827469	0.144462	0.097042	0.104516	0.175998	0.0825174	0.0903079	0.135506	0.120154	0.126941	0.162429	0.152068	0.136509	0.151902	0.102179	0.112061	0.103952	0.248541	0.0597903	0.0636914	0.0373483	0.0250107	0.0300394	0.0412024	0.0342581	0.034476	0.00801486	0.0387433	0.0683401	0.0277227	0.0477897	0.0251029	0.0517881	0.0236303	0.092565	0.0205909	0.0293224	0.0168236	0.325843	0.68289	1.07584	1.91543	0.3773956	3.834366
200	-14511.2	-14517.2	6.00271	2.021393	0.113367	0.0920454	0.121821	0.109855	0.140805	0.113427	0.157486	0.09956	0.0891967	0.22115	0.0878567	0.0886546	0.107438	0.104601	0.146542	0.143662	0.139662	0.136509	0.143823	0.0801798	0.101971	0.11004	0.240293	0.0569596	0.0471562	0.0287577	0.0246587	0.0326102	0.0464081	0.0789495	0.0411715	0.00935959	0.018756	0.0423287	0.0267155	0.0410271	0.0268378	0.0424435	0.0425672	0.106293	0.0113351	0.0224748	0.0239598	0.295815	0.657269	1.07052	1.9764	0.3773956	3.660714
210	-14505.8	-14510.3	4.47687	1.867342	0.19465	0.121831	0.123282	0.116899	0.133571	0.0827875	0.132614	0.0932977	0.109528	0.219945	0.0840565	0.0930311	0.123763	0.106572	0.147194	0.154073	0.176369	0.12576	0.151844	0.0809321	0.138184	0.105831	0.251048	0.0727334	0.0595045	0.0241303	0.0260271	0.0455561	0.0386868	0.0605715	0.0262624	0.0131764	0.0355334	0.0628589	0.0105749	0.0396451	0.0257897	0.0365143	0.0298344	0.0786865	0.0134222	0.0154454	0.0174937	0.276908	0.640123	1.06629	2.01668	0.3773956	3.799508
