Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14777.7	-14787	9.30488	0.151952	0.0812103	0.098552	0.100952	0.128845	0.0689475	0.135803	0.0758456	0.101031	0.197539	0.0722267	0.0860055	0.0868426	0.122466	0.118586	0.174491	0.125541	0.150705	0.152264	0.0892958	0.0757044	0.0875356	0.165424	0.0786131	0.0378809	0.0460741	0.0364633	0.017462	0.0273655	0.0194374	0.0339875	0.0324233	0.0635313	0.0501341	0.0314756	0.0482453	0.0436442	0.0501596	0.0282164	0.0386581	0.0193248	0.0312935	0.0192228	4.162874	0.279295	0.280019	0.0962635	0.344423	3.401378
110	-14769.7	-14779.6	9.91355	0.152069	0.0956372	0.12765	0.0843156	0.110465	0.0742501	0.112295	0.0670771	0.0787306	0.182331	0.0767458	0.0896506	0.111978	0.123796	0.110152	0.145816	0.129319	0.106687	0.119496	0.0690731	0.0938639	0.0792732	0.182066	0.0960738	0.0461373	0.0361388	0.0284133	0.0116225	0.0313618	0.031487	0.0447582	0.0286083	0.0536284	0.0486454	0.0410707	0.0500714	0.0348337	0.0611449	0.0436772	0.0474713	0.0350688	0.0408721	0.0193507	3.948914	0.279295	0.280019	0.0962635	0.344423	3.353174
120	-14762.2	-14773.1	10.9269	0.139446	0.0846819	0.10472	0.105278	0.10162	0.086547	0.12086	0.0718048	0.0944868	0.183019	0.0723079	0.0832537	0.0945102	0.100443	0.100617	0.137536	0.117381	0.108345	0.122776	0.0929178	0.0930122	0.0857684	0.18992	0.0752539	0.0455432	0.036569	0.0298547	0.0320243	0.024346	0.0237694	0.0501555	0.0266304	0.0605883	0.0399208	0.0410707	0.0344822	0.0293647	0.0505117	0.0249245	0.0620273	0.0277596	0.0256636	0.0205293	3.942197	0.275938	0.288718	0.0950965	0.340248	3.252239
130	-14771.7	-14781.5	9.79565	0.138184	0.0846696	0.111548	0.0835121	0.116557	0.0706333	0.142674	0.0862908	0.0936182	0.159551	0.0992073	0.0730797	0.102432	0.107279	0.129795	0.118239	0.128492	0.130122	0.130412	0.0595089	0.0845911	0.0732485	0.204533	0.126218	0.0529475	0.0390347	0.0417489	0.0313761	0.0105158	0.028018	0.0267575	0.0294192	0.0612793	0.0479964	0.0240756	0.0490211	0.0431049	0.0457581	0.0357856	0.0597785	0.023432	0.0201667	0.0337672	4.05937	0.2812	0.294223	0.0969097	0.327668	3.358378
140	-14779.1	-14789.1	9.99294	0.119801	0.0911944	0.107832	0.0947904	0.107285	0.0694134	0.167465	0.0595499	0.105004	0.165847	0.0909232	0.0753723	0.103296	0.0902663	0.119726	0.132993	0.14292	0.136639	0.119214	0.0542429	0.0969027	0.0825304	0.182537	0.0851123	0.056194	0.0369352	0.03446	0.0333577	0.0234405	0.0370946	0.0348488	0.0229021	0.0503598	0.0404675	0.0300191	0.0441008	0.0515444	0.0547938	0.0382905	0.0615359	0.0286317	0.0217118	0.0371045	4.05937	0.288275	0.285904	0.0899083	0.335913	3.33865
150	-14771.8	-14781.4	9.65189	0.141956	0.112575	0.106504	0.110456	0.0990788	0.0932313	0.123405	0.07393	0.0882591	0.206547	0.0814793	0.0938305	0.129107	0.133255	0.112127	0.125751	0.127686	0.123132	0.121423	0.0826625	0.0876773	0.0922603	0.16708	0.0900854	0.0607954	0.052607	0.028133	0.0202972	0.0229812	0.0197642	0.0277395	0.0326682	0.0544076	0.0251386	0.0333476	0.0343459	0.0339679	0.0697783	0.025445	0.0403017	0.0298748	0.014056	0.0236072	4.05937	0.288275	0.285904	0.0899083	0.335913	3.372754
160	-14780	-14789.4	9.4455	0.140703	0.141861	0.117803	0.0970343	0.0991855	0.0804418	0.114412	0.0676221	0.0848098	0.192421	0.0982482	0.0879526	0.106263	0.0981186	0.111561	0.142651	0.151225	0.128061	0.0985354	0.0890053	0.116991	0.0966749	0.17764	0.109318	0.0547863	0.0417205	0.02905	0.0125723	0.0257827	0.0248579	0.0210371	0.0339366	0.0617029	0.0429627	0.0358498	0.0190042	0.028112	0.0525809	0.0288668	0.0723317	0.0209149	0.0237694	0.0150162	4.05937	0.292052	0.281103	0.0918629	0.334982	3.393394
170	-14774.1	-14784.3	10.2121	0.119384	0.0890788	0.0888741	0.102265	0.100018	0.0871992	0.137394	0.0853404	0.0971203	0.15433	0.0720113	0.113798	0.121579	0.0950971	0.087161	0.130273	0.144409	0.128743	0.121693	0.0941987	0.0959039	0.0922599	0.17143	0.111365	0.0533608	0.0370396	0.0189113	0.0167895	0.0181344	0.0297859	0.0230089	0.032166	0.0612157	0.0416421	0.0428869	0.0285093	0.0366568	0.0617444	0.0360515	0.0838784	0.027659	0.0150452	0.0173988	3.9574	0.289616	0.278758	0.0994394	0.332187	3.322812
180	-14772.6	-14783.4	10.7582	0.134577	0.0955704	0.114525	0.0892076	0.114125	0.0995909	0.108228	0.0833935	0.0820116	0.175064	0.0726775	0.0745427	0.102883	0.119216	0.122875	0.140503	0.13253	0.126464	0.130956	0.0677452	0.0906572	0.0634688	0.173572	0.0878172	0.0355864	0.0373572	0.0474017	0.0147369	0.0114252	0.01876	0.0447636	0.0343266	0.0555584	0.0308538	0.0388285	0.0376831	0.0366102	0.0586696	0.0303437	0.0475864	0.0295129	0.0251152	0.0308813	3.9574	0.289616	0.278758	0.0994394	0.332187	3.268202
190	-14773.4	-14784	10.6222	0.157085	0.0955704	0.0910129	0.112234	0.125851	0.0883866	0.140712	0.0703277	0.0978732	0.192994	0.0932557	0.0673434	0.115257	0.0948384	0.0919057	0.128534	0.129158	0.110243	0.129914	0.0713891	0.097613	0.0766386	0.146588	0.0679818	0.0557347	0.0409419	0.0338808	0.0210546	0.0170467	0.0336952	0.0184355	0.022046	0.050446	0.0512674	0.039968	0.0370159	0.0416101	0.0584133	0.0248202	0.0405583	0.0364031	0.0404512	0.025308	3.9574	0.283789	0.27315	0.106929	0.336132	3.281803
200	-14772.3	-14782.6	10.2941	0.116181	0.0987993	0.0860154	0.103831	0.104939	0.0736448	0.15861	0.0780189	0.0910984	0.175086	0.0722694	0.0745711	0.0928941	0.121097	0.078366	0.155148	0.125016	0.121659	0.129914	0.0827485	0.096102	0.0876049	0.17185	0.100477	0.068752	0.0331687	0.0351477	0.013456	0.0173628	0.0360123	0.0305111	0.0233088	0.0426399	0.042886	0.0440446	0.0456999	0.0508158	0.0480948	0.0385187	0.06432	0.028915	0.0333516	0.0216617	3.9574	0.283418	0.274102	0.106789	0.335692	3.31461
210	-14779.3	-14790.4	11.1311	0.14834	0.0768046	0.112888	0.0948314	0.106393	0.0637441	0.123911	0.0796074	0.0865846	0.156829	0.0604401	0.111611	0.0943272	0.107668	0.0975169	0.133346	0.140911	0.109079	0.121542	0.0697778	0.0762942	0.0866521	0.187577	0.0889726	0.0659571	0.0549382	0.0363667	0.0148077	0.0243628	0.018635	0.0179057	0.020932	0.0533071	0.055177	0.0372749	0.0340714	0.0592264	0.079392	0.0281619	0.0526805	0.0137619	0.0229899	0.0111362	3.861106	0.284546	0.271211	0.107214	0.337029	3.236731
