Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-14785.2	-14793.6	8.39589	0.128545	0.102043	0.100683	0.099832	0.12045	0.0873831	0.152078	0.081569	0.0952605	0.175668	0.0831067	0.0934016	0.126306	0.124593	0.0950659	0.115534	0.13508	0.13338	0.120207	0.106134	0.090738	0.0707692	0.216035	0.0305628	0.0430511	0.0305055	0.0483661	0.0234313	0.0952098	0.0197575	0.0224743	0.0539415	0.050447	0.0726538	0.0291505	0.0356336	0.0252816	0.0470563	0.0182494	0.102473	0.0440655	0.0193894	0.0370687	3.987479	0.280007	0.290201	0.103748	0.326044	3.502629
11	1	-14786.2	-14796.7	10.4257	0.129107	0.0913664	0.101609	0.0857157	0.109517	0.093757	0.129886	0.0843738	0.100477	0.171475	0.0914543	0.0946763	0.103894	0.0834806	0.0938473	0.135859	0.153385	0.136927	0.112591	0.0709194	0.0912297	0.0579757	0.191319	0.117332	0.04868	0.0368104	0.0401469	0.0224991	0.000192416	0.0413496	0.0294651	0.0211353	0.0455329	0.0352375	0.0505336	0.0613482	0.0298058	0.0525612	0.0209132	0.0675097	0.0375398	0.0173312	0.0171178	3.851024	0.254343	0.290096	0.098045	0.357515	3.307885
12	0	-14777.1	-14787.3	10.1166	0.146646	0.117394	0.102672	0.0807177	0.105528	0.0787523	0.104564	0.0791854	0.0917357	0.155093	0.0890062	0.0940247	0.102472	0.0997618	0.143422	0.122546	0.152122	0.117118	0.120207	0.0878593	0.0762684	0.0774422	0.189116	0.0207564	0.0366485	0.025749	0.0649568	0.0164122	0.0906487	0.0243358	0.0247754	0.0489674	0.0243488	0.0678337	0.0261259	0.0463475	0.0425738	0.0504161	0.0177518	0.0658054	0.0425577	0.026184	0.0337099	3.987479	0.27418	0.273957	0.101589	0.350274	3.330558
13	1	-14783.8	-14793.9	10.1239	0.165618	0.0958844	0.0990757	0.0812991	0.0930623	0.0927573	0.107252	0.0749524	0.0974124	0.166635	0.087246	0.0845358	0.106823	0.0937954	0.128185	0.129351	0.153546	0.120464	0.140951	0.0702166	0.100846	0.078897	0.224423	0.106632	0.0696368	0.0401253	0.0275061	0.0146687	0.000993918	0.0312367	0.0153867	0.0298199	0.0376523	0.048863	0.0349118	0.027541	0.0565376	0.0529015	0.0259122	0.0494194	0.0352654	0.0171907	0.0233457	3.839457	0.254343	0.290096	0.098045	0.357515	3.338773
14	0	-14773.1	-14783	9.85918	0.148508	0.0879528	0.100786	0.0976297	0.113653	0.0774101	0.139121	0.0866917	0.105188	0.167289	0.0771954	0.0867282	0.0942131	0.124864	0.102916	0.117963	0.145632	0.12018	0.120207	0.0928416	0.0863944	0.0874667	0.20006	0.0292609	0.0311029	0.038806	0.0515986	0.0258442	0.0805642	0.028238	0.0293335	0.0463607	0.0290631	0.0432434	0.0394071	0.0501909	0.0316073	0.0554849	0.00949922	0.0777974	0.053554	0.0225214	0.0186828	3.712854	0.271918	0.279949	0.10075	0.347384	3.373051
15	1	-14783.6	-14792.9	9.29273	0.13932	0.0937025	0.10307	0.094891	0.128679	0.0826109	0.126887	0.0770119	0.102765	0.20054	0.0595147	0.0733316	0.0963334	0.116671	0.116154	0.171074	0.11436	0.123122	0.150127	0.0713895	0.0980211	0.0930752	0.215537	0.0948038	0.0658479	0.0366822	0.0338339	0.0147362	0.0075216	0.044072	0.00805609	0.0346714	0.044974	0.0535722	0.0477052	0.0335309	0.0509558	0.0330947	0.0293762	0.0634927	0.0174635	0.0161129	0.0212058	4.209292	0.279561	0.280285	0.0947292	0.345425	3.399897
16	0	-14781	-14791.3	10.2965	0.151125	0.0911238	0.102937	0.1033	0.115191	0.088804	0.0925141	0.0921995	0.105188	0.173242	0.0702757	0.0762688	0.119383	0.0914112	0.111283	0.125002	0.133422	0.120863	0.126947	0.0733982	0.10652	0.0604308	0.18432	0.0247642	0.0565519	0.0426442	0.0375639	0.0416069	0.076834	0.0333185	0.0232728	0.0581257	0.0249732	0.0497961	0.027955	0.0390712	0.0390921	0.035268	0.00768134	0.0696598	0.0495251	0.0361268	0.0166126	4.105244	0.271918	0.279949	0.10075	0.347384	3.305593
17	1	-14783.9	-14793.3	9.35479	0.137858	0.117734	0.127028	0.106107	0.118807	0.0788081	0.126841	0.0886019	0.0879108	0.20054	0.0694832	0.0912465	0.0878858	0.124495	0.0899251	0.117771	0.159276	0.131571	0.145379	0.0713895	0.110455	0.072169	0.171959	0.0708425	0.0370289	0.0423952	0.0502735	0.0268079	0.0206246	0.0273805	0.027574	0.0277829	0.058519	0.0464057	0.0376959	0.0225506	0.038621	0.0589452	0.0269027	0.0356622	0.0324353	0.0293364	0.0426652	4.209292	0.279561	0.280285	0.0947292	0.345425	3.393691
18	0	-14782.1	-14792.5	10.345	0.153316	0.124209	0.102937	0.107127	0.119058	0.07006	0.125459	0.0809392	0.0807482	0.172733	0.0820158	0.0802326	0.102245	0.0903636	0.133694	0.107858	0.154656	0.108144	0.110419	0.0834746	0.0788424	0.0905691	0.181286	0.0262891	0.0287684	0.0436905	0.062281	0.0343844	0.105418	0.0218125	0.0169754	0.0483133	0.0258939	0.0474931	0.0485051	0.0431558	0.0359447	0.0544864	0.00801994	0.0423611	0.0395593	0.0468593	0.00729591	3.658073	0.273635	0.278116	0.103139	0.34511	3.327894
19	1	-14771.5	-14781.4	9.91564	0.130994	0.10679	0.0965659	0.0740464	0.121996	0.0645947	0.128815	0.0989403	0.111181	0.166389	0.0838613	0.0893697	0.11757	0.0854703	0.0975782	0.128292	0.138711	0.120994	0.145379	0.0740896	0.0940145	0.0929856	0.171959	0.0977072	0.0616138	0.040646	0.0328475	0.0199291	0.0225754	0.0369251	0.0323684	0.0220534	0.0572241	0.0421355	0.0344719	0.0453715	0.0282651	0.0438597	0.0419864	0.0578961	0.0147839	0.0245936	0.0424628	4.162874	0.279613	0.280338	0.0952341	0.344816	3.340302
