Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20458.9	-20449.7	-9.12114	0.157377	0.00438983	0.158162	0.0269767	0.127008	0.466109	0.025883	0.0530595	0.121017	0.0111929	0.282093	0.089348	0.00875505	0.0828102	0.0371694	0.0641907	0.109111	0.191208	0.162559	0.0286132	0.0919038	0.139297	0.0359394	0.185379	0.691986	0.0987792	0.0602399	0.142873	0.0404196	0.272544	0.181235	0.209978	0.0537674	0.0257703	0.278635	0.139482	0.0249493	0.222057	0.0300025	0.132136	0.0692548	0.0110553	0.0563044	5.401022
10	-17216.7	-17221.6	4.90811	0.221573	0.00413273	0.195163	0.075643	0.15132	0.129566	0.115005	0.0972375	0.125567	0.0772701	0.145289	0.0736774	0.0188338	0.0779306	0.137334	0.120948	0.126469	0.120283	0.127375	0.0746963	0.103174	0.103783	0.18964	0.0696532	0.182448	0.0543382	0.0575519	0.0482451	0.0365721	0.171532	0.0723528	0.0882712	0.0355931	0.0312483	0.140463	0.042791	0.040134	0.14074	0.0257999	0.0447734	0.0686606	0.00640936	0.0286102	3.998097
20	-16067.4	-16079.7	12.3725	0.153261	0.00706368	0.0907063	0.100072	0.112652	0.0841806	0.13709	0.0865369	0.088701	0.174548	0.0900572	0.0690447	0.0570952	0.107225	0.0930853	0.16154	0.139978	0.132921	0.127375	0.0746963	0.102706	0.0806816	0.173817	0.0394171	0.0275815	0.0390499	0.039126	0.034816	0.034715	0.0785741	0.0325899	0.0550082	0.0212255	0.0238639	0.0558338	0.0412896	0.0536636	0.122339	0.0234841	0.0274388	0.0243273	0.0200776	0.0122067	3.251661
30	-15846.7	-15859.6	12.8584	0.125033	0.0267583	0.0943794	0.100072	0.117119	0.0796636	0.118589	0.0746748	0.110353	0.169936	0.0688487	0.0813743	0.105088	0.104759	0.101423	0.107726	0.114074	0.0958628	0.122569	0.0725219	0.0804467	0.0999115	0.187059	0.0429248	0.020842	0.0432876	0.0438182	0.0376427	0.0428575	0.0568749	0.0323645	0.0482254	0.0287174	0.0292372	0.0572556	0.0345671	0.0207757	0.142346	0.0266344	0.035355	0.021105	0.0506356	0.0293596	3.203067
40	-15805.9	-15819.3	13.4324	0.140541	0.0955411	0.0943794	0.0755261	0.101841	0.0794661	0.112021	0.0713865	0.0897446	0.167353	0.0945547	0.0772411	0.0840308	0.0874148	0.107404	0.106051	0.123803	0.114346	0.139371	0.0717478	0.0708492	0.100539	0.187059	0.0571509	0.0400517	0.0425669	0.0317283	0.0181772	0.0577619	0.0237322	0.0355126	0.0343634	0.024247	0.033489	0.0490914	0.0287342	0.0302908	0.0752323	0.0260203	0.0309144	0.0233005	0.0565978	0.034495	3.145669
50	-15808.8	-15820.2	11.4681	0.140541	0.115233	0.115984	0.0838482	0.103853	0.0910787	0.131313	0.0863755	0.0951824	0.168138	0.092306	0.0876988	0.0953014	0.0953716	0.102837	0.138253	0.123349	0.10447	0.110959	0.105441	0.100618	0.0879469	0.18494	0.0486767	0.0213339	0.0324787	0.0296362	0.0235718	0.0538818	0.0342564	0.0275886	0.0602291	0.0400349	0.0252184	0.0558249	0.0334984	0.0196892	0.0718573	0.0274006	0.0288747	0.0342163	0.0668261	0.0459688	3.3421
60	-15817.2	-15828.9	11.7283	0.152507	0.0869033	0.0968333	0.119556	0.102492	0.0703589	0.105042	0.0705871	0.112459	0.179921	0.0721542	0.0977101	0.0851544	0.0943732	0.135921	0.118084	0.119449	0.137128	0.118264	0.0919163	0.0957392	0.0728463	0.210271	0.0396014	0.0306706	0.0221741	0.0304883	0.0108027	0.0545105	0.0364457	0.0285674	0.0546298	0.0308923	0.0409341	0.0710481	0.0335266	0.0344884	0.0611947	0.0266446	0.043097	0.0245759	0.0660207	0.0300935	3.316077
70	-15812.2	-15825.9	13.7416	0.1074	0.0813718	0.0968333	0.0779602	0.102492	0.0967781	0.121724	0.0832105	0.0999396	0.145052	0.101113	0.0930773	0.0953476	0.0876286	0.110408	0.112446	0.143375	0.126759	0.124194	0.0761285	0.0810743	0.0813763	0.139802	0.0495485	0.0296983	0.0212399	0.0321829	0.0130298	0.0687709	0.0162964	0.0490071	0.0365762	0.0339403	0.0307614	0.0522823	0.0501715	0.0301303	0.0642924	0.0135476	0.0353194	0.0238638	0.0517335	0.0268642	3.114749
80	-15809.3	-15822.6	13.2579	0.134028	0.0870196	0.0886702	0.0832246	0.107085	0.0616821	0.131599	0.0917428	0.0931075	0.195434	0.0655542	0.0836906	0.102045	0.107227	0.104502	0.123151	0.117586	0.101822	0.124194	0.0761285	0.0744085	0.085021	0.149738	0.0557184	0.0389322	0.0321977	0.0286415	0.011651	0.0586229	0.0213705	0.0294445	0.0377265	0.0436592	0.0424505	0.0611266	0.0557839	0.0198461	0.0750684	0.00776491	0.03475	0.0299896	0.0672337	0.0224761	3.163115
90	-15809.2	-15821.8	12.5656	0.163285	0.13408	0.107411	0.0772288	0.124794	0.0675365	0.141512	0.0677086	0.0976412	0.17935	0.0715799	0.0813863	0.110697	0.0833034	0.12034	0.136666	0.136897	0.104954	0.115314	0.076176	0.0769839	0.0968508	0.157315	0.031092	0.0263046	0.0293454	0.0220377	0.0204328	0.0562315	0.0166846	0.0453095	0.0525817	0.0302174	0.026697	0.0397181	0.0408547	0.0283048	0.0897195	0.0210132	0.0276644	0.0208097	0.0611495	0.0171702	3.232349
