Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	0	-15809.7	-15822.5	12.8307	0.144452	0.0902705	0.120242	0.0840501	0.0949549	0.072828	0.137614	0.0838576	0.0871255	0.172239	0.0744006	0.0815717	0.107597	0.0912311	0.126546	0.101816	0.132657	0.103166	0.121486	0.0858651	0.0870821	0.0972179	0.165578	0.019854	0.0382377	0.0548768	0.0545321	0.0259918	0.059267	0.0277532	0.0879076	0.0261125	0.0266893	0.0682049	0.0116761	0.0252902	0.0275408	0.0287799	0.0321639	0.0414716	0.0147438	0.0324339	0.0384597	3.205835
11	1	-15801.8	-15815.3	13.478	0.128986	0.080451	0.103352	0.0825501	0.108919	0.0777813	0.122344	0.0903313	0.0993107	0.16529	0.0902172	0.0766357	0.0874708	0.101175	0.10161	0.144018	0.119082	0.137128	0.113883	0.0722635	0.0798864	0.0741383	0.18089	0.0425984	0.0225095	0.0175309	0.049927	0.0167426	0.0219976	0.0373253	0.093632	0.0482287	0.0454673	0.0300995	0.0276639	0.0216217	0.0320332	0.0325559	0.023371	0.027914	0.058044	0.0232842	0.0308499	3.141111
12	0	-15807.1	-15820.5	13.3194	0.128853	0.0856859	0.0940912	0.115896	0.0940452	0.0857639	0.116647	0.0847518	0.0890161	0.173803	0.0907185	0.101333	0.091203	0.0938873	0.108067	0.136642	0.13079	0.113398	0.108579	0.0862371	0.100039	0.0665222	0.165578	0.0388583	0.0187355	0.0592555	0.0457585	0.0206072	0.0440043	0.0302449	0.0781175	0.0384362	0.0250532	0.058177	0.0169771	0.0209782	0.0255243	0.020347	0.0261461	0.0380247	0.020642	0.0441506	0.0253792	3.156966
13	1	-15810	-15822.7	12.7271	0.121995	0.101067	0.0839052	0.0916597	0.115267	0.0724381	0.109946	0.0659422	0.113472	0.158534	0.0900538	0.0851017	0.115889	0.0880966	0.133855	0.131223	0.156937	0.110922	0.118711	0.0818719	0.0762386	0.075286	0.18089	0.0408805	0.0245692	0.0202532	0.0380649	0.0195494	0.028192	0.0494897	0.107245	0.0543988	0.030316	0.0427814	0.0071909	0.0324043	0.0316299	0.0262389	0.034315	0.0384981	0.0666182	0.0260866	0.0181736	3.216198
14	0	-15810.2	-15822.9	12.6946	0.166732	0.125891	0.105119	0.0847165	0.127355	0.0947135	0.116641	0.0869883	0.0934036	0.143727	0.0530944	0.0927887	0.109214	0.0830603	0.0985483	0.105353	0.133983	0.104977	0.117092	0.0634218	0.0868501	0.0917425	0.19822	0.0267884	0.0354809	0.0539337	0.0399151	0.023864	0.0477609	0.0301507	0.0858948	0.0369855	0.0227113	0.04977	0.0200873	0.0403808	0.0248638	0.03433	0.02851	0.0467155	0.0158587	0.0338093	0.0380044	3.219449
15	1	-15811.9	-15824.9	13.0453	0.129935	0.0730694	0.0866912	0.104711	0.101628	0.0795102	0.129836	0.0741962	0.111397	0.196099	0.0879063	0.0802752	0.106223	0.0879466	0.0993629	0.107509	0.112794	0.115923	0.129103	0.0846014	0.0841852	0.0958713	0.169949	0.0471482	0.0210225	0.0221416	0.0446986	0.0161834	0.015121	0.0557224	0.0853209	0.0603758	0.0551295	0.0457047	0.0178603	0.0363423	0.0490125	0.0227208	0.028808	0.0321765	0.0478192	0.0159625	0.0163844	3.184378
16	0	-15806.9	-15819.9	12.9544	0.116561	0.112144	0.105119	0.100787	0.1111	0.0745908	0.146129	0.0781073	0.0939266	0.173815	0.0887025	0.0967218	0.0859992	0.109669	0.0976511	0.122665	0.139716	0.13097	0.130987	0.0625517	0.0934704	0.060518	0.162352	0.033955	0.0247443	0.0465907	0.0469305	0.0221421	0.0451074	0.0258507	0.0981849	0.0191186	0.0240345	0.0408687	0.0130135	0.0229619	0.0276051	0.04812	0.0387046	0.035107	0.0217382	0.0298492	0.0345889	3.193467
17	1	-15797.4	-15809.5	12.1287	0.131879	0.0976568	0.0846202	0.100687	0.116649	0.08477	0.11937	0.0847982	0.0953072	0.169236	0.0805718	0.0866057	0.0978613	0.103322	0.0974023	0.135001	0.151993	0.114148	0.125889	0.0849578	0.0812206	0.084947	0.179543	0.0526311	0.0356319	0.0221668	0.0447732	0.030921	0.0261128	0.0442458	0.0789461	0.0695187	0.0437594	0.0314909	0.0206767	0.0311764	0.0395833	0.0364002	0.026724	0.0215599	0.0448516	0.039926	0.0265043	3.276038
18	0	-15815.4	-15827.8	12.3584	0.131283	0.090516	0.103282	0.107845	0.118622	0.0783496	0.118867	0.0741524	0.0939266	0.173815	0.0767064	0.0822316	0.0906773	0.0757691	0.0907157	0.127824	0.134785	0.119842	0.10891	0.0689414	0.058273	0.0847369	0.192175	0.0287379	0.0351588	0.043441	0.0644379	0.0252892	0.0467632	0.0444623	0.0898381	0.0426154	0.0302741	0.0598996	0.0137723	0.0241304	0.0345018	0.0548416	0.0478	0.0525198	0.0288817	0.0317609	0.0516993	3.253071
19	1	-15809	-15822.5	13.5415	0.132088	0.0896308	0.0957963	0.0800093	0.12256	0.0714164	0.110124	0.0708415	0.073803	0.185678	0.0714269	0.0729383	0.080148	0.0955306	0.10753	0.135915	0.129881	0.116829	0.126106	0.0775601	0.0784065	0.0834842	0.179543	0.0478271	0.043521	0.027945	0.0447732	0.0295563	0.0119596	0.0504189	0.100316	0.0467738	0.0356786	0.018938	0.0235919	0.0291344	0.0284475	0.0324351	0.0208884	0.0426497	0.0408407	0.0321866	0.0396291	3.134758
