Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-18402.1	-18404.8	2.60351	3.615594	0.0749849	0.150595	0.0145735	0.0563026	0.301572	0.0866991	0.112462	0.230755	0.00312172	0.154014	0.0278403	0.0257414	0.0633561	0.156922	0.0551425	0.0837416	0.0727306	0.0500416	0.044637	0.108122	0.0636168	0.0847255	0.0251917	0.0199468	0.0666179	0.0251862	0.0555861	0.401711	0.0635053	0.259246	0.0204681	0.0125491	0.0610842	0.284741	0.0455979	0.103593	0.259485	0.02064	0.0888691	0.128629	0.169788	0.293125	0.276781	0.05449	0.22591	0.21739	0.265278	0.236558	0.000374232	0.431912	0.760771	1.08423	1.72308	0.0363633	0.5618	0.176926	0.22491	0.3172678	4.704038
10	-13956.6	-13956.9	0.275219	0.9479792	0.147535	0.165689	0.0259619	0.0581684	0.157311	0.119833	0.262349	0.193851	0.00511857	0.21608	0.107331	0.127885	0.0918716	0.129612	0.134421	0.2051	0.210065	0.150235	0.178193	0.0873382	0.10358	0.124444	0.0801738	0.0281142	0.0355554	0.00796866	0.0554569	0.152671	0.0160425	0.0988936	0.01649	0.0232866	0.241918	0.209325	0.0926782	0.1124	0.0417121	0.0577215	0.0625689	0.137967	0.062757	0.129573	0.0200293	0.126169	0.266148	0.109972	0.009657	0.484528	0.00352554	0.126461	0.460537	0.990816	2.42219	0.229277	0.454729	0.128891	0.187103	0.3422054	4.685276
20	-13517.7	-13516.3	-1.38614	1.310138	0.199335	0.170031	0.0547895	0.118295	0.109624	0.152254	0.194548	0.172192	0.0243685	0.248696	0.125831	0.147891	0.155998	0.191757	0.196431	0.212675	0.210065	0.130327	0.152205	0.101889	0.151299	0.0918915	0.302881	0.0504826	0.0654887	0.00643268	0.0380171	0.109832	0.0216208	0.100617	0.00431632	0.0349932	0.183095	0.0826602	0.125916	0.0233148	0.0186208	0.029002	0.161355	0.0383632	0.0644264	0.177638	0.00834735	0.121848	0.28251	0.113802	0.00932623	0.467933	0.00458141	0.194448	0.553568	1.03701	2.21497	0.23271	0.446563	0.130822	0.189905	0.3422054	4.959816
30	-13309.2	-13310.1	0.89621	1.505859	0.217311	0.154249	0.146678	0.0880607	0.192885	0.11901	0.163895	0.183268	0.0413039	0.197302	0.124077	0.0945681	0.133812	0.199871	0.185852	0.217418	0.206773	0.147219	0.172974	0.108425	0.104011	0.137126	0.286306	0.0296789	0.0323336	0.0139791	0.0478183	0.110109	0.0141264	0.0673181	0.00719999	0.0508704	0.102482	0.0921242	0.0749996	0.0179862	0.0510124	0.0548106	0.15651	0.0427173	0.011566	0.127084	0.0417694	0.114885	0.307035	0.107299	0.0130308	0.441193	0.0165567	0.226226	0.589529	1.05076	2.13348	0.282858	0.362982	0.124536	0.229624	0.3562455	4.768891
40	-13181.3	-13178	-3.32917	1.400025	0.273015	0.155831	0.208014	0.145651	0.231173	0.0686582	0.187399	0.122937	0.0576036	0.262424	0.108652	0.100534	0.126318	0.183772	0.154906	0.234919	0.234743	0.158482	0.189796	0.0930374	0.126192	0.0579494	0.415978	0.0958504	0.0180643	0.0311094	0.025722	0.0289315	0.0318208	0.0392789	0.00503347	0.0684141	0.0574019	0.200512	0.0969856	0.0744843	0.0558363	0.0777093	0.105795	0.0525607	0.00689713	0.145428	0.0567803	0.0724641	0.225871	0.0788199	0.0126601	0.575131	0.0350539	0.209457	0.571023	1.04397	2.17555	0.319841	0.344263	0.118113	0.217782	0.3821244	5.172601
50	-13151.1	-13144.2	-6.88814	1.038682	0.245466	0.155831	0.14543	0.15806	0.209751	0.10052	0.201007	0.130984	0.150124	0.211529	0.096044	0.159928	0.183131	0.148666	0.149532	0.273242	0.220086	0.204988	0.236804	0.11989	0.147031	0.0667371	0.316058	0.100577	0.00392803	0.0817296	0.042167	0.0361365	0.094965	0.0700393	0.0128957	0.0845084	0.0357804	0.110062	0.13048	0.0734669	0.0621974	0.0283794	0.146019	0.0894821	0.00645405	0.134839	0.0603543	0.0564277	0.225155	0.0815971	0.00959502	0.597807	0.0294182	0.144607	0.488078	1.00612	2.36119	0.340675	0.333718	0.114495	0.211111	0.3821244	5.4353
60	-13135	-13124	-10.9807	1.094195	0.3195	0.123958	0.173805	0.125956	0.263048	0.123682	0.193482	0.136167	0.144811	0.351504	0.111954	0.121099	0.158846	0.182345	0.239815	0.298895	0.265025	0.191767	0.20917	0.103388	0.172764	0.111885	0.359607	0.131201	0.00468611	0.0326319	0.0600483	0.0298624	0.0657957	0.0456404	0.0297437	0.0709471	0.0524604	0.157753	0.0725698	0.0702925	0.041885	0.0458214	0.153173	0.0734255	0.021014	0.147091	0.0741507	0.0574138	0.22909	0.0734748	0.00769428	0.59837	0.0339572	0.155356	0.503342	1.01401	2.32729	0.34106	0.334094	0.113496	0.21135	0.3778666	5.862668
70	-13142.7	-13136.7	-6.00414	1.09958	0.231033	0.132309	0.190625	0.125758	0.191384	0.099188	0.208008	0.135598	0.120616	0.266788	0.114236	0.16178	0.221529	0.207943	0.164755	0.240807	0.206473	0.176971	0.178414	0.0932166	0.123975	0.0780134	0.446051	0.0720205	0.00193712	0.0332514	0.0414298	0.0143666	0.0683589	0.0429239	0.0576521	0.0576595	0.0756906	0.128856	0.0857941	0.0524956	0.0576932	0.048182	0.144891	0.0654811	0.0135608	0.137819	0.0511482	0.0559879	0.22401	0.0718454	0.0120007	0.582	0.0541564	0.156384	0.504765	1.01472	2.32413	0.34106	0.334094	0.113496	0.21135	0.3778666	5.366681
80	-13135.6	-13119.2	-16.3833	0.9334015	0.269629	0.155525	0.23157	0.137284	0.209425	0.112972	0.209641	0.130672	0.161679	0.367545	0.0962316	0.102261	0.195912	0.201834	0.201977	0.272153	0.281488	0.246009	0.223803	0.0873717	0.18723	0.0990133	0.553699	0.109821	0.00188632	0.0359038	0.035015	0.0148146	0.057663	0.026251	0.0669144	0.0661312	0.0653747	0.15956	0.105278	0.0873378	0.0671253	0.0664555	0.201832	0.079619	0.030243	0.223032	0.109991	0.0563102	0.249903	0.046318	0.0120378	0.580962	0.0544681	0.123482	0.455776	0.988024	2.43272	0.357853	0.336418	0.0929088	0.21282	0.3778666	6.345175
90	-13131.9	-13114.9	-16.9271	1.047312	0.330613	0.128039	0.202477	0.133948	0.239991	0.0877686	0.290804	0.128864	0.136763	0.349063	0.108916	0.181364	0.206801	0.224069	0.178548	0.242842	0.319595	0.245065	0.224924	0.0931147	0.181794	0.110989	0.446578	0.117909	0.00253274	0.0394506	0.0471068	0.0170846	0.0619984	0.0521034	0.0567675	0.0806526	0.0602028	0.198406	0.141468	0.0904622	0.0572797	0.0631514	0.199334	0.028508	0.0575711	0.172055	0.105157	0.0512629	0.299209	0.0557332	0.01532	0.528889	0.049586	0.146296	0.490525	1.00742	2.35576	0.347023	0.351311	0.090097	0.211569	0.3778666	6.442131
