Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
10	0	-13190.1	-13175.3	-14.7181	0.9527065	0.203198	0.127857	0.126171	0.12797	0.211228	0.201797	0.31305	0.179988	0.0354993	0.282806	0.0770396	0.128738	0.213147	0.159139	0.170197	0.289811	0.210762	0.156171	0.212355	0.0874349	0.178376	0.146895	0.55175	0.0899462	0.0422594	0.0681019	0.0714378	0.0450894	0.0955151	0.0600953	0.0458519	0.0643877	0.236949	0.196299	0.10827	0.0332731	0.0585996	0.0539343	0.156818	0.0541697	0.163604	0.121898	0.0286273	0.0350202	0.466892	0.0373752	0.0232114	0.394435	0.0430654	0.127424	0.46206	0.991699	2.41882	0.337435	0.368344	0.0562809	0.23794	0.4058077	6.186506
11	1	-13151.1	-13144.2	-6.88814	1.038682	0.245466	0.155831	0.14543	0.15806	0.209751	0.10052	0.201007	0.130984	0.150124	0.211529	0.096044	0.159928	0.183131	0.148666	0.149532	0.273242	0.220086	0.204988	0.236804	0.11989	0.147031	0.0667371	0.316058	0.100577	0.00392803	0.0817296	0.042167	0.0361365	0.094965	0.0700393	0.0128957	0.0845084	0.0357804	0.110062	0.13048	0.0734669	0.0621974	0.0283794	0.146019	0.0894821	0.00645405	0.134839	0.0603543	0.0564277	0.225155	0.0815971	0.00959502	0.597807	0.0294182	0.144607	0.488078	1.00612	2.36119	0.340675	0.333718	0.114495	0.211111	0.3821244	5.4353
12	0	-13136.1	-13119.1	-17.0598	0.9138494	0.300265	0.191617	0.160806	0.169844	0.156011	0.155081	0.242457	0.141958	0.127774	0.308846	0.105073	0.107393	0.192896	0.246518	0.176675	0.242211	0.309679	0.208394	0.198263	0.129232	0.123332	0.0854264	0.471566	0.0351849	0.061364	0.0831615	0.0221107	0.124359	0.0622041	0.0606785	0.0135387	0.0834957	0.174808	0.277606	0.109413	0.0215671	0.0551037	0.0886977	0.171233	0.0824853	0.203104	0.0833133	0.0398339	0.0370481	0.435777	0.0395395	0.0248014	0.417275	0.0455592	0.11946	0.449232	0.984117	2.44719	0.342967	0.374382	0.0595993	0.223051	0.4058077	6.404577
13	1	-13135	-13124	-10.9807	1.094195	0.3195	0.123958	0.173805	0.125956	0.263048	0.123682	0.193482	0.136167	0.144811	0.351504	0.111954	0.121099	0.158846	0.182345	0.239815	0.298895	0.265025	0.191767	0.20917	0.103388	0.172764	0.111885	0.359607	0.131201	0.00468611	0.0326319	0.0600483	0.0298624	0.0657957	0.0456404	0.0297437	0.0709471	0.0524604	0.157753	0.0725698	0.0702925	0.041885	0.0458214	0.153173	0.0734255	0.021014	0.147091	0.0741507	0.0574138	0.22909	0.0734748	0.00769428	0.59837	0.0339572	0.155356	0.503342	1.01401	2.32729	0.34106	0.334094	0.113496	0.21135	0.3778666	5.862668
14	0	-13135.2	-13113.7	-21.5216	0.9748809	0.283507	0.176429	0.175823	0.12128	0.208489	0.185589	0.276273	0.0985612	0.159885	0.421593	0.11005	0.134705	0.233664	0.210945	0.202475	0.325553	0.351383	0.2644	0.236675	0.129148	0.173067	0.0963955	0.491805	0.0613869	0.0361876	0.0795418	0.0317844	0.225243	0.0492066	0.0573346	0.00726218	0.0648454	0.0858614	0.187179	0.108925	0.0201228	0.0623862	0.0847466	0.191078	0.113837	0.15392	0.128749	0.0582395	0.039637	0.437589	0.0402656	0.0314462	0.419011	0.0320508	0.131915	0.469069	0.99571	2.40331	0.339997	0.385129	0.0577195	0.217154	0.3834037	6.875532
15	1	-13142.7	-13136.7	-6.00414	1.09958	0.231033	0.132309	0.190625	0.125758	0.191384	0.099188	0.208008	0.135598	0.120616	0.266788	0.114236	0.16178	0.221529	0.207943	0.164755	0.240807	0.206473	0.176971	0.178414	0.0932166	0.123975	0.0780134	0.446051	0.0720205	0.00193712	0.0332514	0.0414298	0.0143666	0.0683589	0.0429239	0.0576521	0.0576595	0.0756906	0.128856	0.0857941	0.0524956	0.0576932	0.048182	0.144891	0.0654811	0.0135608	0.137819	0.0511482	0.0559879	0.22401	0.0718454	0.0120007	0.582	0.0541564	0.156384	0.504765	1.01472	2.32413	0.34106	0.334094	0.113496	0.21135	0.3778666	5.366681
16	0	-13146.9	-13125.2	-21.6373	1.019381	0.265974	0.180304	0.200001	0.105633	0.230601	0.129934	0.234521	0.126074	0.140119	0.316101	0.0751518	0.125736	0.232181	0.290015	0.246039	0.380618	0.317362	0.188215	0.234322	0.138778	0.120137	0.169484	0.538556	0.0596837	0.0596874	0.0388721	0.0143344	0.21426	0.0366512	0.0398849	0.0124213	0.0584412	0.177487	0.240947	0.0645155	0.0371768	0.0586878	0.0780434	0.247539	0.175194	0.15392	0.124527	0.0253751	0.0352258	0.463467	0.0396496	0.0360598	0.369027	0.0565706	0.140805	0.482501	1.00314	2.37356	0.348305	0.370104	0.0591299	0.22246	0.3821051	6.903501
17	1	-13135.6	-13119.2	-16.3833	0.9334015	0.269629	0.155525	0.23157	0.137284	0.209425	0.112972	0.209641	0.130672	0.161679	0.367545	0.0962316	0.102261	0.195912	0.201834	0.201977	0.272153	0.281488	0.246009	0.223803	0.0873717	0.18723	0.0990133	0.553699	0.109821	0.00188632	0.0359038	0.035015	0.0148146	0.057663	0.026251	0.0669144	0.0661312	0.0653747	0.15956	0.105278	0.0873378	0.0671253	0.0664555	0.201832	0.079619	0.030243	0.223032	0.109991	0.0563102	0.249903	0.046318	0.0120378	0.580962	0.0544681	0.123482	0.455776	0.988024	2.43272	0.357853	0.336418	0.0929088	0.21282	0.3778666	6.345175
18	0	-13145	-13122	-22.9566	0.9155031	0.275248	0.180724	0.183841	0.144211	0.226702	0.186473	0.269924	0.156547	0.140119	0.389869	0.119784	0.165149	0.218602	0.362486	0.123969	0.394642	0.258963	0.191785	0.234322	0.120475	0.157392	0.12613	0.454252	0.0540723	0.0573656	0.0673963	0.00519165	0.197768	0.0951535	0.0507745	0.0233899	0.0766116	0.125181	0.19799	0.0968815	0.0354029	0.0618492	0.0563421	0.29447	0.0633892	0.222716	0.120861	0.0105536	0.0369543	0.407495	0.0479276	0.0294525	0.446072	0.0320985	0.119801	0.449793	0.984455	2.44595	0.348305	0.370104	0.0591299	0.22246	0.3821051	6.994967
19	1	-13131.9	-13114.9	-16.9271	1.047312	0.330613	0.128039	0.202477	0.133948	0.239991	0.0877686	0.290804	0.128864	0.136763	0.349063	0.108916	0.181364	0.206801	0.224069	0.178548	0.242842	0.319595	0.245065	0.224924	0.0931147	0.181794	0.110989	0.446578	0.117909	0.00253274	0.0394506	0.0471068	0.0170846	0.0619984	0.0521034	0.0567675	0.0806526	0.0602028	0.198406	0.141468	0.0904622	0.0572797	0.0631514	0.199334	0.028508	0.0575711	0.172055	0.105157	0.0512629	0.299209	0.0557332	0.01532	0.528889	0.049586	0.146296	0.490525	1.00742	2.35576	0.347023	0.351311	0.090097	0.211569	0.3778666	6.442131
