Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-13129.5	-13107.2	-22.2856	0.9605508	0.249518	0.116884	0.185605	0.155443	0.204796	0.11882	0.333426	0.158704	0.171626	0.314427	0.132485	0.164545	0.241769	0.319362	0.185146	0.326324	0.300963	0.24168	0.231819	0.108253	0.159788	0.107393	0.526678	0.0438223	0.0367535	0.0632688	0.00436904	0.230797	0.0729381	0.0323975	0.0495288	0.0817828	0.210536	0.184141	0.0895116	0.0608549	0.0822425	0.0788382	0.172086	0.0979661	0.180427	0.102068	0.0165782	0.0325738	0.398604	0.0468819	0.0288099	0.443735	0.0493953	0.129017	0.464565	0.993143	2.41328	0.352931	0.375019	0.0599152	0.212135	0.3821051	6.946359
110	-13138.8	-13115	-23.8506	0.8967471	0.368178	0.164855	0.19347	0.0917766	0.261289	0.13226	0.211042	0.165634	0.202885	0.383445	0.14385	0.143602	0.229544	0.370185	0.206877	0.3418	0.370982	0.212962	0.263701	0.0823385	0.166483	0.103952	0.483189	0.0593276	0.0154112	0.0588068	0.00443479	0.169385	0.0506883	0.030832	0.0213047	0.0752588	0.13126	0.243599	0.0882249	0.0216966	0.111	0.0732794	0.257107	0.0994677	0.129351	0.101096	0.040362	0.0371241	0.394618	0.046413	0.0285217	0.439297	0.054026	0.11592	0.443355	0.980537	2.46019	0.352931	0.375019	0.0599152	0.212135	0.3704749	7.076193
120	-13136.2	-13112.7	-23.4681	0.7536006	0.336389	0.130488	0.221029	0.146663	0.223405	0.165215	0.277108	0.137497	0.166876	0.401714	0.114298	0.131165	0.166848	0.370185	0.189292	0.310493	0.272124	0.246779	0.253653	0.0947822	0.138979	0.103663	0.488736	0.0533577	0.0236892	0.076346	0.00453716	0.212109	0.0787949	0.0280237	0.0758197	0.076209	0.199015	0.230891	0.0851474	0.0546534	0.0553704	0.059227	0.184154	0.120941	0.139716	0.0912738	0.0276823	0.0370231	0.393544	0.0436098	0.0284441	0.438102	0.0592773	0.0856549	0.38776	0.94322	2.58337	0.350393	0.372323	0.0594843	0.2178	0.3200437	6.964339
130	-13141.6	-13117.6	-24.0015	0.844048	0.343583	0.134208	0.208191	0.13169	0.212154	0.112722	0.310652	0.203393	0.146976	0.430664	0.1348	0.133916	0.202861	0.225665	0.181085	0.326184	0.297017	0.260015	0.259461	0.0785078	0.148695	0.100741	0.560395	0.0674825	0.051578	0.0831824	0.00624019	0.316241	0.0387094	0.0253838	0.033309	0.0716738	0.205059	0.134832	0.0410111	0.0130859	0.107255	0.0895096	0.20479	0.143923	0.181748	0.0837173	0.0243394	0.0343849	0.365501	0.0405022	0.0227673	0.469789	0.0670556	0.104891	0.424281	0.968451	2.50238	0.350393	0.372323	0.0594843	0.2178	0.4084968	7.066645
140	-13139	-13112.4	-26.5945	0.7640395	0.351692	0.135228	0.283985	0.1122	0.132551	0.214583	0.248987	0.145869	0.157107	0.447325	0.114158	0.187589	0.281486	0.26647	0.207819	0.295287	0.308961	0.297595	0.24344	0.0973785	0.163728	0.0861047	0.584226	0.0779051	0.0387607	0.0893564	0.00322394	0.200902	0.070721	0.00840235	0.0453545	0.0737228	0.184104	0.230259	0.0630598	0.00836829	0.0462549	0.12439	0.200439	0.125237	0.2103	0.076001	0.0425917	0.0354651	0.376983	0.0487182	0.0234826	0.468207	0.0471446	0.0878872	0.392243	0.94647	2.5734	0.350393	0.372323	0.0594843	0.2178	0.3532706	7.283122
150	-13137.1	-13112.5	-24.5796	0.7763483	0.356638	0.165528	0.239314	0.0898674	0.236871	0.130986	0.248921	0.182065	0.161071	0.328794	0.171458	0.120225	0.269922	0.280659	0.198057	0.364815	0.298117	0.240851	0.24344	0.104381	0.140453	0.0923089	0.514306	0.0625354	0.0882935	0.0691436	0.00488271	0.318903	0.0596862	0.0102533	0.0246343	0.0561092	0.230012	0.259303	0.0393836	0.0265365	0.0793205	0.0546226	0.180347	0.0788004	0.133604	0.0868687	0.0464127	0.0345024	0.390482	0.0465041	0.0256798	0.467624	0.0352081	0.0905169	0.397434	0.95018	2.56187	0.349475	0.365722	0.0677081	0.217095	0.3532706	7.088699
160	-13135.5	-13105.5	-29.9577	0.7767819	0.276545	0.247351	0.217855	0.18335	0.251305	0.12867	0.322278	0.148211	0.156575	0.413803	0.119521	0.18355	0.252168	0.251742	0.228369	0.402203	0.378788	0.254291	0.26588	0.101459	0.158553	0.114981	0.612122	0.0744638	0.0447184	0.111295	0.00472371	0.192047	0.0832164	0.00982956	0.0332429	0.113159	0.176518	0.189213	0.0767372	0.0220589	0.0710376	0.0524131	0.280295	0.0428254	0.172008	0.0885113	0.118869	0.0344508	0.389899	0.0470678	0.0231158	0.466925	0.0385422	0.0906094	0.397615	0.950308	2.56147	0.344258	0.368655	0.068251	0.218836	0.3532706	7.626752
170	-13142.2	-13114.5	-27.6563	0.9708292	0.37483	0.163989	0.195664	0.190723	0.209004	0.138227	0.221854	0.166883	0.156873	0.402196	0.13662	0.140084	0.265154	0.230701	0.183001	0.311998	0.323821	0.247875	0.26588	0.0765172	0.162625	0.101751	0.474551	0.117878	0.101241	0.0851573	0.0166661	0.246571	0.0881536	0.0109596	0.0309455	0.126735	0.137032	0.241506	0.0745047	0.0385457	0.0272778	0.135338	0.264517	0.166402	0.184352	0.169738	0.0831048	0.0374905	0.342355	0.0505762	0.0264342	0.501729	0.0414151	0.131097	0.467805	0.994993	2.4061	0.350944	0.364896	0.0675551	0.216605	0.3532706	7.487445
180	-13144.7	-13119.1	-25.5996	0.7561149	0.291149	0.179652	0.227293	0.145246	0.218325	0.137692	0.214673	0.210558	0.129954	0.343481	0.187916	0.121025	0.310177	0.286803	0.226087	0.311998	0.253346	0.186773	0.293385	0.107013	0.178609	0.11877	0.461349	0.0816601	0.0485047	0.0661852	0.0466928	0.126261	0.063939	0.00454603	0.0481436	0.0853505	0.190443	0.268128	0.0911156	0.0434451	0.0300266	0.103711	0.309289	0.0927744	0.13975	0.107271	0.0904629	0.0319885	0.342477	0.0505943	0.0143229	0.501909	0.0587083	0.0861927	0.388847	0.944012	2.58095	0.346541	0.372865	0.0667074	0.213887	0.382395	7.178976
190	-13143.8	-13114.7	-29.1522	0.7440095	0.420086	0.120777	0.198784	0.156565	0.268768	0.16248	0.268333	0.156235	0.155229	0.437831	0.179597	0.121025	0.192583	0.237864	0.217656	0.346641	0.384822	0.240803	0.243898	0.137858	0.169766	0.0896066	0.528833	0.0602374	0.0620637	0.0173286	0.0564734	0.313159	0.108803	0.00549664	0.0180965	0.0700971	0.201431	0.230448	0.0490354	0.0548363	0.0831178	0.104023	0.164581	0.104871	0.204365	0.119217	0.0632587	0.0318627	0.343314	0.0503953	0.0295278	0.499935	0.0449649	0.0836027	0.383576	0.940146	2.59268	0.346541	0.372865	0.0667074	0.213887	0.382395	7.526981
200	-13145.1	-13112.3	-32.776	0.9133575	0.348819	0.178345	0.265863	0.147572	0.310844	0.139245	0.325993	0.184843	0.178033	0.311674	0.0930198	0.169546	0.2653	0.266371	0.198087	0.34523	0.364653	0.279417	0.269556	0.0938315	0.16141	0.146102	0.819558	0.0941421	0.0686234	0.0245253	0.021246	0.197741	0.0942188	0.0057607	0.00634549	0.0530915	0.218524	0.296536	0.0617954	0.0308179	0.0289123	0.0512294	0.256441	0.19501	0.232414	0.125715	0.0495886	0.031994	0.344729	0.050603	0.0241079	0.501995	0.0465708	0.119359	0.449065	0.984016	2.44756	0.348776	0.37527	0.0701931	0.205761	0.382395	7.975991
210	-13137.3	-13103.7	-33.5693	0.8020681	0.389694	0.133523	0.15713	0.228665	0.273381	0.150968	0.269352	0.174423	0.212967	0.397081	0.177727	0.18686	0.275932	0.285194	0.242903	0.34523	0.277482	0.257892	0.282544	0.0934662	0.202432	0.11272	0.660875	0.0444019	0.115088	0.0303474	0.0783408	0.209722	0.0534189	0.057928	0.0145278	0.0620036	0.2263	0.296536	0.0853429	0.00888687	0.0831833	0.092382	0.253291	0.140413	0.151867	0.141135	0.0682891	0.0244681	0.347971	0.0516396	0.0194533	0.506715	0.0497528	0.0959987	0.407965	0.957526	2.53851	0.351524	0.374599	0.0664943	0.207383	0.382395	8.001846
220	-13139.7	-13108.8	-30.8725	0.8479234	0.320018	0.199753	0.201877	0.140388	0.233993	0.236977	0.314796	0.19524	0.17792	0.4309	0.145851	0.160398	0.275932	0.286942	0.221219	0.372857	0.403852	0.277214	0.295009	0.125448	0.202432	0.11748	0.473028	0.0681111	0.0326652	0.0431518	0.0655372	0.226781	0.0721288	0.0365032	0.0291692	0.0667735	0.184063	0.204577	0.114121	0.0243609	0.0655883	0.090727	0.220727	0.0817099	0.14273	0.0728438	0.103851	0.0248508	0.353413	0.0651154	0.0157078	0.51464	0.0262739	0.105708	0.425736	0.969398	2.49916	0.339695	0.381432	0.0677073	0.211166	0.3687291	7.755645
230	-13129.1	-13101.2	-27.8749	0.9303525	0.282361	0.129578	0.25365	0.171437	0.253669	0.159181	0.283648	0.180733	0.165998	0.44576	0.128836	0.141597	0.199201	0.215181	0.21267	0.33193	0.300601	0.232602	0.249082	0.127651	0.167271	0.131074	0.692974	0.0876716	0.0237946	0.0749189	0.0366445	0.188745	0.0806468	0.0376156	0.0257016	0.0664227	0.239514	0.255321	0.0848998	0.0466878	0.064107	0.0710811	0.244466	0.0813519	0.123658	0.13954	0.0635953	0.0268319	0.340266	0.0626932	0.0282232	0.495495	0.0464904	0.122856	0.454768	0.987428	2.43495	0.339695	0.381432	0.0677073	0.211166	0.3687291	7.493068
240	-13137.1	-13112.8	-24.3224	0.8353117	0.287901	0.141912	0.19808	0.134995	0.204719	0.173978	0.28331	0.116401	0.13721	0.433094	0.0844712	0.145288	0.249273	0.291717	0.182026	0.273698	0.332013	0.234434	0.264158	0.0899754	0.184391	0.094807	0.486481	0.0876716	0.0513026	0.0765993	0.0510474	0.208861	0.0768636	0.0495668	0.0253307	0.0996169	0.191434	0.201333	0.0728305	0.0213895	0.0249141	0.0790645	0.260693	0.129674	0.180209	0.136913	0.0447434	0.0265146	0.321594	0.0600002	0.0204037	0.50542	0.066067	0.103047	0.420971	0.966279	2.5097	0.339695	0.381432	0.0677073	0.211166	0.3687291	7.09439
