Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-15390.6	-15404.6	13.9899	0.126167	0.130435	0.098648	0.0843258	0.102136	0.0725518	0.107963	0.0774587	0.116708	0.158707	0.0880646	0.0845187	0.091754	0.106927	0.0951238	0.122976	0.136381	0.114397	0.104286	0.0801509	0.0777484	0.0912125	0.187698	0.0417054	0.0186153	0.0134895	0.0392536	0.0216426	0.0404137	0.0400187	0.0380628	0.042401	0.0575002	0.0393488	0.0431495	0.0258002	0.0394271	0.0313014	0.0591533	0.0366345	0.0511729	0.0903752	0.0432889	0.224357	0.317268	0.104888	0.353488	3.269093
11	1	-15377.5	-15392.6	15.1517	0.131986	0.102887	0.0864166	0.10251	0.103018	0.0835476	0.150802	0.0931598	0.107786	0.154937	0.071444	0.0720673	0.117265	0.101689	0.112907	0.108024	0.146457	0.109462	0.125409	0.0805569	0.0745655	0.084318	0.14429	0.019053	0.0525755	0.015499	0.0315593	0.0296323	0.0326188	0.0268593	0.0464313	0.0243588	0.0186851	0.017806	0.0391828	0.0315932	0.0307777	0.0324121	0.0382163	0.0489691	0.0700302	0.0201085	0.061044	0.230865	0.290762	0.0999299	0.378443	3.152918
12	0	-15383.3	-15398.4	15.1569	0.119372	0.111052	0.0977391	0.0888946	0.102956	0.0887602	0.114143	0.075889	0.116708	0.158707	0.076144	0.083883	0.101843	0.106313	0.0828104	0.121025	0.13413	0.114397	0.104286	0.0702173	0.0787324	0.0674382	0.189114	0.0284939	0.029962	0.0313129	0.0331896	0.0388417	0.0383604	0.0201735	0.039681	0.0406855	0.0672717	0.0329947	0.0424905	0.0201848	0.0263909	0.0256407	0.0423597	0.0302469	0.0220971	0.0758704	0.0615865	0.214762	0.29131	0.0963059	0.397623	3.15239
13	1	-15377.5	-15393	15.5198	0.116273	0.0890842	0.118481	0.106815	0.115177	0.0676353	0.111957	0.0827207	0.086849	0.148213	0.0950376	0.0742674	0.0919463	0.0993466	0.101832	0.117921	0.139999	0.104506	0.0956819	0.0919377	0.117013	0.0847134	0.14429	0.037405	0.0448586	0.0290451	0.0324484	0.0359687	0.0385693	0.0134002	0.0477612	0.0327327	0.0325257	0.0160212	0.0423179	0.0200899	0.0301415	0.027446	0.0378206	0.0355977	0.0855017	0.0228734	0.0518809	0.230439	0.290225	0.0997739	0.379562	3.116101
14	0	-15378	-15393.9	15.965	0.143924	0.0945042	0.0767058	0.0912125	0.112488	0.0655951	0.1028	0.0701287	0.0899337	0.155631	0.0789164	0.0769772	0.11644	0.100347	0.0978279	0.124168	0.127899	0.120423	0.121504	0.0673345	0.0754697	0.0913026	0.147903	0.0338053	0.0215722	0.0243049	0.0331802	0.0302726	0.0478284	0.0215433	0.0390179	0.0455045	0.0512167	0.0307535	0.0347236	0.00831629	0.0268323	0.0260094	0.0547159	0.0175582	0.0307422	0.0935749	0.050674	0.214762	0.29131	0.0963059	0.397623	3.071581
15	1	-15375.9	-15391.2	15.2803	0.1136	0.0939859	0.111005	0.0999337	0.1103	0.0745886	0.123735	0.0702831	0.0901206	0.166886	0.0730271	0.0887242	0.101508	0.093122	0.114201	0.125251	0.136754	0.128548	0.106277	0.0725995	0.0662776	0.0791159	0.160979	0.0430855	0.0531198	0.0308217	0.0452926	0.0345094	0.0232717	0.0211508	0.0429303	0.0293831	0.023995	0.0220054	0.0388304	0.0364672	0.043947	0.0297267	0.0317097	0.0364562	0.0731116	0.0268991	0.0525218	0.231394	0.291428	0.0960415	0.381136	3.140058
16	0	-15377	-15392	15.0087	0.14624	0.0969553	0.116783	0.110049	0.0884086	0.100887	0.119831	0.0667808	0.103607	0.152979	0.0726544	0.0748288	0.0951503	0.0937067	0.107398	0.115791	0.147385	0.101063	0.135563	0.0876324	0.0831607	0.0729194	0.179221	0.0231025	0.020923	0.0147049	0.047853	0.025257	0.0449343	0.0232598	0.037072	0.0399919	0.0553796	0.0240926	0.0425132	0.0149633	0.0402029	0.0194877	0.0364373	0.0267243	0.0298799	0.0929485	0.0384955	0.21841	0.296258	0.107927	0.377405	3.167218
17	1	-15380.5	-15394.4	13.9177	0.14594	0.111075	0.106476	0.105774	0.1103	0.0763592	0.132281	0.0670456	0.0901206	0.185434	0.0726487	0.0832804	0.109466	0.101028	0.106755	0.111494	0.131956	0.126422	0.107896	0.0840373	0.0964451	0.0887854	0.15789	0.0332345	0.0594473	0.0294613	0.0367995	0.029696	0.0315308	0.00804509	0.070834	0.0370788	0.0349164	0.0145268	0.0382368	0.0333073	0.0328739	0.0463637	0.0382739	0.0351506	0.0714285	0.0334002	0.0527958	0.231394	0.291428	0.0960415	0.381136	3.276311
18	0	-15376.9	-15391.7	14.7464	0.141447	0.104696	0.0874111	0.0956274	0.112572	0.0861729	0.134911	0.0823545	0.08389	0.138996	0.0722675	0.0745687	0.115181	0.0937067	0.116731	0.132621	0.117508	0.140965	0.135563	0.0765893	0.0912157	0.0880309	0.180138	0.0190494	0.0204491	0.0128022	0.0332501	0.0215735	0.0515811	0.0208453	0.0419167	0.038586	0.0430987	0.0297422	0.0563047	0.0151011	0.0205102	0.0193531	0.0357143	0.0404692	0.0276791	0.093596	0.0486601	0.21841	0.296258	0.107927	0.377405	3.193445
19	1	-15375.5	-15391	15.5115	0.11856	0.109733	0.0954705	0.0978772	0.102857	0.0661065	0.132281	0.0774818	0.105244	0.158625	0.0895443	0.0864695	0.0875172	0.0800468	0.11104	0.119449	0.11543	0.106818	0.0943511	0.0842008	0.0819545	0.103162	0.172117	0.0260309	0.0346289	0.0247183	0.0463614	0.0225476	0.0239488	0.0242894	0.047108	0.0410933	0.0152879	0.0172243	0.0500982	0.0298582	0.0476514	0.0455573	0.0341971	0.031769	0.089478	0.0186208	0.0501289	0.229141	0.288591	0.104843	0.377425	3.116934
20	0	-15374.3	-15388.8	14.5143	0.13364	0.105354	0.110925	0.105343	0.112572	0.0688448	0.124831	0.0739103	0.0932832	0.165174	0.0638665	0.0974387	0.0902956	0.0935551	0.116731	0.146711	0.117508	0.106105	0.124078	0.0720162	0.0921506	0.088988	0.171358	0.0318416	0.0183511	0.0320899	0.0416075	0.0222276	0.0394418	0.0402076	0.0334687	0.0432792	0.0607092	0.0185531	0.0413272	0.0213827	0.0311792	0.019518	0.053776	0.0263367	0.0423333	0.0898709	0.0344695	0.21841	0.296258	0.107927	0.377405	3.21665
21	1	-15376.5	-15390.4	13.9403	0.120348	0.125615	0.098038	0.0978772	0.103701	0.0837437	0.126235	0.0774818	0.100824	0.166342	0.0725445	0.0930985	0.0827249	0.100865	0.119517	0.129158	0.142284	0.119491	0.120666	0.0624246	0.0978201	0.0989481	0.198366	0.0202847	0.0454255	0.0297872	0.0386742	0.0305974	0.0365836	0.0113391	0.0441279	0.0296406	0.0358041	0.0224308	0.0545821	0.0283989	0.0386459	0.036841	0.0326279	0.0427761	0.0766991	0.0227739	0.0579035	0.229141	0.288591	0.104843	0.377425	3.274057
22	0	-15382.2	-15398.2	16.0461	0.13673	0.092735	0.108033	0.0872654	0.115969	0.101614	0.124831	0.0966762	0.0947813	0.155473	0.0655177	0.0832971	0.118005	0.0890766	0.0889012	0.126656	0.125212	0.108348	0.105333	0.0702398	0.0723111	0.0737792	0.159306	0.0215308	0.0136715	0.0147411	0.0428074	0.0163818	0.0340614	0.0320181	0.0286838	0.0409345	0.0317827	0.0311429	0.0608277	0.0244249	0.0253319	0.0240458	0.0396843	0.0230558	0.0291142	0.0898709	0.0392746	0.220496	0.306895	0.0915997	0.38101	3.063477
23	1	-15370.9	-15386	15.0822	0.117343	0.11244	0.0989842	0.0994478	0.107328	0.0943196	0.110423	0.0854621	0.0914668	0.167977	0.075206	0.081188	0.110421	0.0955828	0.09961	0.121651	0.125185	0.119491	0.120666	0.0939769	0.0985008	0.0804292	0.169363	0.0176782	0.053276	0.0372579	0.0274722	0.024333	0.0265812	0.0078386	0.0491076	0.0245757	0.0404109	0.0232045	0.0444479	0.0141133	0.0443726	0.0214811	0.0366795	0.0427863	0.0891238	0.0115713	0.0470866	0.229141	0.288591	0.104843	0.377425	3.159861
24	0	-15376.7	-15391.8	15.1336	0.140293	0.113515	0.100144	0.0907369	0.10559	0.09042	0.129949	0.0747983	0.093085	0.167365	0.0804869	0.0832971	0.087567	0.0788902	0.106503	0.126209	0.127888	0.118017	0.107571	0.0843288	0.0845456	0.105684	0.188197	0.0258353	0.00960039	0.0212416	0.0331791	0.0184463	0.0451295	0.0164631	0.0350902	0.0356577	0.0487126	0.0202389	0.0423352	0.0170585	0.0292209	0.0214591	0.0580896	0.0257212	0.0361101	0.0964805	0.0335762	0.221318	0.306571	0.0915031	0.380608	3.154727
