Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-17235.4	-17240.8	5.4429	0.19822	0.180738	0.207445	0.201491	0.152073	0.19018	0.189664	0.171098	0.213787	0.189921	0.0943448	0.152636	0.109718	0.0978706	0.162191	0.128311	0.13237	0.161636	0.169365	0.130864	0.117624	0.151182	0.190683	0.0380996	0.026823	0.0142054	0.0420196	0.00574369	0.00578076	0.0118332	0.0356905	0.0443594	0.0263868	0.0180722	0.00937732	0.0304962	0.0344524	0.00176931	0.00544273	0.0274865	0.0126986	0.0358633	0.00378136	0.223904	0.316218	0.0919531	0.367925	4.123793
110	-17231.9	-17238.2	6.25467	0.19822	0.220785	0.177955	0.179891	0.152073	0.189672	0.205119	0.171098	0.202313	0.199694	0.102483	0.152636	0.0901859	0.101008	0.159521	0.128311	0.111005	0.122758	0.181663	0.127654	0.1129	0.133025	0.183895	0.0339923	0.0164681	0.020789	0.0268974	0.00280936	0.00295962	0.00441435	0.0391623	0.0394267	0.0329391	0.0185081	0.00395372	0.0265274	0.0732427	0.00245097	0.00417842	0.0287745	0.00787342	0.0456644	0.00771917	0.223904	0.316218	0.0919531	0.367925	4.042616
120	-17237.2	-17243.4	6.16272	0.20366	0.192062	0.165529	0.187316	0.152073	0.171387	0.22063	0.171098	0.183383	0.192429	0.0959822	0.188891	0.0950063	0.0889721	0.146169	0.111422	0.142808	0.134374	0.175355	0.131993	0.107833	0.148259	0.207108	0.0319989	0.0218087	0.0215911	0.0352284	0.0110651	0.00328461	0.00404465	0.0451791	0.0427697	0.0320547	0.00843047	0.00141373	0.0262527	0.0364081	0.0020159	0.00791275	0.0426398	0.00419239	0.0541995	0.00558263	0.224434	0.316965	0.0898062	0.368795	4.051812
130	-17243.9	-17249.3	5.44214	0.224403	0.197499	0.192582	0.207741	0.16381	0.158018	0.200021	0.171098	0.172622	0.184381	0.108991	0.166497	0.102954	0.0987351	0.170363	0.133979	0.133992	0.121059	0.185853	0.110161	0.0974058	0.143588	0.186967	0.0328704	0.027174	0.0337839	0.0399641	0.00791578	0.00580916	0.0127046	0.0472325	0.0402139	0.0305096	0.00493399	0.00127276	0.0389321	0.0651421	0.0063141	0.00746977	0.0324405	0.00375553	0.0406087	0.0121021	0.224434	0.316965	0.0898062	0.368795	4.12387
140	-17236.8	-17243.2	6.39893	0.206992	0.21721	0.213562	0.177049	0.167771	0.160652	0.18134	0.171098	0.179244	0.184381	0.0973369	0.16909	0.0870369	0.0990976	0.14712	0.137055	0.111475	0.179893	0.187757	0.140137	0.109204	0.121179	0.186967	0.0393647	0.0115886	0.0316889	0.0342214	0.00284468	0.00235133	0.00704645	0.0390781	0.0236706	0.0368031	0.0105409	0.00380955	0.0164274	0.0340438	0.00268998	0.00735036	0.0300241	0.0114242	0.0403325	0.0102446	0.215541	0.3206	0.090836	0.373023	4.028191
150	-17238.4	-17245.4	7.04319	0.244091	0.199009	0.213562	0.179445	0.166742	0.168581	0.182624	0.173783	0.197752	0.177661	0.0992264	0.131816	0.107503	0.095093	0.147171	0.125901	0.163171	0.135786	0.147917	0.129096	0.0761734	0.133429	0.170145	0.0247345	0.0151428	0.0088	0.0370756	0.0095542	0.00167723	0.00382195	0.0462106	0.0194863	0.0434808	0.0127954	0.0150509	0.0273502	0.0285237	0.002812	0.00543557	0.0251424	0.0176445	0.0437888	0.00956195	0.220033	0.30644	0.0927291	0.380798	3.963765
160	-17238.2	-17244	5.83113	0.228414	0.201649	0.17358	0.210444	0.137947	0.149322	0.211913	0.174929	0.176402	0.213729	0.0927219	0.144197	0.0920862	0.0993423	0.163504	0.137481	0.148736	0.120782	0.160134	0.131892	0.14338	0.126859	0.191657	0.0383117	0.0193495	0.011776	0.0412068	0.00787854	0.000635562	0.0152637	0.0518386	0.0267859	0.0369656	0.00978859	0.00500994	0.0409383	0.0528803	0.00273061	0.0116388	0.0275071	0.0130814	0.0367612	0.00352117	0.220033	0.30644	0.0927291	0.380798	4.084971
170	-17238.2	-17244.3	6.09499	0.203977	0.193399	0.168764	0.192017	0.161119	0.158858	0.218372	0.156098	0.163021	0.201556	0.104972	0.151142	0.0805793	0.110584	0.186625	0.130409	0.129506	0.137704	0.158627	0.142408	0.142961	0.141768	0.203359	0.0339966	0.0153608	0.0143055	0.0285744	0.00449199	0.000544571	0.00972588	0.0602506	0.028717	0.0310971	0.00477146	0.00841003	0.0137514	0.0639094	0.00773509	0.00107151	0.0315829	0.00843276	0.0475605	0.00647025	0.222177	0.305598	0.0924743	0.379751	4.058585
180	-17244.2	-17250.4	6.27739	0.241108	0.211481	0.185153	0.193239	0.161119	0.17926	0.200083	0.158473	0.181098	0.181164	0.0884781	0.144375	0.112822	0.114548	0.12973	0.11241	0.138557	0.162559	0.163105	0.126203	0.1073	0.104744	0.21103	0.0352583	0.0164561	0.0366851	0.0229958	0.0108259	0.000763334	0.00579216	0.0488151	0.0343814	0.0263024	0.00324901	0.0161082	0.0155136	0.0461013	0.00628594	0.000294642	0.0443801	0.00762364	0.051529	0.00294841	0.222925	0.306627	0.0869501	0.383498	4.040345
190	-17231.2	-17237.6	6.33281	0.1955	0.211976	0.201334	0.193773	0.145758	0.17926	0.19901	0.173076	0.18064	0.212943	0.101643	0.127966	0.105726	0.0888953	0.164025	0.133072	0.141597	0.128363	0.180315	0.119475	0.129471	0.135591	0.18657	0.0298814	0.0120053	0.0287916	0.0287191	0.0060898	0.000889734	0.00315093	0.0320778	0.0245313	0.0494326	0.00271952	0.00748196	0.017106	0.0517785	0.012668	0.000498532	0.0339718	0.00826884	0.0464415	0.00231903	0.227787	0.313315	0.0888468	0.37005	4.034803
200	-17241.5	-17247.1	5.63592	0.241381	0.211976	0.205813	0.211946	0.14341	0.151469	0.222139	0.150624	0.20287	0.186135	0.100009	0.163836	0.102273	0.10493	0.153409	0.129418	0.135971	0.136207	0.180315	0.115529	0.1067	0.15797	0.19631	0.0237099	0.0179791	0.0172713	0.0445022	0.00305355	0.00280858	0.00419618	0.0227536	0.0251695	0.045145	0.00333308	0.00376255	0.0295428	0.0474861	0.00993515	0.000603385	0.0285878	0.00640229	0.0541335	0.00347703	0.227787	0.313315	0.0888468	0.37005	4.104492
210	-17236	-17241.8	5.77575	0.225958	0.223075	0.181852	0.208658	0.165669	0.184019	0.209831	0.170667	0.178921	0.204979	0.0892872	0.137212	0.0959372	0.0992614	0.188652	0.129418	0.123542	0.138861	0.200149	0.134354	0.110023	0.116229	0.165024	0.0194826	0.0173931	0.010041	0.0283494	0.0109956	0.00136126	0.00331995	0.0599021	0.0348455	0.047288	0.00691863	0.00729719	0.0221894	0.0371836	0.00989334	0.000357349	0.0285864	0.0106734	0.0374475	0.0154033	0.227787	0.313315	0.0888468	0.37005	4.090509
220	-17231.6	-17238.3	6.70782	0.228505	0.195126	0.16906	0.20821	0.137509	0.180644	0.188507	0.189152	0.164874	0.178851	0.0970783	0.139931	0.0826983	0.103215	0.158424	0.11877	0.109545	0.144602	0.192908	0.122952	0.116911	0.131545	0.197497	0.0381853	0.00835997	0.0246413	0.0307499	0.00405139	0.00380567	0.0120446	0.0617447	0.0279242	0.0381988	0.00616294	0.00966483	0.0235901	0.0481337	0.00510426	0.00178976	0.0357562	0.00916099	0.043479	0.00823958	0.217217	0.315276	0.0951416	0.372366	3.997302
230	-17251.7	-17258.2	6.53165	0.202036	0.184689	0.171381	0.170348	0.161544	0.167695	0.214586	0.156416	0.173173	0.213142	0.111476	0.151799	0.0868801	0.10332	0.134212	0.151389	0.172632	0.118038	0.199166	0.13429	0.0975663	0.120239	0.196684	0.0398488	0.0219113	0.0107122	0.0224621	0.00832155	0.0209253	0.00539684	0.0522727	0.0222019	0.0292795	0.00446218	0.014403	0.0076392	0.0341072	0.00812853	0.00928977	0.0466693	0.0230867	0.0390214	0.00207935	0.218344	0.316911	0.095635	0.36911	4.014919
240	-17251.5	-17256	4.5628	0.26043	0.199668	0.194814	0.225739	0.192943	0.165912	0.163314	0.187801	0.205257	0.198741	0.111476	0.164181	0.0930733	0.0768184	0.15057	0.115536	0.1473	0.157946	0.199166	0.135709	0.0928095	0.149122	0.171053	0.032008	0.0252224	0.0155964	0.040045	0.00605251	0.0101807	0.00651159	0.0360064	0.0432032	0.0472417	0.00444078	0.00975979	0.0048887	0.0448244	0.00605767	0.00814387	0.0301432	0.0182346	0.0531389	0.0107237	0.215884	0.324607	0.0945576	0.364952	4.211803
250	-17246.8	-17251.1	4.36886	0.232408	0.18863	0.194814	0.186793	0.167294	0.189044	0.197064	0.145411	0.197062	0.194456	0.0988723	0.161265	0.0862775	0.106268	0.183076	0.140097	0.183699	0.157027	0.222995	0.118581	0.106695	0.149122	0.195144	0.0197575	0.01233	0.00552837	0.0216394	0.00157211	0.01204	0.0093956	0.0506595	0.0361058	0.0528284	0.00311406	0.0093968	0.0154544	0.0475444	0.0159026	0.00300757	0.0416839	0.0208417	0.0406195	0.00968229	0.21403	0.330407	0.0937455	0.361818	4.231198
260	-17238.1	-17243.8	5.69293	0.232408	0.212474	0.201877	0.187666	0.141812	0.173264	0.183866	0.173631	0.187251	0.197641	0.100987	0.136639	0.103258	0.0984722	0.149127	0.102284	0.140088	0.131856	0.186889	0.157953	0.100061	0.136177	0.205569	0.0454893	0.00594804	0.0134898	0.023859	0.0117796	0.00488687	0.00725939	0.0568378	0.0300527	0.0451126	0.00515768	0.0266795	0.0210868	0.0464812	0.0109725	0.00433137	0.0329867	0.0115691	0.04849	0.00507074	0.220938	0.326111	0.0847509	0.3682	4.09879
270	-17244.2	-17250.7	6.44861	0.240469	0.18607	0.211156	0.222171	0.183477	0.185417	0.181159	0.18375	0.191535	0.197641	0.0791247	0.130169	0.0926376	0.0797928	0.163073	0.104012	0.133742	0.143001	0.174568	0.127755	0.102547	0.12799	0.19782	0.0398574	0.0092896	0.0101397	0.038601	0.00260632	0.0148501	0.00247782	0.0452	0.0425679	0.0399739	0.010601	0.0122514	0.011609	0.0193828	0.00586946	0.00715103	0.0238652	0.0114309	0.0309554	0.00546528	0.219921	0.324609	0.0889666	0.366504	4.023223
280	-17243.4	-17248.6	5.15764	0.229561	0.198661	0.203777	0.171875	0.179607	0.175116	0.219404	0.171013	0.169142	0.196572	0.130538	0.154345	0.0912444	0.0909422	0.173028	0.132066	0.130762	0.166589	0.191478	0.147027	0.096556	0.140217	0.18931	0.0357253	0.0104416	0.0135264	0.049669	0.0102527	0.0131768	0.0105269	0.0453153	0.0393277	0.0314137	0.0146837	0.01081	0.0135415	0.0199394	0.00283723	0.00164473	0.0329216	0.013183	0.0291827	0.00536951	0.219108	0.32341	0.0923323	0.36515	4.15232
290	-17237.8	-17243	5.12275	0.265089	0.184289	0.193703	0.185387	0.183503	0.163508	0.208476	0.156961	0.175324	0.211838	0.114721	0.146351	0.0853703	0.103452	0.170975	0.124296	0.138473	0.131122	0.178912	0.135112	0.11625	0.128921	0.185054	0.0383223	0.0327876	0.0112509	0.0306984	0.00590847	0.00856809	0.00931154	0.0476856	0.0283193	0.0366303	0.00315094	0.0185948	0.0182392	0.0576392	0.00284629	0.00307181	0.0407763	0.0230445	0.0475176	0.00435925	0.219108	0.32341	0.0923323	0.36515	4.155809
300	-17233	-17238.3	5.25544	0.225701	0.211036	0.19237	0.179096	0.150053	0.197954	0.203646	0.177231	0.175324	0.180289	0.110563	0.149753	0.0955689	0.103543	0.170526	0.126936	0.174514	0.131122	0.213049	0.108291	0.0938425	0.13734	0.209114	0.0341928	0.0223692	0.0117723	0.0359926	0.00278652	0.00294776	0.000826683	0.047785	0.0268413	0.0395553	0.00926194	0.00949324	0.0207623	0.0520018	0.00222826	0.00745189	0.0325519	0.0186249	0.0437916	0.00444087	0.224535	0.319839	0.0945071	0.361119	4.14254
310	-17239	-17244.6	5.54201	0.218479	0.222795	0.213413	0.186118	0.140144	0.200956	0.165659	0.177231	0.217981	0.183544	0.0885306	0.140961	0.116561	0.11398	0.170526	0.121486	0.139527	0.137617	0.18967	0.129083	0.0867421	0.141587	0.196867	0.0384499	0.00916458	0.0213789	0.0200894	0.0137271	0.00389126	0.000206876	0.0368078	0.0367657	0.0473329	0.0103987	0.0116083	0.0231092	0.0567779	0.00216174	0.00584785	0.0259901	0.0118299	0.0325022	0.00638458	0.224535	0.319839	0.0945071	0.361119	4.113882
320	-17234.8	-17240.5	5.73551	0.21618	0.198851	0.186736	0.207177	0.148052	0.195288	0.186079	0.165849	0.177237	0.184632	0.109478	0.135664	0.0954955	0.100715	0.175408	0.12062	0.160371	0.154285	0.180043	0.157103	0.113154	0.14104	0.184509	0.0284025	0.0113902	0.0154118	0.0250743	0.0146706	0.00395888	5.31665e-05	0.0407935	0.0243226	0.0244933	0.016175	0.0109336	0.0108184	0.052507	0.00355717	0.00896014	0.042681	0.027178	0.0282476	0.0109367	0.22481	0.315308	0.0931681	0.366714	4.094533
330	-17247.2	-17252.9	5.63503	0.209355	0.204711	0.215402	0.203954	0.155312	0.172852	0.189277	0.183629	0.174404	0.188664	0.114264	0.124557	0.100559	0.0941648	0.172162	0.115594	0.131321	0.12388	0.204378	0.120238	0.112422	0.143009	0.249636	0.00959831	0.00659362	0.0312676	0.0301551	0.0136873	0.000243793	0.000370662	0.0394671	0.0256411	0.0413859	0.00810667	0.00563981	0.0274941	0.0381892	0.00528731	0.00864333	0.0242411	0.0119063	0.0533394	0.0195775	0.207866	0.3222	0.0952047	0.37473	4.104581
340	-17237.7	-17244.1	6.40386	0.215599	0.230533	0.183795	0.195246	0.152932	0.166503	0.17294	0.183629	0.190033	0.217607	0.107799	0.133559	0.0963526	0.0737529	0.160975	0.121594	0.128672	0.136444	0.18636	0.117869	0.112422	0.13993	0.175666	0.0106838	0.0244269	0.0143778	0.0285327	0.00929543	0.00160495	0.000725867	0.0495589	0.0359121	0.0372333	0.0046097	0.0070818	0.0341105	0.0482535	0.00204463	0.00657943	0.0430777	0.0112013	0.0472188	0.0109569	0.229763	0.313293	0.0925729	0.364371	4.027698
350	-17238.4	-17244.3	5.94457	0.203865	0.232582	0.186043	0.206709	0.137222	0.155795	0.207382	0.177556	0.165477	0.195523	0.106126	0.134742	0.0984686	0.0910423	0.159675	0.13967	0.157425	0.157732	0.166932	0.127724	0.103502	0.132728	0.18248	0.00920677	0.0223984	0.0248346	0.0437545	0.00996894	0.0100487	0.00890565	0.0476673	0.0200873	0.0418715	0.00767939	0.0110784	0.0395026	0.0413986	0.00429902	0.00717445	0.0378428	0.0179432	0.0373108	0.00425229	0.229763	0.313293	0.0925729	0.364371	4.073626
360	-17239.5	-17245.7	6.25394	0.203865	0.199334	0.197194	0.170493	0.158456	0.155259	0.21438	0.187129	0.166017	0.219383	0.100825	0.150167	0.0760173	0.111155	0.159675	0.148831	0.139349	0.12302	0.175854	0.124856	0.098907	0.127845	0.20072	0.00917765	0.02433	0.00589542	0.036088	0.0113859	0.00829155	0.00637766	0.0540613	0.0344002	0.0340973	0.00837948	0.0117589	0.0398674	0.0413367	0.00833486	0.00366637	0.0297801	0.0171786	0.0455965	0.00395417	0.22165	0.315876	0.0951004	0.367374	4.04269
370	-17240.5	-17246.6	6.10334	0.211654	0.202785	0.170495	0.203637	0.150361	0.153659	0.205956	0.161469	0.170651	0.192287	0.117173	0.129223	0.0881336	0.10944	0.162034	0.134126	0.150134	0.134549	0.180774	0.135313	0.135632	0.127845	0.198194	0.0222591	0.0209161	0.00916943	0.0574381	0.0119267	0.0191028	0.00221129	0.045915	0.0320936	0.0345416	0.00324402	0.0192589	0.0276957	0.0402431	0.00135955	0.00550264	0.0379236	0.00202521	0.0365479	0.00285136	0.223225	0.31812	0.0886698	0.369985	4.05775
380	-17231.4	-17237.8	6.33366	0.215849	0.192479	0.219619	0.179701	0.160091	0.17745	0.182274	0.149074	0.170651	0.180536	0.0993575	0.170097	0.105551	0.11001	0.171008	0.124713	0.130995	0.144265	0.173074	0.133051	0.113086	0.124825	0.197319	0.0296079	0.0142303	0.0190674	0.0261476	0.0135143	0.0107306	0.00352165	0.0417549	0.0363807	0.0421685	0.0126517	0.00880921	0.029006	0.0402431	0.0025755	0.00711692	0.0309681	0.00325532	0.0361177	0.0017729	0.219335	0.323211	0.0939172	0.363537	4.034718
390	-17234.8	-17241.1	6.30973	0.20965	0.208736	0.215227	0.179701	0.164061	0.166915	0.192357	0.170783	0.167694	0.21312	0.107535	0.140524	0.100145	0.0969538	0.168726	0.124713	0.141796	0.144155	0.149431	0.119113	0.0997043	0.154819	0.200233	0.0283568	0.0136719	0.0178433	0.0216101	0.00445769	0.00568663	0.0155134	0.0381371	0.0446335	0.026088	0.0107903	0.0208934	0.0276185	0.0366912	0.00369743	0.00269915	0.0315956	0.00797166	0.0327508	0.0103102	0.216366	0.315848	0.0960383	0.371748	4.037111
400	-17233.7	-17241	7.35042	0.197839	0.215422	0.163933	0.197767	0.154299	0.171881	0.191445	0.178906	0.177313	0.168053	0.0858253	0.14915	0.0884513	0.117259	0.162655	0.113947	0.126907	0.151601	0.155973	0.125034	0.0993056	0.141503	0.200233	0.0358265	0.0134618	0.0128462	0.0347707	0.0073733	0.00436815	0.0039044	0.0460303	0.0202184	0.0330053	0.0161074	0.00864904	0.0217276	0.0432629	0.00321267	0.00577221	0.0267951	0.0154323	0.0365392	0.0090338	0.240133	0.306268	0.0931256	0.360473	3.933042
