Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20504.7	-20518.1	13.4667	0.0120513	0.0125604	0.00739484	0.0579565	0.198885	0.116905	0.0658138	0.235126	0.0443204	0.0879965	0.0434865	0.00783688	0.16178	0.0570091	0.0169909	0.266908	0.0781112	0.245765	0.0468762	0.0186282	0.0433107	0.0967813	0.114347	0.0515548	0.0122612	0.145401	0.0195424	0.0500353	0.0660397	0.0138415	0.0219492	0.024997	0.0973408	0.0224434	0.0704297	0.0412134	0.000892691	0.0303319	0.0702825	0.253341	0.193876	0.0640316	0.0347638	0.275602	0.611326	0.052297	0.0607741	3.32141
10	-17756.8	-17765.1	8.26727	0.0296178	0.0628983	0.028727	0.166486	0.217941	0.105545	0.205559	0.161741	0.18423	0.150675	0.109397	0.128938	0.188644	0.121248	0.050345	0.13184	0.160762	0.169153	0.14222	0.0196302	0.126987	0.108043	0.155695	0.0759313	0.02728	0.0706787	0.0025336	0.0152006	0.0409869	0.0225457	0.0164652	0.0430335	0.0720822	0.0727965	0.0545057	0.0600395	0.00205861	0.0192175	0.107087	0.134099	0.0328805	0.0114391	0.0341759	0.250694	0.308582	0.0838742	0.35685	3.841357
20	-17483.9	-17493.7	9.84978	0.0301357	0.186188	0.0386871	0.161994	0.178722	0.0922085	0.165936	0.13477	0.162506	0.149365	0.113173	0.138721	0.140233	0.137584	0.129048	0.162238	0.144319	0.165704	0.141499	0.0736789	0.109609	0.108043	0.181812	0.0237327	0.0602019	0.0924921	0.00237554	0.011036	0.0171845	0.0363261	0.0243026	0.0246852	0.023201	0.0360598	0.0621139	0.0181671	0.00267215	0.0204345	0.0616414	0.0569747	0.0244916	0.015041	0.0237983	0.250694	0.308582	0.0838742	0.35685	3.683105
30	-17246.9	-17255.6	8.77179	0.082991	0.187139	0.0587559	0.157785	0.198747	0.108994	0.171893	0.120689	0.228562	0.162734	0.10303	0.160558	0.140233	0.126985	0.127836	0.145165	0.158107	0.170735	0.124738	0.0929136	0.0998505	0.109184	0.204022	0.0252901	0.0299713	0.0661142	0.00210258	0.00624032	0.0305551	0.0372477	0.00939932	0.0494331	0.018661	0.0469125	0.0593407	0.00915361	0.0149077	0.0154714	0.0744936	0.0200619	0.0061167	0.0106096	0.0171758	0.250694	0.308582	0.0838742	0.35685	3.790905
40	-17131.3	-17137.5	6.17059	0.203959	0.16139	0.199137	0.143492	0.190498	0.103764	0.181076	0.107569	0.225358	0.181316	0.129263	0.135928	0.124013	0.139094	0.109196	0.11475	0.14932	0.159207	0.145161	0.145755	0.108271	0.139918	0.205235	0.0223884	0.0235969	0.107751	0.00223248	0.00222952	0.0250888	0.0307247	0.0174029	0.0614421	0.00857928	0.0305278	0.0498226	0.0186703	0.0464178	0.00663521	0.0564164	0.0120846	0.00452701	0.0133115	0.00850417	0.245009	0.324261	0.0819723	0.348758	4.051025
50	-17119.8	-17126.2	6.31239	0.222085	0.191142	0.193222	0.164841	0.178481	0.0645399	0.191716	0.107198	0.224536	0.14744	0.128309	0.153314	0.149521	0.14984	0.103395	0.104425	0.171319	0.142223	0.118956	0.155033	0.116555	0.125715	0.211277	0.0250264	0.0282398	0.0866816	0.00202078	0.00110907	0.0322803	0.0227122	0.020962	0.0439356	0.0130158	0.0365869	0.0807275	0.0198963	0.0341772	0.00927056	0.0394184	0.00792681	0.00365451	0.00575117	0.00836824	0.236223	0.304357	0.0874323	0.371988	4.036844
60	-17127	-17133.8	6.83399	0.236372	0.192041	0.172364	0.174503	0.121425	0.0751806	0.178777	0.156495	0.211843	0.169402	0.112387	0.137621	0.148063	0.153903	0.118723	0.10856	0.132687	0.147228	0.13415	0.161864	0.103504	0.13312	0.199404	0.0151517	0.0383786	0.0808979	0.00339823	0.000673067	0.0284026	0.0318678	0.0201849	0.047279	0.0199038	0.0287244	0.058183	0.00393273	0.0214965	0.0189716	0.0470659	0.0145898	0.00500956	0.00602423	0.0149341	0.242604	0.312579	0.0897941	0.355024	3.984685
70	-17117.8	-17125.6	7.86131	0.199385	0.181242	0.178083	0.168026	0.182642	0.105608	0.167137	0.0940974	0.224175	0.174791	0.127601	0.14193	0.145062	0.125575	0.122929	0.121541	0.150982	0.152235	0.136026	0.131117	0.102707	0.114535	0.195757	0.0212853	0.0412	0.0694326	0.00461978	0.0015873	0.0152599	0.0147931	0.0270618	0.0311389	0.0151946	0.0345201	0.0599258	0.00720852	0.0332172	0.0120013	0.0234299	0.00876963	0.00351304	0.00559423	0.00901454	0.241697	0.302716	0.101889	0.353697	3.881953
80	-17117.7	-17123.2	5.52523	0.207689	0.203086	0.182533	0.167065	0.196844	0.10651	0.183107	0.122054	0.242827	0.170536	0.130784	0.160551	0.13979	0.137061	0.11814	0.126379	0.164424	0.172984	0.132028	0.138218	0.0858385	0.160504	0.174066	0.0126241	0.0313377	0.0689604	0.00153209	0.00193412	0.0197167	0.0210875	0.0201574	0.0494842	0.0176271	0.0367103	0.0782627	0.0110849	0.0490972	0.0107784	0.0343796	0.0136073	0.00639414	0.00335811	0.00440706	0.244592	0.306341	0.0880287	0.361039	4.115561
90	-17114.1	-17120.9	6.75575	0.189187	0.169106	0.201655	0.167065	0.144991	0.109502	0.17642	0.124024	0.210229	0.140093	0.119266	0.168975	0.136701	0.133872	0.114979	0.131107	0.170763	0.172984	0.128794	0.130366	0.11714	0.137981	0.217297	0.00700486	0.0170101	0.0859651	0.0066875	0.0009225	0.0262785	0.0367081	0.0197056	0.044968	0.0134698	0.042194	0.0564405	0.014006	0.0308534	0.0157174	0.0277918	0.0177634	0.0033382	0.00484751	0.00833836	0.244592	0.306341	0.0880287	0.361039	3.992509
