Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-15371.6	-15385.7	14.0613	0.123765	0.109386	0.0991488	0.102801	0.121036	0.0820961	0.129539	0.0802897	0.106644	0.190411	0.0933145	0.0780386	0.0899092	0.0965092	0.117801	0.126277	0.127983	0.130567	0.138777	0.0866129	0.0716377	0.0881018	0.167411	0.033998	0.00690593	0.0409997	0.0385692	0.0358606	0.0607911	0.0325711	0.0399098	0.0283449	0.0488911	0.043866	0.018922	0.0190287	0.038233	0.0230015	0.0275609	0.0509668	0.0348117	0.0264394	0.0542199	0.231251	0.29347	0.103712	0.371566	3.261949
11	1	-15377.7	-15392.5	14.8729	0.143255	0.114239	0.102023	0.105136	0.11295	0.0789661	0.124153	0.0836307	0.0847461	0.152849	0.0581717	0.0849002	0.0938993	0.102388	0.111503	0.101383	0.113499	0.119678	0.118642	0.0722991	0.102974	0.0899752	0.171739	0.0309904	0.0162503	0.040414	0.0325897	0.0272975	0.0451844	0.0291165	0.0772961	0.0197449	0.0558934	0.0316566	0.0427399	0.029803	0.0643111	0.0317395	0.0431808	0.0221907	0.00984168	0.0436093	0.0439421	0.223861	0.288935	0.0984434	0.388761	3.180793
12	0	-15376.4	-15391.4	15.0504	0.128173	0.0884756	0.0887024	0.135566	0.0976142	0.0690422	0.102513	0.0690625	0.0821969	0.157626	0.0789485	0.0917097	0.0914456	0.0966885	0.1233	0.126277	0.129299	0.109751	0.112086	0.0802086	0.103832	0.0817936	0.213651	0.0440911	0.019556	0.0560539	0.0263374	0.0206751	0.0664025	0.0347594	0.047493	0.0170208	0.0392063	0.0454458	0.0233753	0.0214276	0.029876	0.0220605	0.030071	0.0525667	0.0367539	0.0301138	0.041793	0.208041	0.309892	0.105193	0.376873	3.16304
13	1	-15383.1	-15397.9	14.8101	0.135919	0.103814	0.11328	0.0847758	0.122783	0.0742513	0.135275	0.0837855	0.09417	0.151509	0.0838031	0.0890637	0.0955176	0.10907	0.10873	0.101785	0.124118	0.126296	0.100975	0.0879901	0.0919384	0.07887	0.200381	0.0299069	0.0364563	0.0507694	0.0181164	0.0126896	0.0425061	0.0217049	0.0713783	0.0148	0.0586419	0.0452128	0.0242842	0.0254857	0.0352069	0.0392982	0.0515195	0.0187569	0.00890502	0.0321781	0.0511529	0.21948	0.283281	0.112277	0.384962	3.18707
14	0	-15376.7	-15393.2	16.4767	0.1286	0.120865	0.0728466	0.0937597	0.0890724	0.0749479	0.119985	0.0718104	0.074637	0.164882	0.070445	0.0659329	0.110689	0.0883048	0.109525	0.126277	0.121193	0.126292	0.112601	0.0850795	0.0881758	0.080756	0.153036	0.0344812	0.0159625	0.0374954	0.015933	0.0246506	0.0709179	0.037723	0.0352919	0.034369	0.0366706	0.0266113	0.022492	0.0307311	0.0332976	0.0274362	0.0388739	0.0520953	0.0372687	0.0215477	0.0368488	0.215793	0.308576	0.104747	0.370884	3.020411
15	1	-15383	-15400.3	17.3224	0.107693	0.112213	0.0824478	0.0873961	0.0953383	0.0738568	0.13599	0.0837855	0.0881383	0.147853	0.0726498	0.0820991	0.0949536	0.105186	0.106094	0.107301	0.117669	0.104551	0.121247	0.0716266	0.065827	0.0675097	0.143726	0.0303619	0.0221387	0.0447458	0.0359653	0.0085491	0.0413243	0.0248718	0.0596825	0.0100421	0.0553086	0.0312082	0.0211347	0.0262102	0.0487252	0.0301526	0.0458987	0.0149451	0.0187199	0.0243418	0.066368	0.22167	0.286107	0.10342	0.388802	2.935846
16	0	-15380.2	-15395	14.8343	0.128998	0.0804437	0.0948516	0.118021	0.118183	0.104984	0.124604	0.0845818	0.083586	0.164882	0.0884892	0.0541363	0.0963954	0.0958849	0.136863	0.120933	0.127432	0.110504	0.132211	0.067575	0.0896706	0.0746463	0.170663	0.0252	0.0197445	0.0562597	0.0420299	0.0242305	0.064471	0.0291671	0.0464434	0.0190556	0.0468552	0.027686	0.0353271	0.0281923	0.026708	0.039468	0.0227262	0.0498195	0.0417196	0.0182679	0.052743	0.215844	0.308649	0.104535	0.370972	3.184652
17	1	-15378	-15393.5	15.5254	0.124753	0.0916871	0.109569	0.120169	0.0981236	0.0767119	0.130955	0.0789243	0.0832211	0.16469	0.0915992	0.0883352	0.0965851	0.0867721	0.0729378	0.136492	0.117669	0.108194	0.110945	0.0846784	0.0906716	0.0899403	0.164098	0.0242496	0.0192286	0.0394516	0.028108	0.0158388	0.0440287	0.0349779	0.0895977	0.0158931	0.0640092	0.0403878	0.0118069	0.0294385	0.0409514	0.0303088	0.047706	0.0228269	0.0156139	0.0402229	0.0431791	0.209725	0.302584	0.0978475	0.389844	3.115547
18	0	-15373.2	-15387.3	14.0902	0.116981	0.0952186	0.105069	0.113428	0.112309	0.0731662	0.127695	0.0968935	0.0879659	0.164882	0.0930573	0.0869366	0.0981523	0.0837408	0.123607	0.152563	0.137916	0.119802	0.132211	0.0745737	0.0891821	0.0677848	0.175178	0.0371822	0.0110844	0.0558229	0.0343111	0.0137074	0.0783983	0.0274846	0.0378429	0.036387	0.032863	0.0339004	0.038696	0.0231288	0.0277532	0.039468	0.0232631	0.0434495	0.0530447	0.0211993	0.0617636	0.215844	0.308649	0.104535	0.370972	3.259062
19	1	-15377.2	-15392.5	15.301	0.135774	0.0858411	0.102244	0.0824241	0.124124	0.0732382	0.131352	0.0770079	0.100612	0.155407	0.0915992	0.0682443	0.0891097	0.0910477	0.0957628	0.108536	0.126903	0.0962781	0.124624	0.0982822	0.0911521	0.0861442	0.179348	0.041404	0.0250964	0.0571062	0.0218676	0.0200042	0.0544752	0.0298992	0.0727621	0.0146559	0.0511887	0.0409962	0.0277899	0.0201064	0.0368145	0.0255061	0.0566431	0.0142232	0.0205043	0.0410725	0.0508122	0.209725	0.302584	0.0978475	0.389844	3.137984
20	0	-15369.4	-15384	14.6375	0.112133	0.0882303	0.0991554	0.0879503	0.102096	0.0927432	0.145435	0.0925131	0.0974947	0.190041	0.0757178	0.0919272	0.0964328	0.0972323	0.104339	0.110955	0.145677	0.113381	0.116214	0.0633435	0.0880898	0.096099	0.178228	0.0294947	0.0170506	0.0438874	0.0383388	0.0171395	0.0798778	0.0336029	0.0394201	0.0242349	0.055429	0.0318795	0.0265104	0.0219607	0.0360278	0.0256675	0.0304235	0.0472346	0.053889	0.0227779	0.0440561	0.215844	0.308649	0.104535	0.370972	3.204331
