Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-13268.4	-13245.3	-23.1167	0.3277462	0.277978	0.18998	0.153445	0.112702	0.18228	0.114487	0.198685	0.137451	0.170312	0.354639	0.0726376	0.123198	0.210176	0.143479	0.217715	0.270344	0.228989	0.185219	0.238767	0.108743	0.132471	0.109875	0.444568	0.0318162	0.0359869	0.029884	0.00684122	0.0142441	0.103488	0.143604	0.0540572	0.0953256	0.132891	0.0569743	0.0571576	0.0298345	0.077254	0.0199326	0.106678	0.0757697	0.0274935	0.117646	0.0214133	0.0755063	0.292955	0.0551734	0.0124293	0.53543	0.0285064	0.00781379	0.126181	0.639587	3.22642	0.317711	0.342953	0.0948215	0.244515	5.616431
11	1	-13240.3	-13229.1	-11.2182	0.3372815	0.196302	0.117281	0.117989	0.0817602	0.155139	0.108186	0.152285	0.113898	0.132341	0.224146	0.0736348	0.0877919	0.144404	0.146693	0.164041	0.194237	0.153347	0.124966	0.172068	0.0657585	0.0970445	0.0955887	0.323174	0.0843093	0.0754255	0.033644	0.0318231	0.0711013	0.0206	0.0311431	0.0621201	0.0213816	0.0659891	0.0788975	0.0197255	0.11016	0.0758009	0.04678	0.0388021	0.194093	0.0823192	0.0221912	0.0182064	0.0782722	0.351052	0.0587207	3.42187e-06	0.451262	0.0606896	0.00880072	0.133639	0.653415	3.20414	0.318138	0.332089	0.0899841	0.259789	4.42659
12	0	-13217.8	-13195.9	-21.8902	0.3355777	0.201513	0.135266	0.152206	0.137639	0.177109	0.123784	0.197999	0.137451	0.107186	0.26349	0.125109	0.120371	0.207997	0.180542	0.179085	0.28945	0.262984	0.202241	0.17429	0.0937473	0.165645	0.0753563	0.426822	0.0392689	0.0926358	0.0279874	0.0328098	0.0238128	0.0938966	0.192621	0.017488	0.09284	0.207688	0.0648489	0.0523663	0.0051629	0.0487998	0.043096	0.128914	0.0497501	0.0480921	0.0354422	0.0589821	0.0750447	0.291164	0.0548361	0.0123533	0.532157	0.0344454	0.00861992	0.132308	0.650987	3.20809	0.318485	0.343789	0.0926158	0.245111	5.493787
13	1	-13232.3	-13219	-13.2967	0.3327689	0.206953	0.151147	0.114651	0.0765648	0.133393	0.122841	0.152285	0.113553	0.11265	0.28141	0.0974413	0.097768	0.144404	0.149756	0.145072	0.193256	0.2515	0.123723	0.167935	0.0966647	0.110906	0.0939174	0.298499	0.113792	0.047416	0.0203997	0.0725434	0.048948	0.0119271	0.0307035	0.0653922	0.0252612	0.114534	0.0500862	0.0302316	0.138586	0.0637124	0.0277828	0.0142251	0.141101	0.0935512	0.0528653	0.0350837	0.0805989	0.33803	0.0608657	0.000158935	0.464676	0.0556705	0.00832607	0.130111	0.646945	3.21462	0.344855	0.357735	0.0898836	0.207526	4.634434
14	0	-13210.7	-13193.2	-17.4696	0.3355777	0.199134	0.0899555	0.148984	0.101941	0.181806	0.0903803	0.190028	0.122428	0.126974	0.272474	0.096343	0.142921	0.15903	0.148289	0.171743	0.231771	0.236273	0.178836	0.168029	0.106967	0.0989846	0.106922	0.352245	0.0683363	0.128214	0.0558308	0.0739815	0.0079537	0.105748	0.162666	0.0114937	0.111868	0.150209	0.0554508	0.0420608	0.00526863	0.0799506	0.0170445	0.0893045	0.0547006	0.0115202	0.0383815	0.059285	0.0745825	0.289371	0.0544984	0.0224265	0.528879	0.0302428	0.00861992	0.132308	0.650987	3.20809	0.330459	0.356714	0.0960979	0.216729	5.051726
15	1	-13198	-13182.7	-15.2673	0.3466202	0.212808	0.136061	0.159022	0.0781693	0.127421	0.141692	0.211844	0.113553	0.106175	0.241268	0.0849217	0.0935029	0.145404	0.138805	0.159853	0.21974	0.208394	0.138618	0.181284	0.0598388	0.110906	0.0999552	0.309748	0.125904	0.0635131	0.0359891	0.0410825	0.050462	0.00883838	0.0277463	0.0608382	0.0454273	0.123356	0.0198928	0.0288302	0.190527	0.114024	0.0339459	0.0479381	0.128895	0.120774	0.0522091	0.0323227	0.066799	0.339071	0.0610533	0.0111261	0.466108	0.0558421	0.00982563	0.140925	0.666401	3.18285	0.32079	0.382939	0.0838959	0.212376	4.831499
16	0	-13219.3	-13201.7	-17.5685	0.3489757	0.17697	0.176861	0.151049	0.106439	0.133392	0.152987	0.171577	0.102904	0.106463	0.23894	0.0867772	0.135042	0.119188	0.175398	0.171743	0.277692	0.210197	0.223247	0.200791	0.0895563	0.12486	0.0899139	0.345573	0.0302375	0.093172	0.0569538	0.0782313	0.00620885	0.132446	0.0969401	0.0183799	0.0877734	0.169541	0.0621516	0.051731	0.00169584	0.0669463	0.00792281	0.174145	0.0462665	0.0351652	0.0379608	0.0401822	0.0728452	0.294547	0.0532289	0.0219041	0.516559	0.0409159	0.0100931	0.142759	0.669592	3.17756	0.326714	0.352672	0.0950089	0.225605	5.061612
17	1	-13198	-13181.3	-16.7285	0.3375896	0.226469	0.115345	0.161131	0.141393	0.152302	0.118683	0.187843	0.12083	0.123935	0.257543	0.0963617	0.0978783	0.151334	0.144524	0.169611	0.233033	0.212588	0.172655	0.184901	0.101317	0.110906	0.106096	0.264954	0.150771	0.0571085	0.0194191	0.0463387	0.0323982	0.0126572	0.0437582	0.0672419	0.0442092	0.0977187	0.0475944	0.0510842	0.118571	0.0764432	0.0191806	0.0429793	0.188463	0.130872	0.0502448	0.0289333	0.0667464	0.338805	0.0610053	0.0211502	0.465742	0.0465516	0.00883363	0.13388	0.653852	3.20343	0.321196	0.386586	0.0778188	0.214399	4.97762
18	0	-13214.7	-13197	-17.7167	0.3389913	0.209237	0.109401	0.147792	0.157881	0.124534	0.0966577	0.181274	0.122112	0.127868	0.263239	0.0809599	0.154146	0.162657	0.144078	0.211506	0.198863	0.210311	0.160146	0.162909	0.0792564	0.116767	0.0735751	0.406021	0.0731463	0.145338	0.038782	0.0736377	0.00618093	0.131617	0.148927	0.0232398	0.0617747	0.166492	0.0621516	0.0663736	0.0033169	0.0489272	0.00767173	0.140275	0.036148	0.0397535	0.0244724	0.0770166	0.0726911	0.293923	0.0531163	0.0158432	0.523597	0.0408293	0.0089841	0.134975	0.655833	3.20021	0.326714	0.352672	0.0950089	0.225605	5.076433
19	1	-13204.6	-13184.2	-20.3854	0.3362383	0.221662	0.131726	0.159959	0.0920838	0.141885	0.124381	0.205858	0.107753	0.123935	0.388511	0.0725168	0.12405	0.18027	0.194425	0.149407	0.253155	0.237356	0.173003	0.19149	0.0746934	0.117384	0.12886	0.290655	0.110718	0.0502179	0.0611266	0.049533	0.050641	0.0163737	0.045373	0.087604	0.0753073	0.129383	0.0508615	0.0821973	0.125092	0.0858227	0.0179727	0.0467072	0.158687	0.0890114	0.0839532	0.041709	0.0518335	0.351367	0.0602285	0.0279316	0.459811	0.0488284	0.00868979	0.132824	0.651931	3.20656	0.310328	0.373505	0.0751856	0.240982	5.34331
20	0	-13221.1	-13198	-23.0308	0.3848292	0.299974	0.135931	0.143047	0.142755	0.162541	0.0933884	0.170873	0.0869638	0.177232	0.285102	0.102865	0.140739	0.169734	0.168271	0.145647	0.23721	0.294632	0.220741	0.215156	0.105003	0.161125	0.083494	0.363942	0.0450369	0.145338	0.057407	0.0849364	0.0114701	0.138421	0.193136	0.0256021	0.106558	0.127536	0.102893	0.0711383	0.009928	0.071065	0.0183759	0.146987	0.0311657	0.0369479	0.0456918	0.0318467	0.0736855	0.297944	0.0580538	0.01606	0.53076	0.0234963	0.014588	0.170335	0.714328	3.10075	0.324856	0.350667	0.0944687	0.230008	5.607848
21	1	-13205.3	-13175.9	-29.3461	0.3120509	0.258126	0.131726	0.199613	0.142395	0.184018	0.155802	0.199582	0.0898287	0.213689	0.349482	0.0852036	0.110404	0.187914	0.204887	0.196042	0.31936	0.260066	0.211558	0.207327	0.10551	0.133615	0.138984	0.438925	0.143662	0.0508903	0.0397419	0.0442523	0.0574007	0.027483	0.074727	0.121323	0.0364425	0.12916	0.12403	0.0611372	0.194015	0.0880263	0.0226612	0.0295694	0.214018	0.141119	0.0644787	0.0511838	0.0520949	0.367861	0.0594058	0.0244173	0.462573	0.0336476	0.00632366	0.113897	0.615496	3.26428	0.312338	0.375924	0.0756725	0.236066	6.23938
22	0	-13206.8	-13189.6	-17.2082	0.3656962	0.192397	0.0915651	0.13271	0.141818	0.15881	0.0920619	0.173529	0.113338	0.1205	0.225959	0.0911353	0.104679	0.2074	0.170806	0.196833	0.217961	0.213364	0.156514	0.254602	0.0707072	0.105401	0.0936389	0.339944	0.0374801	0.0995299	0.0559599	0.0847086	0.0217442	0.108693	0.163167	0.0645065	0.0675715	0.131652	0.0914531	0.0431542	0.0200488	0.0538567	0.0129602	0.15131	0.0415102	0.0480306	0.0276798	0.0348907	0.0737159	0.295674	0.0580778	0.0160666	0.530978	0.0254872	0.0120925	0.155707	0.691322	3.14088	0.320915	0.358545	0.0933225	0.227218	5.025582
23	1	-13192.5	-13170.6	-21.8744	0.3101363	0.265235	0.153125	0.149006	0.102016	0.183004	0.128828	0.159112	0.100818	0.114197	0.243514	0.105528	0.100968	0.186576	0.164871	0.161242	0.284145	0.215542	0.211558	0.20737	0.0959706	0.136894	0.0891897	0.350988	0.200799	0.0484369	0.0562822	0.0746416	0.0403572	0.0167542	0.0505646	0.0821131	0.0522147	0.0898836	0.0849785	0.0405028	0.170972	0.0728166	0.0257684	0.0313037	0.212753	0.115997	0.0774061	0.037958	0.0506271	0.38759	0.057732	0.0142911	0.44954	0.0402199	0.00615351	0.1124	0.612439	3.26901	0.322116	0.382208	0.0769375	0.218739	5.4922
