Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
219	1	-13216.5	-13168.3	-48.1501	0.2807062	0.347683	0.15708	0.202255	0.12109	0.256916	0.174141	0.264455	0.208114	0.18228	0.369157	0.156431	0.126144	0.321262	0.285082	0.267555	0.400796	0.336417	0.287681	0.287882	0.0884064	0.213882	0.126971	0.650268	0.325062	0.0723914	0.0590375	0.113354	0.164726	0.110972	0.125642	0.0816512	0.0710368	0.185023	0.107734	0.0545394	0.214527	0.10664	0.0391072	0.0448477	0.164233	0.140893	0.095141	0.0112709	0.0313699	0.252432	0.0619473	0.0158294	0.618364	0.0200572	0.00386104	0.0895971	0.561933	3.34461	0.338652	0.366094	0.078868	0.216386	8.119777
220	0	-13197.4	-13165.8	-31.562	0.2891001	0.275782	0.125595	0.191575	0.140925	0.246291	0.147494	0.249707	0.149297	0.140312	0.241624	0.141071	0.156532	0.201464	0.295013	0.188751	0.330528	0.267666	0.181655	0.2023	0.0735798	0.158294	0.114208	0.452482	0.0290307	0.0697671	0.0607946	0.0869327	0.0678023	0.189396	0.195795	0.0578171	0.0965049	0.244202	0.0797863	0.0594365	0.0488953	0.0824037	0.0169499	0.171424	0.0729723	0.0279184	0.0383178	0.0926714	0.0357724	0.244707	0.0675301	0.0155957	0.604286	0.0321082	0.00445287	0.0960471	0.577035	3.32246	0.35281	0.351266	0.0853166	0.210608	6.460961
221	1	-13216.4	-13166.8	-49.5974	0.3078744	0.414064	0.19891	0.149836	0.199354	0.256916	0.172326	0.274176	0.210757	0.207333	0.483431	0.176867	0.184196	0.339279	0.240156	0.238596	0.382473	0.316988	0.23925	0.265351	0.126943	0.175482	0.149519	0.544446	0.252626	0.0924553	0.0889327	0.0718025	0.0885371	0.0617962	0.0852552	0.125652	0.0550304	0.224493	0.0691758	0.00554422	0.164627	0.102051	0.0838631	0.153675	0.230377	0.191523	0.10593	0.0645108	0.0313247	0.228686	0.0618581	0.0150599	0.63326	0.0298113	0.00595578	0.110633	0.608793	3.27462	0.369221	0.352757	0.075995	0.202026	8.264507
222	0	-13201.9	-13168.7	-33.2357	0.3415885	0.305795	0.157866	0.214438	0.115369	0.193338	0.157001	0.2236	0.162443	0.1775	0.272546	0.131134	0.159705	0.210362	0.265579	0.169788	0.346741	0.245428	0.200951	0.199093	0.123454	0.141154	0.121814	0.53484	0.0696231	0.144857	0.0369449	0.114226	0.0214035	0.128939	0.195623	0.0408523	0.116529	0.196917	0.0855116	0.0978942	0.116976	0.0869941	0.00679272	0.171262	0.0670075	0.025741	0.0134658	0.0608421	0.0315777	0.248888	0.0669774	0.0202071	0.601561	0.030788	0.00926632	0.137002	0.659471	3.19426	0.372188	0.339282	0.085107	0.203423	6.628339
223	1	-13215.8	-13169.4	-46.4058	0.2974552	0.401401	0.13019	0.262735	0.170297	0.259886	0.153999	0.242496	0.163561	0.196001	0.455864	0.164942	0.171115	0.238422	0.31905	0.235619	0.403431	0.275805	0.178184	0.385493	0.116279	0.152068	0.187339	0.506923	0.353617	0.0830571	0.0178171	0.0795667	0.0978621	0.0634686	0.12721	0.109574	0.039675	0.169576	0.0558216	0.0161719	0.193351	0.124305	0.00356341	0.0384836	0.233612	0.218206	0.0987897	0.0505198	0.0288783	0.253774	0.0559613	0.00742574	0.583805	0.070156	0.00509115	0.102517	0.591504	3.30089	0.369069	0.352611	0.0763774	0.201943	7.945346
224	0	-13198.9	-13170.3	-28.6202	0.3224988	0.291593	0.160704	0.230421	0.0992602	0.241045	0.105339	0.205938	0.13788	0.140487	0.266913	0.0845275	0.154059	0.184488	0.21618	0.199946	0.308666	0.271722	0.170418	0.202809	0.0901317	0.114255	0.100333	0.49378	0.0970753	0.153967	0.0310735	0.106679	0.0268772	0.161087	0.156662	0.0680755	0.0980294	0.194354	0.0843418	0.105124	0.0210335	0.0738384	0.0141603	0.144279	0.0519499	0.0298713	0.0295156	0.0479004	0.0333412	0.262787	0.072131	0.0200758	0.585759	0.0259056	0.00729681	0.122073	0.631722	3.23891	0.369117	0.344294	0.0837362	0.202852	6.166789
225	1	-13221	-13178.9	-42.0957	0.2821321	0.422845	0.179329	0.240014	0.161445	0.204903	0.184078	0.220418	0.149539	0.159406	0.456526	0.125148	0.111945	0.286095	0.275018	0.255359	0.33131	0.374668	0.250766	0.279355	0.102644	0.160399	0.186944	0.600212	0.201198	0.0778179	0.0855587	0.0598543	0.0604029	0.059163	0.0121187	0.0664867	0.027458	0.218481	0.0977479	0.00932102	0.196117	0.151492	0.017498	0.038227	0.253273	0.102795	0.0576501	0.00331009	0.026019	0.256575	0.0688338	0.0171357	0.59668	0.0347555	0.00395809	0.0906886	0.564539	3.34081	0.37308	0.352252	0.0750334	0.199635	7.514334
226	0	-13195.6	-13172.4	-23.1489	0.3036654	0.243947	0.100869	0.189433	0.130862	0.172716	0.123359	0.237035	0.121338	0.125342	0.374916	0.110274	0.100852	0.157621	0.157172	0.176009	0.271292	0.231907	0.187333	0.191328	0.112728	0.128867	0.0896199	0.385237	0.0319239	0.120833	0.0456245	0.0615999	0.0422839	0.169579	0.170173	0.0559119	0.123685	0.198445	0.0494947	0.0233149	0.023061	0.0850051	0.019661	0.170593	0.0343577	0.00956601	0.0137483	0.0507421	0.0321311	0.280555	0.0732906	0.0200508	0.560243	0.0337291	0.00559735	0.107349	0.601907	3.28515	0.369153	0.353376	0.0796933	0.197778	5.619659
227	1	-13211.3	-13168.4	-42.89	0.3083376	0.325519	0.212236	0.215274	0.138581	0.234634	0.226947	0.293109	0.150965	0.151674	0.40137	0.107886	0.198472	0.238927	0.204937	0.229339	0.397895	0.283799	0.260384	0.357271	0.0557675	0.160399	0.113841	0.546701	0.193022	0.104549	0.0175622	0.0690986	0.0565927	0.059163	0.0519858	0.189261	0.0205632	0.208173	0.0696269	0.0750331	0.218068	0.103384	0.00223994	0.0211142	0.261498	0.157372	0.167632	0.0418922	0.0374718	0.223325	0.0560014	0.0181701	0.622921	0.0421115	0.00599598	0.110995	0.609543	3.27347	0.357062	0.354218	0.0879705	0.200749	7.59376
228	0	-13187.9	-13163.8	-24.0805	0.2889051	0.243947	0.118007	0.205652	0.0800158	0.200365	0.127303	0.204892	0.12275	0.0816103	0.297503	0.107177	0.121596	0.200171	0.211679	0.165463	0.25973	0.253414	0.207827	0.191328	0.0676376	0.127558	0.070418	0.411968	0.0734567	0.141009	0.0638987	0.0740375	0.0329616	0.109334	0.158799	0.0256889	0.0976483	0.158405	0.0532691	0.0904199	0.0578114	0.0757464	0.0462758	0.186911	0.0455737	0.0188163	0.0763774	0.0483677	0.0354091	0.27995	0.0731324	0.0214368	0.557005	0.033067	0.00443856	0.0958967	0.576691	3.32297	0.351389	0.362847	0.0826848	0.203078	5.712819
229	1	-13207.1	-13168.8	-38.3108	0.3125608	0.424277	0.17517	0.18098	0.138245	0.227364	0.1649	0.352067	0.172324	0.141186	0.369277	0.120775	0.140561	0.211443	0.236159	0.248311	0.414659	0.244348	0.231827	0.219546	0.103938	0.152993	0.125606	0.544486	0.252682	0.120989	0.0380635	0.0971682	0.0592721	0.0473732	0.0598259	0.0633769	0.0304545	0.220047	0.0194314	0.0138112	0.146208	0.0592492	0.0144925	0.0886738	0.194365	0.171506	0.0804803	0.0179377	0.0375691	0.231284	0.0701961	0.0159747	0.622298	0.022678	0.00636941	0.114295	0.616306	3.26303	0.346536	0.360018	0.0894107	0.204035	7.135849
230	0	-13192.3	-13166.4	-25.8974	0.3185208	0.247107	0.143284	0.167008	0.116061	0.151508	0.151754	0.170139	0.116606	0.153162	0.306555	0.143958	0.0974521	0.199575	0.195037	0.257311	0.269353	0.215886	0.206909	0.218335	0.0688709	0.117393	0.12849	0.435702	0.0357467	0.176562	0.0497035	0.0910067	0.0315084	0.114107	0.168094	0.0715736	0.0775526	0.157417	0.0877415	0.120179	0.00931133	0.0674592	0.0130091	0.190303	0.0395798	0.0231628	0.0312279	0.0618022	0.0376207	0.258228	0.0691363	0.0177737	0.580407	0.0368341	0.00691743	0.118958	0.625634	3.24849	0.349193	0.364695	0.0830048	0.203108	5.894505
231	1	-13205.7	-13168.8	-36.97	0.2847473	0.289559	0.186801	0.158303	0.172295	0.22661	0.110986	0.216229	0.150546	0.175288	0.42168	0.165226	0.161897	0.215661	0.228141	0.271908	0.264615	0.331759	0.236758	0.241441	0.0877646	0.137303	0.0931601	0.599115	0.266159	0.0938872	0.0486958	0.0316441	0.0990269	0.0316094	0.0874971	0.10815	0.0098398	0.167604	0.0376984	0.0213631	0.212747	0.0806601	0.0243845	0.0685221	0.187837	0.16254	0.0761918	0.0426618	0.0380821	0.226592	0.0631715	0.0118041	0.630794	0.0295563	0.00413979	0.0926951	0.569276	3.33389	0.353989	0.352214	0.0971765	0.19662	7.001767
232	0	-13198.4	-13167.4	-30.9365	0.3047558	0.307465	0.139664	0.221328	0.181154	0.202008	0.150861	0.233651	0.121354	0.18661	0.371574	0.133048	0.130082	0.199719	0.185737	0.187997	0.268806	0.22904	0.181841	0.207544	0.110757	0.14278	0.0934311	0.435702	0.0234208	0.146541	0.0696956	0.134254	0.0251361	0.129353	0.306428	0.0435253	0.13465	0.220376	0.0886304	0.0568629	0.0403512	0.0340933	0.00404783	0.163476	0.0693727	0.00535931	0.0189168	0.0617761	0.0404924	0.268545	0.0679772	0.0184719	0.572274	0.0322399	0.00568902	0.1082	0.603704	3.28241	0.351652	0.36022	0.0835895	0.204538	6.398418
233	1	-13210.5	-13172.7	-37.7621	0.3245914	0.344181	0.144182	0.191959	0.146395	0.257591	0.171279	0.231832	0.146862	0.178083	0.403981	0.086796	0.179529	0.224115	0.18094	0.227477	0.372281	0.304553	0.221485	0.261491	0.119488	0.11825	0.0860908	0.574424	0.173613	0.0509094	0.0718416	0.0963545	0.0655466	0.0324653	0.108683	0.0889228	0.0125777	0.14107	0.0545213	0.0664165	0.229112	0.091319	0.0667069	0.0810716	0.232932	0.145836	0.0810171	0.0167964	0.0380571	0.211358	0.0679211	0.00954639	0.645394	0.0277236	0.00750073	0.123711	0.634881	3.23391	0.345652	0.361478	0.0968702	0.196	7.080979
234	0	-13193.3	-13166.3	-26.9748	0.3079524	0.24356	0.139558	0.198771	0.133299	0.205235	0.114238	0.268634	0.132098	0.173075	0.275155	0.101443	0.105969	0.181072	0.161529	0.16343	0.268806	0.248633	0.191776	0.193034	0.0741691	0.160545	0.103311	0.471644	0.0412221	0.165344	0.0434431	0.0952301	0.0346836	0.178204	0.187711	0.0353033	0.0892183	0.120189	0.0705945	0.0870393	0.0684543	0.0806968	0.00353965	0.17711	0.0666077	0.0237378	0.0817761	0.0431578	0.0439672	0.271304	0.0570443	0.0239798	0.571508	0.0321967	0.00596254	0.110694	0.608919	3.27442	0.348921	0.358878	0.0850477	0.207153	6.002247
235	1	-13207.6	-13171.6	-36.0046	0.2922793	0.357008	0.18277	0.180422	0.197962	0.263001	0.112759	0.267494	0.136976	0.122326	0.389756	0.109154	0.132334	0.271483	0.274992	0.227297	0.364946	0.292062	0.224073	0.247431	0.116534	0.135245	0.0796876	0.425888	0.180671	0.0324391	0.0353209	0.0428809	0.0922463	0.0412	0.0539777	0.116683	0.0497517	0.133637	0.0864446	0.0920722	0.178693	0.0868821	0.0335202	0.0770633	0.182814	0.130037	0.113462	0.0338237	0.0367878	0.228198	0.0670431	0.0106693	0.641859	0.0154419	0.00468995	0.0985039	0.582606	3.3142	0.371214	0.34831	0.0898799	0.190596	6.905221
236	0	-13199.3	-13161.4	-37.8275	0.3046465	0.296887	0.160077	0.263109	0.120605	0.205678	0.189671	0.215195	0.182445	0.184298	0.329135	0.118363	0.143046	0.235744	0.275627	0.230438	0.302933	0.298687	0.218104	0.256073	0.0906055	0.13822	0.111481	0.534715	0.0650102	0.152282	0.0422595	0.107018	0.0346836	0.179153	0.24241	0.0624722	0.0968684	0.240415	0.0450149	0.0910737	0.0172101	0.029467	0.0527714	0.17629	0.130094	0.0621331	0.0817761	0.0779711	0.0422893	0.264391	0.0582202	0.0218134	0.58719	0.0260961	0.00567979	0.108114	0.603524	3.28268	0.349472	0.359444	0.0854453	0.20564	7.087511
237	1	-13206.6	-13173.6	-32.9295	0.3004287	0.321023	0.18192	0.207561	0.122057	0.175461	0.153608	0.194998	0.139982	0.189108	0.263419	0.164333	0.164696	0.201967	0.188105	0.195348	0.299968	0.292062	0.272664	0.253914	0.0621873	0.140635	0.117279	0.595779	0.217072	0.0613849	0.0675946	0.120031	0.0726012	0.0635925	0.0367622	0.0674954	0.0184692	0.128229	0.0672808	0.0284083	0.190843	0.110678	0.0293349	0.0432731	0.180097	0.108271	0.0544001	0.0338237	0.0444685	0.224498	0.0642755	0.0178429	0.631452	0.0174624	0.00533014	0.104829	0.596522	3.29332	0.354102	0.349077	0.0878832	0.208937	6.597715
238	0	-13205.6	-13162.6	-43.0318	0.2758863	0.375475	0.13937	0.202681	0.134504	0.282502	0.169123	0.296887	0.167412	0.196335	0.370848	0.121614	0.244431	0.276529	0.273963	0.212563	0.441165	0.306139	0.213319	0.237816	0.0852338	0.187802	0.11105	0.553426	0.0592973	0.165223	0.094232	0.0775613	0.0655523	0.16309	0.19116	0.045392	0.156878	0.24129	0.0888428	0.0690561	0.0221822	0.109236	0.0364313	0.184439	0.129192	0.0411747	0.0246732	0.042853	0.0361664	0.238741	0.0569425	0.0159142	0.6223	0.029936	0.00354352	0.0859218	0.552995	3.35754	0.343731	0.361663	0.086479	0.208127	7.607945
239	1	-13202.3	-13169.5	-32.7843	0.3105085	0.289075	0.162671	0.223111	0.115762	0.183084	0.149431	0.259201	0.181832	0.178924	0.243524	0.12112	0.175897	0.229249	0.192372	0.222677	0.331829	0.240001	0.162188	0.227667	0.122881	0.138459	0.134734	0.446893	0.229088	0.0369292	0.0184301	0.0526223	0.0611404	0.0517428	0.0857949	0.061877	0.00466914	0.183717	0.0365349	0.0722349	0.278904	0.0724881	0.0147075	0.078163	0.216623	0.148881	0.0776671	0.0683958	0.0309498	0.267758	0.0751838	0.0261507	0.578689	0.0212689	0.00618639	0.112691	0.613036	3.26809	0.351605	0.365842	0.0836587	0.198894	6.583193
240	0	-13197.6	-13166.1	-31.5152	0.2782984	0.292589	0.183774	0.28478	0.114928	0.216898	0.157017	0.187499	0.163013	0.15714	0.354342	0.138908	0.143422	0.164452	0.190595	0.212563	0.339804	0.281409	0.185998	0.228113	0.0735859	0.118354	0.122421	0.421389	0.0545591	0.128616	0.0469219	0.1124	0.0707351	0.147239	0.143202	0.045392	0.1253	0.229751	0.0919934	0.071211	0.0121784	0.0566184	0.0234869	0.145238	0.0574772	0.0434691	0.0610056	0.0564956	0.0352164	0.222086	0.0672306	0.0159366	0.62909	0.030441	0.00370039	0.0877582	0.557492	3.35105	0.343292	0.361202	0.0863687	0.209137	6.456287
241	1	-13195.7	-13166.9	-28.7942	0.3084681	0.290957	0.146733	0.174908	0.153751	0.176331	0.158692	0.182248	0.12678	0.117365	0.372769	0.0977284	0.139372	0.212821	0.180418	0.179572	0.306615	0.2341	0.182553	0.242506	0.0917334	0.124609	0.099629	0.451335	0.161389	0.0890444	0.00213359	0.0716437	0.053469	0.0271784	0.0457548	0.0998264	0.00723342	0.182413	0.0608266	0.00802187	0.224659	0.131906	0.0270934	0.0616499	0.203254	0.140567	0.0741699	0.0684275	0.0268699	0.250465	0.070328	0.0175179	0.598091	0.0367284	0.00600734	0.111097	0.609754	3.27314	0.37148	0.350357	0.082359	0.195804	6.184186
242	0	-13190.7	-13162	-28.6824	0.296276	0.301114	0.179244	0.185205	0.113191	0.183964	0.162798	0.148081	0.118068	0.124229	0.294705	0.10985	0.136556	0.20567	0.276935	0.198789	0.280126	0.235473	0.205864	0.240998	0.0892605	0.178662	0.0875701	0.453312	0.0581406	0.11592	0.107194	0.092613	0.0312091	0.159724	0.236082	0.028468	0.106464	0.186033	0.0678286	0.0610479	0.0304794	0.048923	0.023835	0.119426	0.0531241	0.03695	0.0468233	0.0530572	0.0332887	0.236872	0.0663132	0.0146212	0.604387	0.0445182	0.00499809	0.101601	0.589495	3.30391	0.361606	0.35378	0.0866336	0.19798	6.173004
243	1	-13201.5	-13171.4	-30.0108	0.3164463	0.331717	0.182886	0.183207	0.13352	0.155661	0.170243	0.197159	0.202178	0.147323	0.343058	0.103611	0.113063	0.234715	0.182011	0.199189	0.283005	0.229329	0.181171	0.23242	0.0686212	0.111596	0.109459	0.496778	0.161814	0.0581618	0.0439551	0.0627793	0.115562	0.0271784	0.0522112	0.0571952	0.0259657	0.0902707	0.0769537	0.0319648	0.226709	0.103891	0.0111322	0.0683736	0.222525	0.170961	0.0674275	0.0388946	0.0290037	0.237775	0.0698163	0.019296	0.593739	0.0503696	0.0067239	0.117335	0.622416	3.25353	0.371732	0.352389	0.0789401	0.196939	6.305846
244	0	-13198	-13169.5	-28.4937	0.2885785	0.283709	0.146591	0.201665	0.0726908	0.250265	0.101209	0.261001	0.163463	0.151902	0.316524	0.118004	0.149093	0.193157	0.200773	0.205063	0.278677	0.241778	0.209605	0.180233	0.0846377	0.143221	0.0942191	0.417519	0.0741744	0.126074	0.0477066	0.0652096	0.0257093	0.133494	0.152379	0.0409912	0.0800968	0.196538	0.0600747	0.0908067	0.0453305	0.0451255	0.063886	0.220375	0.0566758	0.0208915	0.050034	0.0935612	0.0358735	0.271267	0.0680984	0.0112346	0.588531	0.024995	0.00441465	0.0956447	0.576114	3.32383	0.337884	0.382019	0.0779207	0.202176	6.154134
245	1	-13199.5	-13162.6	-36.9226	0.3044943	0.31872	0.164785	0.212835	0.132948	0.253449	0.184735	0.252912	0.183377	0.228228	0.343058	0.114012	0.11058	0.224467	0.269767	0.222266	0.278832	0.22758	0.210447	0.292163	0.123761	0.1783	0.128927	0.522985	0.198284	0.0548365	0.0253414	0.0656862	0.0998334	0.0253732	0.0658012	0.109528	0.0179255	0.142545	0.0336989	0.029912	0.213012	0.169457	0.0336859	0.0480196	0.238606	0.163246	0.050611	0.0324913	0.0303327	0.223632	0.0777928	0.0155688	0.620944	0.0317299	0.00566695	0.107996	0.603274	3.28306	0.363936	0.353482	0.0867051	0.195878	6.997028
246	0	-13201.3	-13170.1	-31.1432	0.2904619	0.324609	0.166707	0.140375	0.125078	0.199491	0.186054	0.240098	0.16208	0.160224	0.348909	0.0933686	0.125012	0.17488	0.155861	0.229518	0.290793	0.281931	0.196222	0.240717	0.0757002	0.14488	0.110362	0.521447	0.0555932	0.105154	0.0766371	0.0871686	0.0388967	0.120312	0.144071	0.017186	0.134929	0.181057	0.0465604	0.15372	0.0601082	0.0334377	0.0537196	0.220375	0.0416504	0.0286788	0.044839	0.0806738	0.0321728	0.282849	0.0673875	0.0158447	0.568683	0.0330629	0.00455355	0.0970986	0.579431	3.31892	0.336495	0.3788	0.0753615	0.209343	6.419086
247	1	-13199.9	-13163	-36.9049	0.3010907	0.310749	0.158679	0.224353	0.148768	0.200045	0.153631	0.266817	0.168216	0.178828	0.329145	0.129869	0.183826	0.193956	0.204362	0.185185	0.34788	0.319127	0.247805	0.198765	0.125109	0.147371	0.128927	0.551908	0.21337	0.0448719	0.0395522	0.077028	0.0389536	0.011542	0.0423351	0.125773	0.0381573	0.191475	0.0486853	0.0275443	0.186217	0.159935	0.0558993	0.0422016	0.220697	0.20796	0.0773588	0.0423807	0.0302206	0.217846	0.077084	0.0204378	0.618722	0.0356904	0.0053842	0.105344	0.59763	3.29164	0.358585	0.349351	0.0810724	0.210991	6.995255
248	0	-13201.3	-13169.1	-32.1601	0.297535	0.25816	0.155242	0.148786	0.0735842	0.225299	0.136934	0.230257	0.16041	0.176056	0.336945	0.104011	0.163274	0.252109	0.193767	0.244869	0.317192	0.258137	0.199197	0.192973	0.0914173	0.128322	0.0991037	0.602784	0.0456382	0.132179	0.0889397	0.0755991	0.0194933	0.132099	0.203033	0.0473194	0.0872691	0.146349	0.115103	0.0415867	0.038409	0.0477161	0.0389502	0.300327	0.050872	0.0293697	0.0526767	0.079017	0.0358872	0.274981	0.0560167	0.0197387	0.574441	0.0389356	0.00509748	0.102579	0.59164	3.30068	0.35257	0.364919	0.0824066	0.200104	6.520774
249	1	-13199.1	-13161.2	-37.8901	0.2937339	0.313081	0.178395	0.225277	0.172091	0.201426	0.171449	0.262158	0.167176	0.143816	0.362745	0.155654	0.12743	0.281258	0.234384	0.223148	0.328263	0.300977	0.221849	0.241307	0.0953758	0.16283	0.110529	0.473827	0.273516	0.0793028	0.0436701	0.0426589	0.0335833	0.0545859	0.0723677	0.0747569	0.0170177	0.21682	0.0602109	0.0619392	0.255434	0.0916196	0.0456752	0.0953198	0.21258	0.107698	0.0762987	0.0242763	0.0281249	0.212203	0.059667	0.0250639	0.644363	0.0305777	0.0048008	0.0996301	0.585128	3.31044	0.358534	0.357168	0.0828864	0.201411	7.093778
250	0	-13197.9	-13162.9	-35.0378	0.2822521	0.293933	0.152915	0.266134	0.111565	0.182838	0.171709	0.23774	0.143109	0.190162	0.310344	0.125523	0.157856	0.249359	0.288537	0.215536	0.371805	0.238748	0.208337	0.264569	0.0739156	0.107141	0.132673	0.464352	0.0648639	0.132179	0.0432362	0.0951199	0.0277143	0.16225	0.180045	0.0462804	0.0715915	0.181498	0.115103	0.0832807	0.0429929	0.0607774	0.0260255	0.274823	0.044337	0.0220826	0.0927718	0.0827696	0.0364369	0.324713	0.0548742	0.0246898	0.525324	0.033962	0.00396632	0.0907806	0.564758	3.3405	0.338857	0.371172	0.0700786	0.219893	6.808543
251	1	-13214.1	-13172.9	-41.2471	0.2881692	0.379428	0.212518	0.265099	0.183646	0.28803	0.162921	0.282795	0.22294	0.119181	0.297747	0.177815	0.112285	0.272331	0.214058	0.218708	0.378588	0.333608	0.142423	0.293782	0.0869836	0.179952	0.167707	0.483346	0.243931	0.0565835	0.0492899	0.10606	0.0636135	0.00174125	0.0602123	0.150215	0.00491267	0.162739	0.075834	0.0373051	0.21092	0.0992633	0.0534562	0.0514578	0.215899	0.149368	0.143583	0.0171973	0.0293597	0.238738	0.0694804	0.0195064	0.612346	0.0305687	0.00438479	0.095329	0.575389	3.3249	0.352517	0.354173	0.0821913	0.211118	7.429471
252	0	-13207.5	-13170.6	-36.8916	0.3107995	0.326102	0.150102	0.226565	0.165587	0.170822	0.216992	0.241306	0.171112	0.146422	0.42724	0.124833	0.201551	0.236439	0.192597	0.189892	0.370492	0.262475	0.243332	0.270683	0.0847086	0.176887	0.100318	0.508223	0.129489	0.204714	0.055054	0.097444	0.0479735	0.136214	0.178115	0.0409746	0.102643	0.101822	0.0806509	0.0778928	0.0328331	0.060353	0.00371765	0.213667	0.056984	0.0398182	0.0349425	0.0939381	0.0350069	0.316066	0.0553668	0.0185221	0.54129	0.0337478	0.00621216	0.112918	0.613501	3.26737	0.34519	0.359472	0.0726236	0.222714	6.993923
253	1	-13197.6	-13169.3	-28.3573	0.3154303	0.276862	0.133572	0.206344	0.127724	0.241703	0.125289	0.208666	0.132458	0.135006	0.306822	0.122536	0.16582	0.24288	0.156181	0.17403	0.219317	0.227299	0.204382	0.222065	0.113315	0.151525	0.103773	0.396778	0.224209	0.0784743	0.0219435	0.0457917	0.0651766	0.00779661	0.0566643	0.115221	0.0073772	0.0959587	0.0888968	0.0232683	0.223298	0.0987148	0.0341619	0.0422454	0.184096	0.174155	0.107188	0.0515153	0.0318659	0.254949	0.0671085	0.0191661	0.591442	0.0354681	0.0066302	0.11654	0.620829	3.256	0.351623	0.36026	0.0824217	0.205695	6.140499
254	0	-13198.5	-13165.4	-33.0528	0.303686	0.341412	0.135378	0.147816	0.0975322	0.230558	0.214829	0.270703	0.146868	0.147255	0.310138	0.120147	0.124437	0.196397	0.246109	0.206376	0.333265	0.262475	0.260986	0.228457	0.129251	0.131048	0.1122	0.425073	0.0520544	0.1547	0.0528632	0.0980551	0.0491148	0.151803	0.226476	0.0503762	0.0928182	0.230157	0.0414839	0.0974933	0.0219702	0.055453	0.0164177	0.144043	0.0710339	0.0717183	0.0373974	0.0759052	0.0410478	0.300034	0.0559538	0.0217857	0.547029	0.0341497	0.00559907	0.107366	0.601941	3.28509	0.33987	0.379529	0.0715227	0.209078	6.610043
255	1	-13204.3	-13167.6	-36.7341	0.2915885	0.37426	0.150796	0.192353	0.14844	0.167164	0.178576	0.274964	0.150547	0.224987	0.32101	0.089071	0.111842	0.249293	0.252143	0.242529	0.391841	0.249946	0.223866	0.222065	0.0989971	0.16894	0.145607	0.497839	0.19705	0.0926469	0.027425	0.0354673	0.112186	0.0104773	0.0563085	0.100139	0.0641019	0.141251	0.0650697	0.0850098	0.169243	0.0754787	0.0516641	0.0832327	0.227176	0.171978	0.0411323	0.0440611	0.030576	0.212475	0.0671647	0.0170883	0.637198	0.0354978	0.00463784	0.0979695	0.581403	3.31599	0.357092	0.348307	0.0902034	0.204397	6.978175
256	0	-13193.8	-13162.4	-31.4108	0.3118755	0.293139	0.138927	0.146629	0.129598	0.186866	0.130646	0.261411	0.143922	0.158729	0.317378	0.165741	0.117055	0.240087	0.217002	0.167165	0.361576	0.259904	0.196692	0.204022	0.0859376	0.143297	0.107686	0.472297	0.0493995	0.0919403	0.0388956	0.0737515	0.0600528	0.17159	0.232087	0.100141	0.110996	0.213922	0.0342701	0.0784787	0.011797	0.0864304	0.0063614	0.165163	0.0710339	0.0512789	0.0721933	0.0803565	0.0361421	0.313217	0.0623264	0.0185138	0.538283	0.0315179	0.00630797	0.113759	0.615218	3.26471	0.349373	0.365898	0.075428	0.209301	6.445844
257	1	-13206	-13163.4	-42.6431	0.3127125	0.305119	0.162602	0.192353	0.149561	0.196591	0.268941	0.284362	0.148003	0.172878	0.389329	0.140572	0.141123	0.234732	0.266122	0.181277	0.287192	0.302845	0.294808	0.321564	0.117754	0.170814	0.177677	0.52292	0.28187	0.0620676	0.0893105	0.0544382	0.112186	0.00803473	0.099329	0.09512	0.0624194	0.190494	0.0458926	0.0522281	0.208672	0.113042	0.0516641	0.0600135	0.243947	0.190902	0.0609619	0.0573407	0.0305135	0.216453	0.069284	0.0170533	0.635895	0.0308014	0.00638305	0.114414	0.616547	3.26266	0.358531	0.351964	0.0895412	0.199964	7.569073
258	0	-13205.1	-13169.3	-35.753	0.2991339	0.38211	0.13979	0.163504	0.181714	0.259959	0.153204	0.240439	0.133516	0.179209	0.314637	0.167482	0.152463	0.284134	0.259991	0.214549	0.323373	0.219406	0.20923	0.258192	0.105396	0.124208	0.117718	0.526362	0.0455866	0.151214	0.0578676	0.0692462	0.0612432	0.178468	0.219375	0.0237439	0.162417	0.210136	0.070069	0.0603359	0.00896971	0.0742166	0.0381083	0.167466	0.0639337	0.0232022	0.0149488	0.0689312	0.0306397	0.283566	0.0661846	0.0250919	0.561413	0.0331044	0.00522532	0.103822	0.594346	3.29661	0.354655	0.355544	0.0762388	0.213562	6.880063
