Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
160	-14504.5	-14524.3	19.8311	0.109803	0.0922568	0.106964	0.0857516	0.0919232	0.0716844	0.12844	0.068725	0.103015	0.192503	0.08639	0.0741579	0.114093	0.111135	0.124296	0.150949	0.137894	0.108644	0.129393	0.0613253	0.106123	0.0904352	0.156064	0.0378198	0.0327354	0.0343804	0.0196941	0.0504579	0.0317626	0.0225663	0.0512644	0.0199343	0.0346371	0.0164651	0.0260464	0.09687	0.0459099	0.0249798	0.0157526	0.0299398	0.029551	0.000122498	0.0408636	0.213421	0.284534	0.0643733	0.0287415	0.394745	0.0141862	0.242548	0.239794	0.158971	0.358687	3.163719
170	-14513.7	-14534	20.3385	0.160349	0.0922568	0.111868	0.0835866	0.0915888	0.0596435	0.104604	0.0696443	0.0700238	0.17737	0.0825784	0.0688014	0.105323	0.113073	0.108245	0.115973	0.148206	0.11465	0.110973	0.0849546	0.0746336	0.0936692	0.187523	0.0373168	0.0389865	0.0464079	0.0143808	0.0454127	0.0192732	0.0251707	0.0355875	0.0215178	0.0481635	0.0316159	0.0297185	0.0866711	0.0484431	0.0170795	0.0250663	0.0382965	0.0279482	0.000176868	0.0462109	0.208381	0.277814	0.062853	0.0215593	0.40993	0.0194635	0.236428	0.233744	0.154959	0.374869	3.112983
180	-14508.1	-14531.1	23.0275	0.119577	0.0895354	0.107283	0.094762	0.0908494	0.0575084	0.100844	0.0773746	0.0798927	0.188848	0.0842831	0.0633259	0.0771735	0.0944175	0.105234	0.129102	0.104056	0.0967807	0.104247	0.0690057	0.0972901	0.0694275	0.157004	0.0376921	0.0420405	0.0395067	0.00992882	0.0475953	0.0206801	0.016463	0.0355875	0.0129628	0.0347387	0.0232437	0.0226285	0.0631079	0.0429859	0.0169407	0.0180599	0.0375196	0.0207932	0.000688666	0.0430939	0.233845	0.266171	0.0602189	0.0283675	0.39275	0.0186478	0.242969	0.22378	0.159247	0.374004	2.844079
190	-14509.5	-14532	22.523	0.115966	0.0800446	0.102642	0.0886216	0.0850578	0.0732191	0.112223	0.0744082	0.0773225	0.17985	0.0776804	0.0670026	0.0932687	0.0910619	0.107652	0.112875	0.116589	0.105932	0.12681	0.0940154	0.100648	0.0689943	0.174855	0.0228492	0.0338641	0.0343679	0.0107107	0.040879	0.024819	0.0294443	0.0445828	0.00802127	0.0362753	0.0316751	0.0219528	0.0637963	0.0403843	0.0210634	0.0145302	0.0240553	0.0239625	0.00201844	0.0385439	0.235425	0.269614	0.0609979	0.0313156	0.393184	0.00946302	0.241644	0.22256	0.163832	0.371964	2.894535
200	-14503.1	-14524.6	21.4335	0.133136	0.099745	0.0912317	0.105461	0.101742	0.0750605	0.117933	0.0624936	0.0754122	0.188151	0.0792482	0.0716289	0.074441	0.106699	0.11748	0.124082	0.120022	0.114155	0.12681	0.0811322	0.0689235	0.0901968	0.170011	0.0386424	0.0359482	0.0343153	0.00852243	0.059599	0.027232	0.0168009	0.0335646	0.0130064	0.0220679	0.0231689	0.027432	0.0745074	0.0458651	0.0177022	0.0199595	0.0418189	0.0266884	0.00221364	0.0392335	0.239883	0.274719	0.049902	0.0205291	0.400628	0.0143392	0.241744	0.222237	0.1639	0.372119	3.003484
210	-14511.5	-14532.7	21.1888	0.111251	0.117155	0.115367	0.0722105	0.107638	0.0763931	0.128417	0.081169	0.0754676	0.166531	0.0689916	0.0716289	0.101467	0.104382	0.0833698	0.134347	0.120022	0.114272	0.109753	0.0838837	0.0823516	0.0948567	0.162508	0.0245067	0.0299619	0.028331	0.0120837	0.0340946	0.0316039	0.0307641	0.0474064	0.0231834	0.0368693	0.0389987	0.0257192	0.0784013	0.0507464	0.0234831	0.01962	0.0366857	0.0277077	0.00311526	0.0412354	0.246174	0.25356	0.0512107	0.021798	0.411135	0.0161229	0.243805	0.220775	0.165751	0.369669	3.027951
220	-14501.1	-14522.4	21.2893	0.106852	0.106126	0.114269	0.105239	0.103837	0.085441	0.107987	0.0686522	0.0678978	0.167483	0.0689916	0.0690602	0.0984392	0.0994439	0.110753	0.116006	0.13336	0.118961	0.120137	0.0799081	0.0743255	0.0944195	0.170306	0.0356441	0.0439834	0.0297901	0.0118743	0.0384118	0.0334664	0.00957253	0.0407887	0.0134012	0.0393895	0.0289516	0.0296454	0.065952	0.0530019	0.0281206	0.0138706	0.0254457	0.0191438	0.0195049	0.0500494	0.235141	0.242197	0.0489156	0.0314359	0.426629	0.0156821	0.243805	0.220775	0.165751	0.369669	3.017903
230	-14504.1	-14525.2	21.021	0.128559	0.106126	0.125083	0.0838274	0.0834472	0.0918776	0.114798	0.069931	0.0824004	0.189866	0.0731871	0.0695761	0.0924323	0.108798	0.10996	0.121346	0.132032	0.0942905	0.104452	0.0813647	0.0819605	0.088903	0.161032	0.0513851	0.0521868	0.0311744	0.00551026	0.0496061	0.0209909	0.0119771	0.036093	0.0183347	0.0402022	0.0246189	0.0243324	0.0761973	0.0564875	0.0208557	0.0121142	0.0426972	0.0197574	0.0167423	0.0382156	0.233071	0.247318	0.0464718	0.0311592	0.422874	0.0191059	0.24449	0.220575	0.165601	0.369334	3.04473
240	-14510.6	-14532.1	21.5454	0.122969	0.0972534	0.0959276	0.0884429	0.124511	0.0712123	0.114798	0.0562843	0.0938722	0.150222	0.0857925	0.0749065	0.0906954	0.0773709	0.0947416	0.118929	0.110049	0.114629	0.118688	0.0750976	0.0764918	0.0964828	0.184237	0.0237375	0.0620204	0.0245301	0.00551026	0.0392864	0.0240171	0.0109961	0.048978	0.0131254	0.0465352	0.0266173	0.024001	0.0881747	0.039091	0.0293352	0.0184283	0.0399752	0.0357764	0.0178436	0.0407105	0.23329	0.24755	0.0536366	0.0231287	0.423271	0.0191239	0.250247	0.218108	0.166421	0.365223	2.992294
250	-14508.7	-14530.3	21.6355	0.135102	0.107349	0.067341	0.0954826	0.0981625	0.0692688	0.11836	0.0829275	0.0802227	0.176308	0.075931	0.0815497	0.100145	0.0715798	0.103995	0.121285	0.117083	0.092862	0.114629	0.0733649	0.101853	0.081951	0.174489	0.0477585	0.0430606	0.021113	0.00607353	0.0489513	0.026492	0.0215053	0.0352339	0.0120658	0.0320175	0.025142	0.0241388	0.0830111	0.0568999	0.0351157	0.0122535	0.0237216	0.0188527	0.0209357	0.0476963	0.232745	0.246971	0.0531548	0.0309066	0.422281	0.0139416	0.247218	0.217002	0.164407	0.371373	2.98328
260	-14504.5	-14525.2	20.7517	0.110185	0.0961534	0.0900345	0.0925996	0.0981625	0.075522	0.0980455	0.0857187	0.0870269	0.172081	0.0724395	0.07003	0.107981	0.0880896	0.110592	0.124111	0.129863	0.106258	0.134881	0.0879375	0.0927604	0.0891313	0.160923	0.0314295	0.0425222	0.0432447	0.00763199	0.0412158	0.0310084	0.00919234	0.0243539	0.0263018	0.0436678	0.026754	0.0254713	0.0955206	0.0429784	0.0323305	0.0130539	0.0452719	0.039252	0.0168782	0.0530609	0.228877	0.268761	0.0509189	0.0300236	0.410218	0.0112022	0.248111	0.217785	0.161391	0.372714	3.071667
270	-14500.2	-14522.2	22.0365	0.124364	0.090518	0.0925334	0.0926345	0.0945201	0.0708149	0.123857	0.0811863	0.100738	0.15269	0.0574162	0.0944531	0.0851143	0.0871682	0.112467	0.135759	0.114941	0.114473	0.121999	0.0831259	0.0658152	0.0846518	0.129331	0.0227774	0.0440881	0.0396038	0.00869676	0.0368614	0.0204049	0.0114884	0.0341894	0.0219376	0.0382572	0.0184624	0.0309543	0.0823827	0.0477333	0.0257107	0.0207031	0.0431156	0.0324648	0.0182942	0.0344913	0.22448	0.270742	0.0512942	0.0302449	0.413241	0.00999805	0.240208	0.220074	0.163087	0.376631	2.943186
280	-14495.2	-14516.7	21.505	0.123451	0.129126	0.101814	0.0936933	0.0886653	0.0714367	0.123482	0.0715131	0.096923	0.160404	0.064201	0.083992	0.0904861	0.0881206	0.10156	0.132511	0.12593	0.101009	0.116282	0.0723228	0.0838061	0.0970653	0.138439	0.0422508	0.0378734	0.0313736	0.0189637	0.0512265	0.0288076	0.0266886	0.0448861	0.0117805	0.0393272	0.0220702	0.0235439	0.0758037	0.0387641	0.011605	0.012551	0.0377963	0.0247994	0.0120458	0.0479436	0.22447	0.27073	0.0523641	0.025345	0.413224	0.0138672	0.240208	0.220074	0.163087	0.376631	2.996334
290	-14506.8	-14528.4	21.5928	0.112828	0.105091	0.13261	0.0962374	0.0902005	0.0741102	0.129774	0.0682112	0.074113	0.159749	0.0822247	0.0722439	0.101389	0.0891743	0.135443	0.120296	0.141636	0.111699	0.10942	0.0855017	0.0751381	0.0870799	0.142744	0.0276555	0.0506436	0.0281917	0.0102417	0.0407188	0.031876	0.0277045	0.0303414	0.00958174	0.0322	0.0314861	0.024303	0.0769651	0.0419926	0.00471079	0.011985	0.0294204	0.028631	0.0127861	0.0392069	0.223142	0.267631	0.0517648	0.0302297	0.408494	0.0187376	0.240208	0.220074	0.163087	0.376631	2.987556
300	-14495.7	-14516.8	21.0654	0.139285	0.103538	0.109618	0.100818	0.0983973	0.0759411	0.123512	0.078123	0.0855388	0.183132	0.0835218	0.0815588	0.101059	0.0893239	0.10436	0.135831	0.122111	0.106812	0.114323	0.077944	0.0849828	0.0799288	0.151968	0.0463074	0.0382666	0.0282302	0.0179013	0.0402535	0.022116	0.0150658	0.0335031	0.0127425	0.0459752	0.0339894	0.0198506	0.0843514	0.0348421	0.00579654	0.0196911	0.0348974	0.0209127	0.0200206	0.033954	0.227387	0.272722	0.0527494	0.0341091	0.397058	0.0159749	0.240208	0.220074	0.163087	0.376631	3.040293
310	-14509	-14531.6	22.6391	0.105693	0.0725759	0.109618	0.104075	0.0839609	0.0698639	0.115197	0.0709798	0.0642512	0.173401	0.0705886	0.0783385	0.0944761	0.0981574	0.116656	0.103021	0.112506	0.109502	0.122055	0.0790706	0.0770899	0.0900561	0.149083	0.0273743	0.0430371	0.0207578	0.017834	0.0312453	0.0199192	0.0209377	0.0328801	0.0275154	0.0335018	0.0244266	0.03449	0.0739001	0.0487006	0.0202327	0.0226052	0.0334504	0.024237	0.0195813	0.0360817	0.226947	0.272195	0.0605756	0.0293028	0.39629	0.0146885	0.233596	0.214016	0.158597	0.393791	2.882925
320	-14498.1	-14520.3	22.2479	0.112505	0.0981282	0.110428	0.0780135	0.0814753	0.0896481	0.107862	0.0743342	0.0844543	0.161643	0.0817624	0.0675684	0.0915929	0.10955	0.104206	0.136645	0.119756	0.102074	0.114334	0.0740218	0.0741074	0.0668628	0.149777	0.0392487	0.0354432	0.0350883	0.00713842	0.0356247	0.0275741	0.015122	0.0327744	0.0266409	0.0293794	0.0206679	0.0250941	0.0811091	0.0483406	0.0182658	0.0229048	0.0417098	0.0247592	0.015934	0.0484699	0.225791	0.284756	0.060267	0.0291535	0.394271	0.0057618	0.233596	0.214016	0.158597	0.393791	2.922041
330	-14503.6	-14525.4	21.7285	0.111794	0.0942857	0.104592	0.0774292	0.0991731	0.071747	0.116659	0.0602295	0.0896291	0.162729	0.0747849	0.068914	0.09906	0.103123	0.108189	0.113582	0.114032	0.0907801	0.131655	0.0837225	0.108922	0.100906	0.152922	0.0405647	0.0476164	0.0288245	0.012094	0.044686	0.0274419	0.011821	0.0443328	0.0146717	0.050201	0.0251884	0.0276307	0.0842286	0.0567259	0.0144165	0.0115355	0.0260097	0.0213052	0.00949792	0.03633	0.224174	0.282717	0.0598355	0.0289447	0.391448	0.01288	0.233596	0.214016	0.158597	0.393791	2.973981
340	-14505.6	-14528.3	22.6841	0.129376	0.0942857	0.0817118	0.0864557	0.105424	0.0742251	0.116659	0.0792144	0.0805606	0.154777	0.0610483	0.0659045	0.0849479	0.0767194	0.100116	0.134182	0.131896	0.107823	0.111385	0.0574242	0.0834884	0.0786517	0.157343	0.0458779	0.0369466	0.0250197	0.00441227	0.0488481	0.0421625	0.0218529	0.0339202	0.0251298	0.0277976	0.017686	0.0182819	0.0726684	0.0411212	0.0212587	0.015286	0.0502945	0.0228666	0.0180584	0.0353146	0.223051	0.281142	0.0595355	0.0283258	0.389486	0.01846	0.239091	0.219051	0.162329	0.379529	2.878423
350	-14502.2	-14523.9	21.7449	0.126783	0.0914073	0.0991323	0.0840556	0.0862431	0.0853462	0.113362	0.0749536	0.0816371	0.159363	0.0732923	0.0775273	0.0877064	0.103287	0.0989127	0.153226	0.141639	0.100066	0.116755	0.0704998	0.0765129	0.0826083	0.168702	0.0267927	0.030287	0.0410674	0.00735559	0.0378657	0.0235545	0.0221164	0.0428723	0.0183592	0.0371019	0.0254822	0.0248649	0.07478	0.0463991	0.0281795	0.0108055	0.0395944	0.0350079	0.0111648	0.0356761	0.229304	0.280565	0.0612045	0.0210377	0.400405	0.00748445	0.239091	0.219051	0.162329	0.379529	2.972345
360	-14503.7	-14524.4	20.6369	0.122795	0.0957277	0.0917232	0.102386	0.105532	0.0619808	0.122028	0.0775736	0.0870564	0.180077	0.0567824	0.0877687	0.090889	0.0951693	0.0969139	0.122252	0.13245	0.107971	0.116755	0.076206	0.0835361	0.0979854	0.177608	0.0241979	0.0499084	0.0371969	0.0120086	0.0402712	0.034674	0.0228732	0.0463536	0.0272613	0.0483341	0.0238953	0.021096	0.0657145	0.0442295	0.027507	0.0239737	0.0395386	0.0333706	0.0294111	0.0421648	0.220006	0.260727	0.0655736	0.0309005	0.405851	0.0169416	0.240955	0.230979	0.163594	0.364472	3.083148
370	-14495.4	-14516.4	20.9603	0.12528	0.093658	0.103314	0.0715818	0.0957629	0.0898464	0.113208	0.0658182	0.0926725	0.174457	0.0687579	0.0700526	0.100897	0.106257	0.113222	0.13625	0.127955	0.0957637	0.13243	0.0622066	0.0790748	0.112357	0.168747	0.0382119	0.036653	0.041548	0.0111033	0.0445189	0.0163759	0.0170481	0.0484622	0.0127433	0.0284243	0.0221958	0.0310468	0.0909816	0.0477059	0.0278535	0.023654	0.0309564	0.0282115	0.0204394	0.0330957	0.222596	0.263795	0.0644288	0.0283184	0.410628	0.0102347	0.240955	0.230979	0.163594	0.364472	3.050799
380	-14512.7	-14534.3	21.6323	0.117681	0.0823456	0.0941352	0.100856	0.105264	0.0940986	0.0941009	0.0491779	0.0926725	0.152607	0.0753398	0.0867283	0.0850812	0.0893049	0.0995625	0.13033	0.121623	0.114074	0.0988968	0.0905742	0.088027	0.0953703	0.159034	0.0411421	0.0303845	0.0284255	0.0148471	0.0320552	0.0282258	0.0246557	0.0428663	0.0167223	0.0277147	0.0330957	0.0243131	0.0863005	0.0683574	0.0148073	0.0288365	0.0258737	0.029349	0.02392	0.0448226	0.232477	0.259211	0.0633091	0.030388	0.403492	0.0111236	0.240955	0.230979	0.163594	0.364472	2.983599
390	-14497.5	-14518.6	21.1049	0.145348	0.0943257	0.0925534	0.0882096	0.0875388	0.0888852	0.0983407	0.0726554	0.0887673	0.181898	0.0807972	0.0798631	0.0863662	0.0969709	0.109083	0.136123	0.136797	0.103574	0.125542	0.0888899	0.0983495	0.0826639	0.137426	0.0417069	0.0393999	0.0229014	0.0170579	0.0445054	0.0148438	0.0275389	0.038757	0.0132318	0.0311173	0.0258821	0.0318922	0.0845638	0.0431052	0.0189054	0.0165587	0.0313585	0.0221229	0.0204939	0.0494351	0.223547	0.275518	0.0621875	0.0298497	0.396343	0.0125541	0.240955	0.230979	0.163594	0.364472	3.036345
400	-14502.5	-14523.1	20.5248	0.138154	0.107842	0.107342	0.0796096	0.109906	0.0825822	0.107146	0.0782987	0.0868466	0.166447	0.0788754	0.0802437	0.0847682	0.104535	0.11729	0.128813	0.133197	0.127819	0.124631	0.0694227	0.0927898	0.0752476	0.13505	0.0414354	0.0358241	0.033676	0.0142793	0.0530404	0.0287042	0.0172255	0.0386916	0.0290112	0.0395981	0.0376096	0.0213178	0.0855311	0.030345	0.013736	0.0195107	0.0374113	0.0203758	0.0307343	0.0494351	0.223877	0.275924	0.0622792	0.0298937	0.396927	0.011099	0.238904	0.231603	0.164036	0.365457	3.09435
