Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20617.4	-20629.3	11.8702	0.0542194	0.0519027	0.0163175	0.105212	0.13181	0.0341096	0.0215117	0.0644428	0.0934686	0.162445	0.0672048	0.299842	0.00846537	0.0124829	0.196658	0.125356	0.0882434	0.129745	0.0240434	0.229373	0.00884004	0.00877845	0.00516107	0.0798687	0.0507092	0.106523	0.103049	0.274057	0.249621	0.0560934	0.0299689	0.0122489	0.021045	0.0873566	0.0474001	0.365249	0.103145	0.0296156	0.037348	0.115573	0.161598	0.00627233	0.0834345	0.182093	0.234956	0.279773	0.0843496	0.164934	0.0538945	0.335958	0.22785	0.269865	0.166326	3.95981
10	-15725	-15743	18.0288	0.0867078	0.109767	0.0747329	0.0938137	0.0929351	0.126775	0.0601118	0.0712494	0.0892174	0.136312	0.126629	0.15935	0.0434814	0.0324852	0.189854	0.10939	0.127917	0.116225	0.081979	0.121341	0.0210409	0.0302492	0.0513331	0.0466114	0.057447	0.0646125	0.044344	0.0669325	0.175819	0.0457358	0.0525495	0.00172988	0.0467289	0.0293234	0.0295879	0.190841	0.0343913	0.0235174	0.0417737	0.0544036	0.0872291	0.00266858	0.0948072	0.228882	0.149929	0.118634	0.0158273	0.450322	0.0364054	0.174309	0.286324	0.250063	0.289304	3.343952
20	-14784.5	-14803.6	19.083	0.0985837	0.110054	0.0980601	0.0746477	0.137981	0.115529	0.09068	0.0686687	0.0925967	0.161529	0.0992279	0.0840186	0.0951899	0.0928917	0.0968576	0.139089	0.155359	0.116396	0.109434	0.124565	0.0874734	0.0719608	0.158453	0.0466114	0.0540693	0.0540804	0.027	0.0317504	0.0628353	0.0425671	0.0532494	0.00371853	0.0449764	0.029197	0.044038	0.0840334	0.0401168	0.0167566	0.00762683	0.03297	0.0417879	0.00133002	0.0405751	0.207947	0.265675	0.0896553	0.0146118	0.415737	0.00637429	0.239534	0.246267	0.215079	0.29912	3.238534
30	-14549.4	-14570.9	21.4893	0.130985	0.121734	0.0883656	0.099634	0.0994325	0.0799896	0.120674	0.0793746	0.0925967	0.182578	0.0732296	0.0840186	0.0988508	0.0825388	0.0992149	0.112334	0.127382	0.0946101	0.13129	0.0815186	0.0850034	0.0954085	0.168244	0.0316691	0.0417493	0.0342159	0.021012	0.0268046	0.026862	0.0145687	0.0561903	0.00484185	0.0321171	0.0158179	0.0192045	0.0786135	0.0261839	0.0213787	0.0144858	0.0380089	0.0179619	0.00150815	0.0456971	0.215857	0.259718	0.0876451	0.0133865	0.406415	0.0169785	0.213015	0.234301	0.204628	0.348056	2.9979
40	-14540.7	-14562.5	21.8088	0.100328	0.122172	0.0948639	0.101705	0.113439	0.0574969	0.111638	0.069977	0.0751234	0.155796	0.0702039	0.0801235	0.0993368	0.102825	0.100464	0.149198	0.129892	0.102062	0.130569	0.0803925	0.0789628	0.0843554	0.15759	0.0263398	0.0304608	0.0243619	0.0245698	0.0441643	0.0222695	0.0398965	0.0491051	0.00894692	0.0418993	0.0226809	0.0256496	0.0736259	0.0371174	0.0255974	0.0101742	0.0338141	0.0216816	0.000168441	0.0349118	0.219792	0.25561	0.0807113	0.0148543	0.413825	0.0152064	0.213015	0.234301	0.204628	0.348056	2.965949
50	-14519.9	-14540.4	20.4294	0.118079	0.103899	0.0835697	0.117879	0.127749	0.0868246	0.129899	0.0695868	0.0831464	0.186458	0.0729035	0.0801235	0.0939269	0.0878088	0.101318	0.154288	0.109275	0.117297	0.129272	0.0838034	0.103416	0.0723358	0.185633	0.0360717	0.0311042	0.0375323	0.0178827	0.0412733	0.0363218	0.0266719	0.0623275	0.0137062	0.0358573	0.0143776	0.022593	0.0685998	0.0436114	0.0123016	0.0169616	0.0291545	0.0245928	0.000264094	0.0342001	0.217743	0.280129	0.0755225	0.0270207	0.387221	0.0123634	0.230461	0.243163	0.148069	0.378307	3.103896
60	-14511.5	-14531.5	20.0227	0.12019	0.107651	0.097162	0.103793	0.133768	0.0768842	0.125039	0.0908361	0.0714051	0.191275	0.0700319	0.0810802	0.110504	0.11289	0.0837639	0.133338	0.127708	0.114473	0.113369	0.0920868	0.0826584	0.0904031	0.20816	0.039866	0.0425937	0.0384619	0.0146391	0.0534621	0.0155524	0.0208869	0.0482541	0.0140357	0.0327365	0.0137976	0.0200174	0.0889141	0.0442892	0.0170417	0.0101107	0.0273217	0.0292776	0.000382068	0.0344499	0.221638	0.28514	0.0610629	0.0248229	0.394147	0.0131893	0.230461	0.243163	0.148069	0.378307	3.14456
70	-14506.9	-14528.2	21.2974	0.113751	0.110808	0.103206	0.0958569	0.10011	0.065188	0.139287	0.0752783	0.0810003	0.164491	0.0613767	0.077893	0.092831	0.0986521	0.106872	0.142356	0.158193	0.101193	0.0887479	0.0892048	0.0971113	0.0890653	0.162265	0.0465996	0.0364643	0.0323285	0.00781203	0.0329855	0.0351029	0.0241296	0.0465414	0.0191854	0.0309212	0.0153078	0.0136385	0.0722391	0.0427612	0.0250242	0.0187721	0.0322767	0.029497	0.000257159	0.0405121	0.223394	0.287399	0.0593282	0.0238914	0.397269	0.00871904	0.234979	0.228324	0.150972	0.385724	3.017095
80	-14517.5	-14538.5	20.9426	0.131787	0.0822246	0.093702	0.106526	0.119267	0.0737984	0.08825	0.090238	0.0803189	0.162241	0.0736134	0.0848931	0.0905521	0.0940288	0.120339	0.114344	0.130471	0.105245	0.131033	0.0724496	0.0846904	0.0943125	0.125543	0.0434975	0.048746	0.0288831	0.0099986	0.0694041	0.0347702	0.0251114	0.0469659	0.021296	0.0344949	0.0338985	0.0202605	0.0940464	0.0333483	0.0216553	0.015973	0.0442477	0.0277302	0.000757896	0.0476219	0.22365	0.287729	0.0593965	0.0227691	0.397726	0.00872906	0.234979	0.228324	0.150972	0.385724	3.052574
90	-14513.4	-14535.1	21.7111	0.137277	0.0857216	0.0946221	0.0882692	0.0909023	0.0781998	0.129657	0.0801668	0.0830512	0.184388	0.0707199	0.0657026	0.0967736	0.096593	0.10336	0.147136	0.130471	0.112557	0.107868	0.0919931	0.0729667	0.068742	0.15759	0.0552645	0.0400693	0.0288831	0.00787286	0.0334511	0.0358258	0.0458866	0.0467329	0.0170421	0.0157915	0.0146113	0.0296143	0.0774806	0.0397508	0.0242176	0.0136009	0.0284979	0.0202664	0.00068684	0.0254541	0.221915	0.285497	0.0589357	0.025247	0.39464	0.013765	0.227306	0.230614	0.152487	0.389593	2.975728
100	-14510.6	-14531.5	20.9304	0.112999	0.0928322	0.0893998	0.108151	0.108017	0.0695744	0.129749	0.0844235	0.108542	0.160928	0.0751881	0.084071	0.0824496	0.0984224	0.103856	0.120923	0.159634	0.103823	0.0995422	0.0711771	0.0816211	0.0921962	0.174544	0.0646666	0.0461122	0.0385719	0.0142446	0.0497963	0.0193149	0.0241801	0.037188	0.02755	0.0206999	0.0225178	0.0200368	0.0774806	0.0417567	0.0224089	0.00757337	0.0360991	0.0309108	0.00132625	0.0392991	0.221623	0.28512	0.0601771	0.0252137	0.39412	0.0137468	0.227306	0.230614	0.152487	0.389593	3.053796
110	-14518.8	-14539.9	21.0807	0.142707	0.0863493	0.0947109	0.0881394	0.12997	0.0634516	0.125155	0.0691102	0.0944215	0.16731	0.0779665	0.0881335	0.112402	0.103599	0.100744	0.140349	0.137893	0.102273	0.11558	0.114993	0.076657	0.0971163	0.142301	0.022274	0.0443845	0.0257934	0.00788395	0.0392279	0.0205638	0.01954	0.0431863	0.0154824	0.026473	0.0102947	0.0167509	0.0930326	0.0463828	0.0155747	0.0123747	0.0335041	0.0262189	0.000686114	0.0477985	0.22385	0.287986	0.060782	0.0193955	0.398082	0.00990423	0.227306	0.230614	0.152487	0.389593	3.038759
120	-14504.3	-14525.8	21.5189	0.136423	0.105941	0.0853114	0.0978886	0.10589	0.0714662	0.10666	0.085847	0.0776465	0.190275	0.079152	0.072153	0.0793736	0.0967431	0.121952	0.128993	0.128113	0.102273	0.116306	0.0788092	0.0946083	0.0806521	0.169818	0.0302387	0.0372119	0.0246726	0.0168664	0.0479379	0.0265833	0.0240287	0.0461931	0.0254549	0.0268378	0.0134392	0.0294233	0.0564677	0.0514755	0.0245566	0.00733731	0.0310494	0.018647	0.00105743	0.0431655	0.227801	0.293068	0.0618546	0.0221532	0.385223	0.00989992	0.227306	0.230614	0.152487	0.389593	2.99494
130	-14506.8	-14527.9	21.1215	0.135909	0.108843	0.113081	0.0760938	0.11411	0.068964	0.122495	0.0879439	0.0776465	0.190275	0.0618684	0.0828982	0.108283	0.0878715	0.128285	0.128993	0.120433	0.0995929	0.126251	0.0641819	0.094549	0.0829093	0.125287	0.0339181	0.0411769	0.0227283	0.0180231	0.0639294	0.0243513	0.0192776	0.0390573	0.0184072	0.0421123	0.0219042	0.0245412	0.0853889	0.0440482	0.0183381	0.00658452	0.045287	0.0238263	0.000382955	0.0346366	0.229762	0.282957	0.0621798	0.0279006	0.387248	0.00995196	0.227306	0.230614	0.152487	0.389593	3.034684
140	-14505	-14526	21.0187	0.109513	0.0961518	0.104449	0.109139	0.094933	0.0753162	0.108731	0.0604887	0.0958004	0.18157	0.0700315	0.0683964	0.0858862	0.0878715	0.132979	0.132319	0.13332	0.111351	0.106275	0.0825617	0.0993291	0.0863011	0.164705	0.0396434	0.0505183	0.0172161	0.022967	0.0463345	0.026869	0.0181268	0.0490086	0.0199455	0.0321928	0.0224717	0.0139866	0.0853889	0.0610121	0.0238501	0.0162071	0.045287	0.0226635	7.13392e-05	0.0337804	0.22142	0.270406	0.0599223	0.0298188	0.409541	0.00889185	0.240911	0.227489	0.168519	0.363081	3.04496
150	-14504.3	-14524.6	20.2951	0.130316	0.100884	0.08295	0.110035	0.128752	0.0724285	0.119961	0.0683581	0.0958004	0.176706	0.0782107	0.0750286	0.0958479	0.0878715	0.112862	0.124481	0.139156	0.100788	0.129393	0.0733236	0.0877303	0.0897055	0.154999	0.0377365	0.0355805	0.0290998	0.0184591	0.0508291	0.026971	0.016376	0.0531052	0.0221509	0.0366374	0.0269398	0.0172252	0.111054	0.0419559	0.0158946	0.0148321	0.0493994	0.0277793	0.000103372	0.0496064	0.220138	0.26884	0.0595752	0.029646	0.407168	0.0146326	0.24074	0.238007	0.165239	0.356014	3.117326
