Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
354	0	-14497	-14518.1	21.0801	0.128569	0.0911167	0.0919078	0.0860729	0.0986022	0.0661342	0.11931	0.078359	0.0846361	0.154238	0.0599507	0.0816216	0.112939	0.0977631	0.117404	0.139453	0.13528	0.114015	0.141922	0.0636386	0.0853107	0.0827661	0.172368	0.0425328	0.0307628	0.0218746	0.0161992	0.0507317	0.0196955	0.0177347	0.0425795	0.0125443	0.0347583	0.0161858	0.039408	0.080939	0.0438559	0.0239153	0.0202281	0.0396571	0.0208628	0.0175571	0.0434181	0.226843	0.266763	0.0618814	0.0286537	0.408822	0.00703748	0.241781	0.222114	0.164753	0.371353	3.038818
355	1	-14505.6	-14525	19.438	0.12685	0.0923645	0.106481	0.10182	0.106617	0.0775233	0.150929	0.0866577	0.0879441	0.192315	0.0733724	0.0921547	0.0826681	0.108821	0.103024	0.153997	0.112054	0.109675	0.128821	0.065837	0.0862175	0.097717	0.171271	0.0337302	0.00802748	0.0238658	0.0203045	0.0481423	0.0198386	0.0241199	0.0434651	0.0269119	0.0380049	0.0474032	0.0472166	0.0222841	0.0316253	0.0089197	0.0186115	0.0406668	0.0504569	0.0987379	0.0355709	0.202869	0.288863	0.0558101	0.0278649	0.410843	0.01375	0.257965	0.229158	0.150063	0.362814	3.203035
356	0	-14496.8	-14518.8	21.9946	0.127552	0.100449	0.0859073	0.0870464	0.0911429	0.0773563	0.11933	0.0702175	0.0861952	0.156443	0.0714879	0.0770944	0.0953684	0.10561	0.0919169	0.126068	0.124889	0.110404	0.100118	0.0718381	0.0853107	0.0807996	0.151792	0.0393558	0.0413695	0.0506524	0.0282883	0.0415334	0.0300147	0.0119738	0.0385993	0.0117536	0.0431029	0.023356	0.0305721	0.0697536	0.0452396	0.0191039	0.0224756	0.0291757	0.0157225	0.008819	0.0521721	0.21092	0.282259	0.0626794	0.0290167	0.404153	0.0109712	0.246884	0.226172	0.154859	0.372085	2.94737
357	1	-14500.8	-14522.5	21.7594	0.1193	0.1071	0.120464	0.0988123	0.101419	0.0616235	0.121612	0.0705844	0.086641	0.158317	0.0629165	0.086808	0.0977583	0.0951092	0.0973359	0.136743	0.128803	0.114978	0.121036	0.0769014	0.0687811	0.0776393	0.1566	0.0243994	0.0116364	0.0248363	0.0352217	0.0282318	0.0146958	0.0133107	0.0491615	0.0191867	0.0404198	0.041588	0.037012	0.0187978	0.0305385	0.0188365	0.0217838	0.0260711	0.0268359	0.0904023	0.0306398	0.211193	0.291977	0.0485851	0.0296166	0.401596	0.0170319	0.249537	0.228318	0.147507	0.374638	2.97089
358	0	-14518.9	-14539.1	20.2357	0.127231	0.112995	0.103429	0.103495	0.100648	0.079714	0.0949283	0.0857986	0.0856594	0.189906	0.0545459	0.0815077	0.113319	0.110449	0.134304	0.122898	0.103832	0.102582	0.128238	0.0668356	0.0955351	0.102134	0.189349	0.0298944	0.0392594	0.0217441	0.0178966	0.0525262	0.0246527	0.0176427	0.0356792	0.020482	0.034677	0.0379341	0.0422734	0.0973088	0.049746	0.0116848	0.0164015	0.018408	0.010223	0.0214722	0.0340245	0.229868	0.274219	0.0538167	0.028384	0.401432	0.0122803	0.22743	0.233874	0.169667	0.369029	3.123264
359	1	-14509	-14530	20.9405	0.133344	0.084884	0.111195	0.0901692	0.0915727	0.0741886	0.122976	0.0618854	0.0768117	0.150861	0.0717412	0.095456	0.117171	0.0952452	0.103679	0.132257	0.104197	0.106276	0.150865	0.0785901	0.102085	0.0880091	0.15579	0.0197361	0.0153851	0.0255277	0.0352217	0.0316361	0.0206438	0.0351397	0.0294132	0.017265	0.0611795	0.0475414	0.024536	0.0333697	0.0268484	0.014517	0.0225507	0.0345828	0.0302622	0.0791915	0.0489839	0.204059	0.30174	0.0588684	0.0332974	0.393838	0.00819619	0.224608	0.233426	0.149889	0.392077	3.052781
360	0	-14495.4	-14516.4	21.0084	0.123589	0.100542	0.0956065	0.0757441	0.102405	0.071107	0.122554	0.0732152	0.0834093	0.184267	0.079442	0.0779191	0.115554	0.0932063	0.112283	0.130728	0.131295	0.116071	0.120156	0.0838523	0.1036	0.0749607	0.148133	0.0368061	0.0414782	0.0256801	0.0133841	0.0408713	0.0265975	0.0208909	0.0254187	0.02495	0.0381096	0.0213299	0.0246436	0.0767882	0.043343	0.0211312	0.011546	0.0459659	0.0356218	0.0104328	0.0413624	0.230263	0.26067	0.0585754	0.0232972	0.413332	0.0138627	0.248582	0.225033	0.165231	0.361154	3.045991
361	1	-14504.8	-14525.6	20.8227	0.145143	0.12136	0.0981228	0.105163	0.111441	0.0664034	0.107466	0.0831285	0.0935056	0.177851	0.0761622	0.0945981	0.100592	0.101443	0.10359	0.102048	0.11322	0.0969235	0.139293	0.0754304	0.0777116	0.10335	0.164539	0.0136623	0.00751182	0.0192232	0.0237252	0.0400949	0.0118972	0.0262103	0.0326625	0.0273302	0.041246	0.0535855	0.0413732	0.0186407	0.0283879	0.0233713	0.0225507	0.0350824	0.0328506	0.0735464	0.033122	0.209238	0.277241	0.0603622	0.0376093	0.403832	0.0117175	0.236001	0.232979	0.147092	0.383928	3.064559
362	0	-14501.7	-14523.7	21.9448	0.14774	0.0961831	0.095158	0.0710362	0.115279	0.0641957	0.124302	0.0777195	0.0789632	0.186631	0.0868639	0.0644988	0.0843616	0.100521	0.103181	0.135022	0.120012	0.0992768	0.100023	0.0848511	0.0794888	0.0751516	0.150534	0.0331364	0.0442253	0.0231638	0.0216545	0.0417984	0.0303608	0.00971542	0.0398216	0.0178205	0.045579	0.0145994	0.0255758	0.0569023	0.0519222	0.0265071	0.0198386	0.0295909	0.0214756	0.0167146	0.0409555	0.22441	0.254044	0.0515208	0.0302456	0.428493	0.0112857	0.253892	0.212809	0.163156	0.370143	2.952351
363	1	-14503.1	-14523.9	20.8187	0.152789	0.100533	0.104366	0.0890706	0.109501	0.0639629	0.0950664	0.0816569	0.0890368	0.190809	0.0761622	0.0894627	0.0924862	0.0835352	0.107352	0.123914	0.134676	0.105666	0.114041	0.0752138	0.0890226	0.08259	0.159011	0.0401779	0.0125645	0.0253396	0.0274712	0.0307194	0.0257263	0.0271942	0.0387973	0.0159376	0.0630972	0.0461997	0.0474003	0.00884312	0.0299189	0.018831	0.0129802	0.0260483	0.0279107	0.0843518	0.0455315	0.210579	0.291076	0.0636306	0.0339186	0.391173	0.00962233	0.23579	0.241528	0.154518	0.368165	3.064964
364	0	-14499.7	-14521.7	22.0342	0.124618	0.0879767	0.0931067	0.093578	0.106033	0.0621851	0.119207	0.0811405	0.0913132	0.166414	0.0737076	0.0881974	0.0808402	0.105229	0.106121	0.108851	0.105789	0.10543	0.105375	0.0779329	0.0687447	0.0800179	0.163015	0.0487551	0.0581131	0.0309519	0.0158438	0.0574683	0.0327084	0.00753528	0.0342506	0.0161421	0.0333182	0.0206204	0.0189435	0.0829393	0.0440781	0.017009	0.012983	0.0295909	0.0230798	0.0141172	0.0501464	0.22032	0.282385	0.0572856	0.0273302	0.40573	0.00694863	0.250589	0.218158	0.163804	0.367449	2.943417
365	1	-14501.5	-14521.8	20.3122	0.119763	0.0990814	0.0865644	0.0916344	0.105904	0.0679893	0.118588	0.0785723	0.103626	0.179089	0.0727786	0.0900032	0.0961553	0.0894195	0.107352	0.133055	0.122442	0.130445	0.158086	0.0815124	0.0879688	0.0987593	0.158371	0.0272792	0.00789428	0.0230909	0.0379251	0.0435545	0.0198982	0.0343455	0.0415049	0.0203537	0.0436407	0.038448	0.026148	0.0292224	0.0284343	0.0123164	0.0212573	0.0347625	0.0385506	0.061706	0.048117	0.205806	0.294597	0.0596255	0.034329	0.395906	0.00973686	0.244658	0.234875	0.136282	0.384185	3.11561
366	0	-14504.9	-14527.8	22.928	0.128819	0.0915859	0.0827547	0.0966972	0.100252	0.073448	0.127093	0.0666036	0.0800561	0.17057	0.0812959	0.0836693	0.0920893	0.0875879	0.116303	0.0986808	0.106594	0.107784	0.11292	0.0631108	0.0667617	0.0664012	0.12809	0.0380994	0.039232	0.0308082	0.0106702	0.0431583	0.0268225	0.0217156	0.0410317	0.0255407	0.0305723	0.0184463	0.0242285	0.0842613	0.0441382	0.0342977	0.014204	0.037256	0.0228208	0.00954761	0.0280111	0.231095	0.288103	0.051417	0.0370624	0.38914	0.00318331	0.240255	0.217226	0.155462	0.387057	2.854028
367	1	-14507.8	-14527.8	19.9566	0.119398	0.105802	0.106922	0.112089	0.105904	0.0670069	0.141965	0.0868552	0.0992158	0.159739	0.0853672	0.0765787	0.116006	0.0790386	0.0968153	0.127545	0.119292	0.109057	0.143034	0.0919478	0.0811225	0.0839144	0.179992	0.0269476	0.0152223	0.0149555	0.0224814	0.0431057	0.0263862	0.0262779	0.055467	0.0180776	0.0401569	0.0427869	0.0520325	0.0165353	0.0205484	0.0226718	0.0129427	0.02089	0.0341106	0.0932023	0.0517684	0.223428	0.295248	0.0606411	0.0282458	0.381135	0.011302	0.240582	0.229518	0.159241	0.37066	3.151175
368	0	-14502.3	-14522.6	20.2411	0.14099	0.100927	0.092617	0.103495	0.0989976	0.0736419	0.130949	0.0774147	0.105102	0.192091	0.064426	0.0878801	0.0964661	0.110619	0.108549	0.143304	0.114378	0.128932	0.104983	0.0621527	0.0846452	0.111012	0.147247	0.0346872	0.0424518	0.032099	0.0220684	0.0464791	0.0205652	0.0189291	0.0352115	0.0143629	0.0332525	0.0240432	0.024171	0.0855529	0.0528024	0.0147014	0.0249086	0.0325981	0.0298074	0.0111001	0.0421102	0.213545	0.292028	0.056351	0.0361935	0.398554	0.00332841	0.241498	0.236135	0.147427	0.37494	3.122722
369	1	-14512.5	-14533.4	20.8857	0.1291	0.100762	0.0893466	0.100251	0.0814668	0.0670069	0.13215	0.0710061	0.108974	0.146039	0.0932252	0.0758712	0.0951596	0.0971791	0.10524	0.115746	0.113657	0.114915	0.141179	0.0776997	0.0778204	0.0897646	0.187205	0.0151596	0.00932421	0.0144327	0.0323414	0.0455726	0.022887	0.028366	0.064373	0.0193008	0.0523672	0.040093	0.0316258	0.0193171	0.0312545	0.0115326	0.0243788	0.0186324	0.0369742	0.0848411	0.0447279	0.228261	0.254893	0.0545121	0.0284531	0.414211	0.0196692	0.257466	0.228593	0.149258	0.364683	3.058266
370	0	-14502.1	-14522.1	19.9348	0.126877	0.116687	0.112723	0.0997631	0.104504	0.0855563	0.146573	0.0911011	0.0873864	0.175118	0.0832753	0.0729977	0.0988746	0.105202	0.109298	0.131022	0.131271	0.0968101	0.130946	0.0660182	0.0939498	0.0623056	0.171453	0.0407792	0.0491254	0.0346575	0.0188512	0.051395	0.0192448	0.00750204	0.0451334	0.0165594	0.0313018	0.0251806	0.0373788	0.0693882	0.049421	0.0246291	0.0161168	0.032181	0.0285754	0.015386	0.0408288	0.217914	0.298004	0.0602196	0.0280369	0.391026	0.00479973	0.230268	0.24085	0.152355	0.376527	3.153348
371	1	-14500.4	-14522.2	21.8504	0.122626	0.097584	0.094215	0.0981878	0.0947351	0.0653361	0.119644	0.0629784	0.0998446	0.153612	0.0833504	0.0758712	0.101472	0.0832364	0.108505	0.136009	0.115968	0.0929932	0.125858	0.0950647	0.0893827	0.0923997	0.149382	0.0203164	0.00798921	0.0180024	0.0309158	0.043019	0.0141685	0.0229287	0.052521	0.016871	0.0343511	0.0500224	0.0457635	0.0255082	0.0269451	0.010003	0.011497	0.0378786	0.0306706	0.0720768	0.0320904	0.227393	0.265171	0.0562799	0.0223942	0.414152	0.0146096	0.236123	0.224122	0.170706	0.369049	2.961796
372	0	-14513.6	-14533.3	19.7087	0.10138	0.0952506	0.107853	0.109062	0.122249	0.0720338	0.101017	0.0737046	0.0926414	0.201054	0.0887075	0.0642035	0.112627	0.113263	0.103587	0.118308	0.135094	0.10616	0.131578	0.0741187	0.0828086	0.0886029	0.165191	0.0324681	0.0534088	0.0289979	0.014675	0.0395576	0.0308722	0.00868795	0.0474488	0.0175731	0.0521828	0.0218063	0.0425636	0.091038	0.0490348	0.0297274	0.0163632	0.0260638	0.0330655	0.0240239	0.055907	0.21388	0.275192	0.0554553	0.0246681	0.412467	0.0183367	0.235987	0.227035	0.147691	0.389287	3.17596
373	1	-14504.8	-14525.5	20.7068	0.123946	0.102105	0.0901816	0.0974383	0.117816	0.0872102	0.120161	0.0624406	0.0998446	0.169099	0.0683414	0.0736227	0.0875068	0.107783	0.10284	0.137159	0.138565	0.0880185	0.110713	0.0611757	0.0769516	0.0873637	0.152749	0.0221582	0.0127991	0.0392769	0.035018	0.0571392	0.0298491	0.0210974	0.0460762	0.0235513	0.0489215	0.0477395	0.0403595	0.0156522	0.015527	0.0177884	0.0202678	0.0351096	0.0454022	0.0972259	0.0421643	0.219975	0.287643	0.0571195	0.0261976	0.396428	0.0126366	0.235366	0.245192	0.151578	0.367865	3.076154
374	0	-14501.1	-14522.7	21.5653	0.125023	0.0908129	0.0913647	0.0830119	0.089431	0.0649286	0.10214	0.0678807	0.0879825	0.16746	0.0653665	0.0843028	0.100881	0.100114	0.119547	0.122622	0.118007	0.0895814	0.117557	0.0978893	0.0863819	0.0804154	0.169333	0.0588925	0.0339564	0.0317527	0.0177994	0.0395576	0.0201984	0.0137991	0.0476651	0.0127541	0.0308566	0.0340119	0.0234289	0.0825296	0.0677469	0.0166431	0.0174861	0.03333	0.0335606	0.0095482	0.0427484	0.230049	0.270356	0.0552315	0.025169	0.405702	0.0134926	0.240175	0.227316	0.15392	0.378589	2.9903
375	1	-14518.4	-14539.7	21.2912	0.0983578	0.0883251	0.0935993	0.0675603	0.103139	0.0647226	0.119357	0.0804082	0.0824538	0.162067	0.0711818	0.0767667	0.101257	0.118459	0.124397	0.137002	0.104085	0.111556	0.126376	0.0778311	0.103939	0.0978386	0.158088	0.0226819	0.0166327	0.0126041	0.038299	0.0315802	0.011467	0.0271623	0.0294255	0.0209559	0.0529668	0.0450026	0.035252	0.0366596	0.0255374	0.012381	0.0327673	0.0392865	0.0240627	0.083356	0.0508634	0.213255	0.298328	0.0640773	0.024718	0.386361	0.0132603	0.235356	0.225495	0.161549	0.3776	3.017712
376	0	-14506.3	-14528.5	22.2255	0.118839	0.100861	0.0987635	0.0810984	0.0796042	0.0598728	0.121194	0.0727093	0.101978	0.155994	0.0755821	0.0632434	0.104974	0.0854337	0.114806	0.114325	0.149584	0.104145	0.117518	0.0685748	0.0830076	0.0877173	0.143344	0.0415063	0.0362649	0.0233298	0.0177994	0.0398687	0.034052	0.0197332	0.0382204	0.0147946	0.0228574	0.0267606	0.0114014	0.0858558	0.0491708	0.0268736	0.0208872	0.0436027	0.013608	0.0137011	0.0408302	0.223478	0.293231	0.0472293	0.027731	0.400356	0.0079744	0.241022	0.228837	0.153438	0.376703	2.924287
377	1	-14502.3	-14523.7	21.4064	0.11624	0.107939	0.108888	0.0904301	0.106139	0.0751201	0.125387	0.0689722	0.0834243	0.180422	0.0593692	0.0977571	0.0883502	0.101602	0.115417	0.139311	0.117218	0.0985591	0.117822	0.0724993	0.0760786	0.0915112	0.168127	0.0157136	0.0206431	0.00605749	0.0328697	0.0429597	0.029131	0.0156148	0.0334102	0.00606185	0.0475798	0.0381136	0.0343749	0.0247599	0.0296033	0.0167865	0.0130513	0.0415722	0.0355641	0.0801107	0.0356369	0.213126	0.278495	0.059915	0.0441959	0.395272	0.00899642	0.258245	0.21943	0.151535	0.37079	3.006197
378	0	-14505.4	-14526.6	21.1992	0.114251	0.0913254	0.100192	0.0793406	0.107847	0.0750585	0.122624	0.066928	0.0728406	0.181105	0.0755821	0.0669982	0.107666	0.111148	0.137072	0.115449	0.120169	0.0951958	0.131622	0.0678661	0.0749061	0.0636106	0.156319	0.0358057	0.0323843	0.0269586	0.0249593	0.0383678	0.0233975	0.0254665	0.0444755	0.0280545	0.0203764	0.0282271	0.0358414	0.0953102	0.0394498	0.0394918	0.0133001	0.0436027	0.0334148	0.0166458	0.0462697	0.217366	0.286245	0.0544005	0.0376128	0.390819	0.0135561	0.237166	0.229612	0.154064	0.379158	3.026915
379	1	-14491.4	-14512.8	21.346	0.121361	0.11647	0.104877	0.0954168	0.0939114	0.0748777	0.103852	0.0774287	0.0832797	0.171438	0.0698307	0.077086	0.0992841	0.0954646	0.114539	0.143992	0.114536	0.0988065	0.127258	0.0739861	0.0839587	0.0881943	0.155172	0.0272591	0.00931617	0.0120932	0.0272907	0.0390425	0.0210567	0.0252259	0.0363682	0.0304866	0.0458522	0.0384266	0.0461434	0.022219	0.0257945	0.0167173	0.0227137	0.027655	0.0344053	0.0716177	0.0475302	0.213794	0.286389	0.0537855	0.0262701	0.406477	0.0132839	0.235483	0.235456	0.1524	0.376661	3.012235
380	0	-14501.4	-14522	20.6397	0.127927	0.0963741	0.109925	0.098332	0.103353	0.0750574	0.119735	0.0810054	0.0793296	0.177698	0.0936116	0.0846006	0.0785541	0.0983237	0.0958057	0.146745	0.117807	0.135982	0.103713	0.0906018	0.0657806	0.0935116	0.178251	0.0421269	0.0419319	0.0279398	0.0246524	0.0380181	0.0268157	0.0193768	0.0418881	0.0282227	0.0342866	0.0199425	0.0258878	0.0717532	0.0399503	0.0261883	0.0160221	0.0308869	0.0251867	0.0119918	0.0377657	0.205623	0.303915	0.0611349	0.0245475	0.393093	0.0116857	0.249806	0.223595	0.147643	0.378956	3.082859
381	1	-14504.3	-14526.7	22.3542	0.108611	0.0932932	0.0929366	0.0967946	0.0862683	0.0819571	0.109166	0.0572669	0.0968348	0.152778	0.0739869	0.0880072	0.0956259	0.0986561	0.106237	0.125703	0.113347	0.12649	0.105651	0.0829552	0.0649884	0.0855128	0.146269	0.0189808	0.0172857	0.0120932	0.0310909	0.03278	0.0138401	0.0395904	0.0417847	0.0116756	0.0451316	0.0535667	0.0457563	0.0301313	0.0261477	0.0100955	0.0212621	0.0277014	0.0357743	0.0725892	0.0347945	0.22026	0.276523	0.0654681	0.0365153	0.392474	0.00876001	0.241846	0.220998	0.153561	0.383595	2.911408
382	0	-14504.3	-14525	20.7173	0.137628	0.101992	0.112479	0.0861051	0.101384	0.0713911	0.130657	0.0592978	0.079969	0.200258	0.0668883	0.0737891	0.0967069	0.089497	0.100188	0.128323	0.111558	0.117382	0.139199	0.0768388	0.106476	0.076961	0.14815	0.0342749	0.0359021	0.0399202	0.0190838	0.0380181	0.0187602	0.0292309	0.0438466	0.0133643	0.0259806	0.0302076	0.0330558	0.0872116	0.0457846	0.0358881	0.0231803	0.0346529	0.0346471	0.0171151	0.0218576	0.229278	0.289581	0.0495676	0.0300262	0.39018	0.0113686	0.236896	0.233466	0.148925	0.380714	3.075099
383	1	-14502.1	-14523.3	21.2065	0.108837	0.103516	0.102821	0.0985068	0.107597	0.0691561	0.133891	0.0649331	0.0787822	0.184121	0.0798934	0.0793871	0.101907	0.113298	0.112319	0.108486	0.112721	0.135085	0.103977	0.0733837	0.073261	0.0924404	0.156942	0.0136871	0.0144009	0.013959	0.0266932	0.0344247	0.0250132	0.0277505	0.0411493	0.00969126	0.0420335	0.0333472	0.0279287	0.0343703	0.0278044	0.0226844	0.0158632	0.0547168	0.0356554	0.0949886	0.0347592	0.236019	0.280998	0.0518302	0.0253985	0.398825	0.00693023	0.232385	0.238741	0.151193	0.377681	3.026182
384	0	-14501.4	-14522.1	20.7466	0.127707	0.107923	0.0996052	0.104049	0.114731	0.0778633	0.115274	0.0718338	0.084104	0.182294	0.0760609	0.0843335	0.0977662	0.0964278	0.104973	0.126402	0.127843	0.0995101	0.10957	0.0740864	0.0717854	0.0825993	0.162396	0.0447194	0.0341122	0.0485613	0.00742904	0.0367607	0.0280793	0.00809174	0.0402846	0.0116197	0.0219345	0.0244292	0.0388291	0.105163	0.0449395	0.0144395	0.0230424	0.0410555	0.0333701	0.0236632	0.0425175	0.21309	0.301431	0.0530668	0.0241232	0.392209	0.0160804	0.239527	0.227767	0.148627	0.384079	3.072177
385	1	-14498.1	-14519.5	21.3473	0.128084	0.0814076	0.099455	0.0857552	0.0766459	0.0759589	0.118135	0.0610153	0.0944728	0.17657	0.0665769	0.0760569	0.094569	0.103371	0.117457	0.13127	0.119899	0.107886	0.129536	0.0655947	0.0755182	0.0779292	0.161972	0.0260325	0.0042484	0.0141031	0.0292052	0.0524393	0.0357729	0.0286787	0.0424534	0.0221587	0.0531414	0.0374053	0.0408102	0.0247062	0.0299371	0.027058	0.0195608	0.0357162	0.0301155	0.092797	0.0406274	0.229939	0.272018	0.0586748	0.0261892	0.404574	0.00860533	0.237675	0.229206	0.152584	0.380534	3.012105
386	0	-14498.5	-14519.3	20.7828	0.119979	0.0825283	0.120448	0.0862818	0.101366	0.0579788	0.121691	0.0715295	0.0861769	0.200087	0.0700785	0.0841635	0.102381	0.100636	0.100172	0.130015	0.127374	0.100972	0.120765	0.0893909	0.0792534	0.0845868	0.172654	0.0347542	0.0376656	0.0408325	0.01908	0.0480557	0.0260728	0.0288453	0.0372522	0.0145643	0.034799	0.0310571	0.0222919	0.0880242	0.035357	0.0266909	0.0212964	0.0408356	0.0329881	0.00689248	0.0306937	0.212405	0.293787	0.0628892	0.0252681	0.392088	0.0135627	0.253376	0.221215	0.151782	0.373626	3.068557
387	1	-14501.5	-14520.9	19.3444	0.139744	0.0843711	0.106814	0.0943716	0.129629	0.072158	0.122475	0.0812163	0.0948777	0.171157	0.0798473	0.0745688	0.0999521	0.114964	0.0986496	0.145986	0.123876	0.103061	0.127785	0.0780782	0.0889186	0.0966706	0.175187	0.0188246	0.0235727	0.0121564	0.0312343	0.036991	0.0243235	0.0252985	0.0499069	0.0175131	0.0554119	0.047436	0.0453088	0.042179	0.0257993	0.0275607	0.0245772	0.0339729	0.0403512	0.0787276	0.0468858	0.217783	0.279253	0.0571085	0.0359248	0.397799	0.0121319	0.243316	0.239606	0.155756	0.361322	3.212389
388	0	-14513.6	-14533.3	19.7226	0.129263	0.0830697	0.0882659	0.122036	0.112237	0.0812125	0.113115	0.0799484	0.0959868	0.167721	0.0682706	0.0947426	0.103314	0.0957984	0.0971645	0.13108	0.113506	0.116826	0.121394	0.0914954	0.0760955	0.0822648	0.212022	0.0356626	0.0360793	0.0299288	0.0341711	0.0570773	0.0159869	0.010055	0.0466354	0.0309354	0.0248848	0.0190343	0.0234971	0.101464	0.0672559	0.0252488	0.0126013	0.0318102	0.0290599	0.0141482	0.0522093	0.207344	0.284421	0.0590529	0.0322898	0.404746	0.0121465	0.252158	0.241461	0.148685	0.357696	3.174576
389	1	-14497.7	-14518	20.299	0.120238	0.0807341	0.115594	0.100024	0.0966748	0.0870734	0.122432	0.0866397	0.0755474	0.2044	0.078261	0.0786751	0.112571	0.103925	0.0984377	0.146025	0.102716	0.111121	0.133167	0.0688685	0.0845634	0.0858301	0.157175	0.0270382	0.020621	0.0134015	0.0312343	0.0301858	0.0286802	0.0283062	0.0341848	0.0115846	0.0478228	0.0442015	0.0333305	0.0228676	0.0296646	0.019555	0.0188352	0.0442409	0.0358131	0.0957703	0.0489025	0.217758	0.274788	0.0497902	0.0282515	0.419323	0.01009	0.253	0.227525	0.151903	0.367573	3.116936
390	0	-14497.9	-14518.9	21.0037	0.113338	0.0853673	0.12359	0.102915	0.118038	0.0792562	0.11159	0.0678305	0.0852196	0.166836	0.0694995	0.0840938	0.0908509	0.0957984	0.106646	0.121259	0.122628	0.107954	0.118297	0.0693008	0.0892869	0.0787758	0.151676	0.0478682	0.0415918	0.0362529	0.0145082	0.0447079	0.0240176	0.018083	0.0346531	0.0162871	0.0382826	0.0260424	0.0218767	0.0957468	0.0527232	0.0253454	0.0172069	0.0485968	0.0186831	0.0148422	0.0491057	0.223105	0.290079	0.0562573	0.0303546	0.3909	0.00930417	0.243495	0.235228	0.150969	0.370308	3.046468
391	1	-14501.3	-14522.1	20.8003	0.149508	0.119316	0.0812383	0.0749178	0.102624	0.0792037	0.123216	0.0734426	0.0802897	0.187192	0.078261	0.0875287	0.0942987	0.109641	0.0974439	0.134229	0.136536	0.107215	0.10775	0.0832464	0.0856373	0.0875467	0.164213	0.0188545	0.00694282	0.0127061	0.0278281	0.0301858	0.0231845	0.0299894	0.0457347	0.02022	0.0486352	0.0421012	0.0283533	0.0235528	0.0166603	0.0182379	0.0243377	0.0308003	0.0284032	0.113494	0.0320837	0.218013	0.292379	0.0624116	0.0219223	0.394931	0.0103438	0.246794	0.229875	0.156288	0.367043	3.0668
392	0	-14503	-14523.9	20.8943	0.124543	0.105293	0.09627	0.0789294	0.104553	0.0719611	0.126267	0.0780622	0.0768972	0.192789	0.0831404	0.0809431	0.0756589	0.101447	0.105746	0.125817	0.120656	0.120961	0.12444	0.0896839	0.0926567	0.0787758	0.143395	0.0439186	0.0294311	0.0283345	0.0135178	0.056981	0.0205112	0.0169234	0.0560666	0.0246932	0.0322509	0.0222258	0.0331725	0.0656014	0.0414407	0.0424945	0.00951589	0.0283019	0.018329	0.0239313	0.0508776	0.217027	0.286535	0.0599369	0.0300806	0.397084	0.00933719	0.238031	0.232798	0.154809	0.374361	3.057406
393	1	-14515	-14534.6	19.5926	0.152533	0.0969801	0.128817	0.0817459	0.112061	0.0838429	0.137001	0.0718308	0.0917197	0.176929	0.0638777	0.0672861	0.0734266	0.105988	0.114754	0.111817	0.135364	0.120746	0.132668	0.0968131	0.0900011	0.086383	0.159338	0.0199049	0.00927121	0.00677695	0.0595984	0.0506066	0.0224727	0.0299894	0.0527482	0.0168213	0.038631	0.0421	0.0367868	0.0257303	0.0322982	0.0222178	0.0246978	0.0426845	0.0276133	0.0907539	0.0439456	0.202312	0.281289	0.0559973	0.033794	0.41141	0.015198	0.269906	0.229732	0.149083	0.35128	3.187572
394	0	-14509	-14528.9	19.8727	0.118917	0.117113	0.0958427	0.0982405	0.124934	0.0746925	0.132404	0.0780622	0.088362	0.161469	0.0671514	0.0992443	0.0837129	0.0818526	0.110966	0.12768	0.124095	0.117574	0.146569	0.0942156	0.09828	0.0776182	0.163496	0.0402198	0.0420736	0.0282567	0.0200888	0.0569386	0.0348308	0.0179266	0.0427031	0.0171121	0.0502928	0.0228613	0.0172709	0.087542	0.0440256	0.0104638	0.00929927	0.03959	0.0419932	0.0092814	0.0443001	0.209313	0.290617	0.0571077	0.0249243	0.405543	0.0124951	0.248032	0.231282	0.142936	0.37775	3.159562
395	1	-14501.5	-14523.1	21.596	0.134558	0.0809607	0.0828606	0.0826482	0.103764	0.0636325	0.141936	0.0731512	0.0947873	0.141314	0.0748573	0.0906379	0.0933539	0.0932114	0.097463	0.154404	0.123838	0.119268	0.124011	0.0799126	0.0806531	0.0746172	0.144551	0.027084	0.0103996	0.0160518	0.0290695	0.0434084	0.0272043	0.0320195	0.0451761	0.0202181	0.038631	0.0431703	0.027347	0.0244546	0.025136	0.0168894	0.0162735	0.0274124	0.0418969	0.0844377	0.0405661	0.216408	0.283944	0.0502806	0.0371143	0.400787	0.0114664	0.259118	0.225651	0.144771	0.37046	2.987236
