Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-13150.7	-13118	-32.7411	0.9717043	0.373219	0.108122	0.166845	0.177821	0.217179	0.187495	0.266492	0.123297	0.171644	0.344422	0.11761	0.185419	0.168421	0.230415	0.239551	0.318743	0.247162	0.226225	0.212906	0.0893793	0.141741	0.0989477	0.499566	0.00858235	0.256756	0.0852372	0.02933	0.0919688	0.0621632	0.182103	0.0433693	0.0300562	0.0761672	0.0155723	0.0504925	0.178	0.0469694	0.182288	0.0612058	0.0844067	0.104414	0.0113087	0.0658595	0.0425574	0.365163	0.0528393	0.022836	0.45481	0.0617937	0.131274	0.468078	0.995149	2.4055	0.322885	0.371647	0.0682369	0.237232	0.3670976	6.578872
110	-13162.5	-13128.8	-33.7575	0.8596684	0.326321	0.162922	0.175268	0.144806	0.288404	0.162302	0.178186	0.16077	0.104743	0.344422	0.123797	0.142143	0.252446	0.228904	0.20345	0.293403	0.295802	0.22601	0.245646	0.155047	0.0952727	0.106084	0.434656	0.00564106	0.284482	0.105374	0.00612196	0.169359	0.0446333	0.210869	0.0602878	0.0872576	0.0548709	0.0458024	0.0451059	0.198298	0.020604	0.188486	0.045292	0.0586285	0.0997223	0.0220891	0.0767875	0.0403784	0.403245	0.0502295	0.0233865	0.425015	0.0577455	0.108178	0.430092	0.97221	2.48952	0.325445	0.374595	0.0608468	0.239113	0.3661307	6.680515
120	-13148	-13115.6	-32.3418	0.9340554	0.355121	0.102655	0.18297	0.196547	0.199467	0.151541	0.199927	0.142903	0.131051	0.344422	0.147534	0.14364	0.194428	0.222703	0.208075	0.337142	0.261224	0.264362	0.164432	0.118574	0.191325	0.107151	0.434656	0.00364782	0.203166	0.0676103	0.0205313	0.115794	0.0556206	0.18698	0.0276931	0.0558474	0.0417237	0.0298416	0.0619241	0.251431	0.0317537	0.23792	0.0954988	0.052443	0.100803	0.0285444	0.0683185	0.0406247	0.405704	0.0505358	0.0299471	0.420306	0.0528818	0.123616	0.455992	0.988152	2.43224	0.331382	0.381428	0.0619568	0.225233	0.3661307	6.538943
130	-13159.8	-13123.6	-36.1835	0.8865074	0.279377	0.135711	0.205304	0.203495	0.261894	0.197081	0.277937	0.118611	0.151044	0.317208	0.131153	0.167003	0.324715	0.157585	0.155241	0.337142	0.244958	0.220759	0.286956	0.0917391	0.188072	0.108984	0.514739	0.00599124	0.206239	0.100331	0.0310384	0.17973	0.0652996	0.205614	0.0341589	0.0352973	0.0474272	0.0123193	0.0618364	0.249584	0.037017	0.169283	0.0537318	0.0793073	0.121788	0.0329805	0.117436	0.0363157	0.465428	0.0522777	0.0267707	0.375726	0.043482	0.113791	0.439764	0.978317	2.46813	0.332656	0.382895	0.0583495	0.226099	0.3661307	6.923116
140	-13157.8	-13124.1	-33.751	1.019442	0.279377	0.106592	0.216653	0.192528	0.16821	0.196778	0.267186	0.147568	0.143159	0.323707	0.147061	0.119869	0.229467	0.241421	0.221927	0.288472	0.225974	0.205033	0.169699	0.0970219	0.156762	0.127962	0.479608	0.00541518	0.320987	0.0922328	0.0456543	0.104773	0.0473383	0.154413	0.017024	0.0545541	0.0448035	0.0238888	0.0805462	0.177577	0.0284954	0.194584	0.109972	0.150039	0.138781	0.0213961	0.11536	0.0381885	0.434388	0.0549736	0.0179383	0.395102	0.0594101	0.140817	0.482519	1.00315	2.37352	0.332656	0.382895	0.0583495	0.226099	0.3661307	6.679869
150	-13148.6	-13118.5	-30.0344	0.8178107	0.282796	0.185334	0.188301	0.110362	0.187217	0.110325	0.232375	0.118177	0.127967	0.389513	0.098129	0.117961	0.206806	0.177638	0.226083	0.253245	0.263068	0.187183	0.308298	0.0902481	0.124448	0.111013	0.479608	0.0130905	0.274961	0.0575125	0.0608315	0.172319	0.0453437	0.176765	0.0353837	0.0588847	0.0751109	0.0114689	0.0337598	0.238164	0.0164549	0.155616	0.0581568	0.0676855	0.0846254	0.0283253	0.0676526	0.0377495	0.429394	0.0543416	0.017732	0.390559	0.0702232	0.0993427	0.414207	0.96177	2.52468	0.333192	0.383511	0.056834	0.226463	0.372522	6.308203
160	-13153.6	-13115.8	-37.7905	0.8959893	0.330304	0.171356	0.212835	0.129976	0.231125	0.193471	0.231244	0.175277	0.134591	0.463023	0.118818	0.163633	0.24164	0.263257	0.206034	0.299198	0.325677	0.245239	0.206216	0.102353	0.20584	0.0860075	0.539916	0.00948276	0.250645	0.0810576	0.0456659	0.236811	0.0411492	0.154113	0.0362162	0.0585512	0.0581281	0.0146256	0.0444804	0.224849	0.00270601	0.25642	0.0483457	0.0905905	0.0877864	0.0346992	0.0304647	0.0382839	0.435473	0.0442244	0.0421986	0.396089	0.0437314	0.115763	0.443091	0.980375	2.46077	0.332087	0.382239	0.059962	0.225712	0.372522	7.083819
170	-13152.7	-13113.4	-39.2526	0.9041143	0.268659	0.145377	0.212835	0.156489	0.237947	0.185643	0.232788	0.157326	0.145558	0.356943	0.101284	0.178976	0.244866	0.269468	0.150881	0.356591	0.290019	0.243604	0.296344	0.128129	0.203477	0.09717	0.592765	0.00607553	0.179039	0.138719	0.0435636	0.169516	0.0266724	0.209702	0.0185938	0.0753485	0.0761298	0.00572133	0.0631419	0.220755	0.00245329	0.355812	0.0664837	0.121609	0.107017	0.0310457	0.0594909	0.0313014	0.42062	0.0494269	0.0407593	0.415653	0.0422398	0.117447	0.445904	0.982099	2.45455	0.330776	0.384676	0.0597254	0.224822	0.372522	7.230029
180	-13142	-13100.3	-41.641	0.9782937	0.319791	0.133781	0.2255	0.176448	0.251067	0.184315	0.287257	0.174876	0.194073	0.417001	0.135325	0.168682	0.251279	0.211882	0.277413	0.337827	0.346333	0.233494	0.304013	0.120469	0.168285	0.0810051	0.591972	0.00478573	0.219813	0.0912333	0.0469376	0.15781	0.0774153	0.188978	0.0359883	0.0481079	0.0739623	0.0196315	0.0236706	0.203444	0.00351139	0.240466	0.072683	0.155098	0.112832	0.0676359	0.0327758	0.0312586	0.420044	0.0493592	0.0275374	0.415083	0.0567179	0.132603	0.470129	0.996308	2.40096	0.336846	0.386489	0.0608213	0.215844	0.372522	7.468869
190	-13146.2	-13103.5	-42.6448	0.7671732	0.383182	0.207663	0.2255	0.18064	0.233588	0.191397	0.336719	0.164626	0.111572	0.319181	0.134139	0.150484	0.198839	0.28925	0.259155	0.387315	0.273248	0.212285	0.272659	0.146134	0.189003	0.15465	0.532419	0.00324778	0.231511	0.108037	0.067056	0.173986	0.0629766	0.235655	0.0318279	0.0454781	0.0709663	0.00674586	0.0538102	0.219185	0.00551516	0.239096	0.0618269	0.115744	0.13477	0.0651129	0.0830482	0.0289169	0.446203	0.0385615	0.0291786	0.402184	0.0549553	0.088557	0.393574	0.947427	2.57044	0.336846	0.386489	0.0608213	0.215844	0.3714805	7.569246
