Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21748.3	-21739.3	-8.95856	1	0.238141	0.173461	0.064913	0.0256253	0.000774261	0.00346913	0.139734	0.301407	0.117625	0.10519	0.0567121	0.0428651	0.0359634	0.0565718	0.100216	0.16502	0.10079	0.0279736	0.0364602	0.0014203	0.215919	0.115357	0.0148718	0.176677	0.0610171	0.22079	0.0530276	0.0438647	0.0680347	0.213022	0.248242	0.0519621	0.155737	0.0933646	0.0125551	0.213277	0.0786891	0.149998	0.0587442	0.0476952	0.00156274	0.00707623	0.104805	0.491989	0.073711	0.159751	0.108517	0.0999828	0.0660489	0.136954	0.476752	1	2.38629	0.717583	0.138429	0.0780942	0.0658943	4.200621
10	-14820.9	-14806.4	-14.4959	0.3430345	0.18984	0.0963449	0.205309	0.0824615	0.00129057	0.00925022	0.260446	0.492475	0.287676	0.212122	0.106677	0.131531	0.12527	0.0807413	0.135452	0.193692	0.138181	0.163533	0.15677	0.00111164	0.169711	0.0940871	0.018436	0.0839987	0.0592331	0.0767475	0.0339681	0.11676	0.104284	0.161882	0.102014	0.0370946	0.0755764	0.119928	0.00685322	0.0370471	0.0176316	0.082836	0.0561358	0.115455	0.00334768	0.0168571	0.0942959	0.184739	0.373459	0.169256	7.46385e-07	0.22142	0.0511254	0.00942536	0.13813	0.661478	3.19097	0.221761	0.449018	0.139901	0.18932	4.754357
20	-13827.1	-13803.9	-23.2095	0.2944025	0.238882	0.141108	0.479998	0.0717185	0.00384952	0.128338	0.397634	0.287492	0.152926	0.344393	0.101462	0.159867	0.135862	0.127065	0.164286	0.221763	0.293368	0.178449	0.146407	0.0019438	0.14221	0.0964754	0.07244	0.117239	0.0863218	0.0561918	0.0532421	0.173117	0.0572865	0.14356	0.0731339	0.0510148	0.0874402	0.0735877	0.00647435	0.0293034	0.0182235	0.058653	0.0293491	0.247473	0.00846637	0.0274912	0.140208	0.0833629	0.346959	0.0721564	2.99593e-06	0.457304	0.0402147	0.00485225	0.100148	0.586282	3.30872	0.233167	0.472113	0.0770003	0.21772	5.625715
30	-13448.1	-13433.1	-15.0676	0.3260439	0.204058	0.0806777	0.120057	0.0909909	0.0205763	0.119644	0.487349	0.13	0.108225	0.269631	0.101152	0.11908	0.125723	0.1316	0.167055	0.209034	0.185204	0.160703	0.193359	0.00195999	0.109866	0.113302	0.334151	0.0911869	0.100693	0.0621583	0.0382349	0.106362	0.0190773	0.0495092	0.0542181	0.0770588	0.0409679	0.083975	0.00826239	0.0493385	0.0925368	0.0506554	0.024268	0.171707	0.0192778	0.0150617	0.0735744	0.0785038	0.343388	0.0714137	3.37554e-06	0.452597	0.0540945	0.00764403	0.124848	0.637056	3.23045	0.323244	0.319445	0.0933531	0.263958	4.811521
40	-13296.8	-13281	-15.7875	0.3191495	0.217813	0.124	0.117289	0.0980139	0.216743	0.0845508	0.334248	0.126093	0.0810546	0.270547	0.0759833	0.131372	0.113593	0.176091	0.139995	0.234941	0.195654	0.181725	0.217362	0.0062444	0.138718	0.0743201	0.323174	0.0923568	0.0787201	0.0435785	0.0471788	0.0572054	0.0264145	0.0295426	0.0571719	0.027087	0.0486966	0.0876458	0.0100892	0.14532	0.0681463	0.0415603	0.0400876	0.144998	0.110232	0.0141137	0.0338448	0.0774835	0.351921	0.0704856	3.53352e-06	0.446715	0.0533914	0.00697667	0.119451	0.626604	3.24697	0.318138	0.332089	0.0899841	0.259789	4.883515
50	-13240.3	-13229.1	-11.2182	0.3372815	0.196302	0.117281	0.117989	0.0817602	0.155139	0.108186	0.152285	0.113898	0.132341	0.224146	0.0736348	0.0877919	0.144404	0.146693	0.164041	0.194237	0.153347	0.124966	0.172068	0.0657585	0.0970445	0.0955887	0.323174	0.0843093	0.0754255	0.033644	0.0318231	0.0711013	0.0206	0.0311431	0.0621201	0.0213816	0.0659891	0.0788975	0.0197255	0.11016	0.0758009	0.04678	0.0388021	0.194093	0.0823192	0.0221912	0.0182064	0.0782722	0.351052	0.0587207	3.42187e-06	0.451262	0.0606896	0.00880072	0.133639	0.653415	3.20414	0.318138	0.332089	0.0899841	0.259789	4.42659
60	-13232.3	-13219	-13.2967	0.3327689	0.206953	0.151147	0.114651	0.0765648	0.133393	0.122841	0.152285	0.113553	0.11265	0.28141	0.0974413	0.097768	0.144404	0.149756	0.145072	0.193256	0.2515	0.123723	0.167935	0.0966647	0.110906	0.0939174	0.298499	0.113792	0.047416	0.0203997	0.0725434	0.048948	0.0119271	0.0307035	0.0653922	0.0252612	0.114534	0.0500862	0.0302316	0.138586	0.0637124	0.0277828	0.0142251	0.141101	0.0935512	0.0528653	0.0350837	0.0805989	0.33803	0.0608657	0.000158935	0.464676	0.0556705	0.00832607	0.130111	0.646945	3.21462	0.344855	0.357735	0.0898836	0.207526	4.634434
70	-13198	-13182.7	-15.2673	0.3466202	0.212808	0.136061	0.159022	0.0781693	0.127421	0.141692	0.211844	0.113553	0.106175	0.241268	0.0849217	0.0935029	0.145404	0.138805	0.159853	0.21974	0.208394	0.138618	0.181284	0.0598388	0.110906	0.0999552	0.309748	0.125904	0.0635131	0.0359891	0.0410825	0.050462	0.00883838	0.0277463	0.0608382	0.0454273	0.123356	0.0198928	0.0288302	0.190527	0.114024	0.0339459	0.0479381	0.128895	0.120774	0.0522091	0.0323227	0.066799	0.339071	0.0610533	0.0111261	0.466108	0.0558421	0.00982563	0.140925	0.666401	3.18285	0.32079	0.382939	0.0838959	0.212376	4.831499
80	-13198	-13181.3	-16.7285	0.3375896	0.226469	0.115345	0.161131	0.141393	0.152302	0.118683	0.187843	0.12083	0.123935	0.257543	0.0963617	0.0978783	0.151334	0.144524	0.169611	0.233033	0.212588	0.172655	0.184901	0.101317	0.110906	0.106096	0.264954	0.150771	0.0571085	0.0194191	0.0463387	0.0323982	0.0126572	0.0437582	0.0672419	0.0442092	0.0977187	0.0475944	0.0510842	0.118571	0.0764432	0.0191806	0.0429793	0.188463	0.130872	0.0502448	0.0289333	0.0667464	0.338805	0.0610053	0.0211502	0.465742	0.0465516	0.00883363	0.13388	0.653852	3.20343	0.321196	0.386586	0.0778188	0.214399	4.97762
90	-13204.6	-13184.2	-20.3854	0.3362383	0.221662	0.131726	0.159959	0.0920838	0.141885	0.124381	0.205858	0.107753	0.123935	0.388511	0.0725168	0.12405	0.18027	0.194425	0.149407	0.253155	0.237356	0.173003	0.19149	0.0746934	0.117384	0.12886	0.290655	0.110718	0.0502179	0.0611266	0.049533	0.050641	0.0163737	0.045373	0.087604	0.0753073	0.129383	0.0508615	0.0821973	0.125092	0.0858227	0.0179727	0.0467072	0.158687	0.0890114	0.0839532	0.041709	0.0518335	0.351367	0.0602285	0.0279316	0.459811	0.0488284	0.00868979	0.132824	0.651931	3.20656	0.310328	0.373505	0.0751856	0.240982	5.34331
