Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-13205.3	-13175.9	-29.3461	0.3120509	0.258126	0.131726	0.199613	0.142395	0.184018	0.155802	0.199582	0.0898287	0.213689	0.349482	0.0852036	0.110404	0.187914	0.204887	0.196042	0.31936	0.260066	0.211558	0.207327	0.10551	0.133615	0.138984	0.438925	0.143662	0.0508903	0.0397419	0.0442523	0.0574007	0.027483	0.074727	0.121323	0.0364425	0.12916	0.12403	0.0611372	0.194015	0.0880263	0.0226612	0.0295694	0.214018	0.141119	0.0644787	0.0511838	0.0520949	0.367861	0.0594058	0.0244173	0.462573	0.0336476	0.00632366	0.113897	0.615496	3.26428	0.312338	0.375924	0.0756725	0.236066	6.23938
110	-13192.5	-13170.6	-21.8744	0.3101363	0.265235	0.153125	0.149006	0.102016	0.183004	0.128828	0.159112	0.100818	0.114197	0.243514	0.105528	0.100968	0.186576	0.164871	0.161242	0.284145	0.215542	0.211558	0.20737	0.0959706	0.136894	0.0891897	0.350988	0.200799	0.0484369	0.0562822	0.0746416	0.0403572	0.0167542	0.0505646	0.0821131	0.0522147	0.0898836	0.0849785	0.0405028	0.170972	0.0728166	0.0257684	0.0313037	0.212753	0.115997	0.0774061	0.037958	0.0506271	0.38759	0.057732	0.0142911	0.44954	0.0402199	0.00615351	0.1124	0.612439	3.26901	0.322116	0.382208	0.0769375	0.218739	5.4922
120	-13193.4	-13173.3	-20.0469	0.3082858	0.265441	0.0874497	0.121508	0.096855	0.166689	0.0886305	0.216034	0.0988994	0.120032	0.28686	0.0963175	0.140031	0.173888	0.176583	0.137186	0.21467	0.215542	0.177509	0.163766	0.0765098	0.153223	0.0897119	0.409334	0.206975	0.0726281	0.0492389	0.0437977	0.0646996	0.01157	0.0845469	0.0701313	0.046186	0.150871	0.0499673	0.035523	0.145841	0.0747763	0.0148464	0.0464109	0.180398	0.079452	0.0719532	0.0369776	0.0540782	0.338716	0.0616674	0.0152653	0.478978	0.0512944	0.00599148	0.110954	0.609459	3.2736	0.341805	0.370663	0.0754006	0.212132	5.309457
130	-13195.1	-13176.4	-18.7147	0.3082858	0.241385	0.120842	0.153892	0.132464	0.122071	0.138614	0.163287	0.110597	0.145494	0.280473	0.102988	0.091639	0.179063	0.1688	0.167837	0.193715	0.22914	0.209551	0.163228	0.0675763	0.11554	0.0789386	0.349115	0.16012	0.0655158	0.0451073	0.0745231	0.038385	0.00504054	0.0617346	0.0695647	0.0379353	0.132218	0.0709099	0.0143021	0.145841	0.0788959	0.0217376	0.0384499	0.156525	0.135909	0.0654229	0.0318509	0.0450195	0.341952	0.0622566	0.0154326	0.483555	0.0517844	0.00599148	0.110954	0.609459	3.2736	0.321593	0.382045	0.077716	0.218646	5.176237
140	-13195.3	-13171	-24.2791	0.3341509	0.310784	0.102996	0.154936	0.14336	0.211681	0.1144	0.199466	0.144342	0.127271	0.280473	0.12461	0.135689	0.143607	0.226711	0.146247	0.265027	0.262498	0.185035	0.174763	0.0783459	0.149052	0.0735867	0.406808	0.148301	0.0699677	0.0628848	0.0678873	0.0745231	0.00315656	0.0619586	0.0797762	0.0329307	0.145207	0.038911	0.0446921	0.157062	0.0767257	0.0361028	0.0606746	0.181995	0.102377	0.049065	0.0767872	0.0454965	0.337273	0.0646727	0.00977646	0.488678	0.0541037	0.00846999	0.131192	0.64894	3.2114	0.322103	0.382652	0.0762519	0.218993	5.732673
150	-13199.9	-13170.6	-29.3709	0.327886	0.231602	0.133504	0.221054	0.131721	0.239887	0.166897	0.227143	0.106108	0.138187	0.33869	0.158311	0.106564	0.186224	0.226316	0.197095	0.28531	0.228423	0.170586	0.247555	0.0781645	0.135624	0.11127	0.468925	0.21277	0.0596406	0.0364497	0.0772213	0.057034	0.0369766	0.0216594	0.114906	0.0548276	0.152339	0.0597851	0.0504479	0.176277	0.0834851	0.0193985	0.0564409	0.157081	0.19182	0.0685236	0.019609	0.0449837	0.333472	0.0639575	0.016535	0.494305	0.0467472	0.00782782	0.12629	0.639794	3.22609	0.321319	0.38172	0.0760661	0.220896	6.241853
160	-13204.2	-13171.8	-32.3703	0.3042259	0.295028	0.148131	0.208392	0.0958065	0.162432	0.139363	0.231669	0.0977783	0.156423	0.33869	0.0936628	0.172964	0.200018	0.204511	0.174933	0.297916	0.251206	0.255278	0.230408	0.0605834	0.170056	0.0767402	0.468925	0.234293	0.0482113	0.0993824	0.0621383	0.069128	0.0715046	0.0760082	0.0959575	0.0554157	0.174069	0.0610189	0.0399999	0.216873	0.0966932	0.0421445	0.0522631	0.273392	0.168959	0.0375686	0.0358631	0.0416537	0.308785	0.0645478	0.0147382	0.545086	0.0251892	0.00564436	0.107786	0.602832	3.28374	0.325308	0.374043	0.0770105	0.223638	6.541799
170	-13195.6	-13167.5	-28.1006	0.3029909	0.301247	0.134886	0.204408	0.0990264	0.176236	0.166333	0.201083	0.177999	0.100682	0.266101	0.131301	0.110189	0.193854	0.208796	0.174072	0.312102	0.266409	0.264807	0.259169	0.0624465	0.144164	0.0962114	0.406698	0.141642	0.0612551	0.0863318	0.0821033	0.0467241	0.0229022	0.0500858	0.0826353	0.0347879	0.155591	0.0597052	0.0432161	0.192555	0.133975	0.0226696	0.0545436	0.214592	0.0857352	0.0445421	0.0410096	0.0396307	0.325762	0.061413	0.0156515	0.518614	0.0389297	0.00554106	0.106824	0.600792	3.28684	0.325308	0.374043	0.0770105	0.223638	6.11482
180	-13201	-13167.9	-33.1179	0.3029909	0.379372	0.163494	0.196591	0.108891	0.238905	0.134096	0.19661	0.173181	0.174278	0.327502	0.115921	0.117909	0.187189	0.25896	0.147392	0.312849	0.233863	0.196352	0.222654	0.0695747	0.151499	0.0833132	0.535777	0.16979	0.0576252	0.121113	0.0720629	0.10468	0.0418188	0.0354779	0.0976119	0.0384679	0.175689	0.109926	0.0563584	0.218829	0.0794692	0.0389046	0.0473742	0.211355	0.108483	0.0834245	0.0219207	0.0393471	0.326035	0.0614646	0.0190974	0.519049	0.0350068	0.00554106	0.106824	0.600792	3.28684	0.32003	0.384198	0.0757612	0.22001	6.616553
190	-13197.6	-13169.5	-28.0875	0.3031529	0.197842	0.102337	0.157502	0.150265	0.267781	0.124296	0.207631	0.129149	0.1935	0.28836	0.114113	0.133084	0.183769	0.240597	0.171809	0.337558	0.282746	0.17382	0.197864	0.0927649	0.135127	0.0846718	0.467944	0.172352	0.0373468	0.0778463	0.0698945	0.101209	0.0343984	0.089278	0.0950705	0.00515306	0.109677	0.0453219	0.0284218	0.215542	0.0936054	0.0149256	0.0773686	0.17278	0.124964	0.07264	0.0411841	0.0392252	0.325026	0.0612742	0.0222694	0.517442	0.0347635	0.00555455	0.10695	0.60106	3.28644	0.32003	0.384198	0.0757612	0.22001	6.113511
200	-13197.7	-13166	-31.7089	0.3047465	0.27308	0.117025	0.160376	0.142554	0.247549	0.176666	0.27121	0.133784	0.137892	0.365464	0.116011	0.163004	0.215218	0.212794	0.202817	0.287549	0.302291	0.273056	0.275492	0.0983559	0.16619	0.0719969	0.431289	0.194329	0.050667	0.0440823	0.0817305	0.0852799	0.0539806	0.0974632	0.0960594	0.0265158	0.103727	0.0761244	0.0143274	0.112682	0.0928407	0.0207352	0.0685333	0.191632	0.11395	0.0628028	0.0465315	0.0390857	0.32387	0.0602352	0.0144976	0.515602	0.04671	0.00568823	0.108192	0.603689	3.28243	0.32003	0.384198	0.0757612	0.22001	6.475657
210	-13207.1	-13174.8	-32.3752	0.316417	0.274813	0.113905	0.199805	0.0822035	0.254273	0.139374	0.204786	0.14885	0.176375	0.344796	0.0699698	0.16746	0.190635	0.328423	0.268685	0.277966	0.251477	0.195242	0.249368	0.147618	0.13929	0.133335	0.450523	0.136578	0.0325892	0.0701175	0.0133116	0.0554099	0.0355744	0.0610518	0.107709	0.056607	0.15348	0.051072	0.0197396	0.183648	0.11138	0.0387983	0.0615956	0.29506	0.15345	0.0536556	0.0422845	0.0400505	0.352506	0.0617221	0.0150494	0.484229	0.0464428	0.00672118	0.117312	0.62237	3.2536	0.317343	0.385717	0.0760606	0.22088	6.542287
220	-13198.9	-13167	-31.8311	0.3038169	0.250998	0.129591	0.199343	0.153664	0.205175	0.143643	0.254603	0.125791	0.16619	0.304464	0.131238	0.153535	0.202695	0.171886	0.210767	0.292185	0.243242	0.255732	0.204698	0.0930618	0.189369	0.125783	0.484321	0.183447	0.059308	0.0399248	0.0841665	0.0457085	0.0366961	0.0562426	0.0899829	0.0571579	0.161908	0.0703965	0.0376069	0.203066	0.0511686	0.0239367	0.0413704	0.314601	0.159183	0.0551477	0.0248782	0.0396811	0.347632	0.0608686	0.0138018	0.495194	0.0428231	0.00561004	0.107468	0.602158	3.28476	0.317113	0.385436	0.0760053	0.221446	6.487873
230	-13201.9	-13172.8	-29.1913	0.3251685	0.314199	0.132662	0.159909	0.13986	0.181319	0.145851	0.214874	0.118739	0.173879	0.264013	0.121462	0.11853	0.213898	0.224756	0.19349	0.323657	0.328639	0.216313	0.219377	0.127973	0.107843	0.0782083	0.452689	0.218318	0.0365924	0.0530416	0.058201	0.0732986	0.0392813	0.0196923	0.11396	0.0338418	0.159853	0.028403	0.0865207	0.161147	0.0516729	0.0181568	0.0747652	0.139752	0.191283	0.0623764	0.0316018	0.0369847	0.329991	0.0657124	0.0163127	0.507143	0.0438564	0.00755749	0.124163	0.635747	3.23253	0.31889	0.387597	0.076555	0.216957	6.223896
240	-13194	-13165.6	-28.4148	0.2974941	0.336744	0.192362	0.177715	0.118836	0.23403	0.132529	0.175067	0.15766	0.16009	0.264764	0.122754	0.110858	0.155027	0.224756	0.19349	0.27641	0.241756	0.205754	0.224833	0.0985788	0.150369	0.0818005	0.433923	0.174915	0.0524117	0.0683794	0.0270102	0.0596033	0.0321552	0.0585462	0.131317	0.0138789	0.162816	0.0496449	0.0675928	0.223301	0.0925629	0.001619	0.057202	0.188323	0.109052	0.0944353	0.0113701	0.0393772	0.279197	0.0713969	0.0133675	0.551013	0.0456482	0.00509423	0.102547	0.59157	3.30079	0.325661	0.374595	0.0781805	0.221564	6.146242
250	-13198	-13171.8	-26.1726	0.2922936	0.266362	0.165124	0.185677	0.12042	0.143546	0.125812	0.197883	0.123405	0.139546	0.326207	0.139746	0.0901686	0.193765	0.224756	0.205495	0.288274	0.319536	0.213859	0.196998	0.0693895	0.128745	0.0817265	0.412106	0.188083	0.056789	0.0757966	0.0256754	0.05384	0.0463278	0.0364782	0.069965	0.0475325	0.14612	0.0487854	0.0522961	0.207911	0.068755	0.0200118	0.0398575	0.158457	0.109052	0.0943306	0.0174186	0.0350549	0.279486	0.0714707	0.0277031	0.551583	0.0347027	0.00469104	0.0985149	0.582631	3.31416	0.339418	0.375121	0.0782904	0.207171	5.922027
260	-13199.1	-13172.2	-26.8513	0.3171413	0.318195	0.161517	0.194678	0.104347	0.183814	0.129361	0.201772	0.140307	0.129946	0.309065	0.143273	0.0967331	0.224343	0.17083	0.238534	0.321532	0.241156	0.204407	0.173599	0.0745636	0.151841	0.132826	0.33039	0.177073	0.0759882	0.0433736	0.0603321	0.0863473	0.0355595	0.0613455	0.0898539	0.0299772	0.175589	0.0514362	0.0261945	0.169211	0.0502703	0.00399417	0.0945641	0.18913	0.0940057	0.0797181	0.0189071	0.0343453	0.298235	0.0700241	0.0100718	0.540419	0.0469047	0.0067884	0.117879	0.623497	3.25184	0.339418	0.375121	0.0782904	0.207171	5.989898
270	-13197.8	-13168.4	-29.3566	0.3052244	0.236927	0.135337	0.184454	0.112375	0.231492	0.120395	0.27397	0.0975695	0.141309	0.387934	0.118785	0.131689	0.235135	0.197635	0.165962	0.298915	0.219462	0.246775	0.237525	0.116499	0.14344	0.1202	0.452536	0.162674	0.0731136	0.0285245	0.0588718	0.0553607	0.0478619	0.0950985	0.0773975	0.0338187	0.142434	0.0528086	0.0226139	0.177504	0.103149	0.0146692	0.0399482	0.187914	0.134073	0.0980595	0.0282088	0.0338279	0.293742	0.0689691	0.0175141	0.532276	0.0536705	0.00572867	0.108565	0.604473	3.28123	0.34582	0.378495	0.077316	0.19837	6.240422
280	-13202	-13178.2	-23.7521	0.2848402	0.26943	0.103437	0.169844	0.128892	0.188996	0.181597	0.192052	0.144942	0.127168	0.230053	0.0791685	0.139746	0.0988161	0.218678	0.201725	0.277536	0.219462	0.176422	0.18847	0.063151	0.171597	0.0689619	0.401564	0.147817	0.05231	0.0700592	0.0346258	0.0558048	0.03183	0.0560818	0.0989963	0.0225095	0.17404	0.0563232	0.0114672	0.199596	0.109802	0.0324034	0.0962109	0.148901	0.129996	0.0476231	0.0618724	0.032245	0.279998	0.0707771	0.0190139	0.558659	0.039307	0.00414634	0.0927666	0.569443	3.33364	0.348617	0.376876	0.0769853	0.197521	5.679978
290	-13203.1	-13175.1	-28.0632	0.2966258	0.354458	0.15389	0.156739	0.124619	0.218212	0.115259	0.243441	0.116487	0.122409	0.307274	0.12317	0.133468	0.225937	0.180345	0.20061	0.21167	0.241028	0.245532	0.242575	0.0642145	0.135501	0.0660512	0.464823	0.256757	0.072751	0.0351247	0.0612886	0.0998607	0.0253745	0.0685325	0.112786	0.0249849	0.129715	0.0756289	0.00509352	0.169061	0.108292	0.016431	0.0528364	0.131518	0.110731	0.0661008	0.0405036	0.0333158	0.289678	0.073224	0.0190363	0.558202	0.0265441	0.0050256	0.101873	0.590093	3.30301	0.348617	0.376876	0.0769853	0.197521	6.111084
300	-13191	-13163	-28.0504	0.3080596	0.250345	0.112108	0.193033	0.110182	0.214834	0.128956	0.243441	0.141643	0.15306	0.342939	0.111534	0.148939	0.202048	0.170218	0.174268	0.27127	0.293757	0.222419	0.238107	0.102434	0.124908	0.0688064	0.489332	0.151704	0.0435385	0.0854011	0.116703	0.0512812	0.0357719	0.0630689	0.111034	0.0264444	0.166463	0.0596211	0.0278059	0.131623	0.0724987	0.0260248	0.0407684	0.164636	0.123467	0.0693223	0.0340494	0.0355075	0.279552	0.0706644	0.0159403	0.57508	0.0232557	0.00597184	0.110778	0.609093	3.27416	0.348662	0.372551	0.076995	0.201793	6.109808
310	-13201	-13172.6	-28.4489	0.2889277	0.255051	0.156864	0.227886	0.0949208	0.227975	0.127511	0.168616	0.125154	0.161528	0.334929	0.109161	0.135106	0.246956	0.315657	0.166434	0.284963	0.26919	0.174992	0.197064	0.113697	0.104123	0.101455	0.475123	0.179673	0.0502996	0.0270488	0.056532	0.0824271	0.0109521	0.0534156	0.0670611	0.0348672	0.170354	0.0751563	0.0518642	0.1103	0.0993485	0.0491296	0.0362872	0.209728	0.11768	0.0393593	0.0538101	0.0338414	0.278563	0.0704037	0.0104799	0.573046	0.0336656	0.00444022	0.0959141	0.576731	3.32291	0.347035	0.370813	0.0813005	0.200851	6.149651
320	-13203.1	-13172.2	-30.9125	0.3399801	0.287505	0.179384	0.170728	0.0966272	0.198598	0.163824	0.185156	0.172422	0.172722	0.265593	0.107113	0.157863	0.227587	0.183032	0.234353	0.32502	0.26329	0.210683	0.185954	0.10634	0.114359	0.0579258	0.46481	0.159847	0.123664	0.0506562	0.0642903	0.0651331	0.0131729	0.0390109	0.0867385	0.0347923	0.205996	0.0627111	0.0339971	0.182071	0.132998	0.0276933	0.0454644	0.259388	0.137823	0.0624571	0.0772243	0.0363978	0.278924	0.0704949	0.022288	0.558186	0.0337092	0.00909102	0.135747	0.657223	3.19794	0.347035	0.370813	0.0813005	0.200851	6.396015
330	-13199.8	-13162.8	-37.0076	0.3223484	0.372973	0.129622	0.229949	0.0650611	0.182459	0.150017	0.256747	0.167731	0.185481	0.297071	0.153599	0.130604	0.255816	0.231369	0.235048	0.368974	0.283231	0.210683	0.25655	0.0972824	0.157218	0.121159	0.523322	0.224192	0.0602581	0.0526696	0.0546122	0.0994642	0.0189985	0.064127	0.12374	0.0315877	0.166376	0.0740343	0.031913	0.214545	0.151543	0.0506693	0.0773042	0.173895	0.177454	0.0593827	0.0367969	0.0341484	0.28199	0.0712697	0.0152184	0.564321	0.0330528	0.00728228	0.121955	0.631494	3.23927	0.341629	0.367837	0.0775046	0.213029	7.00553
340	-13198	-13165.5	-32.4278	0.3129174	0.326715	0.113841	0.195433	0.10437	0.164578	0.143766	0.239959	0.161345	0.146261	0.30118	0.0667886	0.172954	0.237119	0.222957	0.205834	0.293973	0.298844	0.202726	0.198555	0.0955929	0.178097	0.128218	0.519421	0.232079	0.0493663	0.0347315	0.0522679	0.10048	0.0288144	0.0935112	0.0956067	0.0428993	0.14051	0.0330843	0.0578419	0.231707	0.160059	0.020008	0.0413371	0.195666	0.136684	0.0633228	0.0190385	0.0324832	0.280156	0.0732363	0.0221713	0.563542	0.0284112	0.0064015	0.114574	0.616871	3.26215	0.337334	0.363213	0.0891018	0.210351	6.547543
350	-13208.8	-13174.9	-33.9673	0.3179068	0.34177	0.167572	0.214877	0.159467	0.239507	0.115464	0.222106	0.160896	0.153409	0.297122	0.112352	0.178933	0.218731	0.263344	0.230786	0.325538	0.256659	0.189184	0.288371	0.112903	0.178097	0.0850314	0.411023	0.251799	0.0444633	0.0597242	0.118583	0.0619215	0.0266938	0.0482272	0.100058	0.0259556	0.120446	0.0355033	0.0179298	0.125576	0.158433	0.0482723	0.0457403	0.284051	0.114434	0.0594683	0.0310777	0.0335828	0.208909	0.0781997	0.0166682	0.630989	0.0316511	0.00685984	0.118478	0.624685	3.24998	0.331244	0.365393	0.0902653	0.213098	6.701499
360	-13205	-13173	-31.9946	0.2862199	0.376836	0.124874	0.185859	0.0909957	0.25406	0.163886	0.290259	0.197501	0.145928	0.370831	0.122348	0.171455	0.244731	0.2061	0.214851	0.320852	0.286459	0.180288	0.220716	0.117203	0.140491	0.10068	0.43929	0.161583	0.0587978	0.0361983	0.0825996	0.0481238	0.0315043	0.0507676	0.151061	0.0276656	0.129662	0.0177752	0.0457322	0.118341	0.105751	0.0288888	0.0409333	0.208289	0.107589	0.0433811	0.0430843	0.0345174	0.210758	0.0744216	0.0117995	0.636573	0.0319312	0.00424422	0.0938275	0.571918	3.33001	0.336479	0.371169	0.0916921	0.20066	6.504222
370	-13197.3	-13162.5	-34.7682	0.2965491	0.310875	0.113129	0.200594	0.116709	0.212773	0.186314	0.303566	0.12524	0.158021	0.335235	0.105824	0.144793	0.208195	0.241478	0.25027	0.316906	0.273242	0.293889	0.233731	0.123895	0.115408	0.115786	0.46043	0.226352	0.0809605	0.0609171	0.0578946	0.0768474	0.0326384	0.0804426	0.0789225	0.0171593	0.196074	0.0587843	0.0477198	0.179396	0.0952612	0.0175602	0.0842143	0.202865	0.142908	0.0585839	0.0397782	0.0326119	0.225073	0.0663654	0.0108067	0.611328	0.0538145	0.00501956	0.101813	0.589962	3.30321	0.337952	0.372793	0.0877175	0.201538	6.781582
380	-13206.2	-13168.3	-37.9869	0.2946482	0.362948	0.152409	0.234214	0.148197	0.278864	0.139489	0.280599	0.17012	0.15163	0.382504	0.127714	0.178937	0.278433	0.241569	0.262327	0.306959	0.264269	0.279434	0.244264	0.0927479	0.158655	0.138746	0.373071	0.265666	0.0745578	0.0440828	0.0519901	0.0726105	0.0216589	0.0960568	0.116422	0.0131857	0.159203	0.034353	0.0235135	0.190351	0.0907918	0.063982	0.0674212	0.221745	0.128669	0.0862302	0.0328678	0.0369024	0.217825	0.0690333	0.0112412	0.635904	0.0290939	0.00487124	0.100339	0.586705	3.30809	0.332096	0.368007	0.0909445	0.208952	7.103459
