Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-13221.1	-13198	-23.0308	0.3848292	0.299974	0.135931	0.143047	0.142755	0.162541	0.0933884	0.170873	0.0869638	0.177232	0.285102	0.102865	0.140739	0.169734	0.168271	0.145647	0.23721	0.294632	0.220741	0.215156	0.105003	0.161125	0.083494	0.363942	0.0450369	0.145338	0.057407	0.0849364	0.0114701	0.138421	0.193136	0.0256021	0.106558	0.127536	0.102893	0.0711383	0.009928	0.071065	0.0183759	0.146987	0.0311657	0.0369479	0.0456918	0.0318467	0.0736855	0.297944	0.0580538	0.01606	0.53076	0.0234963	0.014588	0.170335	0.714328	3.10075	0.324856	0.350667	0.0944687	0.230008	5.607848
110	-13206.8	-13189.6	-17.2082	0.3656962	0.192397	0.0915651	0.13271	0.141818	0.15881	0.0920619	0.173529	0.113338	0.1205	0.225959	0.0911353	0.104679	0.2074	0.170806	0.196833	0.217961	0.213364	0.156514	0.254602	0.0707072	0.105401	0.0936389	0.339944	0.0374801	0.0995299	0.0559599	0.0847086	0.0217442	0.108693	0.163167	0.0645065	0.0675715	0.131652	0.0914531	0.0431542	0.0200488	0.0538567	0.0129602	0.15131	0.0415102	0.0480306	0.0276798	0.0348907	0.0737159	0.295674	0.0580778	0.0160666	0.530978	0.0254872	0.0120925	0.155707	0.691322	3.14088	0.320915	0.358545	0.0933225	0.227218	5.025582
120	-13203.2	-13182.4	-20.7445	0.3381915	0.226678	0.130672	0.161544	0.110386	0.123863	0.113327	0.209282	0.107362	0.133103	0.279566	0.06939	0.166659	0.167431	0.20427	0.188825	0.243754	0.194296	0.190161	0.176248	0.0675197	0.145845	0.0976258	0.399325	0.0314307	0.0817474	0.034257	0.092024	0.0151275	0.171773	0.165566	0.0450961	0.0997569	0.127	0.0957671	0.0535641	0.0369862	0.0620893	0.0336864	0.180447	0.0234299	0.0123237	0.0536167	0.0563953	0.0679172	0.310568	0.0535092	0.0153489	0.518348	0.0343083	0.00889808	0.13435	0.654704	3.20205	0.329774	0.358972	0.0958988	0.215355	5.379216
130	-13213.8	-13195.6	-18.141	0.3043208	0.240415	0.0937174	0.128342	0.116064	0.195788	0.132781	0.207219	0.133069	0.121706	0.162188	0.107525	0.130367	0.154162	0.197538	0.187349	0.223769	0.278504	0.139693	0.163694	0.0660147	0.0985156	0.0977499	0.373423	0.0304671	0.0778254	0.0312076	0.0918569	0.0159583	0.126165	0.120369	0.0838399	0.0529568	0.139384	0.040654	0.058506	0.0693665	0.0657946	0.0479093	0.127665	0.0817003	0.0100517	0.0423047	0.0552883	0.0678698	0.310351	0.0534718	0.0166526	0.517986	0.0336685	0.00565235	0.10786	0.602988	3.2835	0.330482	0.359812	0.0954219	0.214284	5.118863
140	-13190.9	-13168.9	-22.0362	0.3184487	0.246753	0.127639	0.141103	0.0636676	0.188703	0.133415	0.213046	0.122	0.132865	0.293576	0.117082	0.121569	0.152709	0.194972	0.196049	0.2757	0.216377	0.215702	0.167753	0.0733963	0.137719	0.0958942	0.377565	0.0363634	0.0987106	0.0464938	0.0986812	0.0279534	0.171867	0.200307	0.0265229	0.0815154	0.162317	0.0705509	0.0616702	0.0403016	0.0313687	0.0610471	0.134116	0.0565337	0.0282775	0.0240698	0.0444612	0.0494071	0.28352	0.057454	0.0178928	0.556562	0.0351645	0.00691065	0.118902	0.625523	3.24866	0.321298	0.364748	0.0967308	0.217223	5.508382
150	-13197.3	-13175.2	-22.1084	0.3185813	0.278004	0.103062	0.126265	0.107534	0.184879	0.157333	0.182982	0.134886	0.132364	0.284601	0.117082	0.0767287	0.171317	0.242827	0.162203	0.255196	0.23149	0.187683	0.180877	0.0853607	0.12008	0.0952393	0.429559	0.0413186	0.0838642	0.0871557	0.162662	0.0371006	0.128891	0.156464	0.0424277	0.0994272	0.11139	0.044069	0.0451718	0.0386241	0.0547974	0.0157964	0.128367	0.0559914	0.0349732	0.0396092	0.0599543	0.0522763	0.299985	0.0649981	0.0157118	0.539961	0.0270678	0.00692312	0.119006	0.625728	3.24834	0.321298	0.364748	0.0967308	0.217223	5.515606
160	-13202.6	-13181.1	-21.4979	0.3031253	0.213627	0.0948167	0.128712	0.12017	0.203563	0.13604	0.187081	0.11832	0.133537	0.303015	0.154965	0.0761316	0.146466	0.179422	0.142175	0.237405	0.222761	0.207367	0.158129	0.072115	0.119286	0.086142	0.405675	0.0329045	0.1013	0.0604224	0.0853158	0.0102806	0.169228	0.171171	0.075921	0.0664271	0.146317	0.0817119	0.0743493	0.0856975	0.0569555	0.0163812	0.192415	0.0619925	0.0258204	0.0466996	0.0463249	0.051681	0.296569	0.0642579	0.0148972	0.533812	0.0387828	0.00555225	0.106929	0.601014	3.28651	0.334657	0.357569	0.0948269	0.212947	5.454557
170	-13198.9	-13173.6	-25.3232	0.3434329	0.279466	0.16039	0.183478	0.101837	0.136629	0.175399	0.199749	0.179148	0.125969	0.351338	0.155996	0.133619	0.151944	0.207704	0.177345	0.258505	0.245377	0.203439	0.189277	0.0827822	0.141252	0.0811913	0.440661	0.0290883	0.0900268	0.0201417	0.0788058	0.017877	0.129093	0.162084	0.0301814	0.0904995	0.147912	0.0533821	0.0970133	0.098382	0.0363659	0.0539569	0.158667	0.0604931	0.032004	0.0458831	0.0427378	0.0496238	0.283407	0.0725217	0.0145067	0.550901	0.0290401	0.00946942	0.138441	0.662029	3.19006	0.337448	0.356153	0.0942949	0.212104	5.837088
180	-13194.6	-13172.4	-22.2895	0.3067103	0.296879	0.0981994	0.145114	0.161908	0.170766	0.129826	0.186835	0.106168	0.123611	0.255746	0.107814	0.119187	0.180296	0.234499	0.162613	0.219413	0.245377	0.176535	0.207752	0.0805773	0.125882	0.0966219	0.412389	0.0360278	0.0717172	0.0291915	0.076164	0.0104644	0.153323	0.188847	0.0490501	0.059097	0.142064	0.0774023	0.0468639	0.0816056	0.0654944	0.0267369	0.21793	0.0594401	0.0484816	0.021176	0.0286318	0.049284	0.284054	0.0626208	0.00990373	0.547129	0.0470088	0.00585541	0.109724	0.606902	3.27752	0.327833	0.362855	0.0916081	0.217703	5.533716
190	-13204.4	-13181.7	-22.7722	0.3035174	0.296896	0.12815	0.197813	0.0844244	0.213548	0.125023	0.140131	0.143872	0.132873	0.294103	0.1234	0.0961817	0.134736	0.22537	0.162453	0.268692	0.190657	0.191304	0.19497	0.0876575	0.0997841	0.0752381	0.363489	0.0453549	0.0751787	0.0972237	0.0868115	0.007952	0.0760237	0.155913	0.0586781	0.0960063	0.188723	0.0957798	0.091203	0.0505172	0.0587436	0.0251637	0.244181	0.0380069	0.0234094	0.055977	0.0403731	0.0484375	0.296351	0.0615452	0.00973362	0.537731	0.0462014	0.00558497	0.107234	0.601663	3.28552	0.319522	0.379008	0.0892856	0.212184	5.581987
