Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14501.5	-14522	20.5748	0.123675	0.101025	0.0921023	0.100985	0.11067	0.0738235	0.110767	0.0884757	0.0939901	0.17911	0.0878298	0.0643521	0.0978249	0.11073	0.104838	0.122913	0.114851	0.115296	0.118469	0.0979672	0.102033	0.0791498	0.168704	0.0133049	0.0255625	0.00999112	0.0260453	0.0450035	0.0119741	0.0195815	0.0638882	0.0162487	0.0469741	0.0272671	0.0312485	0.0365094	0.0246219	0.0147152	0.0163809	0.0393205	0.0365078	0.0818812	0.0427477	0.214804	0.28879	0.0603466	0.0282553	0.393041	0.0147631	0.23322	0.234154	0.152259	0.380368	3.089353
110	-14503.6	-14525.5	21.8774	0.123344	0.100385	0.106558	0.0801079	0.109109	0.0765129	0.12684	0.0629335	0.0920139	0.182461	0.0747091	0.0677673	0.0975215	0.101109	0.103733	0.121036	0.112112	0.115296	0.117797	0.0755524	0.0910923	0.0673811	0.133724	0.0264086	0.0203035	0.0203138	0.0238011	0.0506786	0.00952565	0.0360915	0.0414996	0.0125632	0.0356181	0.0445786	0.0367385	0.0244887	0.0276772	0.0128051	0.0208361	0.041811	0.0293906	0.0694314	0.0354311	0.225548	0.284118	0.0556703	0.0334559	0.386683	0.0145243	0.23322	0.234154	0.152259	0.380368	2.959089
120	-14504.2	-14524.8	20.5586	0.128301	0.0820293	0.107859	0.0994051	0.126395	0.0969507	0.128471	0.067646	0.086219	0.144903	0.0793753	0.0874556	0.0958489	0.108662	0.108772	0.114173	0.114807	0.108005	0.124338	0.0554774	0.092838	0.0870118	0.147127	0.025947	0.0243776	0.01493	0.0365978	0.0465357	0.0148902	0.029732	0.0442022	0.0246416	0.0564983	0.0504406	0.0446092	0.0242847	0.0212084	0.00867466	0.0184479	0.0432285	0.0360783	0.0961472	0.03743	0.226	0.285356	0.0559128	0.0297771	0.388367	0.0145875	0.23322	0.234154	0.152259	0.380368	3.090971
130	-14500.3	-14520.7	20.4645	0.122131	0.11033	0.0899164	0.0980962	0.0967162	0.0636633	0.129392	0.06354	0.0911277	0.148407	0.0715215	0.079982	0.0958489	0.0947385	0.108772	0.138329	0.131426	0.114487	0.136851	0.089071	0.0885835	0.0945471	0.166202	0.0243359	0.0109914	0.0110759	0.0274731	0.0519428	0.0199148	0.0375479	0.0543001	0.0150059	0.0319271	0.0619837	0.0397373	0.0240915	0.0244261	0.0150947	0.0193422	0.0342854	0.0466712	0.0838486	0.0427066	0.225865	0.285186	0.0558794	0.0326932	0.388136	0.0122412	0.23322	0.234154	0.152259	0.380368	3.100382
140	-14500.3	-14521.4	21.0836	0.134974	0.113056	0.102946	0.0979585	0.106286	0.0778457	0.104745	0.0771723	0.0737301	0.161382	0.0720972	0.079982	0.093295	0.117423	0.102481	0.131351	0.120933	0.122496	0.115742	0.0850185	0.0765618	0.0784876	0.16804	0.016662	0.0242981	0.0102795	0.0312803	0.0456363	0.0359228	0.0213876	0.0283765	0.0230062	0.0421115	0.0478431	0.0253863	0.0139535	0.0227443	0.026131	0.0144006	0.0259757	0.0404526	0.0919644	0.0366526	0.231139	0.291845	0.0588715	0.0172635	0.392617	0.00826451	0.23322	0.234154	0.152259	0.380368	3.038468
150	-14499.7	-14520.7	21.0289	0.124543	0.104022	0.0998587	0.0955514	0.0999972	0.0808216	0.118038	0.070505	0.0858763	0.168412	0.0814839	0.0802004	0.109107	0.103968	0.110209	0.12907	0.129862	0.100015	0.111404	0.0745633	0.0841257	0.0830918	0.165199	0.0229985	0.0162009	0.0175506	0.0351956	0.0299783	0.0158964	0.0299408	0.0427536	0.0262634	0.0400326	0.0293745	0.032074	0.0234059	0.0313342	0.01349	0.0247179	0.0505304	0.0356234	0.069797	0.0468589	0.231083	0.291774	0.0524923	0.0238668	0.392522	0.0082625	0.238791	0.215858	0.155896	0.389454	3.043941
160	-14498.2	-14520.2	22.0333	0.112133	0.0859534	0.0830879	0.0910921	0.103281	0.0654579	0.118038	0.065019	0.0825336	0.177094	0.0793529	0.0791894	0.0824209	0.0877768	0.0991739	0.147733	0.123012	0.100015	0.125412	0.0662314	0.0754572	0.0816368	0.165494	0.0296477	0.0171229	0.0102403	0.021624	0.0411634	0.0207741	0.0213963	0.0494771	0.0195561	0.0379705	0.0415526	0.03947	0.018472	0.0238156	0.0125121	0.0169214	0.0345089	0.0425205	0.110969	0.0371925	0.234438	0.290726	0.0518811	0.023781	0.391112	0.00806235	0.238791	0.215858	0.155896	0.389454	2.943503
170	-14507.4	-14529.5	22.0462	0.134489	0.113368	0.115	0.0789574	0.0847804	0.0654579	0.108295	0.0694466	0.0850029	0.186211	0.0698283	0.089771	0.0991302	0.0992762	0.113697	0.120131	0.120507	0.0961709	0.0923243	0.0654519	0.0860226	0.0928235	0.158814	0.0289407	0.0312263	0.0112269	0.0227677	0.0431749	0.0159486	0.0220008	0.0572193	0.016519	0.0497929	0.0386694	0.0245003	0.00863725	0.0243358	0.0125817	0.0152435	0.0449954	0.0349222	0.0578725	0.0366801	0.236277	0.286558	0.0602818	0.0234401	0.385505	0.00793892	0.238791	0.215858	0.155896	0.389454	2.94221
180	-14507.2	-14529.5	22.3621	0.115403	0.112509	0.0938409	0.0797731	0.0813053	0.0648577	0.113661	0.0685176	0.0972346	0.157681	0.0797751	0.0711403	0.100514	0.0845112	0.110097	0.129001	0.148973	0.0854767	0.137248	0.062854	0.0702225	0.0783053	0.150086	0.0153854	0.0226476	0.0125558	0.0317664	0.0333769	0.0147594	0.0299805	0.0536744	0.0155157	0.0430868	0.0388994	0.0245983	0.0171156	0.0291413	0.0116891	0.01396	0.0407564	0.0436138	0.0790981	0.0460109	0.235497	0.285612	0.0637026	0.0233627	0.384232	0.00759394	0.239028	0.216072	0.155061	0.38984	2.910619
190	-14501.5	-14522.7	21.2258	0.111463	0.0916633	0.0928379	0.0967617	0.0991585	0.0772646	0.117442	0.0802716	0.0731585	0.165168	0.0820538	0.0850456	0.0919647	0.0889929	0.116872	0.127837	0.111351	0.106131	0.102596	0.0849579	0.0745715	0.105939	0.160985	0.0376334	0.0144369	0.025327	0.0287867	0.0457221	0.0264284	0.0225832	0.045947	0.00849051	0.0430868	0.0463132	0.0411118	0.0236453	0.0278876	0.0124097	0.018208	0.0404008	0.034015	0.0714524	0.065881	0.234768	0.283786	0.0591826	0.0316508	0.383042	0.00757043	0.234832	0.229832	0.152339	0.382997	3.024254
